date,AHP_period,foreign_group,value_usd_billions,share_of_foreign_total,foreign_total_usd_billions,classification
2000-03-01,2000M03-2001M12,All other foreign,153.900000,0.1229135053,1252.100000,Economic-function and custody-role grouping
2000-03-01,2000M03-2001M12,Canada & other advanced,19.200000,0.0153342385,1252.100000,Economic-function and custody-role grouping
2000-03-01,2000M03-2001M12,Commodity exporters,46.400000,0.0370577430,1252.100000,Economic-function and custody-role grouping
2000-03-01,2000M03-2001M12,Core EU-27 (identifiable),164.900000,0.1316987461,1252.100000,Economic-function and custody-role grouping
2000-03-01,2000M03-2001M12,Financial/offshore centres,190.300000,0.1519846658,1252.100000,Economic-function and custody-role grouping
2000-03-01,2000M03-2001M12,Other East Asian exporters,56.500000,0.0451241914,1252.100000,Economic-function and custody-role grouping
2000-03-01,2000M03-2001M12,United Kingdom,235.700000,0.1882437505,1252.100000,Economic-function and custody-role grouping
2000-03-01,2000M03-2001M12,Mainland China,59.400000,0.0474403003,1252.100000,Economic-function and custody-role grouping
2000-03-01,2000M03-2001M12,Japan,325.800000,0.2602028592,1252.100000,Economic-function and custody-role grouping
2000-04-01,2000M03-2001M12,All other foreign,182.600000,0.1676921664,1088.900000,Economic-function and custody-role grouping
2000-04-01,2000M03-2001M12,Canada & other advanced,17.600000,0.0161631004,1088.900000,Economic-function and custody-role grouping
2000-04-01,2000M03-2001M12,Commodity exporters,43.600000,0.0400404078,1088.900000,Economic-function and custody-role grouping
2000-04-01,2000M03-2001M12,Core EU-27 (identifiable),124.300000,0.1141518964,1088.900000,Economic-function and custody-role grouping
2000-04-01,2000M03-2001M12,Financial/offshore centres,180.000000,0.1653044357,1088.900000,Economic-function and custody-role grouping
2000-04-01,2000M03-2001M12,Other East Asian exporters,69.000000,0.0633667003,1088.900000,Economic-function and custody-role grouping
2000-04-01,2000M03-2001M12,United Kingdom,77.700000,0.0713564147,1088.900000,Economic-function and custody-role grouping
2000-04-01,2000M03-2001M12,Mainland China,71.700000,0.0658462669,1088.900000,Economic-function and custody-role grouping
2000-04-01,2000M03-2001M12,Japan,322.400000,0.2960786114,1088.900000,Economic-function and custody-role grouping
2000-05-01,2000M03-2001M12,All other foreign,180.300000,0.1681589256,1072.200000,Economic-function and custody-role grouping
2000-05-01,2000M03-2001M12,Canada & other advanced,16.700000,0.0155754523,1072.200000,Economic-function and custody-role grouping
2000-05-01,2000M03-2001M12,Commodity exporters,43.100000,0.0401977243,1072.200000,Economic-function and custody-role grouping
2000-05-01,2000M03-2001M12,Core EU-27 (identifiable),120.300000,0.1121992166,1072.200000,Economic-function and custody-role grouping
2000-05-01,2000M03-2001M12,Financial/offshore centres,174.500000,0.1627494870,1072.200000,Economic-function and custody-role grouping
2000-05-01,2000M03-2001M12,Other East Asian exporters,67.900000,0.0633277374,1072.200000,Economic-function and custody-role grouping
2000-05-01,2000M03-2001M12,United Kingdom,77.500000,0.0722812908,1072.200000,Economic-function and custody-role grouping
2000-05-01,2000M03-2001M12,Mainland China,72.500000,0.0676179817,1072.200000,Economic-function and custody-role grouping
