date,AHP_period,foreign_group,value_usd_billions,share_of_foreign_total,foreign_total_usd_billions,TIC_classification_vintage
2000-03-01,2000M03-2001M12,All other foreign,231.800000,0.1851289833,1252.100000,pre-2012 TIC classification
2000-03-01,2000M03-2001M12,EU-27 (identifiable),201.100000,0.1606101749,1252.100000,pre-2012 TIC classification
2000-03-01,2000M03-2001M12,Middle East (reported/bridge),46.400000,0.0370577430,1252.100000,pre-2012 TIC classification
2000-03-01,2000M03-2001M12,Four Asian dragons,132.700000,0.1059819503,1252.100000,pre-2012 TIC classification
2000-03-01,2000M03-2001M12,Canada,19.200000,0.0153342385,1252.100000,pre-2012 TIC classification
2000-03-01,2000M03-2001M12,United Kingdom,235.700000,0.1882437505,1252.100000,pre-2012 TIC classification
2000-03-01,2000M03-2001M12,Mainland China,59.400000,0.0474403003,1252.100000,pre-2012 TIC classification
2000-03-01,2000M03-2001M12,Japan,325.800000,0.2602028592,1252.100000,pre-2012 TIC classification
2000-04-01,2000M03-2001M12,All other foreign,250.000000,0.2295894940,1088.900000,pre-2012 TIC classification
2000-04-01,2000M03-2001M12,EU-27 (identifiable),165.400000,0.1518964092,1088.900000,pre-2012 TIC classification
2000-04-01,2000M03-2001M12,Middle East (reported/bridge),43.600000,0.0400404078,1088.900000,pre-2012 TIC classification
2000-04-01,2000M03-2001M12,Four Asian dragons,140.500000,0.1290292956,1088.900000,pre-2012 TIC classification
2000-04-01,2000M03-2001M12,Canada,17.600000,0.0161631004,1088.900000,pre-2012 TIC classification
2000-04-01,2000M03-2001M12,United Kingdom,77.700000,0.0713564147,1088.900000,pre-2012 TIC classification
2000-04-01,2000M03-2001M12,Mainland China,71.700000,0.0658462669,1088.900000,pre-2012 TIC classification
2000-04-01,2000M03-2001M12,Japan,322.400000,0.2960786114,1088.900000,pre-2012 TIC classification
2000-05-01,2000M03-2001M12,All other foreign,244.500000,0.2280358142,1072.200000,pre-2012 TIC classification
