date,AHP_period,foreign_group,value_usd_billions,share_of_foreign_total,foreign_total_usd_billions
2000-03-01,2000M03-2001M12,All other foreign,631.200000,0.5041130900,1252.100000
2000-03-01,2000M03-2001M12,United Kingdom,235.700000,0.1882437505,1252.100000
2000-03-01,2000M03-2001M12,Mainland China,59.400000,0.0474403003,1252.100000
2000-03-01,2000M03-2001M12,Japan,325.800000,0.2602028592,1252.100000
2000-04-01,2000M03-2001M12,All other foreign,617.100000,0.5667187070,1088.900000
2000-04-01,2000M03-2001M12,United Kingdom,77.700000,0.0713564147,1088.900000
2000-04-01,2000M03-2001M12,Mainland China,71.700000,0.0658462669,1088.900000
2000-04-01,2000M03-2001M12,Japan,322.400000,0.2960786114,1088.900000
2000-05-01,2000M03-2001M12,All other foreign,602.800000,0.5622085432,1072.200000
2000-05-01,2000M03-2001M12,United Kingdom,77.500000,0.0722812908,1072.200000
2000-05-01,2000M03-2001M12,Mainland China,72.500000,0.0676179817,1072.200000
2000-05-01,2000M03-2001M12,Japan,319.400000,0.2978921843,1072.200000
2000-06-01,2000M03-2001M12,All other foreign,606.300000,0.5716036580,1060.700000
2000-06-01,2000M03-2001M12,United Kingdom,68.100000,0.0642028849,1060.700000
2000-06-01,2000M03-2001M12,Mainland China,67.500000,0.0636372207,1060.700000
2000-06-01,2000M03-2001M12,Japan,318.800000,0.3005562364,1060.700000
2000-07-01,2000M03-2001M12,All other foreign,606.800000,0.5746756322,1055.900000
2000-07-01,2000M03-2001M12,United Kingdom,63.100000,0.0597594469,1055.900000
2000-07-01,2000M03-2001M12,Mainland China,66.400000,0.0628847429,1055.900000
2000-07-01,2000M03-2001M12,Japan,319.600000,0.3026801780,1055.900000
2000-08-01,2000M03-2001M12,All other foreign,607.100000,0.5760508587,1053.900000
2000-08-01,2000M03-2001M12,United Kingdom,66.400000,0.0630040801,1053.900000
2000-08-01,2000M03-2001M12,Mainland China,62.600000,0.0593984249,1053.900000
2000-08-01,2000M03-2001M12,Japan,317.800000,0.3015466363,1053.900000
2000-09-01,2000M03-2001M12,All other foreign,595.100000,0.5728725452,1038.800000
2000-09-01,2000M03-2001M12,United Kingdom,64.300000,0.0618983442,1038.800000
2000-09-01,2000M03-2001M12,Mainland China,62.100000,0.0597805160,1038.800000
2000-09-01,2000M03-2001M12,Japan,317.300000,0.3054485945,1038.800000
2000-10-01,2000M03-2001M12,All other foreign,597.600000,0.5772797527,1035.200000
2000-10-01,2000M03-2001M12,United Kingdom,60.400000,0.0583462133,1035.200000
2000-10-01,2000M03-2001M12,Mainland China,59.500000,0.0574768161,1035.200000
2000-10-01,2000M03-2001M12,Japan,317.700000,0.3068972179,1035.200000
2000-11-01,2000M03-2001M12,All other foreign,585.900000,0.5738491675,1021.000000
2000-11-01,2000M03-2001M12,United Kingdom,54.500000,0.0533790402,1021.000000
2000-11-01,2000M03-2001M12,Mainland China,58.900000,0.0576885406,1021.000000
2000-11-01,2000M03-2001M12,Japan,321.700000,0.3150832517,1021.000000
2000-12-01,2000M03-2001M12,All other foreign,587.000000,0.5782111899,1015.200000
2000-12-01,2000M03-2001M12,United Kingdom,50.200000,0.0494483846,1015.200000
2000-12-01,2000M03-2001M12,Mainland China,60.300000,0.0593971631,1015.200000
2000-12-01,2000M03-2001M12,Japan,317.700000,0.3129432624,1015.200000
2001-01-01,2000M03-2001M12,All other foreign,589.200000,0.5829046300,1010.800000
2001-01-01,2000M03-2001M12,United Kingdom,47.800000,0.0472892758,1010.800000
2001-01-01,2000M03-2001M12,Mainland China,61.500000,0.0608428967,1010.800000
2001-01-01,2000M03-2001M12,Japan,312.300000,0.3089631975,1010.800000
2001-02-01,2000M03-2001M12,All other foreign,590.800000,0.5818396691,1015.400000
2001-02-01,2000M03-2001M12,United Kingdom,48.400000,0.0476659445,1015.400000
2001-02-01,2000M03-2001M12,Mainland China,63.700000,0.0627338980,1015.400000
