date,AHP_period,foreign_group,value_usd_billions,share_of_foreign_total,foreign_total_usd_billions,classification
2000-03-01,2000M03-2001M12,All other foreign,498.500000,0.3981311397,1252.100000,Stable panel of economies reported in every month
2000-03-01,2000M03-2001M12,South Korea,27.100000,0.0216436387,1252.100000,Stable panel of economies reported in every month
2000-03-01,2000M03-2001M12,Singapore,30.900000,0.0246785401,1252.100000,Stable panel of economies reported in every month
2000-03-01,2000M03-2001M12,Taiwan,29.400000,0.0234805527,1252.100000,Stable panel of economies reported in every month
2000-03-01,2000M03-2001M12,Hong Kong,45.300000,0.0361792189,1252.100000,Stable panel of economies reported in every month
2000-03-01,2000M03-2001M12,United Kingdom,235.700000,0.1882437505,1252.100000,Stable panel of economies reported in every month
2000-03-01,2000M03-2001M12,Mainland China,59.400000,0.0474403003,1252.100000,Stable panel of economies reported in every month
2000-03-01,2000M03-2001M12,Japan,325.800000,0.2602028592,1252.100000,Stable panel of economies reported in every month
2000-04-01,2000M03-2001M12,All other foreign,476.600000,0.4376894113,1088.900000,Stable panel of economies reported in every month
2000-04-01,2000M03-2001M12,South Korea,25.000000,0.0229589494,1088.900000,Stable panel of economies reported in every month
2000-04-01,2000M03-2001M12,Singapore,33.200000,0.0304894848,1088.900000,Stable panel of economies reported in every month
2000-04-01,2000M03-2001M12,Taiwan,44.000000,0.0404077509,1088.900000,Stable panel of economies reported in every month
2000-04-01,2000M03-2001M12,Hong Kong,38.300000,0.0351731105,1088.900000,Stable panel of economies reported in every month
2000-04-01,2000M03-2001M12,United Kingdom,77.700000,0.0713564147,1088.900000,Stable panel of economies reported in every month
2000-04-01,2000M03-2001M12,Mainland China,71.700000,0.0658462669,1088.900000,Stable panel of economies reported in every month
2000-04-01,2000M03-2001M12,Japan,322.400000,0.2960786114,1088.900000,Stable panel of economies reported in every month
2000-05-01,2000M03-2001M12,All other foreign,463.500000,0.4322887521,1072.200000,Stable panel of economies reported in every month
2000-05-01,2000M03-2001M12,South Korea,25.800000,0.0240626749,1072.200000,Stable panel of economies reported in every month
2000-05-01,2000M03-2001M12,Singapore,32.800000,0.0305913076,1072.200000,Stable panel of economies reported in every month
2000-05-01,2000M03-2001M12,Taiwan,42.100000,0.0392650625,1072.200000,Stable panel of economies reported in every month
2000-05-01,2000M03-2001M12,Hong Kong,38.600000,0.0360007461,1072.200000,Stable panel of economies reported in every month
2000-05-01,2000M03-2001M12,United Kingdom,77.500000,0.0722812908,1072.200000,Stable panel of economies reported in every month
2000-05-01,2000M03-2001M12,Mainland China,72.500000,0.0676179817,1072.200000,Stable panel of economies reported in every month
2000-05-01,2000M03-2001M12,Japan,319.400000,0.2978921843,1072.200000,Stable panel of economies reported in every month
2000-06-01,2000M03-2001M12,All other foreign,462.900000,0.4364099180,1060.700000,Stable panel of economies reported in every month
2000-06-01,2000M03-2001M12,South Korea,28.900000,0.0272461582,1060.700000,Stable panel of economies reported in every month
2000-06-01,2000M03-2001M12,Singapore,34.000000,0.0320543038,1060.700000,Stable panel of economies reported in every month
2000-06-01,2000M03-2001M12,Taiwan,41.900000,0.0395022155,1060.700000,Stable panel of economies reported in every month
2000-06-01,2000M03-2001M12,Hong Kong,38.600000,0.0363910625,1060.700000,Stable panel of economies reported in every month
2000-06-01,2000M03-2001M12,United Kingdom,68.100000,0.0642028849,1060.700000,Stable panel of economies reported in every month
2000-06-01,2000M03-2001M12,Mainland China,67.500000,0.0636372207,1060.700000,Stable panel of economies reported in every month
2000-06-01,2000M03-2001M12,Japan,318.800000,0.3005562364,1060.700000,Stable panel of economies reported in every month
2000-07-01,2000M03-2001M12,All other foreign,464.800000,0.4401932001,1055.900000,Stable panel of economies reported in every month
2000-07-01,2000M03-2001M12,South Korea,28.100000,0.0266123686,1055.900000,Stable panel of economies reported in every month
2000-07-01,2000M03-2001M12,Singapore,34.500000,0.0326735486,1055.900000,Stable panel of economies reported in every month
