foreign_group,component,coverage_note
All other foreign,Residual,TIC Grand Total less all displayed groups
Canada & other advanced,Canada,Included when separately reported; otherwise remains in residual
Canada & other advanced,Australia,Included when separately reported; otherwise remains in residual
Canada & other advanced,Norway,Included when separately reported; otherwise remains in residual
Canada & other advanced,Israel,Included when separately reported; otherwise remains in residual
Commodity exporters,Oil Exporters (historical bridge),Included when separately reported; otherwise remains in residual
Commodity exporters,Saudi Arabia,Included when separately reported; otherwise remains in residual
Commodity exporters,United Arab Emirates,Included when separately reported; otherwise remains in residual
Commodity exporters,Kuwait,Included when separately reported; otherwise remains in residual
Commodity exporters,Iraq,Included when separately reported; otherwise remains in residual
Commodity exporters,Oman,Included when separately reported; otherwise remains in residual
Core EU-27 (identifiable),Austria,Included when separately reported; otherwise remains in residual
Core EU-27 (identifiable),Bulgaria,Included when separately reported; otherwise remains in residual
Core EU-27 (identifiable),Croatia,Included when separately reported; otherwise remains in residual
Core EU-27 (identifiable),Cyprus,Included when separately reported; otherwise remains in residual
Core EU-27 (identifiable),Czechia,Included when separately reported; otherwise remains in residual
Core EU-27 (identifiable),Denmark,Included when separately reported; otherwise remains in residual
Core EU-27 (identifiable),Estonia,Included when separately reported; otherwise remains in residual
Core EU-27 (identifiable),Finland,Included when separately reported; otherwise remains in residual
Core EU-27 (identifiable),France,Included when separately reported; otherwise remains in residual
Core EU-27 (identifiable),Germany,Included when separately reported; otherwise remains in residual
Core EU-27 (identifiable),Greece,Included when separately reported; otherwise remains in residual
Core EU-27 (identifiable),Hungary,Included when separately reported; otherwise remains in residual
Core EU-27 (identifiable),Italy,Included when separately reported; otherwise remains in residual
Core EU-27 (identifiable),Latvia,Included when separately reported; otherwise remains in residual
Core EU-27 (identifiable),Lithuania,Included when separately reported; otherwise remains in residual
Core EU-27 (identifiable),Malta,Included when separately reported; otherwise remains in residual
Core EU-27 (identifiable),Poland,Included when separately reported; otherwise remains in residual
Core EU-27 (identifiable),Portugal,Included when separately reported; otherwise remains in residual
Core EU-27 (identifiable),Romania,Included when separately reported; otherwise remains in residual
Core EU-27 (identifiable),Slovakia,Included when separately reported; otherwise remains in residual
Core EU-27 (identifiable),Slovenia,Included when separately reported; otherwise remains in residual
Core EU-27 (identifiable),Spain,Included when separately reported; otherwise remains in residual
Core EU-27 (identifiable),Sweden,Included when separately reported; otherwise remains in residual
Financial/offshore centres,Belgium-Luxembourg (historical),Included when separately reported; otherwise remains in residual
Financial/offshore centres,Belgium,Included when separately reported; otherwise remains in residual
Financial/offshore centres,Luxembourg,Included when separately reported; otherwise remains in residual
Financial/offshore centres,Ireland,Included when separately reported; otherwise remains in residual
Financial/offshore centres,Netherlands,Included when separately reported; otherwise remains in residual
Financial/offshore centres,Switzerland,Included when separately reported; otherwise remains in residual
Financial/offshore centres,Carib Bnkng Ctrs (historical),Included when separately reported; otherwise remains in residual
Financial/offshore centres,Cayman Islands,Included when separately reported; otherwise remains in residual
Financial/offshore centres,Bahamas,Included when separately reported; otherwise remains in residual
Financial/offshore centres,Bermuda,Included when separately reported; otherwise remains in residual
Financial/offshore centres,Hong Kong,Included when separately reported; otherwise remains in residual
Financial/offshore centres,Singapore,Included when separately reported; otherwise remains in residual
Other East Asian exporters,Taiwan,Included when separately reported; otherwise remains in residual
Other East Asian exporters,"Korea, South",Included when separately reported; otherwise remains in residual
United Kingdom,United Kingdom,Included when separately reported; otherwise remains in residual
Mainland China,"China, Mainland",Included when separately reported; otherwise remains in residual
Japan,Japan,Included when separately reported; otherwise remains in residual
