foreign_group,member_or_rule,treatment,applies_to
Japan,Japan,Separately reported economy,Both portfolio assets and portfolio liabilities
Mainland China,Mainland China,Hong Kong and Macau excluded,Both portfolio assets and portfolio liabilities
United Kingdom,United Kingdom,Crown dependencies excluded when separately reported,Both portfolio assets and portfolio liabilities
Other East Asian exporters,South Korea,Separately reported economy,Both portfolio assets and portfolio liabilities
Other East Asian exporters,Taiwan,Separately reported economy,Both portfolio assets and portfolio liabilities
Financial/offshore centres,Bahamas,Separately reported financial or offshore location,Both portfolio assets and portfolio liabilities
Financial/offshore centres,Belgium,Separately reported financial or offshore location,Both portfolio assets and portfolio liabilities
Financial/offshore centres,Bermuda,Separately reported financial or offshore location,Both portfolio assets and portfolio liabilities
Financial/offshore centres,"Bonaire, Sint Eustatius and Saba",Separately reported financial or offshore location,Both portfolio assets and portfolio liabilities
Financial/offshore centres,British Virgin Islands,Separately reported financial or offshore location,Both portfolio assets and portfolio liabilities
Financial/offshore centres,Cayman Islands,Separately reported financial or offshore location,Both portfolio assets and portfolio liabilities
Financial/offshore centres,Curacao,Separately reported financial or offshore location,Both portfolio assets and portfolio liabilities
Financial/offshore centres,Guernsey,Separately reported financial or offshore location,Both portfolio assets and portfolio liabilities
Financial/offshore centres,Hong Kong,Separately reported financial or offshore location,Both portfolio assets and portfolio liabilities
Financial/offshore centres,Ireland,Separately reported financial or offshore location,Both portfolio assets and portfolio liabilities
Financial/offshore centres,Isle of Man,Separately reported financial or offshore location,Both portfolio assets and portfolio liabilities
Financial/offshore centres,Jersey,Separately reported financial or offshore location,Both portfolio assets and portfolio liabilities
Financial/offshore centres,Liechtenstein,Separately reported financial or offshore location,Both portfolio assets and portfolio liabilities
Financial/offshore centres,Luxembourg,Separately reported financial or offshore location,Both portfolio assets and portfolio liabilities
Financial/offshore centres,Netherlands,Separately reported financial or offshore location,Both portfolio assets and portfolio liabilities
Financial/offshore centres,Panama,Separately reported financial or offshore location,Both portfolio assets and portfolio liabilities
Financial/offshore centres,Singapore,Separately reported financial or offshore location,Both portfolio assets and portfolio liabilities
Financial/offshore centres,Sint Maarten,Separately reported financial or offshore location,Both portfolio assets and portfolio liabilities
