survey_date,survey_year,AHP_period,position_side,foreign_group,value_usd_millions,value_usd_billions,share_of_side_total,side_total_usd_millions,side_total_usd_billions,classification,survey_status
1994-12-31,1994,1990Q1-2001Q4,U.S. portfolio equity assets abroad,All other foreign,79285.5,79.2855,0.13994341227844123,566554.0,566.554,Economic-function and location-role grouping,Final historical survey
1994-12-31,1994,1990Q1-2001Q4,U.S. portfolio equity assets abroad,Canada & other advanced,67382.0,67.382,0.11893305845515167,566554.0,566.554,Economic-function and location-role grouping,Final historical survey
1994-12-31,1994,1990Q1-2001Q4,U.S. portfolio equity assets abroad,Commodity exporters,0.25,0.00025,4.4126420429473626e-07,566554.0,566.554,Economic-function and location-role grouping,Final historical survey
1994-12-31,1994,1990Q1-2001Q4,U.S. portfolio equity assets abroad,Core EU-27 (identifiable),98690.25,98.69025,0.17419389855159437,566554.0,566.554,Economic-function and location-role grouping,Final historical survey
1994-12-31,1994,1990Q1-2001Q4,U.S. portfolio equity assets abroad,Financial/offshore centres,116335.0,116.335,0.20533788482651258,566554.0,566.554,Economic-function and location-role grouping,Final historical survey
1994-12-31,1994,1990Q1-2001Q4,U.S. portfolio equity assets abroad,Other East Asian exporters,4820.0,4.82,0.008507573858802514,566554.0,566.554,Economic-function and location-role grouping,Final historical survey
1994-12-31,1994,1990Q1-2001Q4,U.S. portfolio equity assets abroad,United Kingdom,99729.0,99.729,0.176027351320439,566554.0,566.554,Economic-function and location-role grouping,Final historical survey
1994-12-31,1994,1990Q1-2001Q4,U.S. portfolio equity assets abroad,Mainland China,899.0,0.899,0.0015867860786438715,566554.0,566.554,Economic-function and location-role grouping,Final historical survey
1994-12-31,1994,1990Q1-2001Q4,U.S. portfolio equity assets abroad,Japan,99413.0,99.413,0.17546959336621046,566554.0,566.554,Economic-function and location-role grouping,Final historical survey
1997-12-31,1997,1990Q1-2001Q4,U.S. portfolio equity assets abroad,All other foreign,137175.0,137.175,0.1135754897179718,1207787.0,1207.787,Economic-function and location-role grouping,Final historical survey
