survey_date,survey_year,AHP_period,position_side,foreign_group,value_usd_millions,value_usd_billions,share_of_side_total,side_total_usd_millions,side_total_usd_billions,classification,survey_status
1994-12-31,1994,1990Q1-2001Q4,U.S. portfolio equity assets abroad,All other foreign,297679.0,297.679,0.5254203482810111,566554.0,566.554,Stable panel of separately reported economies,Final historical survey
1994-12-31,1994,1990Q1-2001Q4,U.S. portfolio equity assets abroad,South Korea,4352.0,4.352,0.007681527268362768,566554.0,566.554,Stable panel of separately reported economies,Final historical survey
1994-12-31,1994,1990Q1-2001Q4,U.S. portfolio equity assets abroad,Singapore,6832.0,6.832,0.012058868174966552,566554.0,566.554,Stable panel of separately reported economies,Final historical survey
1994-12-31,1994,1990Q1-2001Q4,U.S. portfolio equity assets abroad,Taiwan,468.0,0.468,0.0008260465904397462,566554.0,566.554,Stable panel of separately reported economies,Final historical survey
1994-12-31,1994,1990Q1-2001Q4,U.S. portfolio equity assets abroad,Hong Kong,17527.0,17.527,0.030936150834695367,566554.0,566.554,Stable panel of separately reported economies,Final historical survey
1994-12-31,1994,1990Q1-2001Q4,U.S. portfolio equity assets abroad,Canada,39655.0,39.655,0.06999332808523107,566554.0,566.554,Stable panel of separately reported economies,Final historical survey
1994-12-31,1994,1990Q1-2001Q4,U.S. portfolio equity assets abroad,United Kingdom,99729.0,99.729,0.176027351320439,566554.0,566.554,Stable panel of separately reported economies,Final historical survey
1994-12-31,1994,1990Q1-2001Q4,U.S. portfolio equity assets abroad,Mainland China,899.0,0.899,0.0015867860786438715,566554.0,566.554,Stable panel of separately reported economies,Final historical survey
1994-12-31,1994,1990Q1-2001Q4,U.S. portfolio equity assets abroad,Japan,99413.0,99.413,0.17546959336621046,566554.0,566.554,Stable panel of separately reported economies,Final historical survey
1997-12-31,1997,1990Q1-2001Q4,U.S. portfolio equity assets abroad,All other foreign,733150.0,733.15,0.607019284029386,1207787.0,1207.787,Stable panel of separately reported economies,Final historical survey
1997-12-31,1997,1990Q1-2001Q4,U.S. portfolio equity assets abroad,South Korea,4428.0,4.428,0.003666209356451096,1207787.0,1207.787,Stable panel of separately reported economies,Final historical survey
1997-12-31,1997,1990Q1-2001Q4,U.S. portfolio equity assets abroad,Singapore,10185.0,10.185,0.008432778296173083,1207787.0,1207.787,Stable panel of separately reported economies,Final historical survey
1997-12-31,1997,1990Q1-2001Q4,U.S. portfolio equity assets abroad,Taiwan,4939.0,4.939,0.004089297202238474,1207787.0,1207.787,Stable panel of separately reported economies,Final historical survey
1997-12-31,1997,1990Q1-2001Q4,U.S. portfolio equity assets abroad,Hong Kong,28102.0,28.102,0.02326734763662798,1207787.0,1207.787,Stable panel of separately reported economies,Final historical survey
1997-12-31,1997,1990Q1-2001Q4,U.S. portfolio equity assets abroad,Canada,70798.0,70.798,0.058617951675254,1207787.0,1207.787,Stable panel of separately reported economies,Final historical survey
1997-12-31,1997,1990Q1-2001Q4,U.S. portfolio equity assets abroad,United Kingdom,217525.0,217.525,0.18010212065538045,1207787.0,1207.787,Stable panel of separately reported economies,Final historical survey
1997-12-31,1997,1990Q1-2001Q4,U.S. portfolio equity assets abroad,Mainland China,2256.0,2.256,0.0018678790217149216,1207787.0,1207.787,Stable panel of separately reported economies,Final historical survey
1997-12-31,1997,1990Q1-2001Q4,U.S. portfolio equity assets abroad,Japan,136404.0,136.404,0.112937132126774,1207787.0,1207.787,Stable panel of separately reported economies,Final historical survey
