date,quarter,AHP_period,us_equity_assets_abroad_usd_millions,us_equity_assets_abroad_usd_billions,us_equity_liabilities_to_foreigners_usd_millions,us_equity_liabilities_to_foreigners_usd_billions,net_foreign_equity_position_usd_millions,net_foreign_equity_position_usd_billions,gross_cross_border_equity_usd_millions,gross_cross_border_equity_usd_billions,asset_share_of_gross,liability_share_of_gross,corporate_gva_usd_billions_saar,equity_assets_over_corporate_gva,equity_liabilities_over_corporate_gva,net_equity_position_over_corporate_gva
1990-01-01,1990Q1,1990Q1-2001Q4,997288.0,997.288,697278.0,697.278,300010.0,300.01,1694566.0,1694.566,0.5885211906765508,0.4114788093234492,3417.006,0.2918601840324541,0.20406109910254766,0.08779908492990647
1990-04-01,1990Q2,1990Q1-2001Q4,1032697.0,1032.697,717765.0,717.765,314932.0,314.932,1750462.0,1750.462,0.589956822827345,0.410043177172655,3479.03,0.29683474991592484,0.20631181679951022,0.09052293311641463
1990-07-01,1990Q3,1990Q1-2001Q4,1022877.0,1022.877,687119.0,687.119,335758.0,335.758,1709996.0,1709.996,0.5981750834504876,0.4018249165495124,3488.724,0.29319516247200983,0.19695424458913918,0.09624091788287065
1990-10-01,1990Q4,1990Q1-2001Q4,922657.0,922.657,665185.0,665.185,257472.0,257.472,1587842.0,1587.842,0.5810760768388794,0.41892392316112054,3484.564,0.2647840590673611,0.19089475756507845,0.07388930150228264
1991-01-01,1991Q1,1990Q1-2001Q4,959442.0,959.442,708348.0,708.348,251094.0,251.094,1667790.0,1667.79,0.5752774629899448,0.42472253701005525,3510.36,0.2733172666051345,0.20178785081871944,0.07152941578641507
1991-04-01,1991Q2,1990Q1-2001Q4,971325.0,971.325,713661.0,713.661,257664.0,257.664,1684986.0,1684.986,0.5764587955033454,0.42354120449665456,3540.54,0.27434374417461743,0.20156840481960378,0.07277533935501364
1991-07-01,1991Q3,1990Q1-2001Q4,1017018.0,1017.018,727471.0,727.471,289547.0,289.547,1744489.0,1744.489,0.5829890586870998,0.41701094131290023,3570.536,0.2848362262696693,0.20374279940042617,0.08109342686924316
1991-10-01,1991Q4,1990Q1-2001Q4,1104861.0,1104.861,854216.0,854.216,250645.0,250.645,1959077.0,1959.077,0.5639701757511317,0.4360298242488682,3597.336,0.30713311183609204,0.23745794109863522,0.06967517073745683
1992-01-01,1992Q1,1990Q1-2001Q4,1096911.0,1096.911,848905.0,848.905,248006.0,248.006,1945816.0,1945.816,0.5637280195044135,0.4362719804955864,3677.471,0.29827862680630246,0.2308393458439237,0.06743928096237876
1992-04-01,1992Q2,1990Q1-2001Q4,1122967.0,1122.967,856789.0,856.789,266178.0,266.178,1979756.0,1979.756,0.5672249509535519,0.43277504904644815,3724.068,0.30154309749446034,0.23006803312936283,0.07147506436509753
1992-07-01,1992Q3,1990Q1-2001Q4,1153758.0,1153.758,870080.0,870.08,283678.0,283.678,2023838.0,2023.838,0.5700841668157234,0.4299158331842766,3745.789,0.3080146799512733,0.2322821707255801,0.07573250922569318
1992-10-01,1992Q4,1990Q1-2001Q4,1100334.0,1100.334,909985.0,909.985,190349.0,190.349,2010319.0,2010.319,0.5473429838746985,0.4526570161253015,3822.117,0.2878860066293104,0.23808402516197175,0.04980198146733865
1993-01-01,1993Q1,1990Q1-2001Q4,1163770.0,1163.77,931095.0,931.095,232675.0,232.675,2094865.0,2094.865,0.5555346048552054,0.44446539514479455,3799.825,0.30626936766824786,0.2450362845657366,0.0612330831025113
1993-04-01,1993Q2,1990Q1-2001Q4,1241646.0,1241.646,935463.0,935.463,306183.0,306.183,2177109.0,2177.109,0.570318711649256,0.42968128835074404,3893.006,0.3189427398776164,0.2402932335578214,0.07864950631979503
