date,quarter,ahp_period,us_equity_capitalization_usd_millions,foreign_holdings_usd_millions,domestic_holdings_usd_millions,us_equity_capitalization_usd_trillions,domestic_holdings_usd_trillions,foreign_holdings_usd_trillions,domestic_share_percent,foreign_share_percent,accounting_residual_usd_millions,total_source_series,foreign_source_series,source_vintage_date
1990-01-01,1990Q1,1990Q1-2001Q4,3450376,260910,3189466,3.450376,3.189466,0.260910,92.438215,7.561785,0,BOGZ1LM883164105Q,BOGZ1LM263064105Q,2026-09-04
1990-04-01,1990Q2,1990Q1-2001Q4,3588635,269743,3318892,3.588635,3.318892,0.269743,92.483409,7.516591,0,BOGZ1LM883164105Q,BOGZ1LM263064105Q,2026-09-04
1990-07-01,1990Q3,1990Q1-2001Q4,3010696,230043,2780653,3.010696,2.780653,0.230043,92.359142,7.640858,0,BOGZ1LM883164105Q,BOGZ1LM263064105Q,2026-09-04
1990-10-01,1990Q4,1990Q1-2001Q4,3333710,242615,3091095,3.333710,3.091095,0.242615,92.722372,7.277628,0,BOGZ1LM883164105Q,BOGZ1LM263064105Q,2026-09-04
1991-01-01,1991Q1,1990Q1-2001Q4,3852473,276092,3576381,3.852473,3.576381,0.276092,92.833383,7.166617,0,BOGZ1LM883164105Q,BOGZ1LM263064105Q,2026-09-04
1991-04-01,1991Q2,1990Q1-2001Q4,3824240,276334,3547906,3.824240,3.547906,0.276334,92.774146,7.225854,0,BOGZ1LM883164105Q,BOGZ1LM263064105Q,2026-09-04
1991-07-01,1991Q3,1990Q1-2001Q4,4047899,282180,3765719,4.047899,3.765719,0.282180,93.028976,6.971024,0,BOGZ1LM883164105Q,BOGZ1LM263064105Q,2026-09-04
1991-10-01,1991Q4,1990Q1-2001Q4,4568797,291200,4277597,4.568797,4.277597,0.291200,93.626331,6.373669,0,BOGZ1LM883164105Q,BOGZ1LM263064105Q,2026-09-04
1992-01-01,1992Q1,1990Q1-2001Q4,4501369,279172,4222197,4.501369,4.222197,0.279172,93.798065,6.201935,0,BOGZ1LM883164105Q,BOGZ1LM263064105Q,2026-09-04
1992-04-01,1992Q2,1990Q1-2001Q4,4484320,280355,4203965,4.484320,4.203965,0.280355,93.748105,6.251895,0,BOGZ1LM883164105Q,BOGZ1LM263064105Q,2026-09-04
1992-07-01,1992Q3,1990Q1-2001Q4,4604121,285368,4318753,4.604121,4.318753,0.285368,93.801901,6.198099,0,BOGZ1LM883164105Q,BOGZ1LM263064105Q,2026-09-04
1992-10-01,1992Q4,1990Q1-2001Q4,5107703,308847,4798856,5.107703,4.798856,0.308847,93.953309,6.046691,0,BOGZ1LM883164105Q,BOGZ1LM263064105Q,2026-09-04
1993-01-01,1993Q1,1990Q1-2001Q4,5304972,323329,4981643,5.304972,4.981643,0.323329,93.905170,6.094830,0,BOGZ1LM883164105Q,BOGZ1LM263064105Q,2026-09-04
1993-04-01,1993Q2,1990Q1-2001Q4,5331916,320431,5011485,5.331916,5.011485,0.320431,93.990322,6.009678,0,BOGZ1LM883164105Q,BOGZ1LM263064105Q,2026-09-04
1993-07-01,1993Q3,1990Q1-2001Q4,5533278,327673,5205605,5.533278,5.205605,0.327673,94.078140,5.921860,0,BOGZ1LM883164105Q,BOGZ1LM263064105Q,2026-09-04
1993-10-01,1993Q4,1990Q1-2001Q4,5753004,340997,5412007,5.753004,5.412007,0.340997,94.072714,5.927286,0,BOGZ1LM883164105Q,BOGZ1LM263064105Q,2026-09-04
1994-01-01,1994Q1,1990Q1-2001Q4,5509287,330689,5178598,5.509287,5.178598,0.330689,93.997608,6.002392,0,BOGZ1LM883164105Q,BOGZ1LM263064105Q,2026-09-04
1994-04-01,1994Q2,1990Q1-2001Q4,5434452,328840,5105612,5.434452,5.105612,0.328840,93.948976,6.051024,0,BOGZ1LM883164105Q,BOGZ1LM263064105Q,2026-09-04
1994-07-01,1994Q3,1990Q1-2001Q4,5683732,351444,5332288,5.683732,5.332288,0.351444,93.816668,6.183332,0,BOGZ1LM883164105Q,BOGZ1LM263064105Q,2026-09-04
1994-10-01,1994Q4,1990Q1-2001Q4,5690731,352812,5337919,5.690731,5.337919,0.352812,93.800234,6.199766,0,BOGZ1LM883164105Q,BOGZ1LM263064105Q,2026-09-04
1995-01-01,1995Q1,1990Q1-2001Q4,6155864,377573,5778291,6.155864,5.778291,0.377573,93.866450,6.133550,0,BOGZ1LM883164105Q,BOGZ1LM263064105Q,2026-09-04
1995-04-01,1995Q2,1990Q1-2001Q4,6678120,412156,6265964,6.678120,6.265964,0.412156,93.828263,6.171737,0,BOGZ1LM883164105Q,BOGZ1LM263064105Q,2026-09-04
1995-07-01,1995Q3,1990Q1-2001Q4,7228248,448511,6779737,7.228248,6.779737,0.448511,93.795025,6.204975,0,BOGZ1LM883164105Q,BOGZ1LM263064105Q,2026-09-04
