date,fa_us_musd,fl_us_musd,nfa_us_musd,gva_corporate_saar_musd,delta_fa_musd,delta_fl_musd,delta_nfa_musd,gain_us_held_row_equity_musd,gain_foreign_held_us_equity_musd,net_equity_valuation_musd,purchase_us_of_row_equity_musd,purchase_row_of_us_equity_musd,net_equity_purchases_musd,current_account_us_musd,net_financial_transactions_us_musd,delta_bond_ca_closing_musd,delta_bond_financial_account_musd,statistical_discrepancy_ca_minus_nft_musd,total_valuation_us_musd,non_equity_valuation_musd,ahp_residual_musd,gross_position_identity_error_musd,delta_position_identity_error_musd,simplified_rhs_musd,simplified_identity_gap_musd,exact_ahp_identity_error_musd,fa_us_over_gva,fl_us_over_gva,nfa_us_over_gva,delta_fa_over_gva,delta_fl_over_gva,delta_nfa_over_gva,gain_us_held_row_equity_over_gva,gain_foreign_held_us_equity_over_gva,net_equity_valuation_over_gva,purchase_us_of_row_equity_over_gva,purchase_row_of_us_equity_over_gva,net_equity_purchases_over_gva,delta_bond_ca_closing_over_gva,delta_bond_financial_account_over_gva,current_account_us_over_gva,net_financial_transactions_us_over_gva,total_valuation_us_over_gva,non_equity_valuation_over_gva,ahp_residual_over_gva,simplified_rhs_over_gva,simplified_identity_gap_over_gva,cum_delta_nfa_over_gva,cum_gain_us_held_row_equity_over_gva,cum_gain_foreign_held_us_equity_over_gva,cum_net_equity_valuation_over_gva,cum_purchase_us_of_row_equity_over_gva,cum_purchase_row_of_us_equity_over_gva,cum_net_equity_purchases_over_gva,cum_delta_bond_ca_closing_over_gva,cum_current_account_us_over_gva,cum_total_valuation_us_over_gva,cum_non_equity_valuation_over_gva,cum_ahp_residual_over_gva,cum_simplified_rhs_over_gva,cum_simplified_identity_gap_over_gva,nfa_simple_reconstruction_over_gva,nfa_exact_reconstruction_over_gva,quarter
1990-01-01,2081889.0,2104506.0,-22617.0,3417006.0,-61824.0,-2116.0,-59708.0,-34488.0,-11191.0,-23297.0,10503.0,9501.0,1002.0,-22717.25,-34992.0,-23719.25,-35994.0,12274.75,-24716.0,-1419.0,-12274.75,0.0,0.0,-46014.25,-13693.75,0.0,0.6092728546569717,0.6158918070380912,-0.0066189523811196116,-0.01809303232127775,-0.000619255570519923,-0.017473776750757827,-0.010093046368663093,-0.003275089361856549,-0.0068179570068065435,0.003073743505279183,0.002780504336252263,0.00029323916902692005,-0.006941530099742289,-0.010533783083787386,-0.006648290930715369,-0.010240543914760467,-0.007233232835997362,-0.00041527582919081795,-0.003592252984045097,-0.013466247937521913,-0.004007528813235915,-0.017473776750757827,-0.010093046368663093,-0.003275089361856549,-0.0068179570068065435,0.003073743505279183,0.002780504336252263,0.00029323916902692005,-0.006941530099742289,-0.006648290930715369,-0.007233232835997362,-0.00041527582919081795,-0.003592252984045097,-0.013466247937521913,-0.004007528813235915,-0.002611423567883697,-0.0066189523811196116,1990Q1
1990-04-01,2145363.0,2155934.0,-10571.0,3479030.0,63474.0,51428.0,12046.0,21883.0,12865.0,9018.0,13526.0,7622.0,5904.0,-18253.75,1784.0,-24157.75,-4120.0,-20037.75,10262.0,1244.0,20037.75,0.0,0.0,-9235.75,21281.75,0.0,0.616655504551556,0.6196939951653191,-0.0030384906137630317,0.018244740631727808,0.0147822812680546,0.0034624593636732076,0.006289971630023311,0.003697869808538587,0.0025921018214847243,0.0038878652957864694,0.0021908405503832966,0.0016970247454031727,-0.006943817673316988,-0.0011842381353423224,-0.005246792927913815,0.0005127866100608502,0.0029496727536123574,0.00035757093212763325,0.005759579537974666,-0.002654691106429091,0.006117150470102298,-0.013699795632690722,-0.0036231363339781493,0.00048116860159297273,-0.004104304935571122,0.00690681023158754,0.0049217741726860645,0.001985036058901475,-0.01376159446742339,-0.011776558408521915,-0.004154606312679109,-5.0301377107986993e-05,0.0022313690885103032,-0.015880863344093037,0.002181067711402316,-0.005219558325165348,-0.0030384906137630317,1990Q2
1990-07-01,2165350.0,2184204.0,-18854.0,3488724.0,19987.0,28270.0,-8283.0,-24808.0,-36858.0,12050.0,14988.0,6212.0,8776.0,-20633.25,-24464.0,-29409.25,-33240.0,3830.75,16181.0,4131.0,-3830.75,0.0,0.0,-8583.25,300.25,0.0,0.6206710533708026,0.6260753215215649,-0.005404268150762285,0.0057290287222491664,0.008103249210886272,-0.0023742204886371063,-0.0071109093181346535,-0.010564894213471746,0.0034539848953370916,0.004296126606747911,0.001780593707040167,0.002515532899707744,-0.008429801268314718,-0.009527838831618667,-0.005914268368606975,-0.0070123059319109225,0.004638085443273816,0.0011841005479367242,-0.0010980375633039472,-0.002460283473269883,8.606298463277691e-05,-0.01603594896013557,-0.010723978165082707,-0.010085062618883008,-0.0006389155461996994,0.011183745117125918,0.006688691911426642,0.004495053205699276,-0.02215315685620301,-0.017658103650503736,0.0004950233953732081,0.0011339389415729074,0.001127131294994961,-0.018297019196703436,0.002261070236567868,-0.007665338387330153,-0.005404268150762285,1990Q3
1990-10-01,2101724.0,2186281.0,-84557.0,3484564.0,-63626.0,2077.0,-65703.0,-106284.0,-24803.0,-81481.0,6064.0,2869.0,3195.0,-20666.25,-5248.0,-23861.25,-8443.0,-15418.25,-59476.0,22005.0,14439.25,0.0,0.0,-102147.25,36444.25,0.0,0.6031526469308642,0.6274188105025478,-0.024266163571683572,-0.01825938625320126,0.0005960573546647443,-0.018855443607866007,-0.03050137692979667,-0.007117963682113458,-0.02338341324768321,0.001740246412463654,0.0008233454744983877,0.0009169009379652662,-0.0068477003148744,-0.002422971711812439,-0.005930799376909134,-0.001506070773847173,-0.017068419463668914,0.0063149937840142984,0.004143775232712041,-0.029314212624592346,0.010458769016726339,-0.03491053687060992,-0.04123815777239276,-0.017215066217753497,-0.02402309155463926,0.012937343093712729,0.007520022591061608,0.005417320502651121,-0.029027304420294765,-0.023609983917643643,-0.016572805091253886,0.0074502864633853765,0.005272252138287602,-0.047633075472282904,0.012722538601672979,-0.03698870217335655,-0.024266163571683572,1990Q4
1991-01-01,2149310.0,2224903.0,-75593.0,3510360.0,47586.0,38622.0,8964.0,16462.0,31236.0,-14774.0,20323.0,11927.0,8396.0,10533.0,30513.0,2137.0,22117.0,-19980.0,-20067.0,-5293.0,18498.0,0.0,0.0,-4241.0,13205.0,0.0,0.6122762337765927,0.6338104923711528,-0.021534258594560103,0.013555874611150993,0.011002290363381533,0.0025535842477694597,0.004689547510796614,0.00889823265989813,-0.004208685149101517,0.005789434701853941,0.0033976572203420733,0.0023917774815118676,0.0006087694709374537,0.006300493396688658,0.0030005469524493214,0.008692270878200526,-0.005716507708611083,-0.0015078225595095659,0.00526954500393122,-0.0012081381966521953,0.0037617224444216548,-0.03210041135382126,-0.03624557025490263,-0.008190328057521165,-0.028055242197381466,0.01863170728928087,0.01086241866931027,0.007769288619970601,-0.02820522681434383,-0.020435938194373227,-0.02216752697729008,0.005887715220091387,0.010503053817842044,-0.04849118039175469,0.01639076903793343,-0.03792502763249354,-0.021534258594560103,1991Q1
1991-04-01,2135408.0,2252200.0,-116792.0,3540540.0,-13902.0,27297.0,-41199.0,-5955.0,-7044.0,1089.0,17838.0,12357.0,5481.0,3550.75,-40388.0,-1930.25,-45869.0,43938.75,-811.0,-1900.0,-43938.75,0.0,0.0,4639.75,-45838.75,0.0,0.6031305958978009,0.6361176543691075,-0.03298705847130664,-0.003926519683438119,0.007709840871731431,-0.011636360555169551,-0.0016819468216712704,-0.0019895270213018353,0.00030758019963056485,0.0050382145096510705,0.003490145571014591,0.0015480689386364792,-0.0005451851977381981,-0.012955368390132579,0.001002883740898281,-0.0114072994514961,-0.00022906110367345095,-0.0005366413033040157,-0.01241018319239438,0.001310463940528846,-0.012946824495698396,-0.043463144040174664,-0.0376185553616115,-0.010110039711456445,-0.027508515650155062,0.02351110282612257,0.014259971642743762,0.009251131183378806,-0.02850998717709728,-0.019258855993718474,-0.022207629344676235,0.005300886305478825,-0.0019966587017799546,-0.04676737164387353,0.0033042276036988707,-0.03629128607500551,-0.03298705847130664,1991Q2
1991-07-01,2182384.0,2275430.0,-93046.0,3570536.0,46976.0,23230.0,23746.0,25370.0,6863.0,18507.0,20323.0,6826.0,13497.0,-7259.5,1954.0,-20756.5,-11543.0,-9213.5,21792.0,3285.0,9213.5,0.0,0.0,11247.5,12498.5,0.0,0.6112202761714207,0.6372796689348602,-0.026059392763439437,0.013156568089496928,0.006506025986014425,0.006650542103482503,0.007105375775513816,0.001922120376324451,0.005183255399189365,0.005691862510278569,0.0019117577865060036,0.003780104723772565,-0.00581327285315146,-0.003232847953360504,-0.0020331681293788944,0.0005472567704120614,0.006103285333070441,0.0009200299338810756,0.0025804248997909557,0.003150087269810471,0.003500454833672031,-0.03644746895144035,-0.030197146870945987,-0.008102985098035701,-0.022094161772910285,0.029005449041824533,0.016051931698770158,0.012953517343054376,-0.03408374821035273,-0.021130230867298355,-0.015917778171120528,0.006176383601789759,0.0006005400869785376,-0.04322439264020864,0.006776923688768297,-0.032836316452207734,-0.026059392763439437,1991Q3
1991-10-01,2293391.0,2441895.0,-148504.0,3597336.0,111007.0,166465.0,-55458.0,72960.0,119802.0,-46842.0,14883.0,6805.0,8078.0,-4242.0,1533.0,-12320.0,-6545.0,-5775.0,-51811.0,-4969.0,595.0,0.0,0.0,-51084.0,-4374.0,0.0,0.6375248239252602,0.6788064834644304,-0.041281659539170096,0.030858112781235892,0.04627452092326099,-0.015416408142025098,0.02028167510624529,0.0333029775367105,-0.01302130243046521,0.004137228215546171,0.0018916776192159975,0.0022455505963301734,-0.0034247565420633492,-0.0018194019129711542,-0.0011792059457331758,0.000426148683359019,-0.014402602370198391,-0.0013812999397331803,0.00016540017390646855,-0.014200508376198387,-0.0012158997658267118,-0.051592345001968125,-0.009690504306520159,0.02526035933257277,-0.03495086363909293,0.0329265878972662,0.017824023110435055,0.015102564786831144,-0.037254582279775926,-0.02215201749294478,-0.030201793771835603,0.004749069867257326,0.0007614662628122589,-0.05710288113203771,0.005510536130069585,-0.04679219566923968,-0.041281659539170096,1991Q4
1992-01-01,2290493.0,2612546.0,-322053.0,3677471.0,-2898.0,170651.0,-173549.0,-29172.0,-5770.0,-23402.0,21222.0,535.0,20687.0,-5503.0,-43276.0,-26190.0,-63963.0,37773.0,-27158.0,-3756.0,-140888.0,0.0,0.0,-28905.0,-144644.0,0.0,0.6228446125068016,0.7104191984110819,-0.08757458590428041,-0.0007880415644338188,0.04640444479371829,-0.04719248635815211,-0.00793262543742697,-0.0015690130527201982,-0.006363612384706773,0.0057708136923445485,0.00014548041303384852,0.0056253332793107,-0.00712174208851681,-0.017393203100717857,-0.0014964088092061093,-0.011767869821407158,-0.00738496646200609,-0.001021354077299318,-0.03831111108693991,-0.007860021193912882,-0.03933246516423923,-0.09766059338061402,-0.01741196599510914,0.02314090308258039,-0.040552869077689534,0.03797990521203294,0.017581103970636343,0.020398801241396602,-0.04356451757199445,-0.023165716330597847,-0.036928639274109845,0.003624229803579688,-0.03756623777590632,-0.06371858540828738,-0.03394200797232663,-0.05363257793195378,-0.08757458590428041,1992Q1
1992-04-01,2335905.0,2652995.0,-317090.0,3724068.0,45412.0,40449.0,4963.0,12226.0,5715.0,6511.0,13830.0,2055.0,11775.0,-9951.75,-5038.0,-21726.75,-16813.0,-4913.75,10001.0,3490.0,4913.75,0.0,0.0,-3440.75,8403.75,0.0,0.6272455282771421,0.7123916641693976,-0.08514613589225546,0.012194191942789444,0.010861509510567476,0.001332682432221968,0.00328296905427076,0.0015346121499392599,0.0017483569043314998,0.003713680845784771,0.0005518159174322273,0.0031618649283525436,-0.005834144274486932,-0.004514686627634082,-0.0026722793461343886,-0.0013528216992815384,0.0026855041315035065,0.0009371472271720065,0.0013194576468528502,-0.0009239224418028886,0.0022566048740248566,-0.09510594328567577,-0.013911131590508014,0.02438596717353174,-0.03829709876403976,0.04121836658192063,0.017912938217025037,0.023305428364895592,-0.048853565509544936,-0.025548137144649347,-0.0337810695186017,0.004516029245438053,-0.035776736622424726,-0.0638452359086891,-0.03126070737698667,-0.053885428515268785,-0.08514613589225546,1992Q2
