t,state,n,n_next,phi,G,e,D_agg,d_per,PD,Q_actual,V_rational,B_rational,bubble_share,Q_b_branch,crash_gap_Q,market_actual,V_agg,B_agg,crash_gap_market
0,u,1,1.061339312526815,0.6933034373659253,1.061339312526815,1.686458190185473,0.1101652644379895,0.1101652644379895,7.211849430599321,0.7944952996089383,0.7944952992305176,3.784206224986523e-10,4.763031608681842e-10,0.7944952996089383,0,0.8432290950927364,0.8432290946911037,4.01632683328689e-10,0
1,u,1.061339312526815,1.128471018324084,0.6837406048898589,1.063251879022028,1.850981276169527,0.1190302206258066,0.1121509579650092,7.312714740417428,0.8201279634626585,0.8201279628305863,6.320722046545331e-10,7.706994918035278e-10,0.7992391647634097,0.02088879869924876,0.9254906380847631,0.925490637371488,7.132751644408495e-10,0.02357240393970804
2,u,1.128471018324084,1.202043674946177,0.6740161890406458,1.065196762191871,2.037163724920259,0.1289040090111793,0.1142289052337537,7.418219445317329,0.847375086022342,0.8473750849712971,1.051044950668542e-09,1.240353850385484e-09,0.8041561231355091,0.04321896288683291,1.018581862460129,1.018581861196727,1.263401935035238e-09,0.05195108097585108
3,u,1.202043674946177,1.282788329702631,0.6641359359922223,1.067172812801556,2.248349537852558,0.1399220170198485,0.1164034385240734,7.528579209510739,0.8763525071879,0.8763525054481041,1.739796009115153e-09,1.98526962021017e-09,0.8092512090679376,0.06710129811996246,1.124174768926279,1.124174766694489,2.231790016556129e-09,0.08607676213618491
4,u,1.282788329702631,1.371530060900787,0.6541061017497392,1.069178779650052,2.488463946144678,0.152240156851058,0.1186790940687382,7.644019810585712,0.9071853461638,0.9071853432972585,2.866541422009749e-09,3.159818921382986e-09,0.8145295268788787,0.09265581928492128,1.244231973072339,1.244231969140791,3.931547731103661e-09,0.1270802414666604
5,u,1.371530060900787,1.469201257618306,0.6439334452014471,1.071213310959711,2.762124233517391,0.1660382815976935,0.1210606215139343,7.764777613679948,0.9400088038295782,0.9400087991288825,4.700695729608923e-09,5.000693302507781e-09,0.8199962480826621,0.120012555746916,1.381062116758696,1.381062109852428,6.906268077622429e-09,0.1763225978333561
6,u,1.469201257618306,1.576856915734826,0.633625217926103,1.073274956414779,3.074773339719752,0.1815242138847013,0.1235529938076467,7.891100067584634,0.9749690377858048,0.9749690301144489,7.671355912081266e-09,7.868307212609781e-09,0.8256566085149945,0.1493124292708103,1.537386669859876,1.537386657763245,1.209663062302859e-08,0.2354443367008444
7,u,1.576856915734826,1.695692274465543,0.6231891506930474,1.07536216986139,3.432841229876046,0.1989385037402124,0.1261614175357855,8.023246223782154,1.012224116830995,1.012224104372912,1.245808279267805e-08,1.230763285079692e-08,0.8315159053806018,0.1807082114503928,1.716420614938025,1.71642059381295,2.112507474619628e-08,0.3064255180889169
8,u,1.695692274465543,1.827063172245468,0.6126334366259589,1.077473312674808,3.843940164966539,0.2185600558033259,0.1288913437269819,8.161487279468769,1.051945062261399,1.051945042130486,2.013091299068545e-08,1.913684821848909e-08,0.8375794942425309,0.2143655680188682,1.921970082483269,1.921970045702819,3.678044974895927e-08,0.3916594347247551
9,u,1.827063172245468,1.972509564963713,0.6019667110374443,1.079606657792511,4.317101436410079,0.2407127942508717,0.1317484791481154,8.306107145664045,1.094316984082532,1.094316951717639,3.236489286556106e-08,2.95754277200546e-08,0.8438527859735011,0.2504641981090304,2.158550718205037,2.158550654364977,6.384006074634503e-08,0.4940430264510289
10,u,1.972509564963713,2.133782724960964,0.5911980279796067,1.081760394404079,4.863062902624742,0.2657735680512071,0.1347387981138111,8.45740304156169,1.139540320984112,1.139540269217487,5.176662581661461e-08,4.542763855157728e-08,0.8503412436907852,0.2891990772933272,2.431531451312371,2.431531340853639,1.104587318970105e-07,0.6170879952031522
11,u,2.133782724960964,2.312876727916482,0.5803368335949142,1.083932633281017,5.494618875260628,0.2941815406209751,0.1378685548343995,8.615686116332386,1.187832193765546,1.187832111397562,8.236798439180087e-08,6.934311498216442e-08,0.8570503796969294,0.3307818140686166,2.747309437630313,2.747309247123319,1.905069942251843e-07,0.7650575597773003
12,u,2.312876727916482,2.51206493917582,0.5693929363914407,1.086121412721712,6.227046658105922,0.3264493582554852,0.1411442963281324,8.781282099647701,1.239427882813599,1.239427752446111,1.303674880840487e-07,1.051836011532226e-07,0.8639857524492977,0.3754421303643017,3.11352332905296,3.113523001561364,3.274915960243603e-07,0.9431350123776401
13,u,2.51206493917582,2.73394233406724,0.5583764746061557,1.088324705078769,7.078627482066795,0.3631764527665149,0.1445728759248035,8.954531982255684,1.294582441235336,1.294582235999411,2.052359242147121e-07,1.585344568854717e-07,0.871152963581869,0.4234294776534667,3.539313741033399,3.539313179930217,5.611031816820171e-07,1.157631774448791
14,u,2.73394233406724,2.981474631715739,0.5472978808586477,1.090540423828271,8.07128388156891,0.4050649079732638,0.1481614673893489,9.135792728003208,1.353572456345898,1.35357213499221,3.213536879855339e-07,2.374115153414541e-07,0.8785576550029558,0.4750148013429424,4.035641940784456,4.035640982676587,9.581078685371643e-07,1.416244579893474
15,u,2.981474631715739,3.258055392813738,0.5361678443347417,1.092766431133052,9.231360944522262,0.452938409973703,0.1519175796954717,9.325438018767844,1.416697973411346,1.416697472992848,5.004184981192405e-07,3.53228780947752e-07,0.8862055060924643,0.5304924673188816,4.615680472261128,4.615678841869942,1.630391186461143e-06,1.728373843995348
16,u,3.258055392813738,3.567572433524839,0.5249972707741564,1.095000545845169,10.59058562253629,0.5077649110613094,0.1558490724808675,9.523859033832773,1.484284596861368,1.484283821900566,7.749608028799522e-07,5.221106548694672e-07,0.8941022310221026,0.5901823658392659,5.295292811268147,5.29529004653935,2.764728797416794e-06,2.105518339120636
