t,n,phi_u,phi_b,q_u,q_b,e_u,e_b,G_u,G_b
0,1,0.6933034373659253,0.6933034373659253,0.7944952996089383,0.7944952996089383,1.686458190185473,1.686458190185473,1.061339312526815,1.061339312526815
1,1.061339312526815,0.6837406048898589,0.6933034373659253,0.8201279634626585,0.7711950026558552,1.850981276169527,1.737411550224055,1.063251879022028,1.061339312526815
2,1.128471018324084,0.6740161890406458,0.6933034373659253,0.847375086022342,0.7479044671617615,2.037163724920259,1.79151638199743,1.065196762191871,1.061339312526815
3,1.202043674946177,0.6641359359922223,0.6933034373659253,0.8763525071879,0.724654858640162,2.248349537852558,1.848994854741867,1.067172812801556,1.061339312526815
4,1.282788329702631,0.6541061017497392,0.6933034373659253,0.9071853461638,0.7014776397745444,2.488463946144678,1.910086692884457,1.069178779650052,1.061339312526815
5,1.371530060900787,0.6439334452014471,0.6933034373659253,0.9400088038295782,0.6784044168114215,2.762124233517391,1.975050680517322,1.071213310959711,1.061339312526815
6,1.469201257618306,0.633625217926103,0.6933034373659253,0.9749690377858048,0.6554667808341629,3.074773339719752,2.044166301432067,1.073274956414779,1.061339312526815
7,1.576856915734826,0.6231891506930474,0.6933034373659253,1.012224116830995,0.6326961454011297,3.432841229876046,2.117735527280425,1.07536216986139,1.061339312526815
8,1.695692274465543,0.6126334366259589,0.6933034373659253,1.051945062261399,0.6101235821365482,3.843940164966539,2.196084767609397,1.077473312674808,1.061339312526815
9,1.827063172245468,0.6019667110374443,0.6933034373659253,1.094316984082532,0.5877796559444125,4.317101436410079,2.279566996813631,1.079606657792511,1.061339312526815
10,1.972509564963713,0.5911980279796067,0.6933034373659253,1.139540320984112,0.5656942615715637,4.863062902624742,2.368564074464896,1.081760394404079,1.061339312526815
11,2.133782724960964,0.5803368335949142,0.6933034373659253,1.187832193765546,0.5438964632737213,5.494618875260628,2.46348927703,1.083932633281017,1.061339312526815
12,2.312876727916482,0.5693929363914407,0.6933034373659253,1.239427882813599,0.5224143393359721,6.227046658105922,2.564790060687167,1.086121412721712,1.061339312526815
13,2.51206493917582,0.5583764746061557,0.6933034373659253,1.294582441235336,0.5012748331660781,7.078627482066795,2.672951076810663,1.088324705078769,1.061339312526815
14,2.73394233406724,0.5472978808586477,0.6933034373659253,1.353572456345898,0.4805036126147962,8.07128388156891,2.788497463729776,1.090540423828271,1.061339312526815
15,2.981474631715739,0.5361678443347417,0.6933034373659253,1.416697973411346,0.4601249390828334,9.231360944522262,2.911998440597769,1.092766431133052,1.061339312526815
16,3.258055392813738,0.5249972707741564,0.6933034373659253,1.484284596861368,0.4401615478505423,10.59058562253629,3.044071231647689,1.095000545845169,1.061339312526815
17,3.567572433524839,0.5137972405679092,0.6933034373659253,1.556685785626313,0.4206345409162356,12.18724676919742,3.185385351784927,1.097240551886418,1.061339312526815
18,3.914485145855566,0.5025789652989412,0.6933034373659253,1.634285360829302,0.4015632934550391,14.06764923756118,3.336667287393324,1.099484206940212,1.061339312526815
19,4.303914596170246,0.4913537430828053,0.6933034373659253,1.717500245790349,0.3829653748161722,16.28790879275755,3.498705609436659,1.101729251383439,1.061339312526815
