t,n,n_next,phi,rd_share,G,e,D_agg,d_per,C_old,young_saving,q,V,B,bubble_share,fundamental_share,PD_pv,PD_agg,dividend_yield,market_value,market_fundamental,market_bubble,cond_2_15a,cond_2_15b,mc_resid,mc_resid_abs
0,1.0,1.061339312526815,0.6933034373659253,0.30669656263407474,1.061339312526815,1.6864581901854727,0.11016526443798952,0.11016526443798952,0.9533943595307259,0.8432290950927364,0.7944952996089383,0.7943480703945877,0.0001472292143506452,0.00018531162415071995,0.9998146883758493,7.211849430599321,7.6542193167191845,0.13866068747318505,0.8432290950927364,0.8430728349395936,0.00015626015314277683,0.06532344832448754,1.0,0.0,0.0
1,1.061339312526815,1.1284710183240836,0.6837406048898589,0.3162593951101411,1.0632518790220282,1.8509812761695268,0.11903022062580662,0.11215095796500923,1.04452085871057,0.9254906380847634,0.8201279634626585,0.8199139062876536,0.0002140571750048655,0.0002610046048193451,0.9997389953951806,7.312714740417428,7.775257688500914,0.13674812097797176,0.9254906380847631,0.9252490807665057,0.00024155731825731714,0.0643065503461662,0.9549088975118086,-4.440892098500626e-16,4.440892098500626e-16
2,1.1284710183240836,1.2020436749461771,0.6740161890406458,0.32598381095935425,1.0651967621918708,2.0371637249202594,0.12890400901117927,0.11422890523375369,1.147485871471309,1.0185818624601297,0.847375086022342,0.8470668210304206,0.00030826499192139717,0.0003637881228824202,0.9996362118771176,7.418219445317329,7.901863334380795,0.13480323780812917,1.018581862460129,1.0182113144763825,0.00037054798374644985,0.06327621458909737,0.9106003799212384,-6.661338147750939e-16,6.661338147750939e-16
3,1.2020436749461771,1.2827883297026306,0.6641359359922223,0.3358640640077777,1.0671728128015556,2.2483495378525578,0.13992201701984855,0.11640343852407335,1.2640967859461274,1.1241747689262789,0.8763525071879,0.8759127596587611,0.00043974752913886076,0.0005017929720426689,0.9994982070279573,7.528579209510739,8.034295051412888,0.13282718719844447,1.1241747689262789,1.123610665927884,0.000564102998394898,0.06223321359253187,0.8671401219457932,0.0,0.0
4,1.2827883297026306,1.3715300609007874,0.6541061017497392,0.34589389825026085,1.0691787796500523,2.488463946144678,0.15224015685105802,0.11867909406873818,1.396472129923397,1.244231973072339,0.9071853461638,0.906563904376084,0.0006214417877159527,0.0006850218539616337,0.9993149781460384,7.6440198105857124,8.172823772702856,0.13082122034994784,1.2442319730723386,1.243379646979386,0.0008523260929523548,0.06117836550813618,0.8245905516300495,-6.661338147750939e-16,6.661338147750939e-16
5,1.3715300609007874,1.469201257618306,0.6439334452014471,0.35606655479855287,1.0712133109597106,2.7621242335173912,0.1660382815976935,0.1210606215139343,1.5471003983563891,1.3810621167586956,0.9400088038295782,0.9391387317248645,0.0008700721047136399,0.000925599953073825,0.9990744000469262,7.764777613679948,8.317733136415939,0.12878668904028942,1.3810621167586958,1.379783805728232,0.0012783110304638863,0.06011253208051913,0.7830104519914466,0.0,0.0
6,1.469201257618306,1.5768569157348264,0.633625217926103,0.36637478207389695,1.0732749564147794,3.0747733397197523,0.18152421388470133,0.12355299380764671,1.7189108837445775,1.5373866698598762,0.9749690377858048,0.9737620179134591,0.0012070198723457435,0.0012380084141819887,0.998761991585818,7.891100067584634,8.46932008110156,0.1267250435852206,1.5373866698598757,1.5354833722267378,0.0019032976331377531,0.05903661630591808,0.7424545906556764,-2.220446049250313e-16,2.220446049250313e-16
7,1.5768569157348264,1.6956922744655427,0.6231891506930474,0.37681084930695263,1.0753621698613904,3.432841229876046,0.19893850374021235,0.1261614175357855,1.9153591186782353,1.716420614938023,1.0122241168309947,1.0105647928253214,0.0016593240056732132,0.0016392851919672855,0.9983607148080327,8.023246223782154,8.627895468538584,0.12463783013860946,1.7164206149380246,1.7136069120407693,0.002813702897255286,0.05795155977761188,0.7029733825058374,1.1102230246251565e-15,1.1102230246251565e-15
8,1.6956922744655427,1.8270631722454684,0.6126334366259589,0.3873665633740411,1.0774733126748082,3.8439401649665395,0.21856005580332594,0.12889134372698186,2.1405301382865956,1.9219700824832697,1.051945062261399,1.0496842465348062,0.0022608157265927757,0.002149176613589145,0.9978508233864107,8.16148727946877,8.793784735362523,0.1225266873251918,1.9219700824832686,1.9178394293299774,0.00413065315329104,0.05685833973048549,0.6646125899598679,-1.1102230246251565e-15,1.1102230246251565e-15
9,1.8270631722454684,1.9725095649637134,0.6019667110374443,0.39803328896255574,1.0796066577925112,4.317101436410079,0.24071279425087166,0.13174847914811538,2.399263512455911,2.1585507182050394,1.0943169840825315,1.0912635957202943,0.0030533883622372465,0.0027902229487895484,0.9972097770512105,8.306107145664045,8.967328574796854,0.12039334220748889,2.158550718205037,2.1525278804549752,0.006022837750061857,0.055757965801016336,0.6274130649773,-1.7763568394002505e-15,1.7763568394002505e-15
10,1.9725095649637134,2.133782724960964,0.5911980279796067,0.40880197202039326,1.0817603944040786,4.863062902624742,0.2657735680512071,0.1347387981138111,2.6973050193635784,2.431531451312371,1.1395403209841124,1.1354519209513696,0.004088400032742773,0.003587762501648043,0.996412237498352,8.45740304156169,9.148883649874028,0.11823960559592137,2.431531451312371,2.4228076939497747,0.008723757362596368,0.05465147652269953,0.5914105362882841,0.0,0.0
11,2.133782724960964,2.3128767279164824,0.5803368335949142,0.41966316640508583,1.083932633281017,5.4946188752606275,0.29418154062097507,0.1378685548343995,3.041490978251289,2.7473094376303138,1.187832193765546,1.1824039891475966,0.0054282046179493955,0.004569841301187037,0.9954301586988129,8.615686116332386,9.338823339598862,0.11606736671898282,2.7473094376303133,2.7347546694950893,0.012554768135223937,0.05353993558052215,0.5566354446475335,-1.3322676295501878e-15,1.3322676295501878e-15
12,2.3128767279164824,2.5120649391758203,0.5693929363914407,0.43060706360855927,1.0861214127217118,6.227046658105922,0.32644935825548516,0.14114429632813236,3.439972687308446,3.113523329052961,1.2394278828135994,1.2322800782689047,0.007147804544694718,0.0057670193190011475,0.9942329806809989,8.7812820996477,9.537538519577241,0.11387858727828813,3.1135233290529603,3.0955675798641513,0.017955749188809187,0.05242442785144974,0.5231128281585705,-1.7763568394002505e-15,1.7763568394002505e-15
13,2.5120649391758203,2.73394233406724,0.5583764746061557,0.4416235253938443,1.0883247050787688,7.078627482066795,0.3631764527665149,0.1445728759248035,3.9024901937999124,3.5393137410333977,1.2945824412353357,1.2852458232326225,0.009336618002713288,0.007212069085228718,0.9927879309147714,8.954531982255684,9.74543837870682,0.11167529492123114,3.5393137410333995,3.5137879658187674,0.025525775214632177,0.05130605526093821,0.4908622589069974,8.881784197001252e-16,8.881784197001252e-16
14,2.73394233406724,2.9814746317157392,0.5472978808586477,0.4527021191413523,1.0905404238282705,8.07128388156891,0.40506490797326383,0.1481614673893489,4.440706848757719,4.035641940784455,1.3535724563458982,1.3414721029454335,0.012100353400464762,0.00893956828371852,0.9910604317162816,9.135792728003208,9.962951273603851,0.10945957617172955,4.035641940784456,3.9995650440861747,0.036076896698280965,0.05018593248816899,0.45989783130487033,0.0,0.0
15,2.9814746317157392,3.2580553928137377,0.5361678443347417,0.46383215566525826,1.0927664311330516,9.231360944522262,0.452938409973703,0.1519175796954717,5.0686188822348335,4.615680472261131,1.4166979734113458,1.4011349880567896,0.015562985354556153,0.010985393955975793,0.9890146060440241,9.325438018767844,10.190525622521413,0.10723356886694835,4.615680472261128,4.564975403898435,0.050705068362692896,0.049065182554958946,0.43022820170225645,-2.6645352591003757e-15,2.6645352591003757e-15
16,3.2580553928137377,3.567572433524839,0.5249972707741564,0.47500272922584363,1.0950005458451688,10.590585622536294,0.5077649110613094,0.1558490724808675,5.803057722329456,5.295292811268147,1.4842845968613685,1.4644157675501182,0.01986882931125042,0.013386131846456234,0.9866138681535438,9.523859033832773,10.428630840599329,0.10499945415483128,5.295292811268147,5.22440932353092,0.0708834877372273,0.04794493233507393,0.4018566779877656,0.0,0.0
17,3.567572433524839,3.914485145855566,0.5137972405679092,0.4862027594320908,1.0972405518864181,12.187246769197417,0.5706837711537652,0.15996417221721754,6.664307155752474,6.0936233845987084,1.5566857856263134,1.5315010696622944,0.025184715964019114,0.01617841968916441,0.9838215803108357,9.731465265312464,10.677758318374956,0.10275944811358184,6.093623384598706,5.995038188054962,0.09858519654374436,0.046826308021934576,0.3747813570981015,-3.552713678800501e-15,3.552713678800501e-15
18,3.914485145855566,4.303914596170246,0.5025789652989412,0.4974210347010588,1.0994842069402118,14.067649237561183,0.6430383040860175,0.16427148912975947,7.676862922866609,7.033824618780591,1.634285360829302,1.6025830890335009,0.03170227179580112,0.019398247427067517,0.9806017525729325,9.94868537131459,10.938422445577508,0.10051579305978824,7.03382461878059,6.897380748466886,0.13644387031370475,0.045710430593412836,0.34899530760730646,-1.7763568394002505e-15,1.7763568394002505e-15
19,4.303914596170246,4.741748606056901,0.4913537430828053,0.5086462569171947,1.101729251383439,16.28790879275755,0.7264148557609096,0.16878003490294521,8.870369252139684,8.143954396378774,1.7175002457903488,1.6778599276953008,0.03964031809504788,0.023080240129343586,0.9769197598706564,10.17596806860465,11.21116168232558,0.09827074861656107,8.14395439637877,7.955989973307926,0.18796442307084543,0.04459841131256281,0.32448679388753593,-3.552713678800501e-15,3.552713678800501e-15
