t,n,phi,G,q,d,dividend_yield,V,B,fundamental_share,bubble_share,pi_persist,T_ext,tail_ratio,tail_loss
0,1.0,0.6933034373659253,1.061339312526815,0.7944952996089383,0.11016526443798952,0.13866068747318505,0.7943480703945877,0.0001472292143506452,0.9998146883758493,0.00018531162415071995,0.8,600,0.95544292062394,1.3322200529481991e-11
1,1.061339312526815,0.6837406048898589,1.0632518790220282,0.8201279634626585,0.11215095796500923,0.13674812097797176,0.8199139062876536,0.0002140571750048655,0.9997389953951806,0.0002610046048193451,0.8,600,0.95544292062394,1.3322200529481991e-11
2,1.1284710183240836,0.6740161890406458,1.0651967621918708,0.847375086022342,0.11422890523375369,0.13480323780812917,0.8470668210304206,0.00030826499192139717,0.9996362118771176,0.0003637881228824202,0.8,600,0.95544292062394,1.3322200529481991e-11
3,1.2020436749461771,0.6641359359922223,1.0671728128015556,0.8763525071879,0.11640343852407335,0.13282718719844447,0.8759127596587611,0.00043974752913886076,0.9994982070279573,0.0005017929720426689,0.8,600,0.95544292062394,1.3322200529481991e-11
4,1.2827883297026306,0.6541061017497392,1.0691787796500523,0.9071853461638,0.11867909406873818,0.13082122034994784,0.906563904376084,0.0006214417877159527,0.9993149781460384,0.0006850218539616337,0.8,600,0.95544292062394,1.3322200529481991e-11
5,1.3715300609007874,0.6439334452014471,1.0712133109597106,0.9400088038295782,0.1210606215139343,0.12878668904028942,0.9391387317248645,0.0008700721047136399,0.9990744000469262,0.000925599953073825,0.8,600,0.95544292062394,1.3322200529481991e-11
6,1.469201257618306,0.633625217926103,1.0732749564147794,0.9749690377858048,0.12355299380764671,0.1267250435852206,0.9737620179134591,0.0012070198723457435,0.998761991585818,0.0012380084141819887,0.8,600,0.95544292062394,1.3322200529481991e-11
7,1.5768569157348264,0.6231891506930474,1.0753621698613904,1.0122241168309947,0.1261614175357855,0.12463783013860946,1.0105647928253214,0.0016593240056732132,0.9983607148080327,0.0016392851919672855,0.8,600,0.95544292062394,1.3322200529481991e-11
8,1.6956922744655427,0.6126334366259589,1.0774733126748082,1.051945062261399,0.12889134372698186,0.1225266873251918,1.0496842465348062,0.0022608157265927757,0.9978508233864107,0.002149176613589145,0.8,600,0.95544292062394,1.3322200529481991e-11
9,1.8270631722454684,0.6019667110374443,1.0796066577925112,1.0943169840825315,0.13174847914811538,0.12039334220748889,1.0912635957202943,0.0030533883622372465,0.9972097770512105,0.0027902229487895484,0.8,600,0.95544292062394,1.3322200529481991e-11
10,1.9725095649637134,0.5911980279796067,1.0817603944040786,1.1395403209841124,0.1347387981138111,0.11823960559592137,1.1354519209513696,0.004088400032742773,0.996412237498352,0.003587762501648043,0.8,600,0.95544292062394,1.3322200529481991e-11
11,2.133782724960964,0.5803368335949142,1.083932633281017,1.187832193765546,0.1378685548343995,0.11606736671898282,1.1824039891475966,0.0054282046179493955,0.9954301586988129,0.004569841301187037,0.8,600,0.95544292062394,1.3322200529481991e-11
12,2.3128767279164824,0.5693929363914407,1.0861214127217118,1.2394278828135994,0.14114429632813236,0.11387858727828813,1.2322800782689047,0.007147804544694718,0.9942329806809989,0.0057670193190011475,0.8,600,0.95544292062394,1.3322200529481991e-11
13,2.5120649391758203,0.5583764746061557,1.0883247050787688,1.2945824412353357,0.1445728759248035,0.11167529492123114,1.2852458232326225,0.009336618002713288,0.9927879309147714,0.007212069085228718,0.8,600,0.95544292062394,1.3322200529481991e-11
14,2.73394233406724,0.5472978808586477,1.0905404238282705,1.3535724563458982,0.1481614673893489,0.10945957617172955,1.3414721029454335,0.012100353400464762,0.9910604317162816,0.00893956828371852,0.8,600,0.95544292062394,1.3322200529481991e-11
15,2.9814746317157392,0.5361678443347417,1.0927664311330516,1.4166979734113458,0.1519175796954717,0.10723356886694835,1.4011349880567896,0.015562985354556153,0.9890146060440241,0.010985393955975793,0.8,600,0.95544292062394,1.3322200529481991e-11
16,3.2580553928137377,0.5249972707741564,1.0950005458451688,1.4842845968613685,0.1558490724808675,0.10499945415483128,1.4644157675501182,0.01986882931125042,0.9866138681535438,0.013386131846456234,0.8,600,0.95544292062394,1.3322200529481991e-11
17,3.567572433524839,0.5137972405679092,1.0972405518864181,1.5566857856263134,0.15996417221721754,0.10275944811358184,1.5315010696622944,0.025184715964019114,0.9838215803108357,0.01617841968916441,0.8,600,0.95544292062394,1.3322200529481991e-11
18,3.914485145855566,0.5025789652989412,1.0994842069402118,1.634285360829302,0.16427148912975947,0.10051579305978824,1.6025830890335009,0.03170227179580112,0.9806017525729325,0.019398247427067517,0.8,600,0.95544292062394,1.3322200529481991e-11
19,4.303914596170246,0.4913537430828053,1.101729251383439,1.7175002457903488,0.16878003490294521,0.09827074861656107,1.6778599276953008,0.03964031809504788,0.9769197598706564,0.023080240129343586,0.8,600,0.95544292062394,1.3322200529481991e-11
20,4.741748606056901,0.48013291308367456,1.1039734173832652,1.8067834601897206,0.17349924121045837,0.09602658261673491,1.7575360528179522,0.04924740737176847,0.9727430494816478,0.027256950518352245,0.8,600,0.95544292062394,1.3322200529481991e-11
21,5.2347644130009705,0.46892780959399283,1.1062144380812013,1.9026273923076913,0.17843897910967524,0.09378556191879857,1.841822869396373,0.06080452291131824,0.9680418125182311,0.03195818748176889,0.8,600,0.95544292062394,1.3322200529481991e-11
22,5.790771973615338,0.45774971607348414,1.108450056785303,2.0055673755247647,0.18360957934254077,0.09154994321469684,1.9309394015873986,0.07462797393736616,0.9627895951798481,0.03721040482015193,0.8,600,0.95544292062394,1.3322200529481991e-11
23,6.418781522984663,0.4466098195447701,1.110678036091046,2.1161855977487325,0.18902185358676057,0.08932196390895403,2.0251130725091717,0.09107252523956065,0.9569638290060916,0.04303617099390837,0.8,600,0.95544292062394,1.3322200529481991e-11
24,7.129199656046098,0.43551916573847227,1.1128961668523056,2.2351153751536486,0.19468711670322994,0.08710383314769447,2.1245805692050057,0.11053480594864273,0.9505462638853511,0.049453736114648775,0.8,600,0.95544292062394,1.3322200529481991e-11
25,7.934058969938478,0.42448861537048865,1.1151022769259022,2.36304582459289,0.20061721002769012,0.08489772307409774,2.229588777308166,0.13345704728472396,0.943523292736942,0.05647670726305792,0.8,600,0.95544292062394,1.3322200529481991e-11
26,8.847287222642775,0.41352880191832597,1.1172942396163348,2.5007269723090353,0.20682452575675964,0.0827057603836652,2.3403957687874826,0.16033120352155278,0.9358861621852659,0.06411383781473419,0.8,600,0.95544292062394,1.3322200529481991e-11
27,9.885023050089973,0.4026500912423031,1.1194699817515394,2.6489753401340415,0.21332203248071654,0.08053001824846062,2.4572718259921587,0.19170351414188302,0.9276310687995373,0.07236893120046281,0.8,600,0.95544292062394,1.3322200529481991e-11
28,11.065986573497769,0.3918625433715588,1.1216274913256883,2.8086800542839097,0.22012330191773213,0.07837250867431177,2.5805004859641394,0.22817956831977027,0.9187591452533934,0.08124085474660661,0.8,600,0.95544292062394,1.3322200529481991e-11
29,12.411914759476051,0.38117587674466125,1.1237648246510679,2.98080952613487,0.22724253690665952,0.07623517534893226,2.7103795905104047,0.2704299356244654,0.9092763448139123,0.09072365518608769,0.8,600,0.95544292062394,1.3322200529481991e-11
30,13.948073213266605,0.37059943516086824,1.1258801129678264,3.166418759058839,0.2346946007179966,0.07411988703217365,2.8472223296533596,0.31919642940547927,0.8991932357360228,0.10080676426397708,0.8,600,0.95544292062394,1.3322200529481991e-11
31,15.70385824503612,0.36014215766142765,1.1279715684677145,3.3666573405331315,0.24249504774525718,0.07202843153228554,2.991358268616241,0.3752990719168902,0.8885247193415118,0.11147528065848818,0.8,600,0.95544292062394,1.3322200529481991e-11
32,17.713505615648042,0.34981255152149016,1.130037489695702,3.5827781843659783,0.25066015564171895,0.06996251030429804,3.143134351264455,0.4396438331015232,0.877289686807858,0.12271031319214204,0.8,600,0.95544292062394,1.3322200529481991e-11
33,20.016925419617632,0.33961866849300826,1.1320762663013983,3.816147094041554,0.25920695897037105,0.06792373369860165,3.3029158757397203,0.5132312183018335,0.8655106300532331,0.13448936994676677,0.8,600,0.95544292062394,1.3322200529481991e-11
34,22.66068619187428,0.329568084398173,1.1340863831203654,4.068253224937624,0.2681532844378765,0.0659136168796346,3.4710874407441548,0.5971657841934697,0.8532132217009119,0.1467867782990882,0.8,600,0.95544292062394,1.3322200529481991e-11
35,25.699175642368306,0.31966788213226904,1.1360664235735463,4.340720530560977,0.2775177877864973,0.06393357642645381,3.648053863438372,0.6926666671226046,0.8404258780896251,0.15957412191037493,0.8,600,0.95544292062394,1.3322200529481991e-11
36,29.195970560813755,0.3099246380950126,1.1380150723809974,4.635320286042055,0.28731999242121087,0.061984927619002525,3.834241072127546,0.801079213914509,0.8271793178290764,0.17282068217092367,0.8,600,0.95544292062394,1.3322200529481991e-11
37,33.22545455099794,0.3003444120311327,1.1399311175937734,4.953984790998081,0.29758032985269856,0.06006888240622655,4.030096978770821,0.9238878122272601,0.8135061266425236,0.18649387335747636,0.8,600,0.95544292062394,1.3322200529481991e-11
38,37.8747295388802,0.29093274022477855,1.1418134519550442,5.2988223635861935,0.30832018204049383,0.05818654804495571,4.236092337839353,1.0627300257468406,0.7994403373379751,0.20055966266202493,0.8,600,0.95544292062394,1.3322200529481991e-11
39,43.24587567665249,0.28169463195876987,1.143661073608246,5.672133748206542,0.3195619257243919,0.056338926391753974,4.452721599169674,1.219412149036867,0.7850170318317281,0.21498296816827178,0.8,600,0.95544292062394,1.3322200529481991e-11
40,49.45862460548911,0.2726345691192019,1.1454730861761595,6.076430070966715,0.33132897883619444,0.05452691382384039,4.680503763231909,1.3959263077348067,0.7702719703128708,0.2297280296871293,0.8,600,0.95544292062394,1.3322200529481991e-11
41,56.653523364877756,0.26375650879879853,1.1472486982402403,6.5144524897812355,0.3436458490880679,0.05275130175975971,4.9199832476922465,1.5944692420889892,0.7552412509585232,0.24475874904147682,0.8,600,0.95544292062394,1.3322200529481991e-11
42,64.99568093107905,0.25506388872890784,1.1489872222542183,6.989193699958343,0.3565381848381917,0.05101277774578157,5.171730774338544,1.8174629256197994,0.739961002135249,0.2600389978647511,0.8,600,0.95544292062394,1.3322200529481991e-11
43,74.67920689152199,0.24655963535032277,1.1506880729299356,7.503921471437018,0.37003282833899376,0.04931192707006456,5.4363442854039405,2.0675771860330783,0.7244671077778307,0.2755328922221693,0.8,600,0.95544292062394,1.3322200529481991e-11
44,85.9324726659414,0.2382461743172204,1.1523507651365559,8.06220441060756,0.3841578714781343,0.04764923486344407,5.714449898113885,2.347754512493675,0.7087949656294127,0.2912050343705873,0.8,600,0.95544292062394,1.3322200529481991e-11
45,99.02435062667375,0.23012544321644446,1.153974911356711,8.667940158017833,0.3989427141274943,0.04602508864328889,6.006702905941655,2.661237252076178,0.6929792772491008,0.30702072275089914,0.8,600,0.95544292062394,1.3322200529481991e-11
46,114.27161623657172,0.22219890627599964,1.1555602187448,9.32538625338712,0.414418125220772,0.04443978125519993,6.313788834627713,3.0115974187594063,0.677053868126315,0.32294613187368504,0.8,600,0.95544292062394,1.3322200529481991e-11
47,132.04773385465464,0.21446757083181828,1.1571064858336364,10.039193921387875,0.4306163066859228,0.04289351416636367,6.6364245605353815,3.4027693608524934,0.6610515358605529,0.33894846413944707,0.8,600,0.95544292062394,1.3322200529481991e-11
48,152.79328928285472,0.20693200532039163,1.1586135989359216,10.814445055794545,0.447570960364552,0.04138640106407833,6.975359498408956,3.8390855573855887,0.6450039241423167,0.35499607585768334,0.8,600,0.95544292062394,1.3322200529481991e-11
49,177.0283827892657,0.19959235856645396,1.1600815282867092,11.656692706039506,0.4653173580565612,0.0399184717132908,7.331376865096159,4.325315840943347,0.6289414201763819,0.3710585798236181,0.8,600,0.95544292062394,1.3322200529481991e-11
50,205.3673568562959,0.19244838013928312,1.1615103239721434,12.572005399178016,0.4838924148348262,0.03848967602785663,7.705295025313623,4.866710373864393,0.6128930731939879,0.3871069268060121,0.8,600,0.95544292062394,1.3322200529481991e-11
51,238.53630519545905,0.18549944155800413,1.1629001116883992,13.567015661987284,0.5033347657814674,0.037099888311600826,8.097968925086576,5.469046736900707,0.596886531779856,0.403113468220144,0.8,600,0.95544292062394,1.3322200529481991e-11
52,277.3938959535374,0.17874455813522794,1.1642510883729544,14.64897314267354,0.5236848463044007,0.03574891162704559,8.510291618093012,6.138681524580528,0.5809479978703698,0.41905200212963023,0.8,600,0.95544292062394,1.3322200529481991e-11
53,322.95614527192004,0.1721824112590798,1.165563517748184,15.825802769722719,0.5449849762002963,0.03443648225181596,8.94319588979456,6.88260687992816,0.565102195441505,0.43489780455849497,0.8,600,0.95544292062394,1.3322200529481991e-11
54,376.42590076153266,0.16581137092583648,1.1668377258148328,17.10616842712251,0.5672794476378886,0.0331622741851673,9.397655983946091,7.708512443176416,0.5493723520835756,0.45062764791642435,0.8,600,0.95544292062394,1.3322200529481991e-11
55,439.2279419823867,0.15962951834867312,1.1680740963302654,18.49954267085171,0.590614617243757,0.03192590366973463,9.874689435845152,8.624853235006558,0.5337801918424682,0.4662198081575318,0.8,600,0.95544292062394,1.3322200529481991e-11
56,513.0507814140786,0.15363466848211088,1.1692730663035777,20.01628306155563,0.6150390024812381,0.030726933696422175,10.37535901651043,9.6409240450452,0.5183459378848371,0.481654062115163,0.8,600,0.95544292062394,1.3322200529481991e-11
57,599.8964603534863,0.14782439231636074,1.170435121536728,21.66771574312135,0.6406033825221112,0.02956487846327215,10.900774791865894,10.766940951255455,0.5030883237115783,0.4969116762884217,0.8,600,0.95544292062394,1.3322200529481991e-11
58,702.1398864832856,0.14219603881061876,1.1715607922378763,23.466226956886914,0.6673609038200561,0.028439207762123758,11.452096300950435,12.014130655936478,0.4880246117959518,0.5119753882040482,0.8,600,0.95544292062394,1.3322200529481991e-11
59,822.5995616701707,0.1367467563492401,1.172650648730152,25.42536324696414,0.695367190604706,0.027349351269848023,12.030534857170291,13.394828389793847,0.47317061865799587,0.5268293813420042,0.8,600,0.95544292062394,1.3322200529481991e-11
60,964.6219096376644,0.13147351361939852,1.1737052972761204,27.559941184170683,0.7246804605253774,0.02629470272387971,12.637355976659746,14.922585207510936,0.458540745504861,0.541459254495139,0.8,600,0.95544292062394,1.3322200529481991e-11
61,1132.181845210334,0.12637311982313565,1.1747253760353729,29.886167514954135,0.7553616456843206,0.02527462396462713,13.273881937912346,16.61228557704179,0.4441480136678782,0.5558519863321219,0.8,600,0.95544292062394,1.3322200529481991e-11
62,1330.0027438551317,0.121442244150479,1.1757115511699041,32.42177072810002,0.7874745193105552,0.024288448830095802,13.941494476984943,18.48027625111508,0.43000410415282525,0.5699958958471747,0.8,600,0.95544292062394,1.3322200529481991e-11
63,1563.6995890381456,0.11667743445342121,1.1766645131093159,35.186145126670795,0.8210858283371395,0.02333548689068424,14.641637622760381,20.544507503910413,0.41611940069167014,0.5838805993083298,0.8,600,0.95544292062394,1.3322200529481991e-11
64,1839.9498155848069,0.1120751350729203,1.177584972985416,38.200508596304886,0.8562654321570246,0.022415027014584057,15.375820676974815,22.82468791933007,0.4025030357439301,0.5974969642560699,0.8,600,0.95544292062394,1.3322200529481991e-11
65,2166.697253879956,0.1076317037826165,1.1784736592434768,41.4880753745794,0.8930864478455192,0.021526340756523297,16.145621343973048,25.342454030606355,0.3891629389457242,0.6108370610542758,0.8,600,0.95544292062394,1.3322200529481991e-11
