comparison_type,T_report,n_buffer,terminal_rule,T0,benchmark,T_solve,converged,iterations,solver_max_residual,terminal_phi,terminal_q,terminal_mc_resid,max_log_phi_error,max_log_q_error,max_log_dividend_yield_error,max_pricing_identity_resid,max_free_entry_resid,max_clearing_resid
unreduced_equilibrium,45,0,local_loglinear,20,exact_hkt_static_block,45,true,0,1.1895315843168215e-15,0.22228151099313265,9.318736313218945,-0.8534882364428995,2.220446049250313e-16,0.0,4.440892098500626e-16,2.220446049250313e-16,8.881784197001252e-16,5.329070518200751e-15
unreduced_equilibrium,45,0,local_loglinear,30,exact_hkt_static_block,45,true,0,1.1895315843168215e-15,0.22228151099313265,9.318736313218945,-0.8534882364428995,2.220446049250313e-16,0.0,1.3322676295501878e-15,8.881784197001252e-16,2.220446049250313e-15,2.842170943040401e-14
unreduced_equilibrium,45,0,local_loglinear,40,exact_hkt_static_block,45,true,0,1.1895315843168215e-15,0.22228151099313265,9.318736313218945,-0.8534882364428995,2.220446049250313e-16,0.0,1.3322676295501878e-15,1.7763568394002505e-15,2.6645352591003757e-15,1.7053025658242404e-13
unreduced_equilibrium,45,5,local_loglinear,20,exact_hkt_static_block,50,true,0,1.329723844058748e-15,0.18556010502728146,13.558445423444823,-2.2879960734876477,2.220446049250313e-16,0.0,4.440892098500626e-16,2.220446049250313e-16,8.881784197001252e-16,5.329070518200751e-15
unreduced_equilibrium,45,5,local_loglinear,30,exact_hkt_static_block,50,true,0,1.329723844058748e-15,0.18556010502728146,13.558445423444823,-2.2879960734876477,2.220446049250313e-16,0.0,1.3322676295501878e-15,8.881784197001252e-16,2.220446049250313e-15,2.842170943040401e-14
unreduced_equilibrium,45,5,local_loglinear,40,exact_hkt_static_block,50,true,0,1.329723844058748e-15,0.18556010502728146,13.558445423444823,-2.2879960734876477,2.220446049250313e-16,0.0,1.3322676295501878e-15,1.7763568394002505e-15,2.6645352591003757e-15,1.7053025658242404e-13
unreduced_equilibrium,45,20,local_loglinear,20,exact_hkt_static_block,65,true,0,1.329723844058748e-15,0.10336444075317447,45.05626505798223,-50.9851890001446,2.220446049250313e-16,0.0,4.440892098500626e-16,2.220446049250313e-16,8.881784197001252e-16,5.329070518200751e-15
unreduced_equilibrium,45,20,local_loglinear,30,exact_hkt_static_block,65,true,0,1.329723844058748e-15,0.10336444075317447,45.05626505798223,-50.9851890001446,2.220446049250313e-16,0.0,1.3322676295501878e-15,8.881784197001252e-16,2.220446049250313e-15,2.842170943040401e-14
unreduced_equilibrium,45,20,local_loglinear,40,exact_hkt_static_block,65,true,0,1.329723844058748e-15,0.10336444075317447,45.05626505798223,-50.9851890001446,2.220446049250313e-16,0.0,1.3322676295501878e-15,1.7763568394002505e-15,2.6645352591003757e-15,1.7053025658242404e-13
unreduced_equilibrium,60,0,local_loglinear,20,exact_hkt_static_block,60,true,0,1.329723844058748e-15,0.12640361822758675,29.87207871931727,-17.752530168792873,2.220446049250313e-16,0.0,4.440892098500626e-16,2.220446049250313e-16,8.881784197001252e-16,5.329070518200751e-15
unreduced_equilibrium,60,0,local_loglinear,30,exact_hkt_static_block,60,true,0,1.329723844058748e-15,0.12640361822758675,29.87207871931727,-17.752530168792873,2.220446049250313e-16,0.0,1.3322676295501878e-15,8.881784197001252e-16,2.220446049250313e-15,2.842170943040401e-14
unreduced_equilibrium,60,0,local_loglinear,40,exact_hkt_static_block,60,true,0,1.329723844058748e-15,0.12640361822758675,29.87207871931727,-17.752530168792873,2.220446049250313e-16,0.0,1.3322676295501878e-15,1.7763568394002505e-15,2.6645352591003757e-15,1.7053025658242404e-13
unreduced_equilibrium,60,5,local_loglinear,20,exact_hkt_static_block,65,true,0,1.329723844058748e-15,0.10336444075317447,45.05626505798223,-50.9851890001446,2.220446049250313e-16,0.0,4.440892098500626e-16,2.220446049250313e-16,8.881784197001252e-16,5.329070518200751e-15
unreduced_equilibrium,60,5,local_loglinear,30,exact_hkt_static_block,65,true,0,1.329723844058748e-15,0.10336444075317447,45.05626505798223,-50.9851890001446,2.220446049250313e-16,0.0,1.3322676295501878e-15,8.881784197001252e-16,2.220446049250313e-15,2.842170943040401e-14
unreduced_equilibrium,60,5,local_loglinear,40,exact_hkt_static_block,65,true,0,1.329723844058748e-15,0.10336444075317447,45.05626505798223,-50.9851890001446,2.220446049250313e-16,0.0,1.3322676295501878e-15,1.7763568394002505e-15,2.6645352591003757e-15,1.7053025658242404e-13
unreduced_equilibrium,60,20,local_loglinear,20,exact_hkt_static_block,80,true,0,1.329723844058748e-15,0.05505466763093889,161.6759393869164,-1314.642651848495,2.220446049250313e-16,0.0,4.440892098500626e-16,2.220446049250313e-16,8.881784197001252e-16,5.329070518200751e-15
unreduced_equilibrium,60,20,local_loglinear,30,exact_hkt_static_block,80,true,0,1.329723844058748e-15,0.05505466763093889,161.6759393869164,-1314.642651848495,2.220446049250313e-16,0.0,1.3322676295501878e-15,8.881784197001252e-16,2.220446049250313e-15,2.842170943040401e-14
unreduced_equilibrium,60,20,local_loglinear,40,exact_hkt_static_block,80,true,0,1.329723844058748e-15,0.05505466763093889,161.6759393869164,-1314.642651848495,2.220446049250313e-16,0.0,1.3322676295501878e-15,1.7763568394002505e-15,2.6645352591003757e-15,1.7053025658242404e-13
