T_report,n_buffer,terminal_rule,T0,benchmark,T_solve,terminal_phi,terminal_mc_resid,max_log_phi_error,max_log_q_error,max_log_dividend_yield_error,max_fundamental_share_error,max_bubble_share_error
45,0,local_loglinear,20,exact_hkt_long_product,45,0.22228151099313256,-0.8534882364415353,0.0,0.0,0.0,0.02725695051835242,0.027256950518352367
45,0,local_loglinear,30,exact_hkt_long_product,45,0.22228151099313256,-0.8534882364415353,0.0,0.0,0.0,0.10080676426397739,0.10080676426397722
45,0,local_loglinear,40,exact_hkt_long_product,45,0.22228151099313256,-0.8534882364415353,0.0,0.0,0.0,0.22972802968712924,0.2297280296871293
45,5,local_loglinear,20,exact_hkt_long_product,50,0.18556010502728146,-2.287996073485374,0.0,0.0,0.0,0.02725695051835242,0.027256950518352367
45,5,local_loglinear,30,exact_hkt_long_product,50,0.18556010502728146,-2.287996073485374,0.0,0.0,0.0,0.10080676426397706,0.10080676426397694
45,5,local_loglinear,40,exact_hkt_long_product,50,0.18556010502728146,-2.287996073485374,0.0,0.0,0.0,0.22972802968712913,0.22972802968712916
45,20,local_loglinear,20,exact_hkt_long_product,65,0.10336444075317451,-50.985189000261016,0.0,0.0,0.0,0.02725695051835242,0.027256950518352367
45,20,local_loglinear,30,exact_hkt_long_product,65,0.10336444075317451,-50.985189000261016,0.0,0.0,0.0,0.10080676426397706,0.10080676426397694
45,20,local_loglinear,40,exact_hkt_long_product,65,0.10336444075317451,-50.985189000261016,0.0,0.0,0.0,0.2297280296871289,0.229728029687129
60,0,local_loglinear,20,exact_hkt_long_product,60,0.12640361822758675,-17.752530168792873,0.0,0.0,0.0,0.02725695051835242,0.027256950518352367
60,0,local_loglinear,30,exact_hkt_long_product,60,0.12640361822758675,-17.752530168792873,0.0,0.0,0.0,0.10080676426397706,0.10080676426397694
60,0,local_loglinear,40,exact_hkt_long_product,60,0.12640361822758675,-17.752530168792873,0.0,0.0,0.0,0.2297280296871289,0.229728029687129
60,5,local_loglinear,20,exact_hkt_long_product,65,0.10336444075317451,-50.985189000261016,0.0,0.0,0.0,0.02725695051835242,0.027256950518352367
60,5,local_loglinear,30,exact_hkt_long_product,65,0.10336444075317451,-50.985189000261016,0.0,0.0,0.0,0.10080676426397706,0.10080676426397694
60,5,local_loglinear,40,exact_hkt_long_product,65,0.10336444075317451,-50.985189000261016,0.0,0.0,0.0,0.2297280296871289,0.229728029687129
60,20,local_loglinear,20,exact_hkt_long_product,80,0.0550546676309389,-1314.6426518494263,0.0,0.0,0.0,0.02725695051835242,0.027256950518352367
60,20,local_loglinear,30,exact_hkt_long_product,80,0.0550546676309389,-1314.6426518494263,0.0,0.0,0.0,0.10080676426397706,0.10080676426397694
60,20,local_loglinear,40,exact_hkt_long_product,80,0.0550546676309389,-1314.6426518494263,0.0,0.0,0.0,0.2297280296871289,0.229728029687129
