t,model_t,tracked_rebased_nfa,reference_rebased_nfa,selected_no_buffer_rebased_nfa,reference_error,selected_error
1,0,0.0,0.0,0.0,0.0,0.0
2,1,-0.006302320404255177,-0.006302320382532042,-0.006302320382532042,2.1723135443241226e-11,2.1723135443241226e-11
3,2,-0.012094331845247075,-0.012094331848968737,-0.012094331848968737,-3.721661867572834e-12,-3.721661867572834e-12
4,3,-0.017337964269812732,-0.017337964341366884,-0.017337964341366884,-7.15541514928475e-11,-7.15541514928475e-11
5,4,-0.0220084781759836,-0.022008478266666208,-0.022008478266666208,-9.068260725664246e-11,-9.068260725664246e-11
6,5,-0.0260925051976244,-0.02609250535842676,-0.02609250535842676,-1.6080235754056815e-10,-1.6080235754056815e-10
7,6,-0.02958633509463634,-0.02958633539987775,-0.02958633539987775,-3.0524141200749533e-10,-3.0524141200749533e-10
8,7,-0.03249437765141189,-0.03249437777588416,-0.03249437717019137,-1.244722727666847e-10,4.812205148252424e-10
9,8,-0.03482776130256914,-0.0348277616165644,-0.03482776131437017,-3.139952603481433e-10,-1.180102543463235e-11
10,9,-0.03660306672165427,-0.03660306666080724,-0.03660306605616079,6.084702880437831e-11,6.654934797678536e-10
11,10,-0.03784118329837418,-0.03784118403460546,-0.03784118361920919,-7.362312773318003e-10,-3.208350113359515e-10
12,11,-0.038566294854910754,-0.03856629635817388,-0.038566294752774705,-1.503263125091081e-9,1.0213604961784029e-10
13,12,-0.03880498251546758,-0.03880498474411824,-0.03880498227801983,-2.228650659852338e-9,2.3744774896306e-10
14,13,-0.038585449742112636,-0.03858545366807788,-0.038585449529598824,-3.9259652473422335e-9,2.125138121034098e-10
15,14,-0.03793685412852868,-0.03793686124870646,-0.03793685380883883,-7.120177780706172e-9,3.1968985098052016e-10
