T_report,n_buffer,terminal_rule,status,residual_safe,tail_window,final_t,final_e_W_over_e_US,max_tail_e_W_over_e_US,tail_log_slope_e_W_over_e_US,final_Y_W_over_Y_US,max_tail_Y_W_over_Y_US,final_Q_W_over_e_US,max_tail_Q_W_over_e_US,tail_log_slope_Q_W_over_e_US,final_zeta,max_tail_abs_zeta_gap,final_Lambda_u,final_Lambda_b,final_Lambda_u_over_Lambda_b,max_tail_Lambda_u_over_Lambda_b,lambda_diagnostics_regular,successor_e_W_over_e_US,successor_Y_W_over_Y_US,successor_Q_W_over_e_US,successor_zeta,successor_HKT_e_W_over_e_US,successor_HKT_Y_W_over_Y_US,successor_HKT_Q_W_over_e_US,successor_HKT_zeta,successor_phi_US_LL,successor_phi_US_HKT_scalar,successor_HKT_phi_over_floor,successor_LL_vs_HKT_phi_log_gap,max_tail_abs_log_phi_US_vs_HKT_scalar,max_tail_residual_norm,psi_ok,equity_weights_ok,hkt_entry_gate,hkt_entry_reason
30,0,local_loglinear,ok,true,8,30,2.6096228010153113,2.693716739823623,-0.004549375727059738,2.7152534316706003,2.798356134237893,1.2012406764343835,1.2217427125852467,-0.0024302456556765098,0.9408368615585062,0.05916313844149379,1.05415501227421,1.2264669156460886,0.8595054614407543,0.8962979333052467,true,2.5902744194981353,2.695628315431688,1.195337199654861,0.9343169459876426,2.5901633982506045,2.703327199192759,1.1952859665398956,0.9999999999999996,0.8576643848862839,0.828945407698481,828.945407698481,0.034058563390390456,0.030569907193234186,1.0187088860673365e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from zeta=1 is too large | LL and HKT successor phi values remain too far apart
45,0,local_loglinear,ok,true,8,45,2.202578749748138,2.419825228484066,-0.013439311920988498,2.2957115494362297,2.520593827074301,1.0701816354103735,1.1424425319563491,-0.009336666284399501,0.8249356470587895,0.17506435294121048,1.0538919047474897,1.3805815829711536,0.7633680745468195,0.81049610532772,true,2.168815394093596,2.260664837024767,1.0585331129582254,0.8166204049147954,2.1662735510837283,2.2773378823458112,1.0572925163628608,0.9999999999999998,0.8239469300957809,0.7443501318603529,744.3501318603529,0.10159459114042757,0.09651230444312633,1.179029248801968e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from zeta=1 is too large | LL and HKT successor phi values remain too far apart
60,0,local_loglinear,ok,true,8,60,1.6533666261310445,1.9190212710059142,-0.021280533874599977,1.7236394289906158,2.000800527760483,0.878047665675048,0.9722791894644044,-0.014563502778305412,0.7025536796940043,0.2974463203059957,1.0507755019599416,1.6038434713918899,0.6551608811600734,0.7067100203861226,true,1.6147357971836844,1.683276803194287,0.8639445592714757,0.6945310508809873,1.6082782947618273,1.701989511383119,0.860489551899015,0.9999999999999997,0.7820981934822325,0.6513434411202419,651.3434411202419,0.18294323735268936,0.17716548817917388,1.3789353756105648e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from zeta=1 is too large | LL and HKT successor phi values remain too far apart
70,0,local_loglinear,ok,true,8,70,1.2658523221254974,1.5371121555739675,-0.02772796829931836,1.3181547214886196,1.602141339793431,0.7371966798084293,0.8361656145311751,-0.017997444208085172,0.6279468312370344,0.37205316876296557,1.0470157662848825,1.8104928897907144,0.5783042685165768,0.6324761195755255,true,1.2275432942223463,1.277996760669647,0.7227481929767171,0.6207026424118053,1.2189990007649711,1.2941840941611855,0.7177175169218307,0.9999999999999999,0.7431049676236515,0.5847286601402526,584.7286601402526,0.23968939933136857,0.23381783891594765,1.581982999208967e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from zeta=1 is too large | LL and HKT successor phi values remain too far apart
80,0,local_loglinear,ok,true,8,80,0.8944054428686838,1.1513687852902086,-0.036065915883628986,0.9281030473206738,1.1981025218192398,0.5986197300423267,0.6948367013534006,-0.02129822045056426,0.5643579469116274,0.43564205308837256,1.04141443131633,2.092485061543453,0.4976926480651503,0.5544231623250914,true,0.8593383927409237,0.8912072659556748,0.58488415250557,0.5583496125042856,0.850058505911188,0.9029862039949259,0.5785680623720365,0.9999999999999994,0.689358710062077,0.5139203915886266,513.9203915886266,0.2936933864366716,0.2882098481979371,1.7889495376908808e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from zeta=1 is too large | LL and HKT successor phi values remain too far apart
90,0,local_loglinear,ok,true,8,90,0.5694924812349522,0.7906023176858803,-0.04685305595234882,0.5852755979163953,0.8187943778937623,0.47380716148002594,0.5591630370284923,-0.02367460146850101,0.5167268409128551,0.48327315908714485,1.0335296974504251,2.4858438212062732,0.41576614292240516,0.47299041303825834,true,0.54076200284804,0.5548815927505654,0.4619218094191168,0.5124671478383518,0.5324502287546647,0.5618939411852579,0.4548218473129151,0.9999999999999997,0.6154310020484217,0.438738711642256,438.73871164225596,0.3384187926899234,0.3340630597445697,1.9534402793547443e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from zeta=1 is too large | LL and HKT successor phi values remain too far apart
100,0,local_loglinear,ok,true,8,100,0.320117500066844,0.48568772798775356,-0.059557100068134146,0.31997286515131834,0.49642307044560136,0.37392979328373793,0.4408612844409821,-0.023534559781616175,0.48924066104619746,0.5107593389538025,1.0235522526847272,3.0117120960211032,0.33985727056612886,0.39198902662695506,true,0.30006194362831506,0.29854665258158414,0.36482844609511117,0.487125816678211,0.2939854580574973,0.30182993766398714,0.35744038894359575,1.0000000000000002,0.5198209837082544,0.3603386747929941,360.3386747929941,0.36644013768059935,0.36398473862408776,2.7039984346573995e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from zeta=1 is too large | LL and HKT successor phi values remain too far apart
105,0,local_loglinear,ok,true,8,105,0.22915322974441735,0.3629623698076423,-0.06572003333664263,0.22210645979325414,0.36577361605295666,0.33563212541987136,0.39164763429490107,-0.022052675358200508,0.483360090570287,0.5166399094297129,1.0181643694816955,3.312575458693069,0.3073633739602111,0.3542541868047681,true,0.21361727133405758,0.20537525414070598,0.32805148973660037,0.4823236518044753,0.20879063661169298,0.20740718437618297,0.3206392393076077,0.9999999999999998,0.4660319001349018,0.32097063542953763,320.97063542953765,0.37290444647484966,0.3715277340504437,3.4175802765855584e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from zeta=1 is too large | LL and HKT successor phi values remain too far apart
110,0,local_loglinear,ok,true,8,110,0.16030530103919957,0.2628546581872024,-0.07068776999403414,0.14715227266212624,0.2584440096893296,0.3052167192729257,0.3502583159960011,-0.019651946907117617,0.48208512496150857,0.5184425155429901,1.0128270884195754,3.61938639715863,0.2798339213560307,0.3201262829907839,true,0.14892549620918638,0.13475929357083521,0.29906949639878205,0.4820211832163453,0.14523859019251537,0.1359316651447264,0.2916655182100733,0.9999999999999997,0.41075158736293804,0.28238246831398806,282.38246831398806,0.37472619880667724,0.37450868968835205,3.557468629190092e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from zeta=1 is too large | LL and HKT successor phi values remain too far apart
111,0,local_loglinear,ok,true,8,111,0.14900000142649383,0.24558180290024814,-0.07143075174195526,0.13472278168857513,0.23981825233572668,0.3000300261860325,0.3429477273939731,-0.019083352935674293,0.4823030475451588,0.518575140002197,1.0117859436860586,3.6797419714284665,0.2749611118230896,0.3138367884002186,true,0.13838066512114947,0.12312688441086009,0.29414773201114586,0.482414983711925,0.1348988469668231,0.12416819797195153,0.2867466336534115,0.9999999999999997,0.39971535415143217,0.27482700523755366,274.82700523755364,0.37461085131428906,0.3747645358452818,3.7289485329524903e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from zeta=1 is too large | LL and HKT successor phi values remain too far apart
112,0,local_loglinear,ok,true,8,112,0.1384595044847236,0.22921120368317033,-0.07206245603178522,0.12309032929669848,0.22212623085420324,0.29512566984191,0.3359583091949583,-0.0184922059069411,0.4826585468928978,0.518715072803267,1.0107571043786736,3.739389631691843,0.2703000232477428,0.30774304839141264,true,0.12857276272917392,0.11226364009606826,0.2894989058308421,0.482939450508124,0.12528704227020757,0.11318587744668465,0.28210066332950917,1.0000000000000004,0.3887274892546035,0.2673403198877172,267.3403198877172,0.37435610326221946,0.37501922447384395,4.2499931186935136e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from zeta=1 is too large | LL and HKT successor phi values remain too far apart
