T_report,model_T,terminal_rule,gate_source_terminal_rule,cutoff_t,cutoff_model_t,t,model_t,evaluation_date,bound_status,lower_bound_certified,hkt_gate_passed,prefix_stable,finite_prefix_product,omitted_tail_bound,bubble_share_lower,log_bubble_share_lower,log10_bubble_share_lower,bubble_share_lower_scientific,lower_bound_float64_underflow,bubble_share_upper,relative_interval_width_bound,leakage,dividend_leakage,switch_leakage,dividend_envelope,switch_envelope,Q_US,NFA,B_agg_lower,B_agg_upper,V_agg_lower,V_agg_upper,NFA_bubble_lower,NFA_bubble_upper,NFA_fund_lower,NFA_fund_upper
30,29,local_loglinear,local_loglinear,22,21,1,0,true,diagnostic_only_hkt_gate_failed,false,false,true,0.003019469737596408,9095.621888217642,0.0,-9101.42456226423,-3952.698464850074,2.00232767e-3953,true,0.003019469737596408,1.0,0.0,0.0,0.0,0.052131056567304775,41.584001213861676,1.0681534236414416,0.14218193684500813,0.0,0.0032252569377953285,1.0649281667036463,1.0681534236414416,-0.0032252569377953285,-0.0,0.14218193684500813,0.14540719378280345
30,29,local_loglinear,local_loglinear,22,21,5,4,true,diagnostic_only_hkt_gate_failed,false,false,true,0.009395962423295481,9095.621888217642,0.0,-9100.28936342906,-3952.2054542600963,6.23082767e-3953,true,0.009395962423295481,1.0,0.3277906019943158,0.033959023442909846,0.881494735654218,0.051936488368196435,41.542343350324316,1.1617768931422372,0.08074330863974688,0.0,0.01091601203221743,1.1508608811100198,1.1617768931422372,-0.01091601203221743,-0.0,0.08074330863974688,0.0916593206719643
30,29,local_loglinear,local_loglinear,22,21,10,9,true,diagnostic_only_hkt_gate_failed,false,false,true,0.03846681538793192,9095.621888217642,0.0,-9098.879847564987,-3951.593309298175,2.55088395e-3952,true,0.03846681538793192,1.0,0.3236777071817736,0.03283681214361742,0.8725226851144685,0.05127940678793853,41.40080960943115,1.3305399920847558,0.03056134825823098,0.0,0.0511816362417847,1.279358355842971,1.3305399920847558,-0.0511816362417847,-0.0,0.03056134825823098,0.08174298450001569
30,29,local_loglinear,local_loglinear,22,21,15,14,true,diagnostic_only_hkt_gate_failed,false,false,true,0.15366558967827326,9095.621888217642,0.0,-9097.49486475092,-3950.9918189044947,1.01901622e-3951,true,0.15366558967827326,1.0,0.3156788195591993,0.031980038713921514,0.8510963425358334,0.05027362265161735,41.18157264738768,1.5601004025914764,0.009123049423152896,0.0,0.23973374832153074,1.3203666542699457,1.5601004025914764,-0.23973374832153074,-0.0,0.009123049423152896,0.24885679774468364
45,44,local_loglinear,local_loglinear,22,21,1,0,true,diagnostic_only_hkt_gate_failed,false,false,true,0.0030194673399208333,9095.689672756595,0.0,-9101.492347597256,-3952.727903646161,1.87109722e-3953,true,0.0030194673399208333,1.0,0.0,0.0,0.0,0.052131056567304775,41.58402663798958,1.0681534236414416,0.14218193684500813,0.0,0.0032252543767099548,1.0649281692647317,1.0681534236414416,-0.0032252543767099548,-0.0,0.14218193684500813,0.14540719122171808
45,44,local_loglinear,local_loglinear,22,21,5,4,true,diagnostic_only_hkt_gate_failed,false,false,true,0.009395954962227294,9095.689672756595,0.0,-9100.357148762083,-3952.2348930561825,5.82246577e-3953,true,0.009395954962227294,1.0,0.3277906019943158,0.033959023442909846,0.881494735654218,0.051936488368196435,41.54236874898293,1.1617768931422372,0.08074330863974688,0.0,0.010916003364120812,1.1508608897781163,1.1617768931422372,-0.010916003364120812,-0.0,0.08074330863974688,0.09165931200386769
45,44,local_loglinear,local_loglinear,22,21,10,9,true,diagnostic_only_hkt_gate_failed,false,false,true,0.038466784871970396,9095.689672756595,0.0,-9098.947632897247,-3951.622748093929,2.38370170e-3952,true,0.038466784871970396,1.0,0.3236777076155659,0.03283681216829051,0.8725226863418262,0.05127940679052059,41.40083492211593,1.3305399897299173,0.0305613501345936,0.0,0.05118159554849443,1.2793583941814228,1.3305399897299173,-0.05118159554849443,-0.0,0.0305613501345936,0.08174294568308803
45,44,local_loglinear,local_loglinear,22,21,15,14,true,diagnostic_only_hkt_gate_failed,false,false,true,0.15366546907985404,9095.689672756595,0.0,-9097.562650074686,-3951.02125769656,9.52230973e-3952,true,0.15366546907985404,1.0,0.3156788246657865,0.03198003900213572,0.8510963569909525,0.05027362267981608,41.181597831665435,1.5601003698866287,0.009123075942280234,0.0,0.23973355515028258,1.320366814736346,1.5601003698866287,-0.23973355515028258,-0.0,0.009123075942280234,0.2488566310925628
60,59,local_loglinear,local_loglinear,22,21,1,0,true,diagnostic_only_hkt_gate_failed,false,false,true,0.0030194673399208333,9095.689672756595,0.0,-9101.492347597256,-3952.727903646161,1.87109722e-3953,true,0.0030194673399208333,1.0,0.0,0.0,0.0,0.052131056567304775,41.58402663798958,1.0681534236414416,0.14218193684500813,0.0,0.0032252543767099548,1.0649281692647317,1.0681534236414416,-0.0032252543767099548,-0.0,0.14218193684500813,0.14540719122171808
60,59,local_loglinear,local_loglinear,22,21,5,4,true,diagnostic_only_hkt_gate_failed,false,false,true,0.009395954962227294,9095.689672756595,0.0,-9100.357148762083,-3952.2348930561825,5.82246577e-3953,true,0.009395954962227294,1.0,0.3277906019943158,0.033959023442909846,0.881494735654218,0.051936488368196435,41.54236874898293,1.1617768931422372,0.08074330863974688,0.0,0.010916003364120812,1.1508608897781163,1.1617768931422372,-0.010916003364120812,-0.0,0.08074330863974688,0.09165931200386769
60,59,local_loglinear,local_loglinear,22,21,10,9,true,diagnostic_only_hkt_gate_failed,false,false,true,0.038466784871970396,9095.689672756595,0.0,-9098.947632897247,-3951.622748093929,2.38370170e-3952,true,0.038466784871970396,1.0,0.3236777076155659,0.03283681216829051,0.8725226863418262,0.05127940679052059,41.40083492211593,1.3305399897299173,0.0305613501345936,0.0,0.05118159554849443,1.2793583941814228,1.3305399897299173,-0.05118159554849443,-0.0,0.0305613501345936,0.08174294568308803
60,59,local_loglinear,local_loglinear,22,21,15,14,true,diagnostic_only_hkt_gate_failed,false,false,true,0.15366546907985404,9095.689672756595,0.0,-9097.562650074686,-3951.02125769656,9.52230973e-3952,true,0.15366546907985404,1.0,0.3156788246657865,0.03198003900213572,0.8510963569909525,0.05027362267981608,41.181597831665435,1.5601003698866287,0.009123075942280234,0.0,0.23973355515028258,1.320366814736346,1.5601003698866287,-0.23973355515028258,-0.0,0.009123075942280234,0.2488566310925628
