T_report,model_T,terminal_rule,gate_source_terminal_rule,cutoff_t,cutoff_model_t,t,model_t,evaluation_date,bound_status,lower_bound_certified,hkt_gate_passed,prefix_stable,finite_prefix_product,omitted_tail_bound,bubble_share_lower,log_bubble_share_lower,log10_bubble_share_lower,bubble_share_lower_scientific,lower_bound_float64_underflow,bubble_share_upper,relative_interval_width_bound,leakage,dividend_leakage,switch_leakage,dividend_envelope,switch_envelope,Q_US,NFA,B_agg_lower,B_agg_upper,V_agg_lower,V_agg_upper,NFA_bubble_lower,NFA_bubble_upper,NFA_fund_lower,NFA_fund_upper
30,29,local_loglinear,local_loglinear,22,21,1,0,true,diagnostic_only_hkt_gate_failed,false,false,true,0.003019469731202909,9095.621897212277,0.0,-9101.424571260985,-3952.698468757315,2.00230966e-3953,true,0.003019469731202909,1.0,0.0,0.0,0.0,0.052131056567304775,41.584001200908894,1.0681534236050094,0.14218193688193836,0.0,0.0032252569308560846,1.0649281666741532,1.0681534236050094,-0.0032252569308560846,-0.0,0.14218193688193836,0.14540719381279446
30,29,local_loglinear,local_loglinear,22,21,5,4,true,diagnostic_only_hkt_gate_failed,false,false,true,0.009395962403008613,9095.621897212277,0.0,-9100.289372425854,-3952.2054581673547,6.23077161e-3953,true,0.009395962403008613,1.0,0.3277906018845377,0.03395902344500268,0.8814947353186051,0.05193648836884213,41.542343337522944,1.1617768929211354,0.08074330875104807,0.0,0.010916012006571153,1.1508608809145642,1.1617768929211354,-0.010916012006571153,-0.0,0.08074330875104807,0.09165932075761922
30,29,local_loglinear,local_loglinear,22,21,10,9,true,diagnostic_only_hkt_gate_failed,false,false,true,0.038466815326431245,9095.621897212277,0.0,-9098.879856561221,-3951.5933132051896,2.55086101e-3952,true,0.038466815326431245,1.0,0.3236777070914668,0.032836812131667954,0.8725226848793967,0.051279406791212095,41.40080959724384,1.3305399925940695,0.030561347115664494,0.0,0.05118163617954727,1.2793583564145223,1.3305399925940695,-0.05118163617954727,-0.0,0.030561347115664494,0.08174298329521176
30,29,local_loglinear,local_loglinear,22,21,15,14,true,diagnostic_only_hkt_gate_failed,false,false,true,0.15366558952043552,9095.621897212277,0.0,-9097.494873746584,-3950.9918228112615,1.01900705e-3951,true,0.15366558952043552,1.0,0.3156788196654855,0.03198003872160238,0.8510963428316495,0.050273622657085563,41.18157263576089,1.5601004009335466,0.00912304985669321,0.0,0.23973374782052126,1.3203666531130254,1.5601004009335466,-0.23973374782052126,-0.0,0.00912304985669321,0.24885679767721447
45,44,local_loglinear,local_loglinear,22,21,1,0,true,diagnostic_only_hkt_gate_failed,false,false,true,0.0030194673401212325,9095.689672794493,0.0,-9101.492347635089,-3952.7279036625914,1.87109715e-3953,true,0.0030194673401212325,1.0,0.0,0.0,0.0,0.052131056567304775,41.58402662560187,1.0681534236050094,0.14218193688193836,0.0,0.003225254376814006,1.0649281692281953,1.0681534236050094,-0.003225254376814006,-0.0,0.14218193688193836,0.14540719125875237
45,44,local_loglinear,local_loglinear,22,21,5,4,true,diagnostic_only_hkt_gate_failed,false,false,true,0.009395954962459267,9095.689672794493,0.0,-9100.357148799958,-3952.234893072631,5.82246555e-3953,true,0.009395954962459267,1.0,0.3277906018845377,0.03395902344500268,0.8814947353186051,0.05193648836884213,41.54236873674607,1.1617768929211354,0.08074330875104807,0.0,0.01091600336231285,1.1508608895588226,1.1617768929211354,-0.01091600336231285,-0.0,0.08074330875104807,0.09165931211336092
45,44,local_loglinear,local_loglinear,22,21,10,9,true,diagnostic_only_hkt_gate_failed,false,false,true,0.03846678488454253,9095.689672794493,0.0,-9098.94763293482,-3951.622748110247,2.38370161e-3952,true,0.03846678488454253,1.0,0.3236777076951458,0.03283681216872436,0.8725226865792642,0.051279406791511266,41.40083490999718,1.3305399895566343,0.030561350118731845,0.0,0.051181595558556524,1.2793583939980777,1.3305399895566343,-0.051181595558556524,-0.0,0.030561350118731845,0.08174294567728838
45,44,local_loglinear,local_loglinear,22,21,15,14,true,diagnostic_only_hkt_gate_failed,false,false,true,0.15366546910244624,9095.689672794493,0.0,-9097.562650112437,-3951.021257712955,9.52230937e-3952,true,0.15366546910244624,1.0,0.3156788245840553,0.03198003900293784,0.8510963567433526,0.05027362268113042,41.181597819686196,1.5601003695895717,0.009123075944505565,0.0,0.2397335551398813,1.3203668144496903,1.5601003695895717,-0.2397335551398813,-0.0,0.009123075944505565,0.24885663108438685
60,59,local_loglinear,local_loglinear,22,21,1,0,true,diagnostic_only_hkt_gate_failed,false,false,true,0.0030194673401212325,9095.689672794493,0.0,-9101.492347635089,-3952.7279036625914,1.87109715e-3953,true,0.0030194673401212325,1.0,0.0,0.0,0.0,0.052131056567304775,41.58402662560187,1.0681534236050094,0.14218193688193836,0.0,0.003225254376814006,1.0649281692281953,1.0681534236050094,-0.003225254376814006,-0.0,0.14218193688193836,0.14540719125875237
60,59,local_loglinear,local_loglinear,22,21,5,4,true,diagnostic_only_hkt_gate_failed,false,false,true,0.009395954962459267,9095.689672794493,0.0,-9100.357148799958,-3952.234893072631,5.82246555e-3953,true,0.009395954962459267,1.0,0.3277906018845377,0.03395902344500268,0.8814947353186051,0.05193648836884213,41.54236873674607,1.1617768929211354,0.08074330875104807,0.0,0.01091600336231285,1.1508608895588226,1.1617768929211354,-0.01091600336231285,-0.0,0.08074330875104807,0.09165931211336092
60,59,local_loglinear,local_loglinear,22,21,10,9,true,diagnostic_only_hkt_gate_failed,false,false,true,0.03846678488454253,9095.689672794493,0.0,-9098.94763293482,-3951.622748110247,2.38370161e-3952,true,0.03846678488454253,1.0,0.3236777076951458,0.03283681216872436,0.8725226865792642,0.051279406791511266,41.40083490999718,1.3305399895566343,0.030561350118731845,0.0,0.051181595558556524,1.2793583939980777,1.3305399895566343,-0.051181595558556524,-0.0,0.030561350118731845,0.08174294567728838
60,59,local_loglinear,local_loglinear,22,21,15,14,true,diagnostic_only_hkt_gate_failed,false,false,true,0.15366546910244624,9095.689672794493,0.0,-9097.562650112437,-3951.021257712955,9.52230937e-3952,true,0.15366546910244624,1.0,0.3156788245840553,0.03198003900293784,0.8510963567433526,0.05027362268113042,41.181597819686196,1.5601003695895717,0.009123075944505565,0.0,0.2397335551398813,1.3203668144496903,1.5601003695895717,-0.2397335551398813,-0.0,0.009123075944505565,0.24885663108438685
70,69,local_loglinear,local_loglinear,22,21,1,0,true,diagnostic_only_hkt_gate_failed,false,false,true,0.0030194673401212325,9095.689672794493,0.0,-9101.492347635089,-3952.7279036625914,1.87109715e-3953,true,0.0030194673401212325,1.0,0.0,0.0,0.0,0.052131056567304775,41.58402662560187,1.0681534236050094,0.14218193688193836,0.0,0.003225254376814006,1.0649281692281953,1.0681534236050094,-0.003225254376814006,-0.0,0.14218193688193836,0.14540719125875237
70,69,local_loglinear,local_loglinear,22,21,5,4,true,diagnostic_only_hkt_gate_failed,false,false,true,0.009395954962459267,9095.689672794493,0.0,-9100.357148799958,-3952.234893072631,5.82246555e-3953,true,0.009395954962459267,1.0,0.3277906018845377,0.03395902344500268,0.8814947353186051,0.05193648836884213,41.54236873674607,1.1617768929211354,0.08074330875104807,0.0,0.01091600336231285,1.1508608895588226,1.1617768929211354,-0.01091600336231285,-0.0,0.08074330875104807,0.09165931211336092
70,69,local_loglinear,local_loglinear,22,21,10,9,true,diagnostic_only_hkt_gate_failed,false,false,true,0.03846678488454253,9095.689672794493,0.0,-9098.94763293482,-3951.622748110247,2.38370161e-3952,true,0.03846678488454253,1.0,0.3236777076951458,0.03283681216872436,0.8725226865792642,0.051279406791511266,41.40083490999718,1.3305399895566343,0.030561350118731845,0.0,0.051181595558556524,1.2793583939980777,1.3305399895566343,-0.051181595558556524,-0.0,0.030561350118731845,0.08174294567728838
70,69,local_loglinear,local_loglinear,22,21,15,14,true,diagnostic_only_hkt_gate_failed,false,false,true,0.15366546910244624,9095.689672794493,0.0,-9097.562650112437,-3951.021257712955,9.52230937e-3952,true,0.15366546910244624,1.0,0.3156788245840553,0.03198003900293784,0.8510963567433526,0.05027362268113042,41.181597819686196,1.5601003695895717,0.009123075944505565,0.0,0.2397335551398813,1.3203668144496903,1.5601003695895717,-0.2397335551398813,-0.0,0.009123075944505565,0.24885663108438685
