t,evidence_window,Y_US,e_US,q_US,q_W,n_W,n_US_star,bond,asset_position,liability_position,foreign_liability_exposure_Y,NFA,NFA_over_Y,rebased_NFA_change_current_Y,VA_asset,VA_liability,VA,CA_asset,CA_liability,CA_bond,CA,RES,cum_VA_asset_current_Y,cum_VA_liability_current_Y,cum_VA_current_Y,cum_CA_asset_current_Y,cum_CA_liability_current_Y,cum_CA_bond_current_Y,cum_CA_current_Y,cum_RES_current_Y
1,true,2.7255955277928674,2.6896341344154395,1.0667190368697315,2.3249284524801364,0.32346592732923896,0.42129115052581084,-0.16045391064304756,0.7520351378556198,0.449399290330634,0.1648811372590373,0.1421819368819382,0.052165457211868216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,true,2.7301075960538266,2.6956243943129974,1.083364371299011,2.3054292629678668,0.3269895856747849,0.4337906663985076,-0.1589220828603036,0.7538513595003875,0.46995335257819826,0.17213730083659776,0.12497592406188562,0.045776922580827696,-0.0063023204085152626,-0.0063073234177548525,-0.007012532092598104,-0.013319855510352956,0.008123545062522608,-0.01354153015496614,0.0015318277827439664,-0.003886157309699566,-5.204170427930421e-17,-0.002310283824297487,-0.0025685918396528445,-0.004878875663950332,0.0029755402586566938,-0.004960071967324454,0.0005610869641028481,-0.0014234447445649122,-1.9062144054148907e-17
3,true,2.742693704953109,2.7096238760610682,1.10050617573145,2.2884313376320096,0.331197471851521,0.4461220362514411,-0.15795172823799075,0.757922673529516,0.49096005602460074,0.17900652017320123,0.10901088926692454,0.039745921708304016,-0.01209433177139289,-0.0055581445629028755,-0.007435954768020586,-0.01299409933092346,0.009629458592031355,-0.01357074867838192,0.0009703546223128467,-0.002970935464037719,9.367506770274758e-17,-0.004326209652659917,-0.005267991403679439,-0.009594201056339355,0.006472834944162123,-0.009885274022536757,0.0009123083633210848,-0.0025001307150535495,1.5179734925652284e-17
4,true,2.7632233330890115,2.7315028890038358,1.1180545029724822,2.2736719496259354,0.3360985518942046,0.4583543102840415,-0.15743947965297042,0.7641778497517498,0.5124651005699189,0.18545916807854737,0.0942732695288605,0.034117137185387135,-0.017337964246096793,-0.0048882719936874115,-0.007828695481575904,-0.012716967475263316,0.011143448215921267,-0.013676349063742252,0.0005122485850203307,-0.002020652262800654,-6.418476861114186e-17,-0.006063114687011603,-0.008062027442888918,-0.014125142129900521,0.01045751587446674,-0.014761249084956388,0.0010909110942933834,-0.0032128221161962663,-8.161267646248573e-18
5,true,2.7915891074204735,2.7611560037159633,1.1359354436448321,2.260913731007415,0.34170409195403056,0.4705479306673212,-0.15730809231049894,0.7725634734402881,0.5345120723787412,0.1914723305653851,0.08074330875104796,0.02892377984153177,-0.02200847824186479,-0.004288018802434401,-0.008195806229104808,-0.01248382503153921,0.012673642490972598,-0.013851165579717497,0.00013138734247147843,-0.00104613574627342,8.500145032286355e-17,-0.007537555839019184,-0.010916000671552096,-0.01845355651057128,0.01489119378312092,-0.019573007120412825,0.001126891605998373,-0.003554921731293533,2.2370786936072798e-17
6,true,2.8277135622520513,2.7985084526605917,1.1540886322725397,2.2499446748777023,0.3480272054218789,0.4827562864468098,-0.15749860922423214,0.7830419575515247,0.5571435423463691,0.1970296955759013,0.06839980598092343,0.024189085802045797,-0.026092505226113887,-0.003748171364396258,-0.00854194534378133,-0.012290116708177588,0.014226655475632904,-0.01408952462384654,-0.0001905169137332019,-5.33860619468373e-5,-1.0061396160665481e-16,-0.00876677555750469,-0.013797342996795053,-0.022564118554299743,0.019732108153360135,-0.024305615327571174,0.0010451205023969102,-0.003528386671814131,-1.3496386968238466e-17
7,true,2.871553303130376,2.8435200534537186,1.1724653386413668,2.240576762030441,0.3550827815434705,0.49502681742542426,-0.15796524532174255,0.7955902289234316,0.5804017851292581,0.20212119499803216,0.05722319847243085,0.019927611446407745,-0.029586335143732486,-0.0032602885288681234,-0.008871470523738436,-0.012131759052606559,0.015808559900774954,-0.014386772259150596,-0.0004666360975104089,0.0009551515441139496,2.2551405187698492e-17,-0.00976830854557547,-0.016676132874363363,-0.026444441419938836,0.02493608934920218,-0.028944644791791718,0.0008666617187958985,-0.0031418937237936476,-5.436956808975667e-18
8,true,2.9231015174724986,2.896187557347665,1.191026930560612,2.23264395842543,0.36288760427193884,0.5074018611242266,-0.15867196406861153,0.8101988172652225,0.6043292812155295,0.20674248827939148,0.04719757198108143,0.016146401929239697,-0.032494377746752484,-0.002816801969505308,-0.009188485774133436,-0.012005287743638744,0.017425390311296297,-0.014739010312137975,-0.0007067187468689784,0.001979661252289343,-1.3877787807814457e-17,-0.01055968137098394,-0.019525456051318814,-0.030085137422302753,0.03045761480296916,-0.033476463300034384,0.0006096081726155096,-0.0024092403244497175,-1.008870164629278e-17
9,true,2.98238946225027,2.956546026736612,1.2097435721445462,2.2260000116478373,0.37146055558473756,0.5199193474283496,-0.1595901240643596,0.8268712010583379,0.628969088585033,0.21089435050191727,0.03831198840894534,0.01284607154561169,-0.03482776135971893,-0.0024110059290308916,-0.009496858773683283,-0.011907864702714174,0.019083389722146307,-0.015142948595820157,-0.0009181599957480691,0.0030222811305780813,1.734723475976807e-18,-0.011158176016177046,-0.02232161487601496,-0.033479790892192,0.036250828786701834,-0.03788842828813641,0.00028962903390767096,-0.0013479704675269087,-9.30648929891497e-18
10,true,3.049487344141899,3.024669643723036,1.228593115731806,2.220516245849031,0.3808228577176806,0.5326133895562905,-0.16069684847859064,0.8456233423527637,0.654365143755441,0.2145820165518916,0.030561350118732067,0.010021799296016355,-0.03660306607851008,-0.002037002690321243,-0.009800242401210328,-0.01183724509153157,0.02078914398474704,-0.01559581276919771,-0.0011067244142310417,0.004086606801318289,6.938893903907228e-18,-0.011580644637447651,-0.025044206703975246,-0.0366248513414229,0.042270460313163775,-0.04216900991046613,-7.966513978481144e-5,2.1785262912826024e-5,-6.8262889340107526e-18
