sweep_kind,sweep_value,case_id,label,pi,gamma,T_max,solve_status,failure_T,failure_reason,hard_valid,max_u_residual,max_bgp_residual,bound_status,finite_envelope_diagnostics_pass,lower_bound_certified,hkt_entry_gate,hkt_entry_reason,cutoff_t,endpoint_guard,prefix_reference_T,prefix_product_log_gap,prefix_leakage_gap,prefix_stable,leakage_reconstruction_error,omitted_tail_bound,analytic_growth_floor_ok,tail_dividend_envelope_ok,tail_switch_envelope_ok,max_tail_e_W_over_e_US,max_tail_Y_W_over_Y_US,max_tail_abs_zeta_gap,successor_LL_vs_HKT_phi_log_gap
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,ok,,,true,2.5939756736687514e-7,9.954508187891375e-10,diagnostic_only_hkt_gate_failed,true,false,false,tail e_W/e_US | tail Y_W/Y_US | LL successor dominance | HKT successor dominance | zeta convergence | LL-HKT phi agreement,103,2,104,2.409170804895666e-5,1.0778879809589248e-5,true,1.1102230246251565e-16,2.1686686688201413,true,true,true,0.43378088874009535,0.44046583981499976,0.5275915147191304,0.38405733853649193
pi,0.75,pi_0p750_gamma_0p25,π = 0.75 (AHP),0.75,0.25,105,ok,,,true,2.8998472143039727e-7,9.985140561608041e-10,diagnostic_only_hkt_gate_failed,true,false,false,tail e_W/e_US | tail Y_W/Y_US | LL successor dominance | HKT successor dominance | zeta convergence | LL-HKT phi agreement,103,2,104,3.0393579329768272e-5,1.2780920135437024e-5,true,5.551115123125783e-17,1.5420512012495373,true,true,true,0.3629623696215121,0.365773615733665,0.5166400028838534,0.37290458270699045
pi,0.8,pi_0p800_gamma_0p25,π = 0.8,0.8,0.25,105,ok,,,true,3.4246860303604605e-7,9.415995344541628e-10,diagnostic_only_hkt_gate_failed,true,false,false,tail e_W/e_US | tail Y_W/Y_US | LL successor dominance | HKT successor dominance | zeta convergence | LL-HKT phi agreement,103,2,104,3.150067970558723e-5,1.25701094445263e-5,true,5.551115123125783e-17,1.133721560271672,true,true,true,0.30054850544251827,0.29968350938189203,0.5067730026326697,0.3631700998460319
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,ok,,,true,4.7682131813358326e-7,9.939648965007208e-10,diagnostic_only_hkt_gate_failed,true,false,false,tail e_W/e_US | tail Y_W/Y_US | LL successor dominance | HKT successor dominance | zeta convergence | LL-HKT phi agreement,103,2,104,2.510913471986953e-5,9.129608676546747e-6,true,2.7755575615628914e-17,0.6841724698248854,true,true,true,0.19933118730294183,0.1916176702095229,0.4910283285727143,0.34834377282970874
pi,0.95,pi_0p950_gamma_0p25,π = 0.95,0.95,0.25,105,ok,,,true,5.273481370095564e-7,9.913373611789146e-10,diagnostic_only_hkt_gate_failed,true,false,false,tail e_W/e_US | tail Y_W/Y_US | LL successor dominance | HKT successor dominance | zeta convergence | LL-HKT phi agreement,103,2,104,2.169867247836521e-5,7.3293814683329794e-6,true,2.7755575615628914e-17,0.5525964289325623,true,true,true,0.15544464866664115,0.14417198253068128,0.4845545708975679,0.34257540714360757
pi,0.97,pi_0p970_gamma_0p25,π = 0.97,0.97,0.25,105,ok,,,true,5.200061100773096e-7,9.819635145707632e-10,diagnostic_only_hkt_gate_failed,true,false,false,tail e_W/e_US | tail Y_W/Y_US | LL successor dominance | HKT successor dominance | zeta convergence | LL-HKT phi agreement,103,2,104,2.2600741850897776e-5,7.0447442628556595e-6,true,6.938893903907228e-18,0.5045356989574538,true,true,true,0.13622773567810256,0.12327663525911114,0.4809192337878966,0.3393546334871327
pi,0.99,pi_0p990_gamma_0p25,π = 0.99,0.99,0.25,105,failed,105,Absorbing-BGP continuation failed during outer iteration 1 at the required terminal successor t=106.,false,,,unavailable_no_T105_solution,false,false,false,not evaluated,,,,,,false,,,false,false,false,,,,
pi,0.995,pi_0p995_gamma_0p25,π = 0.995,0.995,0.25,105,failed,105,Absorbing-BGP continuation failed during outer iteration 1 at the required terminal successor t=106.,false,,,unavailable_no_T105_solution,false,false,false,not evaluated,,,,,,false,,,false,false,false,,,,
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,ok,,,true,3.5912868345992486e-7,9.943877963481004e-10,diagnostic_only_hkt_gate_failed,true,false,false,tail e_W/e_US | tail Y_W/Y_US | LL successor dominance | HKT successor dominance | zeta convergence | LL-HKT phi agreement,103,2,104,3.448899999725086e-5,1.3172762086961776e-5,true,5.551115123125783e-17,1.1922908781977866,true,true,true,0.3318188505712335,0.3332975883365689,0.5020538931040617,0.35786696477542124
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,ok,,,true,2.8998472143039727e-7,9.985140561608041e-10,diagnostic_only_hkt_gate_failed,true,false,false,tail e_W/e_US | tail Y_W/Y_US | LL successor dominance | HKT successor dominance | zeta convergence | LL-HKT phi agreement,103,2,104,3.0393579329768272e-5,1.2780920135437024e-5,true,5.551115123125783e-17,1.5420512012495373,true,true,true,0.3629623696215121,0.365773615733665,0.5166400028838534,0.37290458270699045
