sweep_kind,sweep_value,case_id,label,pi,gamma,T_max,branch_iters,warm_start_T,status,elapsed_sec,branch_converged,max_u_residual,max_bgp_residual,residual_safe,error
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,30,60,,ok,0.6312520503997803,true,1.1685511285002602e-7,9.954506962611779e-10,true,
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,45,60,30,ok,0.6284770965576172,true,1.2186708793460952e-7,9.954508187891375e-10,true,
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,60,60,45,ok,0.6096630096435547,true,1.1191316554090649e-7,9.954508187891375e-10,true,
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,70,60,60,ok,0.827747106552124,true,1.4945677147615394e-7,9.954508187891375e-10,true,
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,80,60,70,ok,1.0808560848236084,true,1.5047158335957303e-7,9.954508187891375e-10,true,
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,90,60,80,ok,1.2156200408935547,true,1.8046810569294787e-7,9.954508187891375e-10,true,
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,100,60,90,ok,1.2198739051818848,true,2.204910568483342e-7,9.954508187891375e-10,true,
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,103,60,100,ok,1.2578070163726807,true,2.649932002569104e-7,9.954508187891375e-10,true,
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,104,60,103,ok,1.0928049087524414,true,2.622801318332047e-7,9.954508187891375e-10,true,
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,60,104,ok,1.1759748458862305,true,2.5939756736687514e-7,9.954508187891375e-10,true,
pi,0.75,pi_0p750_gamma_0p25,π = 0.75 (AHP),0.75,0.25,30,60,,ok,0.47587013244628906,true,1.0187088860673365e-7,9.985140561608041e-10,true,
pi,0.75,pi_0p750_gamma_0p25,π = 0.75 (AHP),0.75,0.25,45,60,30,ok,0.6914401054382324,true,1.179029248801968e-7,9.985140561608041e-10,true,
pi,0.75,pi_0p750_gamma_0p25,π = 0.75 (AHP),0.75,0.25,60,60,45,ok,0.7398359775543213,true,1.3789353756105648e-7,9.985140561608041e-10,true,
pi,0.75,pi_0p750_gamma_0p25,π = 0.75 (AHP),0.75,0.25,70,60,60,ok,0.9401559829711914,true,1.581982999208967e-7,9.985140561608041e-10,true,
pi,0.75,pi_0p750_gamma_0p25,π = 0.75 (AHP),0.75,0.25,80,60,70,ok,1.0872020721435547,true,1.7889495376908808e-7,9.985140561608041e-10,true,
pi,0.75,pi_0p750_gamma_0p25,π = 0.75 (AHP),0.75,0.25,90,60,80,ok,1.289167881011963,true,1.9534402793547443e-7,9.985140561608041e-10,true,
pi,0.75,pi_0p750_gamma_0p25,π = 0.75 (AHP),0.75,0.25,100,60,90,ok,1.4618680477142334,true,2.7039984346573995e-7,9.985140561608041e-10,true,
pi,0.75,pi_0p750_gamma_0p25,π = 0.75 (AHP),0.75,0.25,103,60,100,ok,1.4687449932098389,true,3.117694744343101e-7,9.985140561608041e-10,true,
pi,0.75,pi_0p750_gamma_0p25,π = 0.75 (AHP),0.75,0.25,104,60,103,ok,1.2482540607452393,true,3.04740349675962e-7,9.985140561608041e-10,true,
pi,0.75,pi_0p750_gamma_0p25,π = 0.75 (AHP),0.75,0.25,105,60,104,ok,1.3123588562011719,true,2.8998472143039727e-7,9.985140561608041e-10,true,
pi,0.8,pi_0p800_gamma_0p25,π = 0.8,0.8,0.25,30,60,,ok,0.4804530143737793,true,1.2685484316687435e-7,9.415996107819957e-10,true,
pi,0.8,pi_0p800_gamma_0p25,π = 0.8,0.8,0.25,45,60,30,ok,0.8261101245880127,true,1.395659003362406e-7,9.415995344541628e-10,true,
pi,0.8,pi_0p800_gamma_0p25,π = 0.8,0.8,0.25,60,60,45,ok,0.8118739128112793,true,1.3495193243645656e-7,9.415995344541628e-10,true,
pi,0.8,pi_0p800_gamma_0p25,π = 0.8,0.8,0.25,70,60,60,ok,1.0136008262634277,true,1.7869002279926036e-7,9.415995344541628e-10,true,
pi,0.8,pi_0p800_gamma_0p25,π = 0.8,0.8,0.25,80,60,70,ok,1.1930830478668213,true,1.8535016319676484e-7,9.415995344541628e-10,true,
pi,0.8,pi_0p800_gamma_0p25,π = 0.8,0.8,0.25,90,60,80,ok,1.1141018867492676,true,2.3304407260596544e-7,9.415995344541628e-10,true,
pi,0.8,pi_0p800_gamma_0p25,π = 0.8,0.8,0.25,100,60,90,ok,1.76584792137146,true,2.9710969154136664e-7,9.415995344541628e-10,true,
pi,0.8,pi_0p800_gamma_0p25,π = 0.8,0.8,0.25,103,60,100,ok,1.605762004852295,true,3.56347658259466e-7,9.415995344541628e-10,true,
pi,0.8,pi_0p800_gamma_0p25,π = 0.8,0.8,0.25,104,60,103,ok,1.3889238834381104,true,3.6706602481206784e-7,9.415995344541628e-10,true,
pi,0.8,pi_0p800_gamma_0p25,π = 0.8,0.8,0.25,105,60,104,ok,1.4455339908599854,true,3.4246860303604605e-7,9.415995344541628e-10,true,
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,30,60,,ok,0.72157883644104,true,1.4545875773457407e-7,9.939649936452355e-10,true,
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,45,60,30,ok,1.0955119132995605,true,1.6724389740218462e-7,9.939648965007208e-10,true,
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,60,60,45,ok,1.265166997909546,true,1.929959219059353e-7,9.939648965007208e-10,true,
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,70,60,60,ok,1.1013500690460205,true,1.8642899688556481e-7,9.939648965007208e-10,true,
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,80,60,70,ok,1.5309948921203613,true,2.4693453115970057e-7,9.939648965007208e-10,true,
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,90,60,80,ok,1.9609520435333252,true,3.12355383860278e-7,9.939648965007208e-10,true,
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,100,60,90,ok,2.254404067993164,true,3.967922077476419e-7,9.939648965007208e-10,true,
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,103,60,100,ok,1.985388994216919,true,4.039934801506233e-7,9.939648965007208e-10,true,
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,104,60,103,ok,1.637019157409668,true,4.5161737421396907e-7,9.939648965007208e-10,true,
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,60,104,ok,1.7245469093322754,true,4.7682131813358326e-7,9.939648965007208e-10,true,
pi,0.95,pi_0p950_gamma_0p25,π = 0.95,0.95,0.25,30,60,,ok,0.708745002746582,true,1.3196804359857572e-6,9.078263871132854e-10,true,
pi,0.95,pi_0p950_gamma_0p25,π = 0.95,0.95,0.25,45,60,30,ok,1.1958980560302734,true,1.4976344396239412e-6,9.913425709523193e-10,true,
pi,0.95,pi_0p950_gamma_0p25,π = 0.95,0.95,0.25,60,60,45,ok,1.5391860008239746,true,5.753014616445691e-7,9.913373615297655e-10,true,
pi,0.95,pi_0p950_gamma_0p25,π = 0.95,0.95,0.25,70,60,60,ok,1.7776541709899902,true,3.864435391072163e-7,9.913373611789146e-10,true,
pi,0.95,pi_0p950_gamma_0p25,π = 0.95,0.95,0.25,80,60,70,ok,1.9698600769042969,true,1.4989432606139542e-6,9.913373611789146e-10,true,
pi,0.95,pi_0p950_gamma_0p25,π = 0.95,0.95,0.25,90,60,80,ok,2.208192825317383,true,2.1819817319057187e-6,9.913373611789146e-10,true,
pi,0.95,pi_0p950_gamma_0p25,π = 0.95,0.95,0.25,100,60,90,ok,2.4338431358337402,true,1.1493205574972175e-6,9.913373611789146e-10,true,
pi,0.95,pi_0p950_gamma_0p25,π = 0.95,0.95,0.25,103,60,100,ok,2.187227964401245,true,5.032478862155874e-7,9.913373611789146e-10,true,
pi,0.95,pi_0p950_gamma_0p25,π = 0.95,0.95,0.25,104,60,103,ok,1.846372127532959,true,5.279233191566007e-7,9.913373611789146e-10,true,
pi,0.95,pi_0p950_gamma_0p25,π = 0.95,0.95,0.25,105,60,104,ok,1.9159860610961914,true,5.273481370095564e-7,9.913373611789146e-10,true,
pi,0.97,pi_0p970_gamma_0p25,π = 0.97,0.97,0.25,30,60,,ok,0.7412288188934326,true,3.554511997032184e-6,9.794609279414387e-10,true,
