t,NFA_change_current_Y,cum_CA_current_Y,cum_VA_current_Y,cum_RES_current_Y,NFA_over_Y,late_VA_asset_finalY,late_VA_liability_finalY,late_CA_finalY
1,0.0,0.0,0.0,0.0,-0.021922504396907544,0.0,0.0,0.0
2,-0.0007051342696604721,-0.0001980361709615869,-0.0005070980986988836,-1.6105973222363408e-18,-0.0226081773858637,0.0,0.0,0.0
3,-0.0013458973892010568,-0.00034954441756977766,-0.0009963529716313,2.0804538584603256e-17,-0.023221755744717583,0.0,0.0,0.0
4,-0.0019287946126287136,-0.0004594174247150743,-0.0014693771879136337,-5.674866475123555e-18,-0.023770599448879208,0.0,0.0,0.0
5,-0.0024597118094703656,-0.0005320705783364882,-0.0019276412311338964,1.907738595922491e-17,-0.024261363155407653,0.0,0.0,0.0
6,-0.002943966242838691,-0.0005714821091475862,-0.0023724841336911174,1.2531698443385603e-17,-0.02470005457860543,0.0,0.0,0.0
7,-0.003386358480448851,-0.000581232507222441,-0.00280512597322642,9.73614084231501e-18,-0.02509209355971951,0.0,0.0,0.0
8,-0.0037912102194670796,-0.000564537730725396,-0.0032266724887416594,-2.435874111772478e-17,-0.025442356506067722,0.0,0.0,0.0
9,-0.0041624149693951125,-0.0005242856772459767,-0.003638129292149145,8.73282054219224e-18,-0.025755233328928605,0.0,0.0,0.0
10,-0.004503469322681586,-0.00046306435896511995,-0.004040404963716472,6.333016810745236e-18,-0.026034664356085153,0.0,0.0,0.0
11,-0.004817518195937522,-0.00038319371154811263,-0.004434324484389433,2.3309326249922277e-17,-0.026284190880873196,0.0,0.0,0.0
12,-0.005107380102689263,-0.00028674895700060916,-0.0048206311456886405,-1.3637675926451817e-17,-0.026506985155413186,0.0,0.0,0.0
13,-0.005375587235096776,-0.0001755879823590377,-0.005199999252737718,-1.98151602825744e-17,-0.026705894903672825,0.0,0.0,0.0
14,-0.005624405290135156,-5.1370296094354796e-5,-0.005573034994040807,5.784000635581714e-18,-0.026883467035504875,0.0,0.0,0.0
15,-0.005855867692523368,8.441999300609271e-5,-0.005940287685529463,1.7136675897237521e-18,-0.027041985519373576,0.0,0.0,0.0
16,-0.0060717915153304415,0.00023045876351006787,-0.006302250278840542,3.30662772312568e-17,-0.027183490477520906,-2.272744723820463e-5,-0.0003398484567411623,0.00013859376573995273
17,-0.006273806430542433,0.0003855627812835934,-0.006659369211826012,-1.4798114891043e-17,-0.027309810113162435,-4.260100647686358e-5,-0.0006808964149347263,0.0002868063536999958
18,-0.006463367564806985,0.0005486772644709829,-0.007012044829277956,-1.2175434969070698e-17,-0.027422576135884325,-5.9927525276597965e-5,-0.0010232106111116028,0.0004437583924244413
19,-0.006641777071727683,0.0007188608485002671,-0.007360637920227932,-1.7606814343109236e-17,-0.02752324773170219,-7.498039896086036e-5,-0.001366852815198365,0.0006086645283593741
20,-0.006810200413203669,0.0008952738107081414,-0.007705474223911784,-2.6004944674142675e-17,-0.027613129954361694,-8.800355011251188e-5,-0.0017118806631985645,0.0007808234706249944
21,-0.006969677740942849,0.0010771680308068142,-0.008046845771749666,1.981040513474348e-18,-0.02769338697626277,-9.921402713788247e-5,-0.0020583467150635266,0.0009596096680366329
22,-0.007121138909241152,0.001263876586610818,-0.008385015495851997,2.6261575882596187e-17,-0.027765058821038056,-0.00010880543721164387,-0.0024062996807086724,0.0011444645738779174
23,-0.007265414584245294,0.001454805226549907,-0.008720219810795205,2.7217950609414202e-18,-0.027829073982945787,-0.00011695043968776315,-0.0027557845818878784,0.0013348896299241757
24,-0.007403246679269351,0.0016494245636381473,-0.009052671242907531,3.1629744415656404e-17,-0.02788626121726234,-0.0001238030527696533,-0.003106843082446442,0.0015304398577476385
25,-0.007535297727476649,0.0018472630854730451,-0.00938256081294967,-2.505376832899059e-17,-0.027937360122715926,-0.00012950069872823914,-0.0034595137973756325,0.0017307181442302992
26,-0.0076621592970301765,0.0020479008982819827,-0.009710060195312143,-1.6038341543786146e-17,-0.02798303063590909,-0.00013416601973459288,-0.003813832581992095,0.0019353701428631936
27,-0.007784359547184866,0.0022509641296455593,-0.010035323676830387,-3.76036747758043e-17,-0.02802386154965792,-0.0001379084927242366,-0.004169832803970943,0.0021440797209639046
28,-0.007902370019048536,0.0024561199203130624,-0.010358489939361606,7.460807307629151e-18,-0.02806037816111805,-0.0001408258690125096,-0.004527545603001394,0.002356564889928679
29,-0.008016611753189186,0.0026630719400582395,-0.010679683693247401,-2.3768131392644405e-17,-0.028093049152774885,-0.0001430054628347851,-0.004887000146138752,0.002572574160801673
30,-0.008127460830044243,0.002871556365184268,-0.010999017195228512,2.597496006867733e-18,-0.028122292811957886,-0.00014452531300949569,-0.005248223892627134,0.0027918832702894633
