t,Y_US,q_US,q_W,NFA,NFA_over_Y,asset_position,liability_position,foreign_liability_exposure_Y,VA_asset,VA_liability,VA,CA_asset,CA_liability,CA_bond,CA,RES,cum_VA_current_Y,cum_CA_current_Y,NFA_change_current_Y
1,2.0177104691847987,0.7373162932871065,1.7638373339783116,-0.044233266632390134,-0.021922504396907544,0.48253213700578296,0.3484099030528506,0.17267586622257858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.019503244262331,0.738878757101782,1.762792762705902,-0.045657287577610006,-0.0226081773858637,0.48296853403736395,0.3502973196509017,0.1734571710375517,-0.00028576286408102153,-0.0007383233914006336,-0.0010240862554816552,0.0007221598956620533,-0.0011490932066505137,2.699862125024599e-5,-0.00039993468973821436,-3.2526065174565133e-18,-0.0005070980986988836,-0.0001980361709615869,-0.0007051342696604721
3,2.0220128469261023,0.7404341571411348,1.7618687953484913,-0.04695468844399897,-0.023221755744717583,0.48356302945952484,0.35216865872830266,0.17416736954153153,-0.0002531478285751493,-0.0007374044246546826,-0.0009905522532298319,0.0008476432507360021,-0.0011339346527462718,-2.0557211148908294e-5,-0.000306848613159178,4.5319650809894085e-17,-0.0009963529716313,-0.00034954441756977766,-0.0013458973892010568
4,2.0251653635773215,0.7419832989433213,1.7610516155295475,-0.04813939467534034,-0.023770599448879208,0.4842992845993226,0.35402662523326106,0.17481368761309266,-0.00022428341423885113,-0.0007368098640429978,-0.000961093278281849,0.0009605385540366259,-0.0011211566409153725,-6.299486618072114e-5,-0.0002236129530594678,-5.355958732078392e-17,-0.0014693771879136337,-0.0004594174247150743,-0.0019287946126287136
5,2.0288952396549975,0.7435269707204663,1.7603290501650382,-0.04922376421354774,-0.024261363155407653,0.485162809916954,0.3558736246388264,0.17540266135147556,-0.00019870961533565627,-0.0007365407152812686,-0.0009352503306169249,0.0010622349329670626,-0.0011104586902840822,-0.00010089545027350266,-0.00014911920759052232,5.0198560586078855e-17,-0.0019276412311338964,-0.0005320705783364882,-0.0024597118094703656
6,2.033144283555385,0.7450659324670899,1.7596903609320016,-0.05021877476999764,-0.02470005457860543,0.48614074543026825,0.35771179813871395,0.17594019324254687,-0.00017602860268349846,-0.0007365918339461859,-0.0009126204366296843,0.0011539641159977686,-0.00110158166594138,-0.00013477256987659558,-8.239011982020704e-5,-1.3227266504323154e-17,-0.0023724841336911174,-0.0005714821091475862,-0.002943966242838691
7,2.037860799039865,0.7466009150518308,1.7591260586413762,-0.05113419383119305,-0.02509209355971951,0.48722167302903396,0.3595430546878307,0.17643160654409215,-0.00015589693636064347,-0.000736956766606083,-0.0008928537029667264,0.001236824535126319,-0.0010942997825106571,-0.00016509011084434033,-2.256535822867849e-5,-5.637851296924623e-18,-0.00280512597322642,-0.000581232507222441,-0.003386358480448851
8,2.0429988346513093,0.748132602229719,1.7586277619459894,-0.05197870469267951,-0.025442356506067722,0.48839544255929784,0.3613690952213334,0.17688169424874411,-0.00013801225239009227,-0.0007376196247038856,-0.0008756318770939779,0.001311781782653998,-0.0010884209087988139,-0.00019223985824759482,3.112101560758928e-5,-6.960577947356938e-17,-0.0032266724887416594,-0.000564537730725396,-0.0037912102194670796
9,2.0485175161426117,0.7496616417987377,1.7581880493532618,-0.052760046606650235,-0.025755233328928605,0.48965303228049323,0.36319143914367613,0.1772947686713321,-0.0001221143160428929,-0.0007385691306155015,-0.0008606834466583944,0.0013797040372382405,-0.0010837747917272077,-0.00021658771282342948,7.934153268760336e-5,6.765421556309548e-17,-0.003638129292149145,-0.0005242856772459767,-0.0041624149693951125
10,2.0543804727868795,0.7511886300106486,1.7578003574942418,-0.05348510606870194,-0.026034664356085153,0.4909864131052685,0.3650114420671464,0.1776747038351608,-0.00010797166687000789,-0.0007397858117812486,-0.0008477574786512565,0.0014413524916453103,-0.0010802171116890654,-0.00023843736335668608,0.00012269801659955883,-4.87890977618477e-18,-0.004040404963716472,-0.00046306435896511995,-0.004503469322681586
11,2.060555321339157,0.7527141262435968,1.7574588651214678,-0.05416002938667741,-0.026284190880873196,0.4923884428881289,0.3668303171950189,0.1780249787016713,-9.538518666029956e-5,-0.0007412566665825597,-0.0008366418532428592,0.0014974149695206563,-0.0010776184612899334,-0.000258077972963372,0.000161718535267351,3.5019730171281793e-17,-0.004434324484389433,-0.00038319371154811263,-0.004817518195937522
12,2.067013224001522,0.7542386390708183,1.7571584195630925,-0.05479028884465109,-0.026506985155413186,0.49385275949419366,0.3686491483063236,0.17834871302499813,-8.417603597841842e-5,-0.0007429613773404488,-0.0008271374133188672,0.0015484926420432348,-0.0010758697339642248,-0.00027574495273374744,0.00019687795534526257,-7.621941272573096e-17,-0.0048206311456886405,-0.00028674895700060916,-0.005107380102689263
