t,N_US,N_W,phi_US,phi_W,omega,omega_star,theta_US_star,theta,R_f,R_f_W,q_US,d_US,Q_US,Q_W,Y_US,Y_W,e_US,e_W,I_US,I_W,R_US,R_W,R_A,G_N_US,G_N_W,Psi,converged,resnorm
0,1.0,1.0,0.6625949207625496,0.725933659350149,0.5983056768509881,0.17017808147788946,0.7419698585901661,-0.7500017451313763,1.0727432318990613,1.0872517304501657,0.8597698029483064,0.11393582089171318,0.9177879426462545,0.7731348635848161,1.7377375660986414,1.757849800966628,1.6818198849048764,1.6916097586089611,0.0580181396979481,0.040175877436043776,1.0666032174280347,1.0914862826578038,1.0794901388822478,1.0674810158474901,1.0548132681299702,0.9880620294626075,true,4.607435717673969e-10
1,1.0672315147638227,1.0551268570790011,0.6625936196326824,0.7259335151395119,0.5983008641558467,0.17017470495650489,0.7419451136831088,-0.7500134264370415,1.072742705093182,1.0872516869341173,0.8099053938229214,0.10732762929063254,0.9226844439341804,0.7772950266865379,1.7470017531275692,1.7673079108711618,1.690786208412871,1.7007114816513678,0.05832788366915359,0.04039208005341517,1.0666027335839363,1.0914862283077504,1.0794902437932496,1.0674812760734635,1.0548132969720976,0.9880614852340325,true,1.01702881810069e-10
2,1.1405730351223309,1.1138966299941988,0.6625939111090872,0.7259335472952869,0.5983019416433248,0.1701754609737428,0.7419506544865345,-0.750010810409522,1.0727428229976672,1.0872516966242483,0.7619531523675591,0.10097310386182384,0.9277086640028709,0.7815195990224932,1.7565161025341731,1.7769133286700243,1.6999943473827466,1.709954940158484,0.05864544438597618,0.0406116051331628,1.066602841973665,1.091486240426607,1.0794902203633816,1.0674812177781825,1.0548132905409426,0.988061607092952,true,5.099231350319884e-12
3,1.220679467362795,1.1765876761831557,0.6625958147506932,0.7259337571170992,0.5983089790032764,0.17018039889520745,0.7419868429321815,-0.7499937267576002,1.0727435930196656,1.0872517598407867,0.7159068435491746,0.09487137565741248,0.9328638010525175,0.7858100454669846,1.7662869110704107,1.7866694056050585,1.7094503873524758,1.7193433585754834,0.05897101658753136,0.0408345282108281,1.0666035498706794,1.0914863195041786,1.079490067318486,1.0674808370498614,1.0548132485765802,0.988062402933913,true,2.1749207262944042e-10
4,1.3082849797690255,1.2435021841810074,0.6625993485512957,0.7259341464426206,0.5983220427974221,0.17018956599982474,0.7420540304202434,-0.7499620155276856,1.0727450224002806,1.0872518771367694,0.6717560218233868,0.08902102048911721,0.938153112115494,0.79016785957148,1.776320588152031,1.7965795613942606,1.719160522856971,1.7288800271617637,0.05930479869456341,0.04106092621899969,1.0666048639674506,1.0914864662330612,1.0794897832892922,1.067480130289741,1.0548131707114758,0.9880638802098776,true,7.495485401249867e-10
5,1.404213540898884,1.314968408516474,0.6626045292952606,0.7259347171482673,0.5983411946817664,0.17020300654929799,0.7421525551370243,-0.7499155263356961,1.0727471178730752,1.0872520491015272,0.6294861093620302,0.08342006943834658,0.943579911200651,0.7945945648534696,1.786623654470855,1.8066472847541422,1.7291310560095359,1.7385683025536611,0.059646992626732266,0.041290877622824004,1.0666067905077719,1.0914866813204656,1.0794893671507062,1.067479094140948,1.0548130565703466,0.9880660458222598,true,4.440892098500626e-16
6,1.5093909683398952,1.3913431310114985,0.6626113729625729,0.7259354702181734,0.5983664944349635,0.17022076418716522,0.7422827449418896,-0.7498541232725409,1.0727498857799032,1.0872522759986483,0.5890784973474729,0.07806602238202769,0.9491475671297623,0.7990917170342576,1.7972027403548754,1.816876133819968,1.7393683948274727,1.7484116082852181,0.05999780359024983,0.04152446266913722,1.0666093354374164,1.0914869651373336,1.0794888177353772,1.0674777254074854,1.0548129059563653,0.9880689062393622,true,3.5388358909926865e-16
7,1.6248587191473174,1.4730143724448457,0.6626198940510716,0.7259364068538087,0.5983979955839653,0.1702428785690483,0.7424449109527419,-0.7497776806302625,1.0727533318532532,1.0872525581999555,0.5505106711017217,0.07295586451188144,0.9548595041428674,0.8036609020454455,1.8080645835613165,1.8272697371435112,1.7498790512158493,1.7584134356104761,0.06035744021959384,0.041761763125479044,1.0666125041521304,1.0914873181365292,1.0794881342030345,1.0674760211897856,1.0548127186292382,0.9880724672713426,true,3.885780586188048e-16
8,1.7517896885879554,1.5604043823213898,0.6626301058211104,0.7259375278436215,0.598435747339719,0.1702693869074571,0.7426393490000481,-0.7496860864589896,1.0727574612827824,1.0872528959407002,0.5137563552258668,0.06808608560591682,0.9607191999366831,0.8083037376462531,1.8192160271246147,1.8378317942075717,1.760669638829332,1.7685773440774488,0.06072611440547895,0.042002862454148894,1.066616301588638,1.0914877406152712,1.0794873158500462,1.0674739788357779,1.0548124944312758,0.9880767341381194,true,1.647426597884011e-16
9,1.8915063280342244,1.6539729369455676,0.6626420201424115,0.7259388336821678,0.5984797938141672,0.17030032339667184,0.7428663376411894,-0.749579242752093,1.072762278659404,1.087253289367092,0.4787856799473397,0.06345270203511266,0.9667301846407887,0.8130218735000022,1.8306640168344819,1.8485660761753913,1.7717468706524229,1.7789069622349551,0.06110404124822671,0.042247845799802,1.0666207321677168,1.0914882327600302,1.0794863621595296,1.0674715959715178,1.0548122332635663,0.9880817114112725,true,3.274990385666958e-16
