t,home_equity,foreign_liability,bond_position,nfa_sum,NFA,A_US,Q_US,V_agg,B_agg,NFA_fund,NFA_bubble,NFA_b_cf,DeltaNFA,DeltaA,DeltaV,DeltaB,e_US
1.0,0.7219979343262416,-0.03651078569994557,-0.6050903602773464,0.08039678834894959,0.08039678834894937,0.8900718525452738,0.8096750641963244,0.8096750642498826,-5.3558157908639714e-11,0.08039678829539121,5.3558157908639714e-11,0.07840282138460042,0.0019939669643489477,2.266578291088006e-5,0.0019713011278799097,5.3558157908639714e-11,1.7801437050905475
2.0,0.7259932860252599,-0.03682135193729779,-0.6083733200873928,0.08079861400056942,0.08079861403163824,0.8943364517611618,0.8135378377295236,0.8135378378359038,-1.0638023795195295e-10,0.080798613925258,1.0638023795195295e-10,0.07891390001893839,0.0018847140126998507,-0.001513502131833988,0.003398216038153601,1.0638023795195295e-10,1.7886729035223237
3.0,0.7300850129752725,-0.0371279275412787,-0.6117446629075739,0.08121242252641991,0.08121242263070627,0.8987895172732931,0.8175770946425869,0.8175770948481538,-2.0556689683814966e-10,0.08121242242513937,2.0556689683814966e-10,0.07944876390813038,0.0017636587225758893,-0.0031346825800486755,0.004898341097057668,2.0556689683814966e-10,1.7975790345465863
4.0,0.734276131238948,-0.03743042074921488,-0.6152075445877427,0.08163816590199036,0.08163816590199058,0.9034393880600233,0.8218012221580328,0.8218012221692172,-1.118449777237629e-11,0.08163816589080608,1.118449777237629e-11,0.08000860529558851,0.0016295606064020696,-0.004846528503129832,0.006476089098347404,1.118449777237629e-11,1.8068787761200467
5.0,0.7385696756295135,-0.03772873688122138,-0.61876519800629,0.08207574074200208,0.08207574076556101,0.9082947732201451,0.8262190324545841,0.8262190324830735,-2.8489433034906142e-11,0.08207574073707158,2.8489433034906142e-11,0.08059470553276638,0.0014810352327946363,-0.006655119126274478,0.008136154330579681,2.8489433034906142e-11,1.8165895464402901
6.0,0.7429686870779177,-0.038022778308434424,-0.6224209274044029,0.08252498136508046,0.0825249814343536,0.9133647683562341,0.8308397869218805,0.8308397869836238,-6.174327715768868e-11,0.08252498137261033,6.174327715768868e-11,0.08120840845669852,0.0013165729776550839,-0.008566996743800681,0.009883569659712488,6.174327715768868e-11,1.8267295367124683
7.0,0.7474761987037645,-0.03831244453354407,-0.626178100441269,0.08298565372895139,0.08298565388429224,0.9186588727100348,0.8356732188257425,0.8356732189494734,-1.2373091440309736e-10,0.08298565376056133,1.2373091440309736e-10,0.0818511314782131,0.0011345224060791415,-0.010589203368319589,0.011723725650667816,1.2373091440309736e-10,1.8373177454200695
8.0,0.7520952190292074,-0.03859763231475779,-0.6300401388616996,0.08345744785275,0.08345744816632672,0.9241870069579581,0.8407295587916314,0.8407295590281912,-2.3655988279358553e-10,0.08345744792976684,2.3655988279358553e-10,0.0825243688630265,0.0009330793033002216,-0.01272932450499209,0.013662403571732429,2.3655988279358553e-10,1.8483740139159162
9.0,0.756828712375591,-0.038878235897619344,-0.6340105070117026,0.08393996946626914,0.08393996946626914,0.9299595317379643,0.8460195622716952,0.8460195622790306,-7.335465568303334e-12,0.08393996945893367,7.335465568303334e-12,0.08322969370037214,0.0007102757658969949,-0.014995530844632343,0.015705806603193873,7.335465568303334e-12,1.8599190634759286
10.0,0.7616795782868265,-0.03915414743344864,-0.6380926966764351,0.08443273417694286,0.0844327342133947,0.935987266990832,0.8515545327774373,0.8515545328017929,-2.4355628625016834e-11,0.08443273418903907,2.4355628625016834e-11,0.08396876594548286,0.00046396826791184065,-0.017396632166034598,0.01786060040959081,2.4355628625016834e-11,1.871974533981664
11.0,0.7666506240071148,-0.03942525744909064,-0.6422902115041749,0.0849351550538493,0.08493515515461492,0.9422815118804364,0.8573463567258215,0.8573463567820769,-5.625544474696653e-11,0.08493515509835947,5.625544474696653e-11,0.08474333569854853,0.00019181945606638884,-0.019942123736739426,0.02013394313655037,5.625544474696653e-11,1.8845630237608728
12.0,0.7717445363469286,-0.0396914556799786,-0.6466065460235547,0.08544653464339536,0.0854465348554273,0.9488540657044401,0.8634075308490128,0.863407530963054,-1.1404122091107638e-10,0.08544653474138608,1.1404122091107638e-10,0.08555524858623575,-0.00010871373080845181,-0.022642246429445567,0.022533532584595894,1.1404122091107638e-10,1.8977081314088802
13.0,0.7769638491795706,-0.03995263205354768,-0.6510451618259346,0.08596605530008827,0.08596605570140159,0.9557172495086725,0.869751193807271,0.8697511940232638,-2.1599289024010204e-10,0.0859660554854087,2.1599289024010204e-10,0.08640645156937732,-0.00044039586797572916,-0.02550805373620424,0.02506765765223562,2.1599289024010204e-10,1.911434499017345
14.0,0.7823109047188577,-0.0402086781162169,-0.6556094602178748,0.086492766384766,0.08649276638476566,0.9628839284970343,0.8763911621122686,0.8763911621159198,-3.651190461084752e-12,0.08649276638111447,3.651190461084752e-12,0.08729899868100022,-0.0008062322962345547,-0.028551468373121947,0.0277452360732362,3.651190461084752e-12,1.9257678569940686
15.0,0.7877878142516189,-0.0404594888433862,-0.6603027477345538,0.08702557767367891,0.08702557771131503,0.9703675353767097,0.8833419576653947,0.8833419576827454,-1.735067645114441e-11,0.08702557769396435,1.735067645114441e-11,0.08823505320301717,-0.0012094754917021389,-0.031785369428429466,0.03057589391937665,1.735067645114441e-11,1.9407350707534194
16.0,0.7933964070645918,-0.04070496496225406,-0.6651282005062237,0.08756324159611406,0.08756324169682261,0.9781820943021915,0.8906188526053689,0.8906188526477028,-4.2333914151981844e-11,0.0875632416544887,4.2333914151981844e-11,0.08921690255406356,-0.0016536608572409461,-0.035223654856791464,0.033569993957216604,4.2333914151981844e-11,1.956364188604383
17.0,0.7991381801179049,-0.040945015947141464,-0.6700888187971662,0.08810434537359724,0.08810434557760893,0.9863422459327816,0.8982379003551727,0.8982379004414409,-8.626821479396085e-11,0.08810434549134072,8.626821479396085e-11,0.09024695337510336,-0.0021426077974944224,-0.03888134292738743,0.03673873504362479,8.626821479396085e-11,1.9726844918655633
18.0,0.805014238575656,-0.04117956367893869,-0.6751873775683811,0.0886472973283362,0.08864729769829738,0.9948632731574858,0.9062159754591884,0.9062159756206434,-1.6145496051223063e-10,0.08864729753684242,1.6145496051223063e-10,0.09132774868069071,-0.0026804509823933342,-0.042774659004849225,0.04009420786100093,1.6145496051223063e-10,1.9897265463149716
19.0,0.8110252286011733,-0.04140854720223988,-0.6804263689558879,0.08919031244304554,0.0891903124430452,1.0037611276972465,0.9145708152542013,0.9145708152525533,1.6479040354511199e-12,0.08919031244469311,-1.6479040354511199e-12,0.09246196599362777,-0.003271653550582565,-0.046921125124496976,0.043649471575562315,-1.6479040354511199e-12,2.007522255394493
20.0,0.817171266416582,-0.041631928517650005,-0.6858079363619108,0.0897314015370212,0.08973140156698656,1.0130524575959063,0.9233210560289198,0.9233210560350216,-6.10178574333986e-12,0.08973140156088477,6.10178574333986e-12,0.09365243136507084,-0.003921029798084286,-0.05133968626342833,0.04741865645924226,6.10178574333986e-12,2.0261049151918127
21.0,0.823451858288364,-0.04184969935139883,-0.6913338021130463,0.09026835682391887,0.09026835690198853,1.0227546354235753,0.9324862785215867,0.9324862785418166,-2.022992884320729e-11,0.0902683568817586,2.022992884320729e-11,0.0949021211938057,-0.004633764291817166,-0.0560508198695886,0.0514170555575415,2.022992884320729e-11,2.0455092708471505
22.0,0.829865811010514,-0.04206188997095712,-0.6970051839346593,0.09079873710489761,0.0907987372582496,1.0328857873819857,0.9420870501237361,0.9420870501685807,-4.4844683522171636e-11,0.09079873721340492,4.4844683522171636e-11,0.096214172636655,-0.005415435378405387,-0.06107664722427897,0.0556612118010289,4.4844683522171636e-11,2.0657715747639713
23.0,0.8364111383431351,-0.042268579311434504,-0.7028227027812944,0.09131985625040617,0.0913198565191673,1.0434648231870431,0.9521449666678758,0.9521449667542845,-8.640865800657593e-11,0.09131985643275864,8.640865800657593e-11,0.09759188932642826,-0.006272032807260963,-0.06644109278550636,0.06016905989183674,8.640865800657593e-11,2.0869296463740863
24.0,0.8430849590155907,-0.04246990696572525,-0.708786281092632,0.09182877095723341,0.09182877139980683,1.0545114666795028,0.962682695279696,0.9626826954346901,-1.54994128642727e-10,0.0918287712448127,1.54994128642727e-10,0.09903874923884004,-0.00720997783903321,-0.07217001977092696,0.06496004177689962,1.54994128642727e-10,2.1090229333590056
25.0,0.849883382625522,-0.042666087915234435,-0.7148950298756916,0.09232226483459594,0.0923222648345966,1.066046287166262,0.9737240223316653,0.9737240223270263,4.639066908396217e-12,0.09232226483923567,-4.639066908396217e-12,0.10055841202634941,-0.008236147191752807,-0.0782913688226794,0.07005522163556566,-4.639066908396217e-12,2.132092574332524
26.0,0.8568013952701102,-0.04285742927384423,-0.721147125297945,0.09279684069832095,0.09279684072803318,1.0780907315015507,0.9852938907735175,0.9852938907742023,-6.847855615887966e-13,0.0927968407273484,6.847855615887966e-13,0.1021547254919144,-0.009357884763881219,-0.08483535500156236,0.07547747023699636,6.847855615887966e-13,2.1561814630031013
27.0,0.8638327336288353,-0.04304434988990656,-0.7275396766892261,0.09324870704970256,0.09324870712438238,1.0906671567270791,0.9974184496026968,0.99741844961289,-1.0193179633688487e-11,0.0932487071141892,1.0193179633688487e-11,0.10383173264335888,-0.010583025518976497,-0.09183462751617055,0.08125160198700088,1.0193179633688487e-11,2.1813343134541583
28.0,0.8709697591270757,-0.04322740248205281,-0.734068584911837,0.09367377173318592,0.09367377187442893,1.103798863379835,1.010125091505406,1.0101250915318039,-2.6397772856512347e-11,0.09367377184803116,2.6397772856512347e-11,0.1055936779476987,-0.01191990607326976,-0.099324472817236,0.08740456671756847,2.6397772856512347e-11,2.20759772675967
29.0,0.87820332004834,-0.04340729983421388,-0.740728390288186,0.09406762992594009,0.09406763016392539,1.1175101292889282,1.0234424991250028,1.023442499178186,-5.31832355932238e-11,0.09406763011074215,5.31832355932238e-11,0.10744501283823849,-0.013377382674313099,-0.10734298830364852,0.09396560557615219,5.31832355932238e-11,2.2350202585778565
30.0,0.8855226216669286,-0.04358494313643489,-0.7475121169192412,0.09442556161125248,0.09442556198763619,1.131826243889936,1.0374006819022998,1.0374006819988302,-9.653033927747856e-11,0.09442556189110585,9.653033927747856e-11,0.10939040093252661,-0.014964838944890424,-0.11593134041205877,0.100966501370638,9.653033927747856e-11,2.263652487779872
31.0,0.8929150922829878,-0.04376145421291056,-0.7544111108685347,0.09474252720154253,0.09474252777314107,1.1467735429072812,1.05203101513414,1.0520310152997554,-1.6561529925240848e-10,0.09474252760752577,1.6561529925240848e-10,0.11143472196640158,-0.016692194193260512,-0.12513396646813701,0.1084417721092612,1.6561529925240848e-10,2.2935470858145623
32.0,0.9003662597908686,-0.04393820976351294,-0.7614148815309367,0.09501316849641894,0.09501316849641861,1.1623794433748476,1.067366274878429,1.0673662748713335,7.0954353503793754e-12,0.09501316850351404,-7.0954353503793754e-12,0.11358307497453746,-0.018569906478118847,-0.13499883311220406,0.11642892664118065,-7.0954353503793754e-12,2.324758886749695
33.0,0.9078596263753722,-0.044116880371684826,-0.7685109382675656,0.09523180773612183,0.09523180776768969,1.1786724789127714,1.0834406711450817,1.08344067114181,3.2716052089654113e-12,0.0952318077709613,-3.2716052089654113e-12,0.11584077896806888,-0.02060897120037919,-0.14557765193296257,0.12496868073585499,-3.2716052089654113e-12,2.3573449578255428
