t,N_US,N_W,phi_US,phi_W,q_US,q_W,d_US,d_W,Q_US,Q_W,e_US,e_W,Y_US,Y_W,omega,omega_star,theta_US_star,theta,R_f,R_f_W,Psi,residual_norm,v_US,B_per,V_agg,B_agg,bubble_share,NFA,NFA_fund,NFA_bubble,NFA_b_cf,dNFA,dA,dV,dB
1.0,1.0,1.0,0.6531099433676114,0.7384099633925184,0.8815627703309759,0.7113070988235356,0.11515148220117165,0.10504724976062509,0.9427238421959994,0.7485212688276177,1.68044411444827,1.6936201367692654,1.734434524784418,1.7614532165258083,0.6121716398992562,0.1736971607737221,0.7518210323637252,-0.7614856398636306,1.128505382997101,1.143565389449585,0.9887778620665251,6.888594378414823e-11,0.8813644562918361,0.00019831403913972423,0.942511769523206,0.00021207267279332864,0.00022495736641106096,-0.10250178497186435,-0.10228971229907102,-0.00021207267279332864,-0.07687799795524308,-0.02562378701662127,-0.0006878852901911481,-0.024723829053636792,-0.00021207267279332864
2.0,1.0693780113264777,1.0523180073214964,0.6535583162331211,0.7271941570497242,0.8882727341781219,0.7123305772146983,0.11610760650104884,0.10360052672767721,1.0157162746491508,0.7904972524389644,1.8682887289942676,1.735503977187437,1.926634705676019,1.803625718160742,0.6082651595328737,0.17606465435549679,0.7799454415036505,-0.728116974150618,1.1209357573737941,1.1353483978585603,0.9891310148035446,1.9782494169284808e-10,0.8879931901373179,0.00027954404080399176,1.0153966234645533,0.00031965118459753583,0.00031470519137635154,-0.08157191015201704,-0.0812522589674195,-0.00031965118459753583,-0.07887729402243038,-0.0026946161295866577,0.06986191807172759,-0.07223688301671671,-0.00031965118459753583
3.0,1.143473435091922,1.1097337075293154,0.6533590710760675,0.7156337183899567,0.8963421441111566,0.7134610571098609,0.11712665412855919,0.10211535784519181,1.0960008991161243,0.8367812862439452,2.076432433798836,1.7802748486064535,2.1393061827643614,1.8485662011040465,0.6057176545696289,0.17839925731217693,0.8045348330706307,-0.6932173381478355,1.1130982371698375,1.1269672344733384,0.9895290499027283,4.2337603505757343e-10,0.8959498943303482,0.0003922497808084291,1.0955212763345017,0.00047962278162261285,0.00043761166802819886,-0.057784682216706296,-0.05730505943508368,-0.00047962278162261285,-0.08100659653006492,0.023221914313358627,0.14994179427459708,-0.12624025717961584,-0.00047962278162261285
4.0,1.2227483738399427,1.1728478771268032,0.652539155902367,0.7037573382604335,0.9057822981253784,0.7146596448620007,0.11821168325000811,0.10058939388604567,1.1845094550401454,0.8878483997327907,2.3074526211842454,1.828167727660695,2.375030141692742,1.8964824323532175,0.6046005793944921,0.18046908719155466,0.8243437042480638,-0.6563672194018906,1.105026739227809,1.1184602915380744,0.9899800764088543,7.472246072772206e-10,0.9052345226145321,0.0005477755108462823,1.1837931181530372,0.0007163368871081488,0.0006047540473907579,-0.03078314444802266,-0.03006680756091451,-0.0007163368871081488,-0.08327627323373943,0.05249312878571677,0.24078483526295769,-0.18757536959013277,-0.0007163368871081488
5.0,1.3077198102586298,1.242337392513932,0.6511208114848922,0.691595036239442,0.916620970207799,0.7158863823123155,0.11936619798915427,0.09902069370372177,1.282322539701398,0.9442297954249342,2.5643193068402192,1.8794349430985489,2.636777710163716,1.9475946796325307,0.604939536458043,0.18207218419343693,0.8382207556081445,-0.6174032587113268,1.0967519498383307,1.1098615370395302,0.9904818262853919,1.2014006205209142e-9,0.9158597939893257,0.0007611762184732696,1.2812576792483237,0.001064860453074301,0.0008304154532932603,-0.0001628862812883547,0.0009019741717859464,-0.001064860453074301,-0.08569728467230575,0.0855343983910174,0.3438174729763829,-0.2572182141322912,-0.001064860453074301
6.0,1.398967055500262,1.318965996217261,0.6491219310433686,0.6791779987758524,0.9289026381657384,0.717100198089968,0.12059421484748471,0.09740773549210238,1.3906976926178263,1.0065194417109877,2.850462793424461,1.9343478583401206,2.9279766230233344,2.0021366846730713,0.6067000438944158,0.18307273668027074,0.8453125676386721,-0.5764900796337751,1.0883003080669658,1.1011984421898544,0.9910219472349708,1.8308577639779264e-9,0.9278503678925138,0.0010522702732245204,1.3891222962513423,0.001575396366483961,0.0011328100814767736,0.03453370409440426,0.03610910046088822,-0.001575396366483961,-0.08828122881183831,0.12281493290624257,0.4606929169224089,-0.33630258764968235,-0.001575396366483961
7.0,1.4971404272938373,1.4035966583078658,0.6465565062177743,0.6665382506456112,0.9426887911689039,0.7182591695555727,0.1219003142537647,0.0957494420771482,1.5111031109697344,1.0753818072902939,3.169854738754241,1.993198694009001,3.2525910159693647,2.0603566538402194,0.6097823505644779,0.18342705812253451,0.845230093479407,-0.5341232666299474,1.0796936565083008,1.0924910511636436,0.9915807806215721,2.6951714037749338e-9,0.9412418645584405,0.001446926610463417,1.5087837290879311,0.0023193818818032508,0.0015348931948891377,0.07382425840738605,0.0761436402891893,-0.0023193818818032508,-0.091040377193641,0.16486463560102704,0.5933312653175398,-0.4261472478347095,-0.0023193818818032508
8.0,1.6029713359549072,1.497205817721329,0.6434351310821035,0.6537082213557697,0.9580583609144432,0.7193210114598309,0.123289681407858,0.09404521179704785,1.6452582835455434,1.1515608855688446,3.5271054478658974,2.056302542636631,3.615217080353957,2.12251829846601,0.6140282711260684,0.18318867904035638,0.8381125783734336,-0.4910505925281643,1.0709498168761604,1.083752660598161,0.992135937473272,3.8726466336013164e-9,0.9560797421584112,0.0019786187560320023,1.641860433235847,0.003397850309696304,0.002065238232609844,0.11829444038740533,0.12169229069710163,-0.003397850309696304,-0.09398775407566728,0.21228219446307262,0.7439676303655798,-0.5282875855928109,-0.003397850309696304
9.0,1.7172839888116886,1.6008998308443705,0.6397655526997675,0.6407202509407888,0.9751082849070253,0.720243733754104,0.12476813816713307,0.09229494916589205,1.795183088045891,1.2358907173329292,3.927580846256186,2.123999624303776,4.021197929227018,2.1889019470119764,0.6192387006926465,0.18249099190835846,0.8245671793226076,-0.44813685146457505,1.0620838708217215,1.074991834879179,0.9926670373092291,5.466013702698506e-9,0.9724180058194861,0.0026902790875391602,1.7902302601447986,0.004952827901092416,0.002758954189170595,0.16860733508220194,0.17356016298329435,-0.004952827901092416,-0.09713719121974873,0.26574452630195067,0.9152101306934839,-0.6445127764904408,-0.004952827901092416
10.0,1.8410089585251121,1.7159340087433104,0.6355532790309484,0.6276060474383096,0.9939541510097,0.7209864676535853,0.12634216397612746,0.09049909344411508,1.9632571399269965,1.329307767427399,4.3775433759397115,2.1966578291985233,4.4767617881042945,2.259805733662816,0.6251967468030027,0.18151567838282634,0.8055187039736202,-0.4062214908293269,1.0531095530340737,1.0662148762011323,0.9931590336750451,7.609867907064112e-9,0.9903176640309541,0.0036364869787458565,1.9560743548679254,0.007182785059071106,0.003658606360315184,0.2255145480428593,0.23269733310193041,-0.007182785059071106,-0.10050339205739789,0.3260179401002572,1.11010977194686,-0.7769090467875317,-0.007182785059071106
