t,home_equity,foreign_liability,bond_position,nfa_sum,NFA,A_US,Q_US,V_agg,B_agg,NFA_fund,NFA_bubble,NFA_b_cf,DeltaNFA,DeltaA,DeltaV,DeltaB,e_US
1,0.5740011324216565,-0.03668588652066448,-0.6398170308728565,-0.10250178497186446,-0.10250178497186435,0.840222057224135,0.9427238421959994,0.942511769523206,0.00021207267279332864,-0.10228971229907102,-0.00021207267279332864,-0.07687799795524308,-0.02562378701662127,-0.0006878852901911481,-0.024723829053636792,-0.00021207267279332864,1.68044411444827
2,0.6323817572973306,-0.033787299195613046,-0.6801663680975051,-0.08157190999578756,-0.08157191015201704,0.9341443644971338,1.0157162746491508,1.0153966234645533,0.00031965118459753583,-0.0812522589674195,-0.00031965118459753583,-0.07887729402243038,-0.0026946161295866577,0.06986191807172759,-0.07223688301671671,-0.00031965118459753583,1.8682887289942676
3,0.6931190677730384,-0.031194267310300578,-0.7197094823009303,-0.05778468183819252,-0.057784682216706296,1.038216216899418,1.0960008991161243,1.0955212763345017,0.00047962278162261285,-0.05730505943508368,-0.00047962278162261285,-0.08100659653006492,0.023221914313358627,0.14994179427459708,-0.12624025717961584,-0.00047962278162261285,2.076432433798836
4,0.7556060947621361,-0.029121108086777814,-0.7572681304341535,-0.030783143758795206,-0.03078314444802266,1.1537263105921227,1.1845094550401454,1.1837931181530372,0.0007163368871081488,-0.03006680756091451,-0.0007163368871081488,-0.08327627323373943,0.05249312878571677,0.24078483526295769,-0.18757536959013277,-0.0007163368871081488,2.3074526211842454
5,0.8192642220749309,-0.027817559031961953,-0.7916095482097611,-0.00016288516679219267,-0.0001628862812883547,1.2821596534201096,1.282322539701398,1.2812576792483237,0.001064860453074301,0.0009019741717859464,-0.001064860453074301,-0.08569728467230575,0.0855343983910174,0.3438174729763829,-0.2572182141322912,-0.001064860453074301,2.5643193068402192
6,0.8836911814557565,-0.027525714292015894,-0.8216317613871903,0.03453370577655035,0.03453370409440426,1.4252313967122305,1.3906976926178263,1.3891222962513423,0.001575396366483961,0.03610910046088822,-0.001575396366483961,-0.08828122881183831,0.12281493290624257,0.4606929169224089,-0.33630258764968235,-0.001575396366483961,2.850462793424461
7,0.9488040507126325,-0.02843320598518895,-0.8465465839029167,0.07382426082452687,0.07382425840738605,1.5849273693771204,1.5111031109697344,1.5087837290879311,0.0023193818818032508,0.0761436402891893,-0.0023193818818032508,-0.091040377193641,0.16486463560102704,0.5933312653175398,-0.4261472478347095,-0.0023193818818032508,3.169854738754241
8,1.0149305446783936,-0.03064249091597407,-0.8659936100419326,0.11829444372048692,0.11829444038740533,1.7635527239329487,1.6452582835455434,1.641860433235847,0.003397850309696304,0.12169229069710163,-0.003397850309696304,-0.09398775407566728,0.21228219446307262,0.7439676303655798,-0.5282875855928109,-0.003397850309696304,3.5271054478658974
9,1.0828231778600077,-0.034168981203492044,-0.8800468571569091,0.1686073394996066,0.16860733508220194,1.963790423128093,1.795183088045891,1.7902302601447986,0.004952827901092416,0.17356016298329435,-0.004952827901092416,-0.09713719121974873,0.26574452630195067,0.9152101306934839,-0.6445127764904408,-0.004952827901092416,3.927580846256186
10,1.1536061032538547,-0.03896545143202888,-0.8891260981721372,0.22551455364968875,0.2255145480428593,2.1887716879698558,1.9632571399269965,1.9560743548679254,0.007182785059071106,0.23269733310193041,-0.007182785059071106,-0.10050339205739789,0.3260179401002572,1.11010977194686,-0.7769090467875317,-0.007182785059071106,4.3775433759397115
11,1.2286894900084828,-0.04495864457012429,-0.8938614260188458,0.28986941941951283,0.2898694126716981,2.4421609959239565,2.1522915832522584,2.141928100498982,0.010363482753276365,0.30023289542497444,-0.010363482753276365,-0.10410201706682787,0.39397142973852595,1.3322448656898587,-0.9279099531980564,-0.010363482753276365,4.884321991847913
12,1.30968850061748,-0.05208316307255901,-0.8949626584083148,0.3626426791366062,0.36264267160227615,2.728258791377523,2.3656161197752468,2.350740146818206,0.014875972957040684,0.37751864455931683,-0.014875972957040684,-0.10794977391239557,0.4705924455146717,1.5858231343145353,-1.1003547158428229,-0.014875972957040684,5.456517582755046
13,1.3983696868797186,-0.06030443781635326,-0.8931243161462044,0.44494093291716097,0.44494092550542685,3.0521257910125454,2.6071848655071186,2.585940809597562,0.021244055909556803,0.46618498141498366,-0.021244055909556803,-0.11206451114700156,0.5570054366524284,1.8758054274291525,-1.2975559348671672,-0.021244055909556803,6.104251582025091
14,1.4966306997200565,-0.06962994562053113,-0.8889726131050548,0.5380281409944705,0.5380281355637311,3.4197336803130254,2.8817055447492943,2.8515213373444137,0.030184207404880592,0.5682123429686117,-0.030184207404880592,-0.11646534463812563,0.6544934802018567,2.2080557690553846,-1.523378081448647,-0.030184207404880592,6.839467360626051
15,1.6065084594134162,-0.08011192415293253,-0.883046055191991,0.6433504800684928,0.6433504800400334,3.8381481438092835,3.19479766376925,3.1521257445550455,0.04267191921420466,0.686022399254238,-0.04267191921420466,-0.12117277811308558,0.764523258153119,2.589523786608953,-1.782328609241629,-0.04267191921420466,7.676296287618567
16,1.7302074225824473,-0.09184562516533688,-0.8757968557837935,0.762564941633317,0.7625649529293037,4.315751608208588,3.5531866552792843,3.4931570401719148,0.060029615107369594,0.8225945680366733,-0.060029615107369594,-0.1262088409087634,0.8887737938380671,3.028466847071355,-2.0796634381259187,-0.060029615107369594,8.631503216417176
17,1.8701405608055743,-0.10496623822684575,-0.8676021727691426,0.897572149809586,0.8975721822670688,4.862514867311009,3.96494268504394,3.880899779583836,0.08404290546010396,0.9816150877271728,-0.08404290546010396,-0.13159724392275263,1.0291694261898214,3.5347210577578125,-2.421508726107887,-0.08404290546010396,9.725029734622018
