t,N_US,N_W,phi_US,phi_W,q_US,q_W,d_US,d_W,Q_US,Q_W,e_US,e_W,Y_US,Y_W,omega,omega_star,theta_US_star,theta,R_f,R_f_W,Psi,residual_norm,v_US,B_per,V_agg,B_agg,bubble_share,NFA,NFA_fund,NFA_bubble,NFA_b_cf,dNFA,dA,dV,dB
1.0,1.0,1.0,0.9516733968221424,0.6313333046931173,0.7233162311611737,0.93484433647555,0.034418040734287204,0.11803967286415071,0.7303073144562596,1.0037735309065092,1.782399933110333,1.677416402379485,1.8098268905495345,1.7265268808126766,0.46891879263915426,0.14054781353659096,0.7007135834997407,-0.6627222881702446,1.0663199268647048,1.0816028315759396,0.9780377419693154,1.0199403780681288e-11,0.7233131324445374,3.098716636285026e-6,0.7303041857895335,3.128666726137652e-6,4.2840413401405656e-6,0.1608926520989069,0.16089578076563305,-3.128666726137652e-6,0.16753301369256046,-0.006640361593653554,-0.00011259909171101867,-0.006524633835216398,-3.128666726137652e-6
2.0,1.0096653206355715,1.0737333390613766,0.9519654117204813,0.6312280705378274,0.723574596082694,0.9024353013721162,0.03444089941351714,0.11392849881406876,0.7375866848717998,1.0404410158690904,1.8092651566467342,1.7381427682821833,1.837020430081848,1.789005449288115,0.4642990794665567,0.13802091319807355,0.691370971670862,-0.6674975552230671,1.0652676907001355,1.0807448285692012,0.9775254377350858,4.175211718222357e-11,0.7235705464008166,4.0496818773938514e-6,0.7375825567674593,4.128104340472838e-6,5.596771776310394e-6,0.16704589345156728,0.16705002155590776,-4.128104340472838e-6,0.16917867107364948,-0.0021327776220821937,0.009008528094266,-0.01113717761200772,-4.128104340472838e-6
3.0,1.019365092230939,1.1529258820960817,0.9523063024842587,0.6311424183488998,0.723758687193001,0.8710946534202499,0.034461997964581395,0.10995695723409066,0.7448117781736122,1.0783968641087514,1.8363685986170801,1.8010880486732095,1.8644605191005326,1.8537709781598952,0.4596573867705684,0.13549152015885657,0.6821863205275537,-0.6724088256707546,1.0642474901481485,1.0799210492545717,0.9770061053693643,8.942453486008743e-11,0.723753399414101,5.287778899965012e-6,0.7448063365808897,5.44159272253264e-6,7.305997141823165e-6,0.17337252113492785,0.17337796272765038,-5.44159272253264e-6,0.17082825511235888,0.002544266022568964,0.01825394158515281,-0.015704233969861314,-5.44159272253264e-6
4.0,1.0290885503043325,1.237978972634666,0.9526970993176256,0.6310775400219288,0.723866414853949,0.8407879650321908,0.03448127168624031,0.1061204801305117,0.7519700398022825,1.1176784624175033,1.8636809476740823,1.8663308283684352,1.8921178292400875,1.9209051100725434,0.45499309083697015,0.13296151236701015,0.6731593742684974,-0.6774703215429103,1.0632599803825766,1.0791321152695308,0.976479547207539,1.532338252927009e-10,0.7238595164656796,6.89838826939404e-6,0.7519628735887449,7.166213537579402e-6,9.529918957228182e-6,0.17987043403475866,0.17987760024829624,-7.166213537579402e-6,0.1724818299231542,0.007388604111604469,0.027613622481632794,-0.020217852156490745,-7.166213537579402e-6
5.0,1.0388243250020155,1.3293226222317673,0.9531388070343597,0.631034600304914,0.7238957557188469,0.8114820932697391,0.0344986568511549,0.10241465567621295,0.7590484481002375,1.1583236863048767,1.8911705670788503,1.9339520492176745,1.9199606827019449,1.990491985670718,0.450305651627208,0.13043272953952478,0.6642894291750663,-0.6826964669435519,1.0623057905580824,1.0783786281670213,0.9759455671342883,8.347344234137587e-10,0.723886763794974,8.991923872936347e-6,0.7590390195246349,9.428575602599132e-6,1.242157286033213e-5,0.18653683543918764,0.18654626401479024,-9.428575602599132e-6,0.17413946623825882,0.01239736920092882,0.03707656548133054,-0.024669767704799117,-9.428575602599132e-6
6.0,1.0485604344322796,1.42741743275886,0.953632400919418,0.631014735226911,0.7238447619526626,0.7831451157414494,0.0345140909116931,0.09883522157076786,0.7660335330239362,1.2003708704664615,1.9188034363921511,2.0040350469718695,1.9479549915832293,2.0626182853354065,0.4455946221257078,0.12790697095748424,0.6555753312358961,-0.6881018727051543,1.0613855219762274,1.077661168807439,0.975403970833564,1.1115706934950725e-11,0.7238330512610754,1.1710691587119015e-5,0.7660211397831169,1.239324081925286e-5,1.617845731939467e-5,0.19336818517213938,0.19338057841295864,-1.239324081925286e-5,0.17580124007547482,0.017566945096664566,0.046630749139414784,-0.029051410801930966,-1.239324081925286e-5
7.0,1.058284280399383,1.5327566326325104,0.9541788197738561,0.6310190509836333,0.7237115742891309,0.7557462691500105,0.03452751279059411,0.09537805870869223,0.7729114030256355,1.2438587758589827,1.94654310152447,2.076665586524727,1.9760642051396866,2.1373732693860585,0.440859659920161,0.12538599420156163,0.6470154769840752,-0.6937013231654467,1.0604997463463082,1.0769802968670052,0.9748545661326052,5.144618649204289e-11,0.7236963345842258,1.5239704905134488e-5,0.7728951272852462,1.6275740389315452e-5,2.1057705094791603e-5,0.2003601477365995,0.2003764234769888,-1.6275740389315452e-5,0.17746723094151007,0.022892916795089424,0.05626310960251779,-0.03335391706703905,-1.6275740389315452e-5
8.0,1.0679826473479181,1.6458682320164852,0.9547789623804578,0.6310486215587462,0.7234944303305662,0.7292558940000372,0.03453886307395291,0.09203918533446293,0.7796677707666645,1.2888265594918609,1.9743506363530015,2.1519318949966952,2.0042492690543567,2.214848815692947,0.4361005351480665,0.12287151265069836,0.6386078127210206,-0.699509759145375,1.059649003674193,1.076336550104895,0.9742971628415557,1.1477149739540567e-10,0.7234746136668969,1.981666366923651e-5,0.7796464155034596,2.1355263204902997e-5,2.739020901672503e-5,0.20750754740983623,0.20752890267304114,-2.1355263204902997e-5,0.17913751979539638,0.028370027614439852,0.06595951912378883,-0.03756813624614408,-2.1355263204902997e-5
9.0,1.077641704042466,1.7673173026035154,0.9554336793470285,0.6311044871389773,0.7231916790739776,0.7036453805930096,0.03454808434054029,0.08881475140937237,0.7862879901433654,1.3353137403306603,2.002184614716508,2.229924693049242,2.032468594439899,2.295139455629857,0.43131714224386436,0.12036519453771494,0.6303498384588675,-0.7055422646939196,1.058833800132347,1.0757304435854218,0.9737315728270399,1.609791502190015e-10,0.723165930402733,2.5748671244607557e-5,0.786259994977564,2.799516580132e-5,3.560421391685709e-5,0.21480431721488868,0.21483231238069,-2.799516580132e-5,0.18081218670424548,0.033992130510643204,0.07570476903418,-0.041684643357735474,-2.799516580132e-5
10.0,1.08724700918874,1.897708387149932,0.9561437658846171,0.6311876518210279,0.7228017940166648,0.6788871194115528,0.034555121465962554,0.08570103335058396,0.7927570966729637,1.3833601667456141,2.0300010971691353,2.3107372238871817,2.060678041743068,2.3783424073537476,0.4265095102061297,0.11786866158875342,0.6222386120809177,-0.7118140516240061,1.0580546054727318,1.0751624685158208,0.9731576097865628,2.251641402426117e-10,0.7227683621831948,3.343183346993239e-5,0.7927204291889348,3.6667484028862773e-5,4.625311357381544e-5,0.222243451911604,0.22228011939563286,-3.6667484028862773e-5,0.18249130823797166,0.039752143673632334,0.08548255890189493,-0.04569374774423374,-3.6667484028862773e-5
