T_report,t,s,payoff_t,all_u_probability,all_u_discount_factor,dividend_US,pv_contribution,expected_all_u_contribution,log10_pv_contribution
105,1,1,2,0.8,0.8867744613159083,0.1161076278273081,0.10296127912122913,0.08236902329698331,-0.9873260706895205
105,1,2,3,0.6400000000000001,0.7899700939382547,0.11712668480060406,0.09252657819460956,0.059217010044550135,-1.0337334985553046
105,1,3,4,0.5120000000000001,0.7070997441751471,0.11821172713341083,0.08358748201453713,0.042796790791443017,-1.077858757238888
105,1,4,5,0.4096000000000001,0.6360745237403093,0.11936626041885949,0.07592583724658779,0.031099222936202365,-1.1196104103472242
105,1,5,6,0.3276800000000001,0.5751429691565378,0.12059430324236796,0.0693589656301794,0.022727545857697193,-1.1588973922396748
105,1,6,7,0.2621440000000001,0.5228372203511115,0.12190043877225776,0.06373408656726812,0.01670750838908994,-1.1956282340901188
105,1,7,8,0.20971520000000007,0.4779260864739505,0.12328985591725405,0.058923438340470466,0.012357140656259437,-1.2297119188435828
105,1,8,9,0.1677721600000001,0.43937499881122494,0.1247683814867921,0.05482010746743773,0.009197287841244161,-1.2610601174198433
105,1,9,10,0.13421772800000006,0.40631270963728366,0.12634250145888562,0.05133456411011227,0.006890008562729614,-1.2895901212892555
105,1,10,11,0.10737418240000006,0.378004213244388,0.1280193698596305,0.048391861183831944,0.005196036529428254,-1.3152276743095637
105,1,11,12,0.08589934592000005,0.3538289766308616,0.12980680598722183,0.0459294093221795,0.003945306219267172,-1.3379091398154221
105,1,12,13,0.06871947673600004,0.33326339651043574,0.13171328439012578,0.04389521652139829,0.0030164563105639147,-1.357582804394582
105,1,13,14,0.054975581388800036,0.3158664838937154,0.13374792088112838,0.04224648549681686,0.0023225251018210154,-1.3742094143551244
105,1,14,15,0.043980465111040035,0.3012680018790199,0.13592045764274313,0.04094848468851118,0.001800933402193023,-1.3877621648094052
105,1,15,16,0.03518437208883203,0.28915851759346795,0.13824124821892866,0.03997363440525605,0.0014064472266574668,-1.3982263638642054
105,1,16,17,0.028147497671065624,0.2792810094499148,0.14072124194348296,0.03930077050102161,0.0011062183461485904,-1.4055989350937395
105,1,17,18,0.022517998136852502,0.2714237853655074,0.14337196671454733,0.03891456192095997,0.0008762780328326079,-1.4098878542395097
105,1,18,19,0.018014398509482003,0.265414533524749,0.14620550929332018,0.03880506704783493,0.0006990499419868667,-1.411111561848196
105,1,19,20,0.014411518807585602,0.26111536188428147,0.14923449183433146,0.038967418340938316,0.0005615796823034886,-1.4092983660170237
105,1,20,21,0.011529215046068483,0.2584187055420156,0.15247204367610406,0.039401628158124466,0.0004542698442002442,-1.4044858318424591
105,1,21,22,0.009223372036854787,0.2572439969938215,0.15593176856160224,0.040112511403102076,0.0003699726160033905,-1.3967201464360817
105,1,22,23,0.00737869762948383,0.25753500990128414,0.1596277056792527,0.04110972276262561,0.000303336213897323,-1.3860554520220794
105,1,23,24,0.005902958103587064,0.2592577958228469,0.16357428608441638,0.04240790886354158,0.00025033210928222447,-1.37255314209854
105,1,24,25,0.004722366482869652,0.26239915230591954,0.1677862843577028,0.044026978784021197,0.00020791152895167496,-1.3562811156407815
105,1,25,26,0.0037778931862957215,0.26696556769489277,0.17227876715117452,0.04599249887428954,0.0001737547481178921,-1.337312993604209
105,1,26,27,0.0030223145490365774,0.27298260334590474,0.17706703940550897,0.04833622138366774,0.00014608726513331194,-1.3157273029636054
105,1,27,28,0.002417851639229262,0.28049468125876925,0.1821665911054439,0.05109675990811802,0.00012354438470314717,-1.2916066379991173
105,1,28,29,0.0019342813113834097,0.28956525806618916,0.1875930464562778,0.054320428908534696,0.00010507099046410977,-1.2650368095693356
105,1,29,30,0.0015474250491067279,0.3002773729847881,0.19336211726043037,0.05806226860573859,8.984700884848306e-5,-1.2361059994429267
105,1,30,31,0.0012379400392853823,0.3127345662582891,0.19948956339978377,0.062387282082886845,7.723171443259717e-5,-1.2049039341022194
105,1,31,32,0.0009903520314283058,0.3270621720850847,0.20599116186958438,0.06737191683139654,6.672191469519243e-5,-1.1715210961465699
105,1,32,33,0.0007922816251426448,0.343408997913658,0.21288268709734914,0.07310583024926748,5.792040599729196e-5,-1.1360479863237267
105,1,33,34,0.0006338253001141158,0.3619494075896046,0.22017990359254624,0.07969398566845837,5.051206438360067e-5,-1.0985744526259582
105,1,34,35,0.0005070602400912927,0.38288583393438713,0.22789857272069602,0.08725913506862025,4.4245637978053125e-5,-1.059189096148501
105,1,35,36,0.00040564819207303417,0.4064517530975575,0.2360544747408093,0.09594475508492506,3.89198164390899e-5,-1.0179787614176612
105,1,36,37,0.00032451855365842736,0.4329151600492251,0.24466344684470656,0.10591851524897122,3.437252337424422e-5,-0.9750281157414058
