t,model_t,anchor_rebased_nfa,selected_no_buffer_rebased_nfa,selected_minus_anchor
1,0,0.0,0.0,0.0
2,1,-0.007721869750336188,-0.007721869750336188,0.0
3,2,-0.014630197267137757,-0.014630197267137757,0.0
4,3,-0.020721452007969696,-0.020721452007969696,0.0
5,4,-0.026004108761013372,-0.026004108761013372,0.0
6,5,-0.03049654138431117,-0.03049654138431117,0.0
7,6,-0.0342250231209028,-0.03422502246933197,6.515708320109503e-10
8,7,-0.03722188345368595,-0.037221883661674574,-2.0798862632176451e-10
9,8,-0.03952386536084888,-0.03952386561591219,-2.5506331075009214e-10
10,9,-0.04117068896064842,-0.04117068785849731,1.102151106491256e-9
11,10,-0.04220383085095558,-0.042203828947554915,1.903400666247723e-9
12,11,-0.0426655127028418,-0.0426655091792676,3.523574203245783e-9
13,12,-0.042597875973886805,-0.04259786816948678,7.804400022071167e-9
14,13,-0.04204233224889937,-0.04204231867698288,1.3571916486487812e-8
15,14,-0.04103906809332912,-0.04103904249437732,2.5598951798599945e-8
