T_report,n_buffer,terminal_rule,status,residual_safe,tail_window,final_t,final_e_W_over_e_US,max_tail_e_W_over_e_US,tail_log_slope_e_W_over_e_US,final_Y_W_over_Y_US,max_tail_Y_W_over_Y_US,final_Q_W_over_e_US,max_tail_Q_W_over_e_US,tail_log_slope_Q_W_over_e_US,final_zeta,max_tail_abs_zeta_gap,final_Lambda_u,final_Lambda_b,final_Lambda_u_over_Lambda_b,max_tail_Lambda_u_over_Lambda_b,lambda_diagnostics_regular,successor_e_W_over_e_US,successor_Y_W_over_Y_US,successor_Q_W_over_e_US,successor_zeta,successor_HKT_e_W_over_e_US,successor_HKT_Y_W_over_Y_US,successor_HKT_Q_W_over_e_US,successor_HKT_zeta,successor_phi_US_LL,successor_phi_US_HKT_scalar,successor_HKT_phi_over_floor,successor_LL_vs_HKT_phi_log_gap,max_tail_abs_log_phi_US_vs_HKT_scalar,max_tail_residual_norm,psi_ok,equity_weights_ok,hkt_entry_gate,hkt_entry_reason
30,0,local_loglinear,ok,true,8,30,2.227342195960699,2.403641473905922,-0.010898358770820396,2.3217915393431694,2.501456588751617,1.025930095805773,1.0856908278038873,-0.008099340304687883,0.948041882698409,0.051958117301590945,1.0653506676802773,0.9334867688211276,1.1412595263944412,1.1412595263944412,true,2.196216333724785,2.289793018618935,1.0149634791984201,0.9408683805745853,2.1959131073722533,2.295556897466677,1.0148233456109297,0.9999999999999999,0.838061690825051,0.8127913300033569,812.7913300033568,0.030617304568093945,0.02679925594303731,1.484537636321352e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from zeta=1 is too large | LL and HKT successor phi values remain too far apart
35,0,local_loglinear,ok,true,8,35,2.0625209206279727,2.285779489193262,-0.014690827126325811,2.1516763707421327,2.3817127092722408,0.9691492198489844,1.0460832097593822,-0.010919594937553305,0.9093600676120497,0.09063993238795032,1.0635444010052018,0.9309942472828989,1.1423748364816966,1.1428949981262104,true,2.026912215786261,2.114821440331002,0.9565312659468007,0.9013026529596337,2.026025398490484,2.123458963919094,0.956112763130553,1.0000000000000002,0.8245031767371548,0.7825558527071406,782.5558527071405,0.052215697789233906,0.04774026625063685,1.4192404931345866e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from zeta=1 is too large | LL and HKT successor phi values remain too far apart
40,0,local_loglinear,ok,true,8,40,1.8790451101658292,2.131417224097641,-0.018006280303330558,1.9613562258039563,2.2228782474601156,0.9052189370109887,0.9931297304464219,-0.013244690095590025,0.8679067132065272,0.13209328679347276,1.0610935108856268,0.9333807500277483,1.136828149556418,1.1429341220272,true,1.8408569706369429,1.9216683395106857,0.8915935186934756,0.8594220881210939,1.8391395289331323,1.9325094359983968,0.8907616996460013,0.9999999999999998,0.8104414614960281,0.751019650743082,751.0196507430819,0.07614729586837107,0.0712050028118506,1.4664645048027768e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from zeta=1 is too large | LL and HKT successor phi values remain too far apart
45,0,local_loglinear,ok,true,8,45,1.6854339797335522,1.9541644005638625,-0.021133384961275637,1.759851785648782,2.0393448639478247,0.8371653707378504,0.9315652053637226,-0.015265991872122473,0.825478415463498,0.17452158453650202,1.0582167691169106,0.9402856801547208,1.125420488103982,1.139892365003968,true,1.646061891117458,1.7188134328662614,0.8230116334772829,0.8168808387379457,1.6433574726513402,1.7310265995286633,0.8216594559732556,0.9999999999999997,0.7951963921129201,0.7183008050924109,718.3008050924109,0.10170068834029714,0.09642925962677201,1.7668199941345488e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from zeta=1 is too large | LL and HKT successor phi values remain too far apart
50,0,local_loglinear,ok,true,8,50,1.4880436709636444,1.7637086845424905,-0.024275785746109186,1.5538871764940754,1.8413727221441456,0.7672773726953982,0.864803926964307,-0.01709529086047976,0.7833465282742217,0.2166534717257783,1.0550348303051948,0.9516468719936128,1.1086410950891834,1.130726146499174,true,1.44856698622709,1.5126426350730608,0.7529712447932856,0.7748615664556291,1.4448281854692655,1.5253745298907524,0.7510278003496251,1.0000000000000004,0.778147897040292,0.684439573653181,684.439573653181,0.12831624238515604,0.1228252769567299,1.7079306111460909e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from zeta=1 is too large | LL and HKT successor phi values remain too far apart
55,0,local_loglinear,ok,true,8,55,1.2919090462010028,1.5671459600247037,-0.02758471768031303,1.3487776052412166,1.636474622971902,0.6973930819726792,0.7953814775838088,-0.0187836552029417,0.7424623942486499,0.2575376057513501,1.051605696422782,0.967601261666851,1.0868172025853085,1.1160320732605602,true,1.253220600001955,1.3082708186193424,0.6832494276884682,0.7342630590520808,1.2485126210806,1.3207400333598491,0.6806826617866147,1.0000000000000004,0.7586867143853966,0.6494285278137604,649.4285278137604,0.1554961429673709,0.14988487424978558,1.7793442260203595e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from zeta=1 is too large | LL and HKT successor phi values remain too far apart
60,0,local_loglinear,ok,true,8,60,1.1012989365463024,1.36995468579546,-0.031176052959645935,1.1490175467888029,1.4304407844976623,0.6290911434105757,0.7252844880070968,-0.020329391886107474,0.7035877885671882,0.2964122114328118,1.0479496702915934,0.9883706121030269,1.0602800786051254,1.096185430972546,true,1.064185692532116,1.1100783222274744,0.6153904337920976,0.6958173921412982,1.0586784118245367,1.1216376689046277,0.6122057190497032,0.9999999999999997,0.7361944459985788,0.6132372643134365,613.2372643134365,0.18274236137399835,0.17711235850083085,1.9886967007725745e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from zeta=1 is too large | LL and HKT successor phi values remain too far apart
65,0,local_loglinear,ok,true,8,65,0.9200398073353675,1.1766569752804603,-0.03513591705776084,0.9586257012735827,1.2280382259176827,0.5638013563410791,0.6561766927564463,-0.021679272434847102,0.6673727779456274,0.33262722205437256,1.0440671292687176,1.0141061256353734,1.0295442487486923,1.0715005120115955,true,0.8852227241391311,0.9220128339729063,0.5508029328736481,0.6601582331144252,0.8791719691619961,0.9321883810928768,0.5470380345078195,0.9999999999999997,0.7100531120939869,0.5758369003004034,575.8369003004034,0.2095153116056614,0.20397910608994935,2.133924506362217e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from zeta=1 is too large | LL and HKT successor phi values remain too far apart
70,0,local_loglinear,ok,true,8,70,0.7516421279328517,0.9912284113709098,-0.03951661300987032,0.7812826892514221,1.0334465013913183,0.5028452401247968,0.5895390283846109,-0.02272802970180237,0.6343919799695934,0.3656080200304066,1.0399527391182637,1.0446563853801882,0.9954974225709512,1.0424042383396668,true,0.7197795241564235,0.7476886323115294,0.4907883402821731,0.6278493209308592,0.7134977363813448,0.7561987038464474,0.4865050450609746,0.9999999999999997,0.67969109106039,0.5372282004129845,537.2282004129845,0.23521545864682247,0.2299004883832808,2.2562459429173347e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from zeta=1 is too large | LL and HKT successor phi values remain too far apart
75,0,local_loglinear,ok,true,8,75,0.5992484244667847,0.8172997977763823,-0.04432360912365465,0.6202820294636122,0.8504746760175439,0.44741216295974623,0.5267364113349161,-0.023323790469614053,0.6051456491459238,0.39485435085407616,1.0356077651110196,1.0792291050902563,0.9595810196616328,1.0096222311284468,true,0.5709063938685659,0.5903029699384479,0.436505716235193,0.5993785004222905,0.5647239291268749,0.5970569785621566,0.43177870454088724,0.9999999999999994,0.64467088380338,0.4974751492297089,497.4751492297089,0.2591943248468763,0.25424050199475406,2.4195257468620536e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from zeta=1 is too large | LL and HKT successor phi values remain too far apart
80,0,local_loglinear,ok,true,8,80,0.4654295365466792,0.6581740328644281,-0.049494312239675715,0.4783228628044456,0.6825843895282879,0.3984800739598758,0.469017755057289,-0.023289822844174822,0.580032032062719,0.419967967937281,1.0310498923704687,1.1159541191520361,0.9239178158631806,0.974364812017611,true,0.4410277568675734,0.4524030694813266,0.3888837033204792,0.5751240787682836,0.4352488785916461,0.4574793462464864,0.3837880794056886,0.9999999999999994,0.604813276747025,0.45674237195876466,456.74237195876464,0.2808002824914384,0.27634974673192925,2.486705115946137e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from zeta=1 is too large | LL and HKT successor phi values remain too far apart
