switch_index,G_N_US,G_N_W,fixed_nu_b,all_u_xi_W_seed,post_switch_xi_W_eff,G_b,G_W,common_growth_log_gap,fed_to_post_switch_solver
0,1.023044362295168,1.0385592435171205,0.1,1.0,0.06021729289900954,1.002280882356711,1.0022808830080465,-6.498532259188727e-10,true
1,1.0231384198879252,1.0385361050300066,0.1,1.0,0.06049586914830522,1.002290096837577,1.0022900959568548,8.787099155943556e-10,true
2,1.023224033785627,1.038515103509424,0.1,1.0,0.060749649285667215,1.002298483457525,1.0022984826157695,8.398252440700027e-10,true
3,1.023301724174118,1.038496094747693,0.1,1.0,0.06098008577420566,1.0023060933548258,1.0023060925534593,7.995228845300573e-10,true
4,1.0233719942951314,1.0384789415996116,0.1,1.0,0.06118863044699019,1.0023129759772669,1.0023129752173243,7.581888502444789e-10,true
5,1.0234353260477145,1.0384635146290206,0.1,1.0,0.06137667902638672,1.0023191786552823,1.0023191779376013,7.160204209058496e-10,true
6,1.0234921767110374,1.0384496925505717,0.1,1.0,0.061545560375074346,1.0023247462846554,1.0023247456099318,6.731586212928298e-10,true
7,1.0235429769961841,1.0384373623878145,0.1,1.0,0.0616965296617024,1.0023297211390638,1.002329720503199,6.343869067212959e-10,true
8,1.0235881297871292,1.0384264194775394,0.1,1.0,0.061830757587904676,1.0023341427497792,1.002334141903157,8.446505079563738e-10,true
9,1.0236280102179425,1.0384167672308504,0.1,1.0,0.0619493565661632,1.0023380479158752,1.0023380471320273,7.820195133817487e-10,true
10,1.0236629657656628,1.0384083168776808,0.1,1.0,0.06205333902348792,1.002341470715634,1.0023414699957078,7.182442652783894e-10,true
11,1.023693317013353,1.038400987102695,0.1,1.0,0.062143647380664774,1.0023444425832668,1.0023444419284497,6.532856126721664e-10,true
12,1.0237193584362538,1.0383947036914043,0.1,1.0,0.062221142983332596,1.0023469923876163,1.0023469915817924,8.039369764518967e-10,true
13,1.0237413604825876,1.0383893989220623,0.1,1.0,0.062286635642201015,1.0023491466373622,1.002349145927828,7.078713218887367e-10,true
14,1.0237595693872552,1.0383850114516968,0.1,1.0,0.06234083956934719,1.0023509294640287,1.0023509286086847,8.533378175086537e-10,true
15,1.023774210110529,1.0383814855592604,0.1,1.0,0.06238443395391044,1.0023523629107656,1.0023523621956525,7.134348619687592e-10,true
16,1.0237854864512417,1.0383787710052887,0.1,1.0,0.06241800817259184,1.0023534669443137,1.0023534661263682,8.160250405085667e-10,true
17,1.0237935829627127,1.038376822520351,0.1,1.0,0.06244211764290855,1.0023542596433281,1.002354258794717,8.466181484166613e-10,true
18,1.0237986665914875,1.0383755993611885,0.1,1.0,0.062457258884543135,1.0023547573594358,1.0023547565924473,7.651866115558625e-10,true
19,1.0238008871502118,1.038375065136915,0.1,1.0,0.06246387513893015,1.002354974764039,1.0023549741190714,6.434523959659988e-10,true
20,1.0238003807584948,1.0383751869816131,0.1,1.0,0.06246240468690721,1.0023549251856125,1.0023549259624849,-7.750470230882822e-10,true
21,1.0237972648562912,1.0383759366276482,0.1,1.0,0.062453123796281394,1.0023546201218272,1.0023546208410725,-7.175559139926957e-10,true
22,1.0237916475279216,1.0383772882704039,0.1,1.0,0.06243639522223797,1.0023540701526936,1.002354070859141,-7.047882429576935e-10,true
23,1.023783623159968,1.0383792195085324,0.1,1.0,0.062412501570898185,1.002353284515668,1.002353285277316,-7.598597931424145e-10,true
24,1.0237732744433825,1.0383817108666153,0.1,1.0,0.062381686623588964,1.0023522713018393,1.0023522720462745,-7.426879961719424e-10,true
25,1.0237606734832683,1.0383847455208473,0.1,1.0,0.06234416757891688,1.0023510375647158,1.002351038254399,-6.880654778579354e-10,true
26,1.0237458826077,1.038388309096478,0.1,1.0,0.06230013840622253,1.0023495893995102,1.0023495902437631,-8.422740044485011e-10,true
27,1.0237289540271246,1.0383923897334508,0.1,1.0,0.06224974427319821,1.0023479319098594,1.0023479326495421,-7.379499494114539e-10,true
28,1.0237099322377108,1.0383969775238349,0.1,1.0,0.06219313305557497,1.0023460694431754,1.0023460703116853,-8.664771651914482e-10,true
29,1.0236888523846255,1.0384020648821708,0.1,1.0,0.06213039903956225,1.0023440054304105,1.0023440061715942,-7.394504310080652e-10,true
30,1.0236657430384102,1.0384076458995075,0.1,1.0,0.062061643175263685,1.0023417426578987,1.0023417435087016,-8.48815251593138e-10,true
31,1.0236406242194527,1.0384137167992344,0.1,1.0,0.061986915434391734,1.0023392830739026,1.0023392837903553,-7.147805593937795e-10,true
32,1.0236135102427861,1.0384202752762666,0.1,1.0,0.06190627429539753,1.0023366280671322,1.0023366288785893,-8.095655283299474e-10,true
33,1.0235844078759826,1.0384273209275943,0.1,1.0,0.06181973764679343,1.0023337782863184,1.0023337792003035,-9.118571141220055e-10,true
34,1.0235533174335678,1.0384348550019973,0.1,1.0,0.06172730340717501,1.0023307337473113,1.0023307345099395,-7.608550044342632e-10,true
35,1.0235202342917975,1.0384428800494379,0.1,1.0,0.06162897511342418,1.002327493981339,1.0023274948346752,-8.513546729572996e-10,true
36,1.0234851464457202,1.038451400501661,0.1,1.0,0.06152470899760283,1.0023240577956916,1.0023240585069326,-7.095918926232347e-10,true
37,1.023448037681429,1.038460421934677,0.1,1.0,0.06141447371878199,1.0023204235842706,1.0023204243769641,-7.908582504156936e-10,true
38,1.0234088851301815,1.0384699516547684,0.1,1.0,0.06129820073987892,1.0023165890879508,1.002316589969441,-8.794530399064415e-10,true
39,1.0233676603751154,1.0384799984501558,0.1,1.0,0.06117580474765289,1.0023125515028264,1.0023125522383196,-7.337961943805482e-10,true
40,1.0233243309330715,1.0384905722514668,0.1,1.0,0.061047207359550645,1.0023083076252075,1.0023083084417377,-8.146499056935208e-10,true
41,1.0232788577843095,1.0385016847327189,0.1,1.0,0.06091229325257116,1.0023038536095226,1.0023038545147933,-9.031899126168974e-10,true
42,1.023231196533035,1.0385133490534042,0.1,1.0,0.060770931017436164,1.002299185081804,1.002299185840072,-7.565287229137352e-10,true
43,1.023181298976684,1.0385255795003392,0.1,1.0,0.06062299718546208,1.0022942972932234,1.0022942981337235,-8.385761763804456e-10,true
44,1.0231291102595101,1.0385383921881095,0.1,1.0,0.06046833104599711,1.0022891848410778,1.0022891857719867,-9.287826857433401e-10,true
45,1.0230745701069652,1.038551804787395,0.1,1.0,0.0603067558432962,1.0022838417894677,1.0022838425736333,-7.823787637716018e-10,true
46,1.0230176144968273,1.038565836145406,0.1,1.0,0.06013810325232981,1.0022782618327797,1.002278262701926,-8.671706772794829e-10,true
47,1.0229581724329662,1.0385805070893845,0.1,1.0,0.05996216682775745,1.0022724379793644,1.0022724389422868,-9.607391969652934e-10,true
48,1.0228961672584092,1.0385958401412523,0.1,1.0,0.059778723544973475,1.0022663626798736,1.0022663634965876,-8.148672296821868e-10,true
49,1.0228315184708292,1.0386118591073692,0.1,1.0,0.05958755900244732,1.0022600280048446,1.0022600289109127,-9.040250254117865e-10,true
50,1.022764137448807,1.0386285901519208,0.1,1.0,0.05938841122064843,1.0022534252256103,1.0022534259985407,-7.711926383949241e-10,true
51,1.0226939319734174,1.0386460607347507,0.1,1.0,0.05918103237949153,1.002246545256986,1.0022465461159624,-8.570510611968785e-10,true
52,1.0226208020252783,1.0386643006783578,0.1,1.0,0.058965135688315184,1.0022393782450216,1.0022393791995674,-9.524128360971496e-10,true
53,1.0225446411449215,1.0386833418845156,0.1,1.0,0.05874041592577137,1.0022319136998512,1.0022319145207972,-8.191176808017286e-10,true
54,1.0224653383895714,1.0387032179014906,0.1,1.0,0.05850657435445632,1.0022241406870172,1.0022241416011666,-9.121208866327835e-10,true
55,1.0223827734804696,1.038723965175929,0.1,1.0,0.058263262687685766,1.0022160473513286,1.0022160481426061,-7.895278957524565e-10,true
56,1.0222968218142712,1.0387456218766933,0.1,1.0,0.05801014459059824,1.0022076214074989,1.0022076222906047,-8.811605108766107e-10,true
57,1.0222073496537134,1.03876822915268,0.1,1.0,0.05774684208018867,1.00219884966811,1.0021988506538384,-9.835657297299627e-10,true
58,1.0221142155901641,1.0387918308482336,0.1,1.0,0.05747295581907604,1.0021897181862747,1.002189719047152,-8.589963814038815e-10,true
59,1.0220172727641696,1.0388164730271066,0.1,1.0,0.05718809090951983,1.002180212472642,1.0021802134358866,-9.611492522015874e-10,true
60,1.0219163632023436,1.038842205481788,0.1,1.0,0.05689179872810901,1.0021703169393295,1.0021703177863377,-8.451739191318863e-10,true
61,1.0218113236109596,1.0388690803784426,0.1,1.0,0.05658364095502193,1.0021600154671393,1.0021600164172746,-9.480873391053135e-10,true
62,1.0217019788657247,1.0388971540083396,0.1,1.0,0.05626312485829804,1.0021492907661842,1.00214929160748,-8.394913275817928e-10,true
63,1.0215881479248048,1.0389264854136127,0.1,1.0,0.05592976612493504,1.0021381249547487,1.0021381259009239,-9.441564995105178e-10,true
64,1.0214696371184961,1.0389571382266742,0.1,1.0,0.05558302500162312,1.0021264988999874,1.0021264997436565,-8.418789129369109e-10,true
65,1.0213462462422205,1.0389891792652055,0.1,1.0,0.055222368559298435,1.002114392814353,1.0021143937656727,-9.493125660564594e-10,true
66,1.021217761597387,1.0390226804796607,0.1,1.0,0.05484720713553899,1.0021017855715348,1.002101786425765,-8.524385954056246e-10,true
67,1.0210839623400227,1.039057717502653,0.1,1.0,0.05445695668056939,1.002088655327857,1.0020886562935716,-9.637016731497972e-10,true
68,1.0209446132148332,1.0390943717290064,0.1,1.0,0.05405097494798752,1.0020749788077081,1.0020749796809407,-8.714245223855055e-10,true
69,1.0207994712444224,1.0391327288030587,0.1,1.0,0.053628624578381356,1.0020607319582262,1.0020607329478946,-9.876331315272768e-10,true
70,1.020648278102108,1.0391728808571865,0.1,1.0,0.05318920851555148,1.0020458891988056,1.0020458900998925,-8.992471953704617e-10,true
71,1.020490767251263,1.0392149249149045,0.1,1.0,0.052732034542800565,1.0020304241198044,1.0020304251434553,-1.0215768140274528e-9,true
72,1.0203266559023552,1.0392589653165647,0.1,1.0,0.052256349417549586,1.0020143086906952,1.002014309629019,-9.364375590063811e-10,true
73,1.0201556516915575,1.0393051122912924,0.1,1.0,0.05176139732790223,1.0019975139133197,1.0019975147772007,-8.621587692901611e-10,true
74,1.0199774493752936,1.039353483201392,0.1,1.0,0.051246393750662075,1.0019800094947537,1.0019800104803085,-9.836072156418907e-10,true
75,1.0197917277621262,1.0394042037925566,0.1,1.0,0.05071050361622077,1.0019617635430074,1.0019617644561278,-9.113326703523439e-10,true
76,1.0195981567649937,1.0394574067465783,0.1,1.0,0.05015289798917753,1.001942743256713,1.001942744300175,-1.041438658618346e-9,true
77,1.0193963890649167,1.0395132344542517,0.1,1.0,0.049572690191863916,1.0019229141028254,1.0019229150752884,-9.705966228217705e-10,true
78,1.0191860679652431,1.039571837435031,0.1,1.0,0.04896899624924558,1.0019022405848073,1.0019022414945569,-9.080222925558074e-10,true
79,1.0189668244832144,1.0396333757405405,0.1,1.0,0.04834091144347789,1.0018806859531921,1.0018806869955463,-1.0403976924769354e-9,true
80,1.0187382746214915,1.0396980204102468,0.1,1.0,0.04768748982940073,1.001858211933269,1.0018582129132019,-9.781151756593776e-10,true
81,1.0185000271880371,1.039765952034982,0.1,1.0,0.04700779831217188,1.001834779489732,1.0018347804139205,-9.224961124848496e-10,true
82,1.0182516816446372,1.039837362161147,0.1,1.0,0.046300896512396536,1.0018103486109753,1.00181034967088,-1.0579893018527325e-9,true
83,1.0179928261842826,1.0399124547501803,0.1,1.0,0.04556581911868596,1.0017848781153864,1.0017848791184396,-1.0012661040992993e-9,true
84,1.0177230471957324,1.0399914444348464,0.1,1.0,0.04480163419521415,1.0017583265779406,1.0017583275293407,-9.497301705924804e-10,true
85,1.0174419270917063,1.040074558173888,0.1,1.0,0.044007419043162396,1.001730652112196,1.0017306530162902,-9.025319779726315e-10,true
86,1.01714905014322,1.0401620346648355,0.1,1.0,0.043182288313969544,1.001701812940223,1.0017018139749552,-1.0329743380110834e-9,true
87,1.0168440016023956,1.0402541258068225,0.1,1.0,0.04232537573834494,1.001671767302093,1.0016717682857885,-9.820536601805319e-10,true
88,1.016526380050825,1.0403510942673537,0.1,1.0,0.04143589832970194,1.0016404746682748,1.0016404756038206,-9.340136218703027e-10,true
89,1.016195799358762,1.0404532141502698,0.1,1.0,0.04051314966654622,1.0016078959300088,1.001607896993946,-1.062229303431736e-9,true
90,1.0158518912586092,1.0405607715632366,0.1,1.0,0.0395564958878418,1.0015739936506676,1.0015739946596995,-1.0074462412305168e-9,true
91,1.015494320852494,1.0406740611522203,0.1,1.0,0.03856544771054696,1.0015387335933505,1.0015387345488254,-9.540068763181503e-10,true
92,1.0151227909763274,1.0407933859769491,0.1,1.0,0.03753965954619942,1.0015020851522816,1.001502086226611,-1.0727182618748554e-9,true
93,1.0147370472622772,1.0409190571521547,0.1,1.0,0.03647893155992261,1.0014640218545166,1.0014640228647684,-1.0087750591455946e-9,true
94,1.0143368979323761,1.041051388544581,0.1,1.0,0.035383295327327056,1.0014245233176888,1.00142452444072,-1.1214337477302022e-9,true
95,1.0139222126997929,1.0411906980006387,0.1,1.0,0.03425297409198552,1.001383575149418,1.0013835761947587,-1.043896386433013e-9,true
96,1.0134929439123068,1.0413373009715112,0.1,1.0,0.033088470905189536,1.001341171045188,1.0013411720125052,-9.660214652946336e-10,true
