T_report,n_buffer,terminal_rule,elapsed_sec,status,T_extended,branch_iters,warm_start_T,branch_converged,max_u_residual,max_u_residual_t,terminal_u_residual,max_bgp_residual,residual_safe,hard_valid,model_residuals,psi_interior,equity_interior,theta_feasible,theta_interior,positive_foreign_claims,positive_returns,accounting_exact,positive_output,finite_accounting,exact_common,extended_bgp_valid,exponent_ordering,robust_ordering_002,accounting_residual_max,accounting_scale,nfa_identity_error,psi_ok,psi_min,equity_weights_ok,equity_weight_min,nu_b_reference,nu_b_eff_min,nu_b_eff_max,xi_W_eff_min,xi_W_eff_max,nu_b_ordering_ok,max_common_growth_log_gap,max_common_growth_level_gap,all_extended_bgp_converged,max_extended_bgp_residual,terminal_successor_scope,terminal_successor_N_US,terminal_successor_phi_US,terminal_successor_phi_W,hkt_scalar_root_residual,phi_US_report_end,q_US_report_end,q_growth,nfa_final,nfa_min,rebased_nfa_t15,nfa_savings_identity_error,nfa_portfolio_identity_error,cond_1b_final,error,search_stage
30,0,local_loglinear,3.2148449420928955,ok,30,500,,true,1.484537636321352e-7,30,1.484537636321352e-7,9.829324820373995e-10,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,2.498001805406602e-16,1.0,3.1657278132257716e-8,true,0.9529549940215523,true,0.2122368073360596,0.1,0.1,0.1,0.06021729289900954,0.0624638731890262,true,8.787099155943556e-10,8.807221618667427e-10,true,9.829324820373995e-10,T_report_plus_1_only,1.8346009129701744,0.838061690825051,0.7596511376271532,,0.8409087798236522,1.75507358665106,1.6296043322968838,0.1764667216430178,-0.022325746601342455,-0.04103906809332912,0.0,3.1657278132257716e-8,0.4312831681732148,,coarse_grid
35,0,local_loglinear,0.33988308906555176,ok,35,500,30,true,1.4192404931345866e-7,35,1.4192404931345866e-7,9.830598310058018e-10,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,5.065392549852277e-16,1.0,3.577352680750323e-8,true,0.9527413118213834,true,0.21195898276773845,0.1,0.1,0.1,0.06021729289900954,0.062463875057594764,true,9.131968098374799e-10,9.153278135443088e-10,true,9.830598310058018e-10,T_report_plus_1_only,2.1623334966864904,0.8245031767371548,0.7516207225439578,,0.8272846689187755,1.9076460082050666,1.77126943457209,0.41115365729604747,-0.022325568926464312,-0.04103904363038954,0.0,3.577352680750323e-8,0.36292351968963144,,coarse_grid
40,0,local_loglinear,0.39514994621276855,ok,40,500,35,true,1.4664645048027768e-7,40,1.4664645048027768e-7,9.830645393927488e-10,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,8.187894806610529e-16,1.0,4.458419899933119e-8,true,0.9525911118035307,true,0.21184972207768346,0.1,0.1,0.1,0.06021729289900954,0.06246387513277581,true,9.11911413135208e-10,9.140397327911387e-10,true,9.830645393927488e-10,T_report_plus_1_only,2.5828879399797158,0.8104414614960281,0.7417436239179958,,0.8133263505949133,2.0837956550451766,1.93482623914514,0.8191593478585064,-0.02232556039442657,-0.04103904249437732,0.0,4.458419899933119e-8,0.300990897628714,,coarse_grid
45,0,local_loglinear,0.3988959789276123,ok,45,500,40,true,1.7668199941345488e-7,45,1.7668199941345488e-7,9.830649674274932e-10,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,5.551115123125783e-16,1.5158607473064287,6.175115130346853e-8,true,0.9525668205512047,true,0.2118334780665912,0.1,0.1,0.1,0.06021729289900954,0.06246387513893015,true,9.294070569577928e-10,9.31534627213182e-10,true,9.830649674274932e-10,T_report_plus_1_only,3.1288676180095223,0.7951963921129201,0.7297879364286115,,0.7983251871227026,2.2915466918541885,2.127725267538099,1.51586080905758,-0.02232556039442657,-0.04103904249437732,0.0,6.175115130346853e-8,0.24564187136621216,,coarse_grid
50,0,local_loglinear,0.4498438835144043,ok,50,500,45,true,1.7079306111460909e-7,50,1.7079306111460909e-7,9.830649674274932e-10,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,1.2628786905111156e-15,2.705897705507093,6.904121541140285e-8,true,0.9525657414750817,true,0.21183268198039362,0.1,0.1,0.1,0.05938807735042026,0.06246387513893015,true,9.608883688727587e-10,9.63071844495289e-10,true,9.830649674274932e-10,T_report_plus_1_only,3.8489131951873623,0.778147897040292,0.7153788823773152,,0.7816488350364781,2.5419180160968566,2.3601976822402633,2.7058977745483084,-0.02232556039442657,-0.04103904249437732,0.0,6.904121541140285e-8,0.1968288489299858,,coarse_grid
55,0,local_loglinear,0.5220000743865967,ok,55,500,50,true,1.7793442260203595e-7,55,1.7793442260203595e-7,9.830649674274932e-10,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,6.765421556309548e-16,4.762998294608702,8.058842038138891e-8,true,0.9525656866653984,true,0.2118326415426837,0.1,0.1,0.1,0.05826292206710452,0.06246387513893015,true,9.607498928365654e-10,9.62933066617211e-10,true,9.830649674274932e-10,T_report_plus_1_only,4.817046404911563,0.7586867143853966,0.6979962014221366,,0.7626855456343977,2.8505811627305944,2.646794668714502,4.762998375197123,-0.02232556039442657,-0.04103904249437732,0.0,8.058842038138891e-8,0.1543944526524523,,coarse_grid
60,0,local_loglinear,0.580528974533081,ok,60,500,55,true,1.9886967007725745e-7,60,1.9886967007725745e-7,9.830649674274932e-10,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,2.7755575615628914e-15,8.393988228561126,9.76439427091691e-8,true,0.9525656825806501,true,0.21183263853205517,0.1,0.1,0.1,0.05689131878118445,0.06246387513893015,true,9.83714120578183e-10,9.858771576887193e-10,true,9.830649674274932e-10,T_report_plus_1_only,6.148698302265804,0.7361944459985788,0.6769694639210289,,0.7408181392328067,3.2404653248053448,3.008806224493943,8.393988326205069,-0.02232556039442657,-0.04103904249437732,0.0,9.76439427091691e-8,0.11812160892528577,,coarse_grid
65,0,local_loglinear,0.682873010635376,ok,65,500,60,true,2.133924506362217e-7,65,2.133924506362217e-7,9.830649674274932e-10,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,2.192690473634684e-15,14.990236091354223,1.0446299469890619e-7,true,0.9525656823237354,true,0.21183263834179383,0.1,0.1,0.1,0.055221575568522405,0.06246387513893015,true,9.835844677792693e-10,9.857472615948382e-10,true,9.830649674274932e-10,T_report_plus_1_only,8.028878772436373,0.7100531120939869,0.6514875534032828,,0.7154270334039934,3.745969822800351,3.4781724813812698,14.990236195817218,-0.02232556039442657,-0.04103904249437732,0.0,1.0446299469890619e-7,0.08775104104905893,,coarse_grid
70,0,local_loglinear,0.7726881504058838,ok,70,500,65,true,2.2562459429173347e-7,70,2.2562459429173347e-7,9.830649674274932e-10,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,8.049116928532385e-15,27.416104318321146,8.684877883524678e-8,true,0.9525656823237354,true,0.21183263834179383,0.1,0.1,0.1,0.053187888259357344,0.06246387513893015,true,9.883202281742165e-10,9.903566855484769e-10,true,9.830649674274932e-10,T_report_plus_1_only,10.763003598226915,0.67969109106039,0.6206452527373583,,0.6859282506491317,4.419918179591362,4.103940637385861,27.416104405169925,-0.02232556039442657,-0.04103904249437732,0.0,8.684877883524678e-8,0.06297435359902458,,coarse_grid
75,0,local_loglinear,0.9727199077606201,ok,75,500,70,true,2.4195257468620536e-7,75,2.4195257468620536e-7,9.830649674274932e-10,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,5.9396931817445875e-15,51.86686338178299,2.2704725211042387e-8,true,0.9525656823237354,true,0.21183263834179383,0.1,0.1,0.1,0.0507084280944034,0.06246387513893015,true,1.0218043646446906e-9,1.0238789815986138e-9,true,9.830649674274932e-10,T_report_plus_1_only,14.871137067300635,0.64467088380338,0.5835573744978262,,0.6518522664755243,5.345259524214165,4.963129833508467,51.866863396836024,-0.02232556039442657,-0.04103904249437732,0.0,2.2704725211042387e-8,0.04340999588008622,,coarse_grid
