t,evidence_window,Y_US,NFA,NFA_over_Y,rebased_NFA_change_current_Y,VA_asset,VA_liability,VA,CA_asset,CA_liability,CA_bond,CA,RES,cum_VA_asset_current_Y,cum_VA_liability_current_Y,cum_VA_current_Y,cum_CA_asset_current_Y,cum_CA_liability_current_Y,cum_CA_bond_current_Y,cum_CA_current_Y,cum_RES_current_Y
1,true,2.724277160621999,0.13061444847833875,0.04794462559327746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,true,2.7333955460598816,0.10950752417620019,0.040062816497250985,-0.007721869720817993,-0.007280341792712993,-0.008852404705382873,-0.016132746498095867,0.01208273498463608,-0.012854607958501121,-0.00420230483017775,-0.0049741778040427904,9.367506770274758e-17,-0.002663479057470265,-0.003238610935085258,-0.005902089992555523,0.0044204121873444285,-0.004702798311437473,-0.0015373936041694599,-0.0018197797282625042,3.4270586208343595e-17
3,true,2.752570562972988,0.09034379815032711,0.032821610230674286,-0.014630197267137898,-0.006299702252780385,-0.009177023051493524,-0.015476725304273908,0.01341650441253447,-0.01315106587941591,-0.003952439254717638,-0.0036870007215990784,-8.673617379884035e-17,-0.004933586164209315,-0.006550032903571861,-0.011483619067781177,0.00926379135931375,-0.009447777356824198,-0.002962592201846276,-0.003146578199356724,2.5208777559593926e-18
4,true,2.781429509030563,0.07297919029079447,0.026238015399581552,-0.020721452044863226,-0.005448382818900457,-0.009483856795362032,-0.014932239614262488,0.014790414900175651,-0.013511293135002659,-0.003711490010443186,-0.0024323682452701938,3.8163916471489756e-17,-0.0068412400179884425,-0.00989177847682643,-0.016733018494814872,0.014485232923047802,-0.014207430691526997,-0.004266235781569176,-0.003988433550048369,1.621569420650789e-17
5,true,2.819693224835009,0.0572908391870357,0.020318110737166457,-0.02600410876101371,-0.00470376644837522,-0.009778647493945407,-0.014482413942320627,0.016206469835652354,-0.013931192204103255,-0.003481214792987297,-0.0012059371614381986,5.724587470723463e-17,-0.008416586990294917,-0.013225528124027013,-0.02164211511432193,0.020036266227615722,-0.01895530999835998,-0.005442949875947554,-0.004361993646691814,3.629780863434902e-17
6,true,2.8671696605572885,0.04317569188932047,0.015058645633453186,-0.030496540819291075,-0.004047246946057004,-0.01006680055500335,-0.014114047501060354,0.01766902944274568,-0.014406819713543888,-0.0032633095258565725,-1.099796654781271e-6,-1.0061396160665481e-16,-0.009688802389680212,-0.01651758989106425,-0.02620639228074446,0.025867026495156493,-0.023666188933297357,-0.006490986100405754,-0.004290148538546614,6.0502993591234875e-19
7,true,2.9237480672271663,0.03054910365319441,0.010448610123295154,-0.03422502299250586,-0.0034634683289301482,-0.010353342419368462,-0.01381681074829861,0.019184196314295764,-0.014934536348817567,-0.0030594374533056135,0.0011902225121725833,-3.122502256758253e-17,-0.01068590995850968,-0.019739072482838377,-0.03042498244134806,0.03192797318497108,-0.028316227436757435,-0.007411786299371446,-0.003800040551157795,-1.0086470658046069e-17
8,true,2.9893939799729123,0.019343574956499077,0.006470734565630708,-0.03722188318678822,-0.0029396873539449865,-0.010642892207161947,-0.013582579561106933,0.020759319560842576,-0.015511124294633161,-0.002871144401797976,0.0023770508644114386,1.6132928326584306e-16,-0.011434623930704152,-0.02286582755088607,-0.03430045148159023,0.038171171219096564,-0.03288313290003625,-0.008209470024258364,-0.00292143170519804,4.4102244487503775e-17
9,true,3.06414504407394,0.009507592097779516,0.003102853148602482,-0.0395238654301891,-0.0024652726596082366,-0.01093969007759376,-0.013404962737201997,0.022402676953751196,-0.01613385167529629,-0.002699845399972367,0.00356897987848254,-1.0408340855860843e-16,-0.01196022644952348,-0.025878232317581476,-0.03783845876710496,0.04455120251851225,-0.037346303638801405,-0.008890305542795008,-0.0016854066630841453,9.05817943223942e-18
10,true,3.1481077325358684,0.001004686374405539,0.00031913976895455305,-0.04117068827232598,-0.002031277975759099,-0.011247606063195649,-0.013278884038954747,0.024123207647926994,-0.01680052445962851,-0.0025467048727177977,0.004775978315580687,8.326672684688674e-17,-0.012286474880550432,-0.02876085288719559,-0.04104732776774603,0.051025748703703404,-0.041686951914834805,-0.0094621572934486,-0.00012336050457999024,3.526636058705806e-17
11,true,3.241454920631225,-0.006187360193700031,-0.001908821916454459,-0.042203828842820576,-0.0016301139238173133,-0.011570191601752456,-0.013200305525569769,0.025930381306938626,-0.017509498975506136,-0.0024126233739681924,0.006008258957464298,-9.8879238130678e-17,-0.012435545607722413,-0.031502043826163895,-0.043937589433886315,0.05755592470900956,-0.045888194741725036,-0.009933969376218817,0.0017337605910657276,3.7461771424151005e-18
12,true,3.344424310558931,-0.012077115965537955,-0.00361111953630058,-0.04266550867764432,-0.0012552737450334628,-0.011910720424058902,-0.013165994169092365,0.02783411454409235,-0.01825968283518609,-0.0022981933116519027,0.007276238397254359,8.326672684688674e-17,-0.012428008645521684,-0.03409351350375229,-0.046521522149273985,0.06410641413731401,-0.04993511049192329,-0.010315290173761102,0.003856013471629626,2.852801627996156e-17
13,true,3.457317673298086,-0.016659915655831137,-0.004818740199808864,-0.04259786865164706,-0.000901110524612891,-0.01227223253251554,-0.013173343057128431,0.029844750087171867,-0.01905052056431974,-0.002203686156016932,0.008590543366835193,5.551115123125783e-17,-0.012282829865044583,-0.0365298823716003,-0.04881271223664489,0.07064546075043453,-0.053814759193495994,-0.010615857971940777,0.006214843584997779,4.3652610685905574e-17
14,true,3.5805008749090144,-0.0199181105657934,-0.0055629397287326595,-0.042042318743451615,-0.0005626590849007367,-0.012657585239652751,-0.013220244324553487,0.03197308692547037,-0.019881968220697693,-0.002129069290181418,0.009962049414591261,-3.8163916471489756e-17,-0.012017397944785123,-0.038808255610332076,-0.05082565355511721,0.07714476174321644,-0.05751616699992712,-0.010845259931623786,0.008783334811665553,3.149196994438879e-17
15,true,3.7144046663582,-0.021821160387419214,-0.005874739654797451,-0.04103904193487188,-0.00023549107993130913,-0.013069505374197331,-0.01330499645412864,0.03423045244805407,-0.020754459494362807,-0.0020740463211882665,0.011401946632502994,-1.6653345369377348e-16,-0.01164757177030535,-0.04092782348610791,-0.052575395256413276,0.08357929930899723,-0.06103027702182888,-0.011012668965626958,0.011536353321541402,-1.447780535124254e-17
16,false,3.85952622668385,-0.02232555978361328,-0.005784533767191333,-0.03962662753903861,8.440757584340481e-5,-0.013510634713745374,-0.01342622713790197,0.036628791546948994,-0.02166887351713359,-0.0020380902881076413,0.012921827741707761,1.4224732503009818e-16,-0.011187742956891645,-0.04288949563549341,-0.05407723859238507,0.08992713367553634,-0.06434987215763585,-0.011126650464554088,0.014450611053346425,2.2922735091978475e-17
17,false,4.01643145416753,-0.021374593913618956,-0.00532178730236769,-0.03784181159975999,0.00040074191611423176,-0.01398356869236004,-0.01358282677624581,0.039180778612339436,-0.02262650156120021,-0.0020204844048988813,0.014533792646240343,-2.0816681711721685e-16,-0.010650908880573231,-0.04469557217527495,-0.055346481055848204,0.09616917752269578,-0.06746947481356057,-0.011195033253047004,0.017504669456088234,-2.9801559221980695e-17
18,false,4.185758001944826,-0.01889795747362555,-0.004514823232696444,-0.03571931437089684,0.0007169889970129781,-0.014490909381772065,-0.013773920384759088,0.04189995614986828,-0.023629012900650607,-0.002020386424465309,0.016250556824752363,1.3183898417423734e-16,-0.010048754951158317,-0.0463494571923221,-0.05639821214348044,0.10228896784632804,-0.070385228577742,-0.011224841496002485,0.020678897772583582,2.901043090927766e-18
19,false,4.368219087823722,-0.01481119120877461,-0.003390670410753974,-0.03329174584958042,0.001036479328546103,-0.015035294820778743,-0.01399881549223264,0.04480086970330057,-0.024678430187406626,-0.0020368577588103787,0.018085581757083566,1.214306433183765e-17,-0.009391739812731451,-0.047855407878245146,-0.057247147690976614,0.10827243914919481,-0.07309476871602619,-0.011222268591772463,0.02395540184139618,5.5597322788529865e-18
20,false,4.564608092037392,-0.009014975012286097,-0.0019749724030003867,-0.030589575419234273,0.0013624572734204053,-0.015619448843277019,-0.014256991569856613,0.04789923424264224,-0.025777101693342006,-0.0020689247829549784,0.020053207766345255,-1.2836953722228372e-16,-0.008689184053635553,-0.049218322901482696,-0.05790750695511827,0.11410770850798395,-0.07559708493281118,-0.011192692039288788,0.027317931535884007,-2.2802266144200626e-17
21,false,4.775803995483591,-0.0013942419631414182,-0.00029193869021005317,-0.027641144939431952,0.0016981441970673268,-0.016246214224108126,-0.0145480700270408,0.05121208829981803,-0.02692768920638446,-0.002115596017248228,0.02216880307618534,1.3877787807814457e-16,-0.007949357989411278,-0.05044356289423709,-0.05839292088364838,0.11978486940841854,-0.0778923831834234,-0.01114071028077876,0.030751775944216412,7.264634300810125e-18
22,false,5.002777710176505,0.008182917389432554,0.0016356747917835926,-0.024472710598326113,0.002046801352668527,-0.016918576169409876,-0.014871774816741349,0.05475798277975054,-0.028133148200044335,-0.002175900410391035,0.024448934169315168,1.5265566588595902e-16,-0.007179566308058894,-0.05153679821945131,-0.05871636452751021,0.12529580105545818,-0.07998194727126091,-0.011070199855013228,0.034243653929184055,3.744922246383104e-17
23,false,5.246599350523674,0.01986649407763763,0.00378654681830331,-0.021108521349099612,0.0024117732529438593,-0.017639719845936545,-0.015227946592992685,0.05855716818696654,-0.029396727402304326,-0.0022489175034642317,0.02691152328119798,-2.185751579730777e-16,-0.00638623207209506,-0.052503888105078354,-0.058890120177173426,0.13063399034224196,-0.08186800663264078,-0.010984384881527375,0.03778159882807382,-5.9514783732182435e-18
24,false,5.50844655297068,0.03382605216399681,0.0061407607097058205,-0.017570905950270933,0.0027965498296988723,-0.018413048885168,-0.015616499055469127,0.0626318021486743,-0.0307219628667155,-0.0023337821401306913,0.029576057141828108,1.9949319973733282e-16,-0.005574974889333738,-0.053350778897682444,-0.05892575378701619,0.13579436667697087,-0.08355360969164445,-0.010885909148581233,0.041354847836745215,3.054730141277381e-17
25,false,5.789613924155305,0.050252449253949116,0.008679758255431663,-0.01388037272901825,0.0032048215057794765,-0.019242220468303248,-0.01603739896252377,0.06700617525056797,-0.03211268146193614,-0.0024296977361555894,0.03246379605247624,-1.6653345369377348e-16,-0.004750684599454,-0.0540834222605313,-0.05883410685998531,0.1407731494642063,-0.08504250563269944,-0.010776909700539846,0.044953734130967045,2.996267970026862e-19
