t,evidence_window,Y_US,e_US,q_US,q_W,n_W,n_US_star,bond,asset_position,liability_position,foreign_liability_exposure_Y,NFA,NFA_over_Y,rebased_NFA_change_current_Y,VA_asset,VA_liability,VA,CA_asset,CA_liability,CA_bond,CA,RES,cum_VA_asset_current_Y,cum_VA_liability_current_Y,cum_VA_current_Y,cum_CA_asset_current_Y,cum_CA_liability_current_Y,cum_CA_bond_current_Y,cum_CA_current_Y,cum_RES_current_Y
1,true,2.724277160621999,2.689294087733777,1.0769936921911165,2.314972239768629,0.32728177652102564,0.41881241983956613,-0.17597544437148546,0.7576482272283346,0.45105833437851034,0.16556991369979623,0.13061444847833875,0.04794462559327746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,true,2.7333955460598816,2.7002517450573684,1.0981306124113286,2.292727366039018,0.3325518034608229,0.43051832058872597,-0.1801777492016632,0.7624506204202577,0.4727653470423943,0.17295899516770386,0.10950752417620019,0.040062816497250985,-0.007721869720817993,-0.007280341792712993,-0.008852404705382873,-0.016132746498095867,0.01208273498463608,-0.012854607958501121,-0.00420230483017775,-0.0049741778040427904,9.367506770274758e-17,-0.002663479057470265,-0.003238610935085258,-0.005902089992555523,0.0044204121873444285,-0.004702798311437473,-0.0015373936041694599,-0.0018197797282625042,3.4270586208343595e-17
3,true,2.752570562972988,2.7211552105929266,1.1194468319834576,2.2737838444967493,0.3384523223008202,0.442266145946465,-0.18413018845638085,0.7695674225800118,0.4950934359733038,0.17986584708606518,0.09034379815032711,0.032821610230674286,-0.014630197267137898,-0.006299702252780385,-0.009177023051493524,-0.015476725304273908,0.01341650441253447,-0.01315106587941591,-0.003952439254717638,-0.0036870007215990784,-8.673617379884035e-17,-0.004933586164209315,-0.006550032903571861,-0.011483619067781177,0.00926379135931375,-0.009447777356824198,-0.002962592201846276,-0.003146578199356724,2.5208777559593926e-18
4,true,2.781429509030563,2.7516421519793566,1.1408906094063627,2.2576859114648173,0.3450034616001656,0.4541089054745086,-0.18784167846682404,0.778909454661287,0.5180885859036685,0.18626701996997314,0.07297919029079447,0.026238015399581552,-0.020721452044863226,-0.005448382818900457,-0.009483856795362032,-0.014932239614262488,0.014790414900175651,-0.013511293135002659,-0.003711490010443186,-0.0024323682452701938,3.8163916471489756e-17,-0.0068412400179884425,-0.00989177847682643,-0.016733018494814872,0.014485232923047802,-0.014207430691526997,-0.004266235781569176,-0.003988433550048369,1.621569420650789e-17
5,true,2.819693224835009,2.791443399977357,1.1624243150352525,2.2440519426154655,0.3522254289387485,0.4660935069869785,-0.19132289325981133,0.7904121580485641,0.5417984256017171,0.19214800419766226,0.0572908391870357,0.020318110737166457,-0.02600410876101371,-0.00470376644837522,-0.009778647493945407,-0.014482413942320627,0.016206469835652354,-0.013931192204103255,-0.003481214792987297,-0.0012059371614381986,5.724587470723463e-17,-0.008416586990294917,-0.013225528124027013,-0.02164211511432193,0.020036266227615722,-0.01895530999835998,-0.005442949875947554,-0.004361993646691814,3.629780863434902e-17
6,true,2.8671696605572885,2.8403765156766974,1.184022557456777,2.2325614407563257,0.3601396700074108,0.4782611972246451,-0.1945862027856679,0.8040339405452528,0.5662720458702644,0.19750210587824046,0.04317569188932047,0.015058645633453186,-0.030496540819291075,-0.004047246946057004,-0.01006680055500335,-0.014114047501060354,0.01766902944274568,-0.014406819713543888,-0.0032633095258565725,-1.099796654781271e-6,-1.0061396160665481e-16,-0.009688802389680212,-0.01651758989106425,-0.02620639228074446,0.025867026495156493,-0.023666188933297357,-0.006490986100405754,-0.004290148538546614,6.0502993591234875e-19
7,true,2.9237480672271663,2.8983400017185112,1.2056704404116332,2.222944426532764,0.3687697536412236,0.49064811146608467,-0.19764564023897352,0.8197546685306184,0.5915599246384504,0.20232930848911204,0.03054910365319441,0.010448610123295154,-0.03422502299250586,-0.0034634683289301482,-0.010353342419368462,-0.01381681074829861,0.019184196314295764,-0.014934536348817567,-0.0030594374533056135,0.0011902225121725833,-3.122502256758253e-17,-0.01068590995850968,-0.019739072482838377,-0.03042498244134806,0.03192797318497108,-0.028316227436757435,-0.007411786299371446,-0.003800040551157795,-1.0086470658046069e-17
8,true,2.9893939799729123,2.965308314510442,1.227361937756564,2.214972820063094,0.37814202194754587,0.5032858866956027,-0.2005167846407715,0.837574300737516,0.6177139411402455,0.20663517263985484,0.019343574956499077,0.006470734565630708,-0.03722188318678822,-0.0029396873539449865,-0.010642892207161947,-0.013582579561106933,0.020759319560842576,-0.015511124294633161,-0.002871144401797976,0.0023770508644114386,1.6132928326584306e-16,-0.011434623930704152,-0.02286582755088607,-0.03430045148159023,0.038171171219096564,-0.03288313290003625,-0.008209470024258364,-0.00292143170519804,4.4102244487503775e-17
9,true,3.06414504407394,3.04132773157283,1.249098470345268,2.2084533841989935,0.388286078921552,0.5162022836477475,-0.20321663004074386,0.857511705031659,0.6447874828931356,0.2104298176550602,0.009507592097779516,0.003102853148602482,-0.0395238654301891,-0.0024652726596082366,-0.01093969007759376,-0.013404962737201997,0.022402676953751196,-0.01613385167529629,-0.002699845399972367,0.00356897987848254,-1.0408340855860843e-16,-0.01196022644952348,-0.025878232317581476,-0.03783845876710496,0.04455120251851225,-0.037346303638801405,-0.008890305542795008,-0.0016854066630841453,9.05817943223942e-18
10,true,3.1481077325358684,3.1265131119268537,1.2708876146778239,2.203221988879849,0.3992351379676591,0.5294218038205737,-0.20576333491346166,0.8796036347038269,0.6728356134159597,0.21372699747920512,0.001004686374405539,0.00031913976895455305,-0.04117068827232598,-0.002031277975759099,-0.011247606063195649,-0.013278884038954747,0.024123207647926994,-0.01680052445962851,-0.0025467048727177977,0.004775978315580687,8.326672684688674e-17,-0.012286474880550432,-0.02876085288719559,-0.04104732776774603,0.051025748703703404,-0.041686951914834805,-0.0094621572934486,-0.00012336050457999024,3.526636058705806e-17
11,true,3.241454920631225,3.221045520511897,1.2927420066168338,2.1991388965645897,0.4110262901079109,0.5429662689078724,-0.20817595828742985,0.9039039020869482,0.7019153039932183,0.21654328725217342,-0.006187360193700031,-0.001908821916454459,-0.042203828842820576,-0.0016301139238173133,-0.011570191601752456,-0.013200305525569769,0.025930381306938626,-0.017509498975506136,-0.0024126233739681924,0.006008258957464298,-9.8879238130678e-17,-0.012435545607722413,-0.031502043826163895,-0.043937589433886315,0.05755592470900956,-0.045888194741725036,-0.009933969376218817,0.0017337605910657276,3.7461771424151005e-18
12,true,3.344424310558931,3.325170705000975,1.3146783977079715,2.196084897890432,0.4237007156598693,0.5568553560542195,-0.21047415159908175,0.9304827428860071,0.7320857072524632,0.2188973764307181,-0.012077115965537955,-0.00361111953630058,-0.04266550867764432,-0.0012552737450334628,-0.011910720424058902,-0.013165994169092365,0.02783411454409235,-0.01825968283518609,-0.0022981933116519027,0.007276238397254359,8.326672684688674e-17,-0.012428008645521684,-0.03409351350375229,-0.046521522149273985,0.06410641413731401,-0.04993511049192329,-0.010315290173761102,0.003856013471629626,2.852801627996156e-17
13,true,3.457317673298086,3.43919839169108,1.3367168541923886,2.193958136024549,0.4373038695200658,0.5711070807216919,-0.2126778377550987,0.959426382448566,0.7634084603492985,0.22080946343037375,-0.016659915655831137,-0.004818740199808864,-0.04259786865164706,-0.000901110524612891,-0.01227223253251554,-0.013173343057128431,0.029844750087171867,-0.01905052056431974,-0.002203686156016932,0.008590543366835193,5.551115123125783e-17,-0.012282829865044583,-0.0365298823716003,-0.04881271223664489,0.07064546075043453,-0.053814759193495994,-0.010615857971940777,0.006214843584997779,4.3652610685905574e-17
14,true,3.5805008749090144,3.56350236897907,1.358880097596161,2.192671481311161,0.45188566492260884,0.5857382231277575,-0.2148069070452801,0.9908368102891356,0.795948013809649,0.2223007455150741,-0.0199181105657934,-0.0055629397287326595,-0.042042318743451615,-0.0005626590849007367,-0.012657585239652751,-0.013220244324553487,0.03197308692547037,-0.019881968220697693,-0.002129069290181418,0.009962049414591261,-3.8163916471489756e-17,-0.012017397944785123,-0.038808255610332076,-0.05082565355511721,0.07714476174321644,-0.05751616699992712,-0.010845259931623786,0.008783334811665553,3.149196994438879e-17
15,true,3.7144046663582,3.6985213379899817,1.3811929753598966,2.192150351524998,0.4675006761941857,0.6007646965204091,-0.21688095336646837,1.0248317716572584,0.8297719786782092,0.22339299382039646,-0.021821160387419214,-0.005874739654797451,-0.04103904193487188,-0.00023549107993130913,-0.013069505374197331,-0.01330499645412864,0.03423045244805407,-0.020754459494362807,-0.0020740463211882665,0.011401946632502994,-1.6653345369377348e-16,-0.01164757177030535,-0.04092782348610791,-0.052575395256413276,0.08357929930899723,-0.06103027702182888,-0.011012668965626958,0.011536353321541402,-1.447780535124254e-17
16,false,3.85952622668385,3.8447605193391645,1.4036820377032702,2.1923309022282194,0.48420836913858595,0.6162018631543774,-0.218919043654576,1.0615449707800508,0.8649514869090881,0.22410820295222206,-0.02232555978361328,-0.005784533767191333,-0.03962662753903861,8.440757584340481e-5,-0.013510634713745374,-0.01342622713790197,0.036628791546948994,-0.02166887351713359,-0.0020380902881076413,0.012921827741707761,1.4224732503009818e-16,-0.011187742956891645,-0.04288949563549341,-0.05407723859238507,0.08992713367553634,-0.06434987215763585,-0.011126650464554088,0.014450611053346425,2.2922735091978475e-17
