switch_index,G_N_US,G_N_W,nu_b_eff,xi_W_seed,xi_W_eff,bgp_converged,bgp_residual_norm,G_b,G_W,level_gap,log_gap
0,1.023044362295168,1.0385592435171205,0.1,1.0,0.06021729289900954,true,5.851266138279243e-10,1.002280882356711,1.0022808830080465,-6.513354300352603e-10,-6.498532259188727e-10
1,1.0231384198879252,1.0385361050300066,0.1,1.0,0.06049586914830522,true,7.913001365267291e-10,1.002290096837577,1.0022900959568548,8.807221618667427e-10,8.787099155943556e-10
2,1.023224033785627,1.038515103509424,0.1,1.0,0.060749649285667215,true,7.563800696885892e-10,1.002298483457525,1.0022984826157695,8.417555541484489e-10,8.398252440700027e-10
3,1.023301724174118,1.038496094747693,0.1,1.0,0.06098008577420566,true,7.201652607591313e-10,1.0023060933548258,1.0023060925534593,8.013665286910054e-10,7.995228845300573e-10
4,1.0233719942951314,1.0384789415996116,0.1,1.0,0.06118863044699019,true,6.830056520357175e-10,1.0023129759772669,1.0023129752173243,7.599425533300064e-10,7.581888502444789e-10
5,1.0234353260477145,1.0384635146290206,0.1,1.0,0.06137667902638672,true,7.281284559288629e-10,1.0023191786552823,1.0023191779376013,7.176810257192301e-10,7.160204209058496e-10
6,1.0234921767116167,1.038449692550431,0.1,1.0,0.061545560376795864,true,8.171767399191657e-10,1.002324746284712,1.0023247456099886,6.747233882720138e-10,6.731586156549785e-10
7,1.0235429769962712,1.0384373623877934,0.1,1.0,0.06169652966196101,true,3.681992156190623e-10,1.0023297211390723,1.0023297205032076,6.358646942317137e-10,6.343869101907429e-10
8,1.023588129787693,1.0384264194774029,0.1,1.0,0.061830757589581016,true,2.8449465006019636e-16,1.0023341427498345,1.0023341419032124,8.466221057545908e-10,8.446505083900546e-10
9,1.0236280102187243,1.0384167672306612,0.1,1.0,0.06194935656848942,true,4.911748545264626e-16,1.0023380479159518,1.002338047132104,7.838478754962352e-10,7.820194851924922e-10
10,1.0236629657660412,1.0384083168775893,0.1,1.0,0.06205333902461425,true,2.220446049250313e-16,1.002341470715671,1.002341469995745,7.199261187196271e-10,7.182442440280268e-10
11,1.0236933170138494,1.0384009871025752,0.1,1.0,0.062143647382141246,true,3.491988362956178e-16,1.0023444425833155,1.0023444419284984,6.548170894404848e-10,6.532856170089751e-10
12,1.023719358437312,1.0383947036911492,0.1,1.0,0.06222114298648253,true,7.856806128252729e-10,1.0023469923877197,1.002346991581896,8.058236300456656e-10,8.039369612730662e-10
13,1.0237413604832375,1.0383893989219055,0.1,1.0,0.06228663564413643,true,7.475078907949044e-10,1.002349146637426,1.0023491459278917,7.095342091645307e-10,7.078713015057359e-10
14,1.0237595693878279,1.038385011451559,0.1,1.0,0.062340839571051736,true,9.682010733942259e-10,1.0023509294640849,1.0023509286087409,8.553440178360461e-10,8.533378274833137e-10
15,1.0237742101116742,1.0383814855589846,0.1,1.0,0.06238443395731987,true,8.655179459315135e-10,1.0023523629108777,1.0023523621957646,7.151130798632721e-10,7.134348910253774e-10
16,1.0237854864526261,1.0383787710049555,0.1,1.0,0.06241800817671389,true,2.7600028653694115e-16,1.0023534669444492,1.0023534661265037,8.179454891177329e-10,8.160250643610145e-10
17,1.0237935829645408,1.038376822519911,0.1,1.0,0.062442117648350816,true,1.3765866054773087e-16,1.002354259643507,1.002354258794896,8.486111813255093e-10,8.466182117340681e-10
18,1.0237986665932528,1.0383755993607637,0.1,1.0,0.06245725888980102,true,2.220446049250313e-16,1.0023547573596086,1.0023547565926203,7.669882506888825e-10,7.651865842339678e-10
