sweep_kind,sweep_value,case_id,label,omega_bar,omega_bar_star,T_max,branch_iters,warm_start_T,seed_kind,global_polish,status,elapsed_sec,branch_converged,max_u_residual,max_bgp_residual,residual_safe,error
omega_star,0.25,omega_0p50_omega_star_0p25,omega_bar* = 0.25 (AHP),0.5,0.25,30,60,,none,false,ok,0.41446614265441895,true,1.484537636321352e-7,9.829324820373995e-10,true,
omega_star,0.25,omega_0p50_omega_star_0p25,omega_bar* = 0.25 (AHP),0.5,0.25,45,60,30,horizon,false,ok,0.5572860240936279,true,1.7673106088421767e-7,9.830649160650728e-10,true,
omega_star,0.25,omega_0p50_omega_star_0p25,omega_bar* = 0.25 (AHP),0.5,0.25,60,60,45,horizon,false,ok,0.7668848037719727,true,2.042050161268953e-7,9.830649160650728e-10,true,
omega_star,0.25,omega_0p50_omega_star_0p25,omega_bar* = 0.25 (AHP),0.5,0.25,70,60,60,horizon,false,ok,0.9160840511322021,true,2.312574686390656e-7,9.830649160650728e-10,true,
omega_star,0.25,omega_0p50_omega_star_0p25,omega_bar* = 0.25 (AHP),0.5,0.25,80,60,70,horizon,false,ok,1.2323789596557617,true,2.6345242923930594e-7,9.830649160650728e-10,true,
omega_star,0.25,omega_0p50_omega_star_0p25,omega_bar* = 0.25 (AHP),0.5,0.25,90,60,80,horizon,false,ok,1.6268270015716553,true,3.6669164104474714e-7,9.830649160650728e-10,true,
omega_star,0.25,omega_0p50_omega_star_0p25,omega_bar* = 0.25 (AHP),0.5,0.25,100,60,90,horizon,false,ok,2.0596868991851807,true,4.412352768273597e-7,9.830649160650728e-10,true,
omega_star_continuation,0.26,omega_0p50_omega_star_0p26,omega_bar* continuation = 0.26,0.5,0.26,100,60,100,parameter,false,ok,2.6734628677368164,true,9.371480541018572e-6,9.966730568856952e-10,true,
omega_continuation,0.51,omega_0p51_omega_star_0p25,omega_bar continuation = 0.51,0.51,0.25,100,60,100,parameter,false,ok,1.8064758777618408,true,5.319146760135887e-7,9.748272153861016e-10,true,
omega_continuation,0.52,omega_0p52_omega_star_0p25,omega_bar continuation = 0.52,0.52,0.25,100,60,100,parameter,false,ok,1.7070250511169434,true,5.565414913563069e-7,9.581730262488336e-10,true,
omega_continuation,0.53,omega_0p53_omega_star_0p25,omega_bar continuation = 0.53,0.53,0.25,100,60,100,parameter,false,ok,1.4452581405639648,true,5.248964264502741e-7,9.300856407712823e-10,true,
omega_continuation,0.54,omega_0p54_omega_star_0p25,omega_bar continuation = 0.54,0.54,0.25,100,60,100,parameter,false,ok,1.3264899253845215,true,5.489573541284149e-7,9.32664106663666e-10,true,
omega_continuation,0.55,omega_0p55_omega_star_0p25,omega_bar continuation = 0.55,0.55,0.25,100,60,100,parameter,false,ok,1.5728628635406494,true,6.286045309977166e-7,9.472095771184722e-10,true,
omega_continuation,0.56,omega_0p56_omega_star_0p25,omega_bar continuation = 0.56,0.56,0.25,100,60,100,parameter,false,ok,1.6805322170257568,true,6.251479535761105e-7,9.788679377355253e-10,true,
omega_continuation,0.57,omega_0p57_omega_star_0p25,omega_bar continuation = 0.57,0.57,0.25,100,60,100,parameter,false,ok,1.7436420917510986,true,7.156847641769537e-7,9.956340711597973e-10,true,
omega_continuation,0.58,omega_0p58_omega_star_0p25,omega_bar continuation = 0.58,0.58,0.25,100,60,100,parameter,false,ok,1.7553870677947998,true,7.571515842122629e-7,8.344626398655646e-10,true,
omega_continuation,0.59,omega_0p59_omega_star_0p25,omega_bar continuation = 0.59,0.59,0.25,100,60,100,parameter,false,ok,1.7951960563659668,true,7.689190871856396e-7,8.362603603880385e-10,true,
omega,0.6,omega_0p60_omega_star_0p25,omega_bar = 0.6,0.6,0.25,100,60,100,parameter,false,ok,1.9238231182098389,true,7.63191455554877e-7,8.910291633192138e-10,true,
omega_continuation,0.61,omega_0p61_omega_star_0p25,omega_bar continuation = 0.61,0.61,0.25,100,60,100,parameter,false,ok,1.8907809257507324,true,7.472553452522801e-7,9.591499494216923e-10,true,
omega_continuation,0.62,omega_0p62_omega_star_0p25,omega_bar continuation = 0.62,0.62,0.25,100,60,100,parameter,false,ok,1.9384269714355469,true,8.457003304895248e-7,9.79019895068842e-10,true,
omega_continuation,0.63,omega_0p63_omega_star_0p25,omega_bar continuation = 0.63,0.63,0.25,100,60,100,parameter,false,ok,1.96533203125,true,8.156855429269352e-7,8.381362527851324e-10,true,
omega_continuation,0.64,omega_0p64_omega_star_0p25,omega_bar continuation = 0.64,0.64,0.25,100,60,100,parameter,false,ok,2.038029909133911,true,7.840752361157486e-7,8.371087395535954e-10,true,
omega_continuation,0.65,omega_0p65_omega_star_0p25,omega_bar continuation = 0.65,0.65,0.25,100,60,100,parameter,false,ok,2.0287699699401855,true,8.710399829593332e-7,9.311627997564705e-10,true,
omega_continuation,0.66,omega_0p66_omega_star_0p25,omega_bar continuation = 0.66,0.66,0.25,100,60,100,parameter,false,ok,2.085883855819702,true,8.318600758671981e-7,9.869997028493666e-10,true,
omega_continuation,0.67,omega_0p67_omega_star_0p25,omega_bar continuation = 0.67,0.67,0.25,100,60,100,parameter,false,ok,2.0444138050079346,true,9.140729277004513e-7,9.95972193793502e-10,true,
omega_continuation,0.68,omega_0p68_omega_star_0p25,omega_bar continuation = 0.68,0.68,0.25,100,60,100,parameter,false,ok,2.042879104614258,true,8.660677880972882e-7,9.872116718714537e-10,true,
omega_continuation,0.69,omega_0p69_omega_star_0p25,omega_bar continuation = 0.69,0.69,0.25,100,60,100,parameter,false,ok,1.900834083557129,true,9.382089523031229e-7,9.635234178782903e-10,true,
omega,0.7,omega_0p70_omega_star_0p25,omega_bar = 0.7,0.7,0.25,100,60,100,parameter,false,error,0.0436248779296875,,,,false,Absorbing-BGP continuation failed during initialization at t=99.
omega,0.7,omega_0p70_omega_star_0p25,omega_bar = 0.7,0.7,0.25,100,200,100,parameter,false,error,0.03649711608886719,,,,false,Absorbing-BGP continuation failed during initialization at t=99.
omega,0.7,omega_0p70_omega_star_0p25,omega_bar = 0.7,0.7,0.25,100,5,100,global_polish,true,error,0.03916001319885254,,,,false,Absorbing-BGP continuation failed during initialization at t=99.
