sweep_kind,sweep_value,case_id,label,pi,gamma,T_max,solve_status,failure_T,failure_reason,hard_valid,max_u_residual,max_bgp_residual,fixed_nu_b,all_u_xi_W_seed,nu_b_eff_min,nu_b_eff_max,xi_W_eff_min,xi_W_eff_max,max_common_growth_log_gap,exact_common_growth,theta_strictly_feasible,theta_one_percent_interior,bound_status,finite_envelope_diagnostics_pass,lower_bound_certified,hkt_entry_gate,hkt_entry_reason,cutoff_t,endpoint_guard,prefix_reference_T,prefix_product_log_gap,prefix_leakage_gap,prefix_stable,leakage_reconstruction_error,omitted_tail_bound,analytic_growth_floor_ok,tail_dividend_envelope_ok,tail_switch_envelope_ok,max_tail_e_W_over_e_US,max_tail_Y_W_over_Y_US,max_tail_abs_zeta_gap,successor_LL_vs_HKT_phi_log_gap
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,ok,,,true,5.606593601253188e-7,9.684809664460567e-10,0.1,1.0,0.1,0.1,0.021498143882490356,0.062497137597838884,1.1742865115623585e-9,true,true,false,diagnostic_only_hkt_gate_failed,true,false,false,tail e_W/e_US | tail Y_W/Y_US | LL successor dominance | HKT successor dominance | zeta convergence | LL-HKT phi agreement,103,2,104,1.6634369512047442e-5,6.0231805340191236e-6,true,1.1102230246251565e-16,0.7351485684392831,true,true,true,0.1540878399416698,0.1428422538818574,0.4818328041931914,0.3399378437103917
pi,0.75,pi_0p750_gamma_0p25,π = 0.75 (AHP),0.75,0.25,105,ok,,,true,5.674334900216186e-7,9.830649160650728e-10,0.1,1.0,0.1,0.1,0.02130211649018035,0.06246387514201618,1.1772334815958116e-9,true,true,false,diagnostic_only_hkt_gate_failed,true,false,false,tail e_W/e_US | tail Y_W/Y_US | LL successor dominance | HKT successor dominance | zeta convergence | LL-HKT phi agreement,103,2,104,1.6165656477440393e-5,5.879896878937738e-6,true,1.1102230246251565e-16,0.682288979804259,true,true,true,0.1522221649317981,0.14078450658100117,0.48188479422193986,0.3400064581670019
pi,0.8,pi_0p800_gamma_0p25,π = 0.8,0.8,0.25,105,ok,,,true,5.746899277719128e-7,9.637981087704984e-10,0.1,1.0,0.1,0.1,0.021092587157979223,0.0624233023219718,1.1690501143090531e-9,true,true,false,diagnostic_only_hkt_gate_failed,true,false,false,tail e_W/e_US | tail Y_W/Y_US | LL successor dominance | HKT successor dominance | zeta convergence | LL-HKT phi agreement,103,2,104,1.577304165500948e-5,5.760826123883331e-6,true,5.551115123125783e-17,0.6364833986766898,true,true,true,0.150290240787478,0.1386511103003392,0.4819455745107768,0.34008387619220337
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,ok,,,true,5.930893348049056e-7,9.884595212845702e-10,0.1,1.0,0.1,0.1,0.020562984806584108,0.06230642204655737,1.153533991200481e-9,true,true,false,diagnostic_only_hkt_gate_failed,true,false,false,tail e_W/e_US | tail Y_W/Y_US | LL successor dominance | HKT successor dominance | zeta convergence | LL-HKT phi agreement,103,2,104,1.5188668768928437e-5,5.586725046715507e-6,true,2.7755575615628914e-17,0.5600463098605187,true,true,true,0.14565092699062088,0.13351752162821207,0.4821154107323419,0.34029180136495474
pi,0.95,pi_0p950_gamma_0p25,π = 0.95,0.95,0.25,105,failed,100,"DomainError with -518906.2932974084:
Exponentiation yielding a complex result requires a complex argument.
Replace x^y with (x+0im)^y, Complex(x)^y, or similar.",false,,,,,,,,,,false,false,false,unavailable_no_T105_solution,false,false,false,not evaluated,,,,,,false,,,false,false,false,,,,
pi,0.97,pi_0p970_gamma_0p25,π = 0.97,0.97,0.25,105,failed,90,"DomainError with -62698.75365688809:
Exponentiation yielding a complex result requires a complex argument.
Replace x^y with (x+0im)^y, Complex(x)^y, or similar.",false,,,,,,,,,,false,false,false,unavailable_no_T105_solution,false,false,false,not evaluated,,,,,,false,,,false,false,false,,,,
pi,0.99,pi_0p990_gamma_0p25,π = 0.99,0.99,0.25,105,failed,70,"DomainError with -167.85637993357162:
Exponentiation yielding a complex result requires a complex argument.
Replace x^y with (x+0im)^y, Complex(x)^y, or similar.",false,,,,,,,,,,false,false,false,unavailable_no_T105_solution,false,false,false,not evaluated,,,,,,false,,,false,false,false,,,,
pi,0.995,pi_0p995_gamma_0p25,π = 0.995,0.995,0.25,105,failed,70,"DomainError with -126.99293010365899:
Exponentiation yielding a complex result requires a complex argument.
Replace x^y with (x+0im)^y, Complex(x)^y, or similar.",false,,,,,,,,,,false,false,false,unavailable_no_T105_solution,false,false,false,not evaluated,,,,,,false,,,false,false,false,,,,
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,failed,90,"DomainError with -1346.6064435652593:
Exponentiation yielding a complex result requires a complex argument.
Replace x^y with (x+0im)^y, Complex(x)^y, or similar.",false,,,,,,,,,,false,false,false,unavailable_no_T105_solution,false,false,false,not evaluated,,,,,,false,,,false,false,false,,,,
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,ok,,,true,5.674334900216186e-7,9.830649160650728e-10,0.1,1.0,0.1,0.1,0.02130211649018035,0.06246387514201618,1.1772334815958116e-9,true,true,false,diagnostic_only_hkt_gate_failed,true,false,false,tail e_W/e_US | tail Y_W/Y_US | LL successor dominance | HKT successor dominance | zeta convergence | LL-HKT phi agreement,103,2,104,1.6165656477440393e-5,5.879896878937738e-6,true,1.1102230246251565e-16,0.682288979804259,true,true,true,0.1522221649317981,0.14078450658100117,0.48188479422193986,0.3400064581670019
gamma,0.5,pi_0p750_gamma_0p50,γ = 0.5,0.75,0.5,105,ok,,,true,5.027025501486844e-7,9.964192457040666e-10,0.1,1.0,0.1,0.1,0.02206584047057065,0.06252260745158575,1.1501935365514776e-9,true,true,false,diagnostic_only_hkt_gate_failed,true,false,false,tail e_W/e_US | tail Y_W/Y_US | LL successor dominance | HKT successor dominance | zeta convergence | LL-HKT phi agreement,103,2,104,2.487902596115532e-5,8.936137111555803e-6,true,1.1102230246251565e-16,1.0994840529314254,true,true,true,0.16036263543904627,0.14965437753796995,0.48260982907282,0.34057137345556887
