sweep_kind,sweep_value,case_id,label,pi,gamma,T_max,t,model_t,bound_status,bubble_share_upper,log10_bubble_share_upper,bubble_share_lower,log10_bubble_share_lower,a_t,dividend_yield_d_over_q,switch_term_raw,switch_contribution_weighted
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,1,0,diagnostic_only_hkt_gate_failed,1.7785104607545055e-5,-4.749943576058972,8.989635542721406e-6,-5.046257915051361,0.0,0.0,0.0,0.0
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,2,1,diagnostic_only_hkt_gate_failed,2.35067910003959e-5,-4.628806653986179,1.1881711608422843e-5,-4.9251209929785675,0.32171227097666283,0.034516507897378354,0.8615872892378535,0.2871957630792845
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,3,2,diagnostic_only_hkt_gate_failed,3.0968662654259114e-5,-4.509077548741247,1.565337942342893e-5,-4.805391887733635,0.3174347214699583,0.03418103139152066,0.8497610702353129,0.2832536900784376
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,4,3,diagnostic_only_hkt_gate_failed,4.065832962343135e-5,-4.390850467562905,2.0551105723349072e-5,-4.687164806555295,0.3128861932899636,0.033865469273928625,0.8370621720481048,0.27902072401603495
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,5,4,diagnostic_only_hkt_gate_failed,5.318547170171114e-5,-4.274206984649852,2.6883058453492135e-5,-4.57052132364224,0.30810764225445325,0.03356913999174632,0.8236155067881211,0.27453850226270704
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,6,5,diagnostic_only_hkt_gate_failed,6.930785536757632e-5,-4.1592175395663755,3.503225725969801e-5,-4.455531878558765,0.3031351072015875,0.0332911802250905,0.809531780929491,0.26984392697649695
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,7,6,diagnostic_only_hkt_gate_failed,8.996161540549749e-5,-4.0459427547104525,4.547187959675008e-5,-4.342257093702841,0.2980002761358488,0.03303060591340973,0.7949090106673173,0.2649696702224391
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,8,7,diagnostic_only_hkt_gate_failed,0.00011629617311801738,-3.934434576080431,5.878291044184753e-5,-4.2307489150728195,0.2927310452776793,0.03278636107001441,0.7798340526229945,0.2599446842076648
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,9,8,diagnostic_only_hkt_gate_failed,0.0001497141143318153,-3.8247372545168603,7.567429897901058e-5,-4.121051593509249,0.28735202816936567,0.03255735521051495,0.7643840188765522,0.2547946729588507
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,10,9,diagnostic_only_hkt_gate_failed,0.00019191628046089158,-3.716888182041912,9.700575026846943e-5,-4.013202521034301,0.2818850201093428,0.03234249237409751,0.7486275832057357,0.24954252773524524
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,11,10,diagnostic_only_hkt_gate_failed,0.00024495222844792415,-3.610918605204448,0.00012381323066214045,-3.9072329441968368,0.27634939495318095,0.032140692347937684,0.7326261078157296,0.2442087026052432
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,12,11,diagnostic_only_hkt_gate_failed,0.00031127609240247714,-3.5068542340762408,0.00015733720355367624,-3.8031685730686298,0.27076244366012414,0.03195090606352405,0.7164346127898001,0.23881153759660004
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,13,12,diagnostic_only_hkt_gate_failed,0.00039380772896312937,-3.4047157645485897,0.00019905353583264706,-3.7010301035409783,0.26513965760640373,0.03177212633928963,0.7001025938013423,0.2333675312671141
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,14,13,diagnostic_only_hkt_gate_failed,0.0004959988508189207,-3.3045193297266966,0.000250706925647159,-3.600833668719085,0.2594949624905897,0.031603394816300416,0.6836747030228679,0.2278915676742893
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,15,14,diagnostic_only_hkt_gate_failed,0.000621903647979948,-3.2062768956821914,0.0003143465985382439,-3.5025912346745804,0.25384090498022677,0.03144380591057255,0.6671912972089626,0.2223970990696542
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,16,15,diagnostic_only_hkt_gate_failed,0.0007762531740600673,-3.1099966110035058,0.00039236390663231074,-3.406310949995895,0.24818880960334191,0.031292508604239246,0.6506889029973082,0.21689630099910273
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,17,16,diagnostic_only_hkt_gate_failed,0.000964532531867017,-3.0156831198375493,0.00048753134276783243,-3.3119974588299383,0.2425489055615509,0.03114870671128494,0.6342005965507977,0.2114001988502659
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,18,17,diagnostic_only_hkt_gate_failed,0.0011930596395548284,-2.923337845950637,0.0006030423535309704,-3.2196521849430257,0.23693043016958526,0.031011657715885644,0.6177563173610987,0.20591877245369955
