sweep_kind,sweep_value,case_id,label,pi,gamma,T_max,t,model_t,bound_status,bubble_share_upper,log10_bubble_share_upper,bubble_share_lower,log10_bubble_share_lower,a_t,dividend_yield_d_over_q,switch_term_raw,switch_contribution_weighted
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,1,0,diagnostic_only_hkt_gate_failed,2.010940733285004e-6,-5.696600728799863,9.641138117600637e-7,-6.01587169545212,0.0,0.0,0.0,0.0
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,2,1,diagnostic_only_hkt_gate_failed,2.826137110091367e-6,-5.54880677217195,1.354946854806483e-6,-5.868077738824207,0.4053806078484899,0.034595060239586084,0.8651662777541086,0.37078554760890375
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,3,2,diagnostic_only_hkt_gate_failed,3.956217807603508e-6,-5.402719806549985,1.8967462180801525e-6,-5.721990773202241,0.39986761204080623,0.03424579260503782,0.8531175786834597,0.36562181943576855
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,4,3,diagnostic_only_hkt_gate_failed,5.514964634742685e-6,-5.258457268171269,2.644062794947696e-6,-5.5777282348235255,0.3939992444661173,0.03391823620229706,0.8401890192822468,0.3600810082638201
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,5,4,diagnostic_only_hkt_gate_failed,7.653835980612791e-6,-5.116120848811026,3.669510920792064e-6,-5.435391815463283,0.38783047354389705,0.03361156364630498,0.826510789761048,0.3542189098975921
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,6,5,diagnostic_only_hkt_gate_failed,1.0573080489327987e-5,-4.975798461641808,5.069096649089186e-6,-5.295069428294064,0.3814093372407848,0.0333247576462219,0.8121973523873133,0.3480845795945629
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,7,6,diagnostic_only_hkt_gate_failed,1.4535636735360713e-5,-4.837565939153493,6.968881731484657e-6,-5.156836905805749,0.37477783792834707,0.03305668004364982,0.7973493683976268,0.34172115788469726
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,8,7,diagnostic_only_hkt_gate_failed,1.9884355514163618e-5,-4.701488480673893,9.533240573348868e-6,-5.0207594473261485,0.3679727882708522,0.03280612579758977,0.7820555457709455,0.33516666247326243
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,9,8,diagnostic_only_hkt_gate_failed,2.7063136182012032e-5,-4.567621877079839,1.2974993718486378e-5,-4.886892843732094,0.36102656999544175,0.03257186412587532,0.7663943136956548,0.32845470586956643
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,10,9,diagnostic_only_hkt_gate_failed,3.664261490540009e-5,-4.436013541596326,1.7567723675073886e-5,-4.7552845082485815,0.3539677980763809,0.032352669377953835,0.7504353002963298,0.3216151286984271
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,11,10,diagnostic_only_hkt_gate_failed,4.935107543106825e-5,-4.306703378988474,2.3660594596729106e-5,-4.6259743456407305,0.34682187825507166,0.03214734324154066,0.7342405816982389,0.31467453501353104
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,12,11,diagnostic_only_hkt_gate_failed,6.611126685642178e-5,-4.179724520596079,3.16960039817335e-5,-4.498995487248335,0.3396114730825582,0.03195473050526864,0.7178657326803422,0.30765674257728953
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,13,12,diagnostic_only_hkt_gate_failed,8.808380126952827e-5,-4.055103951589006,4.223038898692645e-5,-4.374374918241261,0.3323568804213926,0.031773729486731385,0.7013606855142092,0.30058315093466115
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,14,13,diagnostic_only_hkt_gate_failed,0.00011671776075570297,-3.93286305302662,5.595848915868152e-5,-4.252134019678876,0.3250763372320569,0.03160329815117857,0.6847704245220494,0.29347303908087835
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,15,14,diagnostic_only_hkt_gate_failed,0.0001538090619836638,-3.813018076409998,7.374132841303057e-5,-4.132289043062254,0.3177862648135885,0.03144245746835385,0.6681355504722141,0.2863438073452347
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,16,15,diagnostic_only_hkt_gate_failed,0.00020156700167342086,-3.6955805643105264,9.663811921048131e-5,-4.014851530962782,0.31050146898906084,0.031290292292221855,0.6514927456259575,0.279211176696839
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,17,16,diagnostic_only_hkt_gate_failed,0.00026268923169426564,-3.58055772969437,0.00012594220818400767,-3.899828696346626,0.3032352989993626,0.03114595052233275,0.6348751464464027,0.2720893484770298
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,18,17,diagnostic_only_hkt_gate_failed,0.0003404451871676758,-3.4679528010106635,0.00016322107442690001,-3.787223767662919,0.29599978260207965,0.031008641178823022,0.618312663320932,0.26499114142325664
