sweep_kind,sweep_value,case_id,label,pi,gamma,T_max,t,model_t,rebased_nfa_current_Y,cum_va_current_Y,cum_va_asset_current_Y,cum_va_liability_current_Y,cum_ca_current_Y,cum_ca_asset_current_Y,cum_ca_liability_current_Y,cum_ca_bond_current_Y,q_us_index,q_row_index,row_equity_asset_current_Y,us_equity_liability_current_Y
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2766999890478777,0.16535294240598108
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,2,1,-0.008170111405401536,-0.0061311722838462614,-0.002793406999098228,-0.003337765284748033,-0.002038939121555287,0.00441449536665512,-0.004646163082689578,-0.0018072714055208294,1.0202331265125448,0.9898808459803363,0.27767252445302965,0.17294930248688287
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,3,2,-0.01547378909949927,-0.011920898974813163,-0.005172372271854979,-0.006748526702958184,-0.003552890124686111,0.009256072383320211,-0.009347301770478579,-0.003461660737527744,1.0405992981269747,0.9812860840698655,0.2784398679597038,0.1800481284971488
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,4,3,-0.021907739560424994,-0.017356452527771047,-0.007169704213436146,-0.010186748314334904,-0.004551287032653913,0.014477639600233547,-0.014075320031008236,-0.004953606601879223,1.0610471718786283,0.9739996250898997,0.27900386073350014,0.1866246360143268
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,5,4,-0.027481988010576712,-0.022429123202153494,-0.008817456301282025,-0.013611666900871473,-0.005052864808423207,0.020028971107985318,-0.018802865551832297,-0.006278970364576226,1.08154008220755,0.9678413644253092,0.2793707249667403,0.19266359710139672
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,6,5,-0.032217449973030006,-0.027134437995757613,-0.010146689546613184,-0.016987748449144434,-0.005083011977272375,0.025858929079573333,-0.023503561654070006,-0.007438379402775698,1.102053975263732,0.9626607007794644,0.2795502949437713,0.19815809907190204
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,7,6,-0.036143636992978984,-0.03147207339001803,-0.011187254821788617,-0.02028481856822941,-0.004671563602960956,0.03191716867930404,-0.028152249409175503,-0.008436482873089488,1.1225754865919726,0.9583312916192376,0.27955523175114455,0.20310829882978385
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,8,7,-0.03929656117890213,-0.03544554946932904,-0.011967606246012884,-0.023477943223316155,-0.0038510117095731013,0.038155370108670685,-0.03272522542922584,-0.009281156389017943,1.143100191728168,0.954746808463009,0.27940025242897093,0.20752023296632485
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,9,8,-0.041716881885498304,-0.03906178748516811,-0.012514653940766075,-0.026547133544402027,-0.0026550944003302032,0.04452806849241811,-0.03720045896312843,-0.009982703929619877,1.163631058854246,0.951817492169768,0.27910140512660003,0.21140472258309215
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,10,9,-0.043448301138685474,-0.042330589833264425,-0.01285365680461536,-0.029476933028649056,-0.0011177113054210803,0.05099315218611461,-0.04155777638107074,-0.010553087110464949,1.1841770879309466,0.9494673575322146,0.27867541092932024,0.21477638980157102
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,11,10,-0.044536219053352685,-0.04526409939777346,-0.013008157189511796,-0.03225594220826166,0.0007278803444207641,0.05751211103351872,-0.04577900185986465,-0.011005228829233313,1.2047521560434817,0.9476319117511836,0.27813909517578567,0.2176527958851073
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,12,11,-0.04502662191402409,-0.04787626573994171,-0.012999951443775514,-0.034876314296166194,0.0028496438259176245,0.06405009488594467,-0.04984805034835156,-0.011352400711675493,1.225374026411246,0.9462562957028783,0.27750891353898066,0.22005369406732495
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,13,12,-0.0449651937118405,-0.050182348641146755,-0.012849094027966685,-0.037333254613180065,0.005217154929306275,0.07057584523895287,-0.05375097011305554,-0.011607720196591056,1.246063527020572,0.9452937595482301,0.2768005805490784,0.22200039284697715
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,14,13,-0.04439663077037822,-0.052198477397836916,-0.01257393121446371,-0.0396245461833732,0.007801846627458703,0.0770615462688437,-0.057475936911376375,-0.011783762730008628,1.2668438958419954,0.9447044034986365,0.2760287968509836,0.2235152219260349
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,15,14,-0.04336411818214941,-0.05394126221295767,-0.012191155014024771,-0.0417501071989329,0.01057714403080829,0.0834826239851178,-0.06101320575404508,-0.01189227420026444,1.2877402363254165,0.9444541453811259,0.275207064539622,0.22462108333362674
