sweep_kind,sweep_value,case_id,label,pi,gamma,T_max,branch_iters,warm_start_T,seed_kind,status,elapsed_sec,branch_converged,max_u_residual,max_bgp_residual,residual_safe,error
baseline,0.75,pi_0p750_gamma_0p25,"pi = 0.75, gamma = 0.25 (AHP seed)",0.75,0.25,30,60,,none,ok,0.5612220764160156,true,1.484537636321352e-7,9.829324820373995e-10,true,
baseline,0.75,pi_0p750_gamma_0p25,"pi = 0.75, gamma = 0.25 (AHP seed)",0.75,0.25,45,60,30,horizon,ok,0.9670510292053223,true,1.7673106088421767e-7,9.830649160650728e-10,true,
baseline,0.75,pi_0p750_gamma_0p25,"pi = 0.75, gamma = 0.25 (AHP seed)",0.75,0.25,60,60,45,horizon,ok,0.7013170719146729,true,2.042050161268953e-7,9.830649160650728e-10,true,
baseline,0.75,pi_0p750_gamma_0p25,"pi = 0.75, gamma = 0.25 (AHP seed)",0.75,0.25,70,60,60,horizon,ok,0.8785529136657715,true,2.312574686390656e-7,9.830649160650728e-10,true,
baseline,0.75,pi_0p750_gamma_0p25,"pi = 0.75, gamma = 0.25 (AHP seed)",0.75,0.25,80,60,70,horizon,ok,1.1833200454711914,true,2.6345242923930594e-7,9.830649160650728e-10,true,
baseline,0.75,pi_0p750_gamma_0p25,"pi = 0.75, gamma = 0.25 (AHP seed)",0.75,0.25,90,60,80,horizon,ok,1.5376348495483398,true,3.6669164104474714e-7,9.830649160650728e-10,true,
baseline,0.75,pi_0p750_gamma_0p25,"pi = 0.75, gamma = 0.25 (AHP seed)",0.75,0.25,100,60,90,horizon,ok,1.973207950592041,true,4.412352768273597e-7,9.830649160650728e-10,true,
baseline,0.75,pi_0p750_gamma_0p25,"pi = 0.75, gamma = 0.25 (AHP seed)",0.75,0.25,103,60,100,horizon,ok,1.7564339637756348,true,5.530698401257695e-7,9.830649160650728e-10,true,
baseline,0.75,pi_0p750_gamma_0p25,"pi = 0.75, gamma = 0.25 (AHP seed)",0.75,0.25,104,60,103,horizon,ok,1.5469741821289062,true,5.28380900577592e-7,9.830649160650728e-10,true,
baseline,0.75,pi_0p750_gamma_0p25,"pi = 0.75, gamma = 0.25 (AHP seed)",0.75,0.25,105,60,104,horizon,ok,1.6271967887878418,true,5.674334900216186e-7,9.830649160650728e-10,true,
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,30,60,30,parameter,ok,0.14586806297302246,true,1.4366069220017575e-7,9.684805157175515e-10,true,
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,45,60,30,horizon,ok,0.5264260768890381,true,1.7680207983573095e-7,9.684809664460567e-10,true,
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,60,60,45,horizon,ok,0.6566970348358154,true,1.9566182734019276e-7,9.684809664460567e-10,true,
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,70,60,60,horizon,ok,0.8739578723907471,true,2.1453706033951973e-7,9.684809664460567e-10,true,
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,80,60,70,horizon,ok,1.196410894393921,true,2.8277508516560596e-7,9.684809664460567e-10,true,
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,90,60,80,horizon,ok,1.5803298950195312,true,3.532031182610878e-7,9.684809664460567e-10,true,
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,100,60,90,horizon,ok,2.030817985534668,true,4.3470039420134253e-7,9.684809664460567e-10,true,
