nu_b,t,model_switch_index,xi_W_seed,xi_W_eff,G_N_US_b,G_N_W_b,common_growth_log_gap,fixed_nu_b_error,bgp_residual_norm
0.1,1,0,1.0,0.060217255094405564,1.0230443626132018,1.0385592434144821,8.174997874824119e-10,0.0,2.5762689311868583e-15
0.1,2,1,1.0,0.06049589174541472,1.0231384197027342,1.0385361050959154,2.3255191175519663e-12,0.0,2.920922041313635e-14
0.1,3,2,1.0,0.06074967108112209,1.0232240336854201,1.0385151035535793,3.757225433553835e-12,0.0,9.05090889974609e-15
0.1,4,3,1.0,0.060980106735340205,1.0233017241516427,1.0384960947719408,4.125118215764223e-12,0.0,9.245027082425915e-16
0.1,5,4,1.0,0.061188650462038474,1.0233719943429076,1.038478941605796,6.783059790932411e-12,0.0,1.2418367669697155e-15
0.1,6,5,1.0,0.06137669960755501,1.0234353261622926,1.038463514618693,-4.895293849102589e-11,0.0,9.063251916576749e-15
0.1,7,6,1.0,0.061545583034413195,1.023492176896639,1.0384496925234044,-1.6200951170886047e-10,0.0,2.2890401012068014e-14
0.1,8,7,1.0,0.061696555291842564,1.0235429771988642,1.0384373623529017,-3.1043021321910946e-10,0.0,4.081395059088635e-14
0.1,9,8,1.0,0.06183079341848949,1.0235881300675658,1.0384264194251267,-4.75877562616106e-10,0.0,6.069467095242833e-14
0.1,10,9,1.0,0.06194939543741228,1.0236280105863373,1.0384167671585187,-6.430140144300656e-10,0.0,8.195603196914453e-14
0.1,11,10,1.0,0.062053380624279814,1.0236629662272443,1.0384083167840585,-7.989653066746427e-10,0.0,1.0003634289963693e-13
0.1,12,11,1.0,0.06214369109695418,1.023693317568916,1.0384009869873447,-9.328587308003733e-10,0.0,1.1432769728754087e-13
0.1,13,12,1.0,0.06222119433373817,1.0237193593000378,1.038394703508931,-1.0354282526867098e-9,0.0,1.2102357354589347e-13
0.1,14,13,1.0,0.06228668633847434,1.0237413614164679,1.0383893987219976,-1.0986778310045908e-9,0.0,1.2094206833282056e-13
0.1,15,14,1.0,0.062340895201776506,1.0237595705306122,1.0383850112039952,-1.115595167893585e-9,0.0,1.1316113446401016e-13
0.1,16,15,1.0,0.06238448489449312,1.0237742112407084,1.0383814853120843,-1.0799089573965137e-9,0.0,1.0297677078891584e-13
0.1,17,16,1.0,0.062418059137427886,1.0237854875101227,1.0383787707718524,-9.8588230331223e-10,0.0,8.95275906925766e-14
0.1,18,17,1.0,0.06244216525941222,1.0237935840293657,1.0383768222836038,-8.281367106822979e-10,0.0,6.538786212941952e-14
0.1,19,18,1.0,0.0624572979511501,1.0237986675317146,1.0383755991512371,-6.015013361525268e-10,0.0,3.547890772208528e-14
0.1,20,19,1.0,0.06246390287383108,1.0238008880516567,1.0383750649345624,-3.007408050891003e-10,0.0,9.177052635431855e-15
0.1,21,20,1.0,0.06246250328269904,1.0238003834276028,1.0383751863801254,-4.190997794466245e-9,0.0,8.146256736019106e-14
0.1,22,21,1.0,0.0624531130997412,1.0237972645661635,1.0383759366930507,-3.47018776561403e-10,0.0,2.9061157033036893e-14
0.1,23,22,1.0,0.062436394935131166,1.0237916475345734,1.0383772882686808,-6.932227049338824e-10,0.0,1.1705154740521353e-13
0.1,24,23,1.0,0.0624125117439201,1.0237836234980753,1.0383792194312917,-1.1053186534451531e-9,0.0,2.987305126427011e-13
0.1,25,24,1.0,0.062381711420168684,1.0237732752867093,1.0383817106736093,-1.582643458127031e-9,0.0,6.137125006414863e-13
0.1,26,25,1.0,0.06234421031874363,1.0237606749954802,1.0383847451738313,-2.129373714247068e-9,0.0,1.1117911675682842e-12
0.1,27,26,1.0,0.06230019526473671,1.0237458847078271,1.0383883086132164,-2.7499876265046908e-9,0.0,1.854731044575538e-12
0.1,28,27,1.0,0.06224982549913827,1.0237289571543973,1.038392389011881,-3.449299296274383e-9,0.0,2.917004479716746e-12
0.1,29,28,1.0,0.06219323443171689,1.0237099363048272,1.038396976582951,-4.2324985734081e-9,0.0,4.387516467110925e-12
0.1,30,29,1.0,0.062130531228781365,1.02368885790217,1.038402063602471,-5.105189577071095e-9,0.0,6.374950952908143e-12
0.1,31,30,1.0,0.062061802231649914,1.0236657499387571,1.0384076442951333,-6.07343116423853e-9,0.0,9.006737479236681e-12
0.1,32,31,1.0,0.061987112222363826,1.023640633079241,1.0384137147342745,-7.143777523092171e-9,0.0,1.2435660306170866e-11
0.1,33,32,1.0,0.06190650555395096,1.023613521036752,1.0384202727545717,-8.323320266519219e-9,0.0,1.684332552806289e-11
0.1,34,33,1.0,0.061820007139855734,1.0235844209004474,1.0384273178777643,-9.619733356246163e-9,0.0,2.2443232822437213e-11
0.1,35,34,1.0,0.06172728848901352,1.0235533167311983,1.0384348551666154,-2.7662806203684887e-10,0.0,1.8300222083466563e-14
0.1,36,35,1.0,0.0616289588782441,1.0235202334935813,1.0384428802370507,-3.280470396195556e-10,0.0,2.5832063956897646e-14
0.1,37,36,1.0,0.06152469900285833,1.0234851459500023,1.0384514006183558,-3.8783260890989935e-10,0.0,3.6267754277698874e-14
