nu_b,stage,T,branch_iters,warm_start_T,status,elapsed_sec,branch_converged,max_u_residual,max_bgp_residual,max_common_growth_log_gap,error
0.1,direct_T80,80,60,,residual_safe,273.72701501846313,true,4.305488267479161e-6,2.2443232822437213e-11,9.619733356246163e-9,
0.1,T80_refinement,80,200,80,residual_safe,0.08853721618652344,true,2.68223946635149e-7,2.2443232822437213e-11,9.619733356246163e-9,
0.5,direct_T80,80,60,80,error,4.994680166244507,,,,,Absorbing-BGP continuation failed during initialization at t=49.
0.5,coarse_search,5,60,,residual_safe,0.019943952560424805,true,1.1831036005678727e-7,6.088425642498953e-10,4.748456872497031e-9,
0.5,coarse_search,8,60,5,residual_safe,0.02262711524963379,true,1.106137107418199e-7,6.101123482112916e-10,4.758427207818272e-9,
0.5,coarse_search,10,60,8,residual_safe,0.026216983795166016,true,1.1923135574119627e-7,6.102476804941118e-10,4.759489653088922e-9,
0.5,coarse_search,12,60,10,residual_safe,0.03231382369995117,true,1.0969244301274274e-7,6.102814072981798e-10,4.759754460362253e-9,
0.5,coarse_search,15,60,12,residual_safe,0.04030609130859375,true,1.3674705015536251e-7,6.10290760371385e-10,4.75983193311269e-9,
0.5,coarse_search,20,60,15,residual_safe,0.058808088302612305,true,1.3206196784309374e-7,8.945739753797866e-10,4.759842742174669e-9,
0.5,coarse_search,25,60,20,residual_safe,0.07206082344055176,true,1.3871950787703589e-7,9.224213885754692e-10,7.034693791027613e-9,
0.5,coarse_search,30,60,25,residual_safe,0.1242380142211914,true,1.561161056397038e-7,9.247658433371718e-10,7.095167349480125e-9,
0.5,coarse_search,45,60,30,error,22.139741897583008,,,,,Absorbing-BGP continuation failed during outer iteration 3 at the required terminal successor t=46.
0.5,coarse_search,45,200,30,error,22.067893981933594,,,,,Absorbing-BGP continuation failed during outer iteration 3 at the required terminal successor t=46.
0.5,integer_refinement,31,60,30,residual_safe,0.03893399238586426,true,5.5840494237307e-8,9.327346404365292e-10,7.302190055749613e-9,
0.5,integer_refinement,32,60,31,residual_safe,0.06579804420471191,true,8.274584682122543e-8,9.311196148617763e-10,8.191217377995219e-9,
0.5,integer_refinement,33,60,32,residual_safe,0.0621790885925293,true,5.4185322427148804e-8,9.309556830170788e-10,7.2557834792513765e-9,
0.5,integer_refinement,34,60,33,residual_safe,0.05634593963623047,true,4.555796669184912e-8,9.309219153593385e-10,7.254895531549899e-9,
0.5,integer_refinement,35,60,34,residual_safe,0.052342891693115234,true,3.27491745439424e-8,9.309139419833008e-10,7.2546870334005975e-9,
0.5,integer_refinement,36,60,35,residual_safe,0.04926013946533203,true,3.1255502320552365e-8,9.309120409762965e-10,7.254638183587514e-9,
0.5,integer_refinement,37,60,36,residual_safe,0.045114994049072266,true,3.860758842387803e-8,9.309115126397846e-10,9.21802657816162e-9,
0.5,integer_refinement,38,60,37,residual_safe,0.044525146484375,true,2.5770280050817932e-8,9.309115660475803e-10,9.220031335632761e-9,
0.5,integer_refinement,39,60,38,residual_safe,0.04218602180480957,true,1.9530842298602927e-8,9.309115660475803e-10,9.220417956923299e-9,
0.5,integer_refinement,40,60,39,residual_safe,0.040495872497558594,true,1.6256459577496734e-8,9.309115660475803e-10,9.220485777672316e-9,
0.5,integer_refinement,41,60,40,residual_safe,0.03812885284423828,true,1.494585490560099e-8,9.309115660475803e-10,9.22049676888026e-9,
0.5,integer_refinement,42,60,41,residual_safe,0.0399320125579834,true,1.503484372115529e-8,9.309115660475803e-10,9.220497435014074e-9,
0.5,integer_refinement,43,60,42,residual_safe,0.037027835845947266,true,1.5851525891374397e-8,9.309115660475803e-10,9.220497754203194e-9,
0.5,integer_refinement,44,60,43,residual_safe,0.035195112228393555,true,1.632865410057639e-8,9.309115660475803e-10,9.220498184414616e-9,
1.0,direct_T80,80,60,44,error,3.0417940616607666,,,,,Absorbing-BGP continuation failed during initialization at t=25.
1.0,coarse_search,5,60,,residual_safe,0.018877029418945312,true,9.95186500766864e-8,7.501855739717021e-10,1.846766305851899e-9,
1.0,coarse_search,8,60,5,residual_safe,0.02305889129638672,true,1.119522204373681e-7,7.473435186153821e-10,3.6928361826782385e-9,
1.0,coarse_search,10,60,8,residual_safe,0.029319047927856445,true,1.1086857573463625e-7,7.468314558648666e-10,3.7834592542251855e-9,
1.0,coarse_search,12,60,10,residual_safe,0.04099607467651367,true,1.0930277900526466e-7,7.464385554105946e-10,4.781682431953538e-9,
1.0,coarse_search,15,60,12,error,86.4852831363678,,,,,Absorbing-BGP continuation failed during outer iteration 21 at the required terminal successor t=16.
1.0,coarse_search,15,200,12,error,85.95128679275513,,,,,Absorbing-BGP continuation failed during outer iteration 21 at the required terminal successor t=16.
1.0,integer_refinement,13,60,12,residual_safe,0.014508962631225586,true,6.762990065643257e-8,7.461081810181601e-10,7.841959998033943e-9,
1.0,integer_refinement,14,60,13,error,54.88372302055359,,,,,Absorbing-BGP continuation failed during outer iteration 13 at the required terminal successor t=15.
1.0,integer_refinement,14,200,13,error,55.119065046310425,,,,,Absorbing-BGP continuation failed during outer iteration 13 at the required terminal successor t=15.
1.3,direct_T80,80,60,13,error,4.078629970550537,,,,,Absorbing-BGP continuation failed during initialization at t=18.
1.3,coarse_search,5,60,,residual_safe,0.018218994140625,true,1.0161826820604392e-7,3.795912000643504e-11,3.8150319292551416e-9,
1.3,coarse_search,8,60,5,residual_safe,0.02846693992614746,true,1.0024096069016188e-7,4.463037782185188e-11,4.355603669403685e-9,
1.3,coarse_search,10,60,8,error,76.79163408279419,,,,,Absorbing-BGP continuation failed during outer iteration 15 at the required terminal successor t=11.
1.3,coarse_search,10,200,8,error,76.91598701477051,,,,,Absorbing-BGP continuation failed during outer iteration 15 at the required terminal successor t=11.
1.3,integer_refinement,9,60,8,residual_safe,0.017927885055541992,true,7.574086898863335e-8,4.796181080916849e-11,4.620363897034352e-9,
