t,regime,is_switch,N_US,N_W,e_US,e_W,phi_US,phi_W,q_US,d_US,q_US_over_d_US,q_W,d_W,q_W_over_d_W,Q_US,aggregate_price_dividend_US,Q_W,aggregate_price_dividend_W,Y_US,Y_W,Y_W_over_Y_US,omega,omega_star,theta,theta_US_star,R_f,R_f_W,I_US,I_W,Psi,nu_b_eff,bgp_converged,bgp_residual,common_growth_log_gap,NFA_US,NFA_US_over_Y,rebased_NFA_change_current_Y,all_u_q_US,all_u_d_US,all_u_q_US_over_d_US,all_u_q_W,all_u_d_W,all_u_q_W_over_d_W,all_u_Y_US,all_u_e_US,all_u_Q_US,all_u_Y_W,all_u_e_W,all_u_Q_W,all_u_omega,all_u_omega_star,all_u_NFA_US,all_u_NFA_US_over_Y,all_u_rebased_NFA_change_current_Y,original_helper_finite
1,u,false,1.0,1.0,2.689634134416071,5.084884936285609,0.9932766422851227,0.7466805409353546,1.0667190368509896,0.03739578011241075,28.525117904866796,2.3249284524982983,0.31247619021853673,7.440337937019493,1.0681534235841932,28.56347481917349,2.4309393837294553,7.779598765683002,2.725595527795278,5.291350195272988,1.9413556198315083,0.45138530502173735,0.21115375823105406,-0.13256979499398883,0.07010524895779272,1.0752095835098048,1.082066485073997,0.0014343867332037188,0.10601093123115696,0.9498797934550802,,,,,0.14218193690303882,0.05216545721956374,0.0,1.0667190368509896,0.03739578011241075,28.525117904866796,2.3249284524982983,0.31247619021853673,7.440337937019493,2.725595527795278,2.689634134416071,1.0681534235841932,5.291350195272988,5.084884936285609,2.4309393837294553,0.45138530502173735,0.21115375823105406,0.14218193690303882,0.05216545721956374,0.0,true
2,u,false,1.0013446715429755,1.0455975026316362,2.6956243943047418,5.31856665886712,0.9850947192487884,0.7502535895968687,1.0833643712649312,0.037666465452542396,28.76203960867814,2.305429263001035,0.31133818442307415,7.4049036653602744,1.088055053238462,28.847780863747108,2.518915846160941,7.737786325125123,2.7301075960486854,5.535736320700589,2.027662326830093,0.45052685742569587,0.21026827811790683,-0.13101238613055913,0.06638515919076754,1.0768704603415336,1.0841253868650884,0.003233912732817231,0.10836476627316546,0.9487810521259147,,,,,0.12497592419867165,0.045776922631016695,-0.006302320366153195,1.0833643712649312,0.037666465452542396,28.76203960867814,2.305429263001035,0.31133818442307415,7.4049036653602744,2.7301075960486854,2.6956243943047418,1.088055053238462,5.535736320700589,5.31856665886712,2.518915846160941,0.45052685742569587,0.21026827811790683,0.12497592419867165,0.045776922631016695,-0.006302320366153195,true
3,u,false,1.004329736234591,1.0926016627732076,2.709623876030724,5.5593430757288225,0.9771604546661242,0.7534054885927134,1.1005061758861976,0.037954274653829466,28.995579178461785,2.288431337489412,0.31034101138777576,7.373924984184519,1.1103198551278055,29.12802834748748,2.611326678621229,7.701231481337734,2.742693704907298,5.787439386659844,2.1101296788280837,0.44969700214537617,0.20942142229848892,-0.12953969152569075,0.063122220278436,1.0782567727476196,1.0858992077676881,0.005048777775482021,0.1109827941379818,0.9477151099290295,,,,,0.10901088908602041,0.03974592164300933,-0.012094331845246853,1.1005061758861976,0.037954274653829466,28.995579178461785,2.288431337489412,0.31034101138777576,7.373924984184519,2.742693704907298,2.709623876030724,1.1103198551278055,5.787439386659844,5.5593430757288225,2.611326678621229,0.44969700214537617,0.20942142229848892,0.10901088908602041,0.03974592164300933,-0.012094331845246853,true
4,u,false,1.008917423142769,1.1410989859481904,2.7315028890517072,5.807650494633598,0.9695114709384454,0.7561709199962325,1.1180545030267444,0.038257647028899236,29.22434048759411,2.2736719495843145,0.3094712297796237,7.34695742542339,1.13490303070218,29.402541918446264,2.7083547056567494,7.6694097619996,2.763223333132342,6.046917851508025,2.188356539626257,0.4488899802500833,0.20860390305844193,-0.12808535254590908,0.060227457929916024,1.0793794768191174,1.0874003088960331,0.006878362575267577,0.11386994960724302,0.9466717606802191,,,,,0.09427326937108838,0.03411713712775501,-0.01733796431055828,1.1180545030267444,0.038257647028899236,29.22434048759411,2.2736719495843145,0.3094712297796237,7.34695742542339,2.763223333132342,2.7315028890517072,1.13490303070218,6.046917851508025,5.807650494633598,2.7083547056567494,0.4488899802500833,0.20860390305844193,0.09427326937108838,0.03411713712775501,-0.01733796431055828,true
5,u,false,1.0150695047780085,1.1911809468168466,2.761156003794159,6.063951940617263,0.9621723310206097,0.7585831856660605,1.1359354434818032,0.038575258360370006,29.447254322184858,2.2609137311541816,0.308716405325114,7.323594380328374,1.161776892753415,29.670038519955163,2.810188583564925,7.641841368787481,2.79158910751615,6.314657815992847,2.262029823440381,0.4481012587027607,0.2078085399054072,-0.12660405188552565,0.0576337227014728,1.080253464650395,1.0886448575854601,0.00872346467855341,0.11703122461747774,0.9456431562708852,,,,,0.08074330895395665,0.028923779913226193,-0.022008478175983403,1.1359354434818032,0.038575258360370006,29.447254322184858,2.2609137311541816,0.308716405325114,7.323594380328374,2.79158910751615,2.761156003794159,1.161776892753415,6.314657815992847,6.063951940617263,2.810188583564925,0.4481012587027607,0.2078085399054072,0.08074330895395665,0.028923779913226193,-0.022008478175983403,true
6,u,false,1.0227490474215717,1.2429437465224922,2.798508452658704,6.328735437978418,0.9551573234477998,0.7606735474004699,1.1540886321782011,0.03890598384468929,29.663525199240926,2.249944674955881,0.3080652115236276,7.303468846183944,1.1909289975155055,29.929563572422452,2.9170267750500107,7.618093238497054,2.8277135622596736,6.591171054870822,2.330918924335358,0.44732721118089513,0.2070297168532771,-0.1250655179535092,0.055289306333882765,1.0808953578437281,1.0896506500673173,0.010585948315185533,0.120472111292017,0.9446231999034598,,,,,0.06839980618091124,0.0241890858727048,-0.026092505162781422,1.1540886321782011,0.03890598384468929,29.663525199240926,2.249944674955881,0.3080652115236276,7.303468846183944,2.8277135622596736,2.798508452658704,1.1909289975155055,6.591171054870822,6.328735437978418,2.9170267750500107,0.44732721118089513,0.2070297168532771,0.06839980618091124,0.0241890858727048,-0.026092505162781422,true
7,u,false,1.031921608367091,1.2964882236969717,2.8435200534096303,6.602513200922193,0.948472656978005,0.7624709204784703,1.1724653384772796,0.039248869934123354,29.872588445098817,2.2405767621589794,0.307507432724285,7.286252375460168,1.2223608251323042,30.18043946745192,3.02908027075896,7.597777803042998,2.8715533031024774,6.876994081817767,2.3948690328637605,0.4465648963055083,0.20626300542570133,-0.12345046684680261,0.05315371544753728,1.08132220401527,1.0904358255479658,0.012468507296163884,0.12419888433075307,0.9436071235148306,,,,,0.05722319890202954,0.019927611596206336,-0.029586335001763105,1.1724653384772796,0.039248869934123354,29.872588445098817,2.2405767621589794,0.307507432724285,7.286252375460168,2.8715533031024774,2.8435200534096303,1.2223608251323042,6.876994081817767,6.602513200922193,3.02908027075896,0.4465648963055083,0.20626300542570133,0.05722319890202954,0.019927611596206336,-0.029586335001763105,true
8,u,false,1.0425560441043191,1.3519198814863156,2.896187557231074,6.885821506845613,0.9421182212324031,0.7640017838547546,1.1910269302797607,0.03960311198806086,30.074074245448674,2.2326439586177185,0.30703391407736597,7.271652596837039,1.2560868284702196,30.42222242787174,3.146574539272261,7.5805500642677055,2.923101517383525,7.172687976240708,2.4537936618297804,0.4458119019092555,0.20550489778714146,-0.12174776558003901,0.05119479346885992,1.0815507184279591,1.0910181172422422,0.014374503616041595,0.12821878333665654,0.9425911886538153,,,,,0.04719757228376387,0.016146402033279543,-0.03249437765141174,1.1910269302797607,0.03960311198806086,30.074074245448674,2.2326439586177185,0.30703391407736597,7.271652596837039,2.923101517383525,2.896187557231074,1.2560868284702196,7.172687976240708,6.885821506845613,3.146574539272261,0.4458119019092555,0.20550489778714146,0.04719757228376387,0.016146402033279543,-0.03249437765141174,true
9,u,false,1.0546250437638525,1.4093490039586867,2.956546026488487,7.1792210898053295,0.9360890218275343,0.765290217157954,1.2097435720405154,0.03996803565930189,30.267776539049596,2.2260000116312813,0.306636485813084,7.259410130952848,1.292133723441558,30.654665180192847,3.2697510352033325,7.566103954524362,2.982389462009543,7.478838779664632,2.5076667131949186,0.4450662319051769,0.20475261130053632,-0.11995237561808778,0.04938670402360859,1.0815968616938458,1.0914144350584136,0.016307855835290264,0.13254013599876086,0.9415724672902162,,,,,0.03831198847826123,0.012846071569890304,-0.03482776134636343,1.2097435720405154,0.03996803565930189,30.267776539049596,2.2260000116312813,0.306636485813084,7.259410130952848,2.982389462009543,2.956546026488487,1.292133723441558,7.478838779664632,7.1792210898053295,3.2697510352033325,0.4450662319051769,0.20475261130053632,0.03831198847826123,0.012846071569890304,-0.03482776134636343,true
10,u,false,1.0681054673942778,1.4688908437188903,3.0246696433910967,7.483297947067029,0.9303763440051582,0.7663580148367745,1.228593117563827,0.040343081399609404,30.453626122265465,2.2205162443812037,0.30630787577222207,7.249295300628943,1.330539991672239,30.87768468005189,3.398868421965917,7.554168454742154,3.049487343606217,7.79605833888252,2.5565144106035786,0.44432622635116037,0.2040039464516647,-0.11806383961700594,0.04770849174524115,1.081475628472091,1.0916406550702382,0.018272965599334792,0.13717244226530914,0.9405486835675898,,,,,0.030561347853754528,0.010021798555036385,-0.03660306683459971,1.228593117563827,0.040343081399609404,30.453626122265465,2.2205162443812037,0.30630787577222207,7.249295300628943,3.049487343606217,3.0246696433910967,1.330539991672239,7.79605833888252,7.483297947067029,3.398868421965917,0.44432622635116037,0.2040039464516647,0.030561347853754528,0.010021798555036385,-0.03660306683459971,true
