t,model_t,tracked_rebased_nfa,reference_rebased_nfa,selected_no_buffer_rebased_nfa,reference_error,selected_error
1,0,0.0,0.0,0.0,0.0,0.0
2,1,-0.006302320404255177,-0.006302320371681243,-0.006302320371681243,3.2573934001522975e-11,3.2573934001522975e-11
3,2,-0.012094331845247075,-0.012094331771392769,-0.012094331771392769,7.385430635109547e-11,7.385430635109547e-11
4,3,-0.017337964269812732,-0.01733796428497446,-0.01733796428497446,-1.5161729510770883e-11,-1.5161729510770883e-11
5,4,-0.0220084781759836,-0.022008478241864807,-0.022008478241864807,-6.588120674000386e-11,-6.588120674000386e-11
6,5,-0.0260925051976244,-0.02609250519345634,-0.02609250519345634,4.168061729092898e-12,4.168061729092898e-12
7,6,-0.02958633509463634,-0.029586335056806076,-0.029586335056806076,3.783026322756733e-11,3.783026322756733e-11
8,7,-0.03249437765141189,-0.0324943777467525,-0.0324943777467525,-9.534061040650244e-11,-9.534061040650244e-11
9,8,-0.03482776130256914,-0.03482776147021643,-0.034827760859745975,-1.6764728494322867e-10,4.428231670239313e-10
10,9,-0.03660306672165427,-0.03660306706564414,-0.036603066765561895,-3.439898713097911e-10,-4.390762753381239e-11
11,10,-0.03784118329837418,-0.037841183894919174,-0.03784118321309789,-5.965449939582257e-10,8.527629297150341e-11
12,11,-0.038566294854910754,-0.038566295938904545,-0.03856629523442235,-1.0839937905626762e-9,-3.7951159576055105e-10
13,12,-0.03880498251546758,-0.03880498462108868,-0.03880498309141053,-2.105621101089472e-9,-5.759429530516336e-10
14,13,-0.038585449742112636,-0.03858545349655121,-0.03858544944944287,-3.754438572534102e-9,2.926697634242359e-10
15,14,-0.03793685412852868,-0.03793686116443221,-0.03793685316766103,-7.0359035334033315e-9,9.608676493355617e-10
