T_report,n_buffer,terminal_rule,status,residual_safe,tail_window,final_t,final_e_W_over_e_US,max_tail_e_W_over_e_US,tail_log_slope_e_W_over_e_US,final_Y_W_over_Y_US,max_tail_Y_W_over_Y_US,final_Q_W_over_e_US,max_tail_Q_W_over_e_US,tail_log_slope_Q_W_over_e_US,final_zeta,max_tail_abs_zeta_gap,final_Lambda_u,final_Lambda_b,final_Lambda_u_over_Lambda_b,max_tail_Lambda_u_over_Lambda_b,lambda_diagnostics_regular,successor_e_W_over_e_US,successor_Y_W_over_Y_US,successor_Q_W_over_e_US,successor_zeta,successor_HKT_e_W_over_e_US,successor_HKT_Y_W_over_Y_US,successor_HKT_Q_W_over_e_US,successor_HKT_zeta,successor_phi_US_LL,successor_phi_US_HKT_scalar,successor_HKT_phi_over_floor,successor_LL_vs_HKT_phi_log_gap,max_tail_abs_log_phi_US_vs_HKT_scalar,max_tail_residual_norm,psi_ok,equity_weights_ok,hkt_entry_gate,hkt_entry_reason
30,0,local_loglinear,ok,true,8,30,2.6096228010153113,2.693716739823623,-0.004549375727059738,2.7152534316706003,2.798356134237893,1.2012406764343835,1.2217427125852467,-0.0024302456556765098,0.9408368615585062,0.05916313844149379,1.05415501227421,1.2264669156460886,0.8595054614407543,0.8962979333052467,true,2.5902744194981353,2.695628315431688,1.195337199654861,0.9343169459876426,2.5901633982506045,2.703327199192759,1.1952859665398956,0.9999999999999996,0.8576643848862839,0.828945407698481,828.945407698481,0.034058563390390456,0.030569907193234186,1.0187088860673365e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from zeta=1 is too large | LL and HKT successor phi values remain too far apart
35,0,local_loglinear,ok,true,8,35,2.4998707377654146,2.6433877894561064,-0.007984969685995835,2.6030513524559042,2.7492958128430938,1.1679513514287865,1.210847680145295,-0.005160406286242965,0.9050342561283565,0.09496574387164347,1.0544468792281358,1.2711260111518712,0.8295376461320427,0.8709147116432582,true,2.4741201315517833,2.5765906893133557,1.1596023021261257,0.8975136333933057,2.473488772935793,2.5877978987791646,1.1593063888860071,1.0000000000000002,0.8465006816054602,0.8018288402074008,801.8288402074007,0.05421583788740161,0.05002988906821615,1.328317894135117e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from zeta=1 is too large | LL and HKT successor phi values remain too far apart
40,0,local_loglinear,ok,true,8,40,2.3615761114101077,2.5478474015770454,-0.010850579670353735,2.4604425907268537,2.65223339794577,1.1233500410439792,1.1829674296939379,-0.00739162552888557,0.865819853544138,0.13418014645586196,1.0543364438903418,1.322433461421352,0.7972699380709413,0.8420037619756738,true,2.3311835715915814,2.4290148030940366,1.1131361235592216,0.857751764294001,2.3297258207061105,2.4433044055372095,1.1124400500326481,0.9999999999999997,0.8354493352572944,0.7735772307272335,773.5772307272334,0.07694419533952407,0.07224809379159039,1.1554241739818533e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from zeta=1 is too large | LL and HKT successor phi values remain too far apart
45,0,local_loglinear,ok,true,8,45,2.202578742985653,2.4198252270557106,-0.013439312222259072,2.2957115439868434,2.5205938255838687,1.0701816268986002,1.1424425313619582,-0.009336667195096848,0.8249356595049687,0.17506434049503128,1.0538918991350397,1.3805815917462203,0.7633680656295228,0.8104961051676213,true,2.1688153820427236,2.2606648267830183,1.0585330993976259,0.8166204229801777,2.166273539123805,2.2773378702948777,1.0572925028556506,0.9999999999999997,0.8239469205166361,0.7443501313659804,744.3501313659804,0.10159458017866968,0.0965122969627383,1.2185658663711252e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from zeta=1 is too large | LL and HKT successor phi values remain too far apart
50,0,local_loglinear,ok,true,8,50,2.028641649030855,2.268290675480661,-0.0159500355221794,2.1149428187398405,2.363857052387724,1.0105089737670654,1.0923785597635574,-0.011130206505445283,0.783561953864569,0.21643804613543105,1.05314904456326,1.4461183741465435,0.7282592237200483,0.7771400527339306,true,1.992480531402617,2.077306822311823,0.9977646175234188,0.7752044513775161,1.9886763846318705,2.095527265542926,0.9958596337667922,1.0000000000000002,0.8115228663797107,0.7142258810196154,714.2258810196154,0.12771329219496586,0.12233160576760227,1.3669488415368558e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from zeta=1 is too large | LL and HKT successor phi values remain too far apart
55,0,local_loglinear,ok,true,8,55,1.844289617847906,2.099711148928677,-0.018525847021985262,1.9229047893365299,2.1888572544055624,0.9459874997204673,1.0350622802265461,-0.012855884992285217,0.7425459206591066,0.25745407934089337,1.0521155883424886,1.520032877513492,0.692166336601591,0.742447089015057,true,1.8065345263887522,1.8835275867541268,0.9324338845551465,0.7342956433008846,1.8013886500837906,1.9024182768289302,0.9297778658838249,0.9999999999999999,0.7977306598847129,0.6832283826519252,683.2283826519252,0.1549418362302938,0.14932952328263938,1.1772684197764547e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from zeta=1 is too large | LL and HKT successor phi values remain too far apart
60,0,local_loglinear,ok,true,8,60,1.653366947965673,1.919021279134577,-0.021280510314246093,1.7236396832606737,2.000800535114431,0.8780481476731107,0.9722791973264598,-0.014563435859108766,0.7025529051891671,0.29744709481083287,1.0507759052100412,1.6038426782783435,0.6551614565700448,0.7067100279988093,true,1.6147363867924385,1.6832773020837273,0.8639453233954416,0.6945299409673579,1.6082788719891867,1.7019900908297962,0.8604903076042212,1.0,0.7820988425709317,0.6513434693027127,651.3434693027127,0.18294402401661408,0.17716603113893467,1.3425608610194743e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from zeta=1 is too large | LL and HKT successor phi values remain too far apart
65,0,local_loglinear,ok,true,8,65,1.4594016123969997,1.730282041155072,-0.024315284394376475,1.5208491892617597,1.8039617453750076,0.8080163146353202,0.9055287479644882,-0.01627730900959514,0.6641664610396275,0.3358335389603725,1.0490933581431707,1.6996992017236972,0.6172229516135945,0.6700505975983131,true,1.4205836547592519,1.480224098004366,0.7936142357360791,0.6564793172473515,1.412957355245352,1.4979936031660128,0.789353775720267,0.9999999999999996,0.7640942127948824,0.6185297949329083,618.5297949329082,0.21134573317739397,0.20547535566282332,1.261285812319863e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from zeta=1 is too large | LL and HKT successor phi values remain too far apart
70,0,local_loglinear,ok,true,8,70,1.2658522985255352,1.53711215491269,-0.027727970568551585,1.3181547028004088,1.6021413392107673,0.7371966403359356,0.8361656136762481,-0.017997450740438407,0.6279468974683565,0.3720531025316435,1.047015727836992,1.8104929799021943,0.5783042184971927,0.6324761187945163,true,1.2275432522594325,1.2779967252850313,0.722748131543798,0.6207027368361209,1.218998960140625,1.2941840537385798,0.7177174565326601,0.9999999999999996,0.7431049091306008,0.5847286577881705,584.7286577881705,0.23968932463949905,0.23381778711070367,1.3257996751609225e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from zeta=1 is too large | LL and HKT successor phi values remain too far apart
75,0,local_loglinear,ok,true,8,75,1.0762729449728692,1.342974102102489,-0.03161515662410378,1.1192708163840348,1.3989677541773664,0.6669283367546006,0.7654945497743751,-0.019694324083599772,0.5944729956494228,0.4055270043505772,1.0444785058796868,1.939931791616982,0.538409912344953,0.5939417331454163,true,1.0392011118452193,1.0803423989318668,0.6526971478169707,0.5877852298244053,1.0300831799196806,1.0944702676156763,0.6469703947429469,1.0,0.7184384530010534,0.5498759480291389,549.8759480291388,0.26738733769928763,0.2616333138813829,1.5226828260948604e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from zeta=1 is too large | LL and HKT successor phi values remain too far apart
80,0,local_loglinear,ok,true,8,80,0.8944054269196717,1.1513687850149448,-0.036065918083711,0.9281030351371788,1.1981025216096388,0.5986196973898597,0.6948367008578794,-0.021298227167044888,0.5643580062192491,0.43564199378075086,1.0414143930353872,2.0924851678547682,0.4976926044847683,0.5544231615738311,true,0.8593383649406205,0.8912072432417801,0.5848841023852602,0.5583496967478155,0.8500584794167847,0.902986178344316,0.5785680134774622,0.9999999999999992,0.6893586564132962,0.513920389662142,513.920389662142,0.293693312361087,0.2882097965985169,1.5334018399361038e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from zeta=1 is too large | LL and HKT successor phi values remain too far apart
85,0,local_loglinear,ok,true,8,85,0.7241692890477098,0.9659584433300541,-0.04114380979350471,0.748738938994621,1.0033696664937493,0.5337484235174533,0.6255736307025954,-0.022686198901227854,0.5382386457670569,0.46176135423294307,1.0377698942539213,2.273017423635251,0.4565604660408671,0.5140059900360932,true,0.6918949406895043,0.7147003516114012,0.5207969566641115,0.5330404392828916,0.682892215730648,0.7240421586006583,0.5140205062458095,0.9999999999999996,0.6551792122979985,0.47685146487876384,476.8514648787638,0.3177037567627326,0.31267858805550397,1.9428834278231756e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from zeta=1 is too large | LL and HKT successor phi values remain too far apart
90,0,local_loglinear,ok,true,8,90,0.5694924914312393,0.7906023177496806,-0.04685305370984528,0.5852756049287864,0.818794377880467,0.4738071902696559,0.5591630375801999,-0.023674593977528014,0.5167267848807376,0.48327321511926236,1.0335297369937333,2.485843686703924,0.4157661813257978,0.47299041377239454,true,0.5407620200503797,0.554881605571936,0.46192185264336033,0.5124670684500306,0.5324502448051712,0.5618939555399628,0.45482188911473787,1.0000000000000004,0.6154310511658538,0.438738713178625,438.738713178625,0.33841886899794565,0.334063113144343,2.2241438583946449e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from zeta=1 is too large | LL and HKT successor phi values remain too far apart
