T_report,n_buffer,terminal_rule,elapsed_sec,status,T_extended,branch_iters,warm_start_T,branch_converged,max_u_residual,max_u_residual_t,terminal_u_residual,max_bgp_residual,residual_safe,hard_valid,model_residuals,psi_interior,equity_interior,theta_interior,positive_foreign_claims,positive_returns,accounting_exact,positive_output,finite_accounting,exact_common,extended_bgp_valid,exponent_ordering,robust_ordering_002,accounting_residual_max,accounting_scale,nfa_identity_error,psi_ok,psi_min,equity_weights_ok,equity_weight_min,nu_b_reference,nu_b_eff_min,nu_b_eff_max,nu_b_ordering_ok,max_common_growth_log_gap,max_common_growth_level_gap,all_extended_bgp_converged,max_extended_bgp_residual,terminal_successor_scope,terminal_successor_N_US,terminal_successor_phi_US,terminal_successor_phi_W,hkt_scalar_root_residual,phi_US_report_end,q_US_report_end,q_growth,nfa_final,nfa_min,rebased_nfa_t15,nfa_savings_identity_error,nfa_portfolio_identity_error,cond_1b_final,error,search_stage,selected_for_downstream,search_right_censored,search_outcome
30,0,local_loglinear,1.8514130115509033,ok,30,500,,true,1.0187088860673365e-7,30,1.0187088860673365e-7,9.985140561608041e-10,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,2.706168622523819e-16,1.0,1.869299048884443e-8,true,0.91856793256672,true,0.1890507935573904,1.6606529874949896,0.49230847829161994,1.6606529874949896,true,1.48424197932151e-9,1.533067450765202e-9,true,9.985140561608041e-10,T_report_plus_1_only,1.6841747390738209,0.8576643848862839,0.7602107891316532,,0.8601130614280935,1.6386402796927975,1.5361498417627935,0.17354322138089762,0.008457988009292539,-0.03793686116443221,0.0,1.869299048884443e-8,0.738149997691694,,coarse_grid,false,false,safe_at_cap_right_censored
35,0,local_loglinear,0.6104679107666016,ok,35,500,30,true,1.328317894135117e-7,35,1.328317894135117e-7,9.985140561608041e-10,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,2.5153490401663703e-16,1.0,3.028966388818333e-8,true,0.9128695133888978,true,0.18475091844617625,1.6606529874949896,0.4308121415333916,1.6606529874949896,true,1.5140065590113494e-9,1.562830753698563e-9,true,9.985140561608041e-10,T_report_plus_1_only,1.9459822017529604,0.8465006816054602,0.7542428045195722,,0.8487733076278409,1.7600960428751666,1.6500090295942762,0.3593992669512889,0.008458040084868834,-0.03793685378890145,0.0,3.028966388818333e-8,0.6932424315886131,,coarse_grid,false,false,safe_at_cap_right_censored
40,0,local_loglinear,0.625730037689209,ok,40,500,35,true,1.1554241739818533e-7,40,1.1554241739818533e-7,9.985140561608041e-10,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,2.8449465006019636e-16,1.0,2.961324829797718e-8,true,0.9073815534538594,true,0.1804452368341701,1.6606529874949896,0.3816202046885575,1.6606529874949896,true,1.8272276747222094e-9,1.8848274052629677e-9,true,9.985140561608041e-10,T_report_plus_1_only,2.2730219540903653,0.8354493352572944,0.7471369207618612,,0.8376991938829546,1.895850741219013,1.7772728110134364,0.667833952279933,0.008458041512195313,-0.03793685316766103,0.0,2.961324829797718e-8,0.6475278374109092,,coarse_grid,false,false,safe_at_cap_right_censored
45,0,local_loglinear,0.57623291015625,ok,45,500,40,true,1.2185658663711252e-7,45,1.2185658663711252e-7,9.985140561608041e-10,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,5.689893001203927e-16,1.1678680021764283,3.658013181251363e-8,true,0.9021993656159267,true,0.17619463675602826,1.6606529874949896,0.3421606310408835,1.6606529874949896,true,1.973576160135826e-9,2.035021262614123e-9,true,9.985140561608041e-10,T_report_plus_1_only,2.68415751362167,0.8239469205166361,0.738843344192974,,0.8262897933057042,2.0502563261103326,1.92202094014069,1.16786803875656,0.008458041512195313,-0.03793685316766103,0.0,3.658013181251363e-8,0.6018285815774882,,coarse_grid,false,false,safe_at_cap_right_censored
50,0,local_loglinear,0.5964870452880859,ok,50,500,45,true,1.3669488415368558e-7,50,1.3669488415368558e-7,9.985140561608041e-10,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,9.43689570931383e-16,1.9739725639060097,4.772538453323705e-8,true,0.8974074142968774,true,0.17204235233775753,1.6606529874949896,0.3103420393946752,1.6606529874949896,true,2.1754234247328696e-9,2.242633190263632e-9,true,9.985140561608041e-10,T_report_plus_1_only,3.206287805693105,0.8115228663797107,0.729208204175362,,0.8140556771646579,2.228837238285172,2.0894323258968512,1.9739726116313943,0.008458041512195313,-0.03793685316766103,0.0,4.772538453323705e-8,0.5564940105133117,,coarse_grid,false,false,safe_at_cap_right_censored
55,0,local_loglinear,0.4600331783294678,ok,55,500,50,true,1.1772684197764547e-7,55,1.1772684197764547e-7,9.985140561608041e-10,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,8.396061623727746e-16,3.27956230641259,4.892041260973201e-8,true,0.8930926030784763,true,0.16801974898969463,1.6606529874949896,0.28450449136999023,1.6606529874949896,true,2.383037659564602e-9,2.4562327727295497e-9,true,9.985140561608041e-10,T_report_plus_1_only,3.878208546536583,0.7977306598847129,0.7179814892783545,,0.8005453163799525,2.438980188161436,2.2864316693162063,3.2795623553330024,0.008458041512195313,-0.03793685316766103,0.0,4.892041260973201e-8,0.5115665776624618,,coarse_grid,false,false,safe_at_cap_right_censored
60,0,local_loglinear,0.7135939598083496,ok,60,500,55,true,1.3425608610194743e-7,60,1.3425608610194743e-7,9.985140561608041e-10,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,2.0539125955565396e-15,5.419590135537448,6.291026632965213e-8,true,0.8893595435425043,true,0.1641480813235712,1.6606529874949896,0.2633548304379314,1.6606529874949896,true,2.7479070442704145e-9,2.83170353831963e-9,true,9.985140561608041e-10,T_report_plus_1_only,4.756927710303681,0.7820988425709317,0.7048117836150632,,0.7852920900454142,2.6909720656569176,2.522662456229832,5.419590072627182,0.008458041512195313,-0.03793685316766103,0.0,6.291026632965213e-8,0.4669187647263886,,coarse_grid,false,false,safe_at_cap_right_censored
65,0,local_loglinear,0.8651909828186035,ok,65,500,60,true,1.261285812319863e-7,65,1.261285812319863e-7,9.985140561608041e-10,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,1.4016565685892601e-15,8.991622220990479,6.740980040831346e-8,true,0.8863493321565309,true,0.16044073610728532,1.6606529874949896,0.245895969218248,1.6606529874949896,true,2.929658109857014e-9,3.0189044597506154e-9,true,9.985140561608041e-10,T_report_plus_1_only,5.9282041662348375,0.7640942127948824,0.6892323042285692,,0.7677750802748158,2.999630572352512,2.8120155998667427,8.991622153580678,0.008458041512195313,-0.03793685316766103,0.0,6.740980040831346e-8,0.42235964291062356,,coarse_grid,false,false,safe_at_cap_right_censored
70,0,local_loglinear,0.9224088191986084,ok,70,500,65,true,1.3257996751609225e-7,70,1.3257996751609225e-7,9.985140561608041e-10,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,1.3600232051658168e-15,15.099621308751722,7.672870694364065e-8,true,0.8842560236452882,true,0.15690530278832054,1.6606529874949896,0.23136214875791117,1.6606529874949896,true,2.929524955952445e-9,3.0187672361847717e-9,true,9.985140561608041e-10,T_report_plus_1_only,7.524562957699233,0.7431049091306008,0.6706402438476536,,0.7473979123346608,3.386903022624717,3.1750656973025673,15.099621232023015,0.008458041512195313,-0.03793685316766103,0.0,7.672870694364065e-8,0.37773133086937655,,coarse_grid,false,false,safe_at_cap_right_censored
75,0,local_loglinear,0.9749040603637695,ok,75,500,70,true,1.5226828260948604e-7,75,1.5226828260948604e-7,9.985140561608041e-10,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,2.55351295663786e-15,25.865968461943503,8.114454175256469e-8,true,0.8833469113429466,true,0.15354541637842323,1.6606529874949896,0.21916557852904017,1.6606529874949896,true,3.0299059719518517e-9,3.122293756874228e-9,true,9.985140561608041e-10,T_report_plus_1_only,9.756981630526337,0.7184384530010534,0.6482805163595808,,0.723482951686702,3.886204110207801,3.6431374859605015,25.86596838079896,0.008458041512195313,-0.03793685316766103,0.0,8.114454175256469e-8,0.33299947758358284,,coarse_grid,false,false,safe_at_cap_right_censored
