T_report,model_T,terminal_rule,gate_source_terminal_rule,cutoff_t,cutoff_model_t,t,model_t,evaluation_date,bound_status,lower_bound_certified,hkt_gate_passed,prefix_stable,finite_prefix_product,omitted_tail_bound,bubble_share_lower,log_bubble_share_lower,log10_bubble_share_lower,bubble_share_lower_scientific,lower_bound_float64_underflow,bubble_share_upper,relative_interval_width_bound,leakage,dividend_leakage,switch_leakage,dividend_envelope,switch_envelope,Q_US,NFA,B_agg_lower,B_agg_upper,V_agg_lower,V_agg_upper,NFA_bubble_lower,NFA_bubble_upper,NFA_fund_lower,NFA_fund_upper
30,29,local_loglinear,local_loglinear,22,21,1,0,true,diagnostic_only_hkt_gate_failed,false,false,true,0.003019469731202909,9095.621897212277,0.0,-9101.424571260985,-3952.698468757315,2.00230966e-3953,true,0.003019469731202909,1.0,0.0,0.0,0.0,0.052131056567304775,41.584001200908894,1.0681534236050094,0.14218193688193836,0.0,0.0032252569308560846,1.0649281666741532,1.0681534236050094,-0.0032252569308560846,-0.0,0.14218193688193836,0.14540719381279446
30,29,local_loglinear,local_loglinear,22,21,2,1,false,diagnostic_only_hkt_gate_failed,false,false,true,0.004011113033867194,9095.621897212277,0.0,-9101.1405837239,-3952.5751345370295,2.65990094e-3953,true,0.004011113033867194,1.0,0.32841637470869073,0.034768048914073375,0.8809449773838521,0.05211354649355129,41.580256885656716,1.0880550532784021,0.12497592416244663,0.0,0.004364311805770063,1.0836907414726322,1.0880550532784021,-0.004364311805770063,-0.0,0.12497592416244663,0.1293402359682167
30,29,local_loglinear,local_loglinear,22,21,3,2,false,diagnostic_only_hkt_gate_failed,false,false,true,0.0053280827427950594,9095.621897212277,0.0,-9100.856661028338,-3952.4518284770597,3.53322686e-3953,true,0.0053280827427950594,1.0,0.3283302409601129,0.03448801604974626,0.8815266747310999,0.05207478034210855,41.57196394063871,1.1103198549605557,0.10901088926692504,0.0,0.00591587605819805,1.1044039789023576,1.1103198549605557,-0.00591587605819805,-0.0,0.10901088926692504,0.11492676532512308
30,29,local_loglinear,local_loglinear,22,21,4,3,false,diagnostic_only_hkt_gate_failed,false,false,true,0.007076388693874542,9095.621897212277,0.0,-9100.572888785171,-3952.3285877577355,4.69258602e-3953,true,0.007076388693874542,1.0,0.3281304055278882,0.034218051916325314,0.8817370608346887,0.05201548132586455,41.559269810447766,1.1349030306302932,0.09427326942143299,0.0,0.00803101497459616,1.126872015655697,1.1349030306302932,-0.00803101497459616,-0.0,0.09427326942143299,0.10230428439602915
30,29,local_loglinear,local_loglinear,22,21,5,4,true,diagnostic_only_hkt_gate_failed,false,false,true,0.009395962403008613,9095.621897212277,0.0,-9100.289372425854,-3952.2054581673547,6.23077161e-3953,true,0.009395962403008613,1.0,0.3277906018845377,0.03395902344500268,0.8814947353186051,0.05193648836884213,41.542343337522944,1.1617768929211354,0.08074330875104807,0.0,0.010916012006571153,1.1508608809145642,1.1617768929211354,-0.010916012006571153,-0.0,0.08074330875104807,0.09165932075761922
30,29,local_loglinear,local_loglinear,22,21,6,5,false,diagnostic_only_hkt_gate_failed,false,false,true,0.012471221460277853,9095.621897212277,0.0,-9100.006228784458,-3952.08249044631,8.27007701e-3953,true,0.012471221460277853,1.0,0.3272958027465646,0.03371143494370142,0.8807531034085896,0.051838718419750233,41.52136724842834,1.1909289976239965,0.06839980607326979,0.0,0.014852339272835578,1.1760766583511608,1.1909289976239965,-0.014852339272835578,-0.0,0.06839980607326979,0.08325214534610537
30,29,local_loglinear,local_loglinear,22,21,7,6,false,diagnostic_only_hkt_gate_failed,false,false,true,0.016544800476635594,9095.621897212277,0.0,-9099.723580609394,-3951.95973790356,1.09714012e-3952,true,0.016544800476635594,1.0,0.32663833525308844,0.03347550553787406,0.8794884891456433,0.05172313622926398,41.49653224068245,1.2223608253321285,0.057223198722044843,0.0,0.020223715965575678,1.2021371093665527,1.2223608253321285,-0.020223715965575678,-0.0,0.057223198722044843,0.07744691468762052
30,29,local_loglinear,local_loglinear,22,21,8,7,false,diagnostic_only_hkt_gate_failed,false,false,true,0.021935351744404568,9095.621897212277,0.0,-9099.44155292101,-3951.8372548347506,1.45460530e-3952,true,0.021935351744404568,1.0,0.3258154291664901,0.033251231333434855,0.8776925934991658,0.05159073016358252,41.46803233547322,1.256086828825368,0.04719757198108154,0.0,0.027552706411798137,1.2285341224135697,1.256086828825368,-0.027552706411798137,-0.0,0.04719757198108154,0.07475027839287968
30,29,local_loglinear,local_loglinear,22,21,9,8,false,diagnostic_only_hkt_gate_failed,false,false,true,0.02906055992357448,9095.621897212277,0.0,-9099.160270565457,-3951.7150954598774,1.92710128e-3952,true,0.02906055992357448,1.0,0.32482762356375067,0.03303843605905676,0.8753675625140819,0.05144249298763884,41.436061249336134,1.2921337239481816,0.03831198808063441,0.0,0.037550129514067575,1.254583594434114,1.2921337239481816,-0.037550129514067575,-0.0,0.03831198808063441,0.07586211759470199
30,29,local_loglinear,local_loglinear,22,21,10,9,true,diagnostic_only_hkt_gate_failed,false,false,true,0.038466815326431245,9095.621897212277,0.0,-9098.879856561221,-3951.5933132051896,2.55086101e-3952,true,0.038466815326431245,1.0,0.3236777070914668,0.032836812131667954,0.8725226848793967,0.051279406791212095,41.40080959724384,1.3305399925940695,0.030561347115664494,0.0,0.05118163617954727,1.2793583564145223,1.3305399925940695,-0.05118163617954727,-0.0,0.030561347115664494,0.08174298329521176
