switch_index,G_N_US,G_N_W,nu_b_eff,bgp_converged,bgp_residual_norm,G_b,G_W,level_gap,log_gap
0,1.0230443623253431,1.038559243507382,1.6606529874949896,true,3.983069082891255e-10,1.0385592431074002,1.038559243507382,-3.9998182543854455e-10,-3.851315238945219e-10
1,1.024699102364614,1.038161973630423,1.5349727576551957,true,6.809871000434953e-10,1.038161974045625,1.038161973630423,4.152018728831308e-10,3.999392900189136e-10
2,1.026278461199141,1.0378012706435007,1.430438680588792,true,5.700142788334084e-10,1.0378012712187719,1.0378012706435007,5.752711640383268e-10,5.543173420274883e-10
3,1.0277964869387646,1.0374704112552378,1.3416936856723465,true,5.419879961499063e-10,1.037470411802553,1.0374704112552378,5.473153041890555e-10,5.275477832356046e-10
4,1.0292645900661146,1.03716426918316,1.2650679738243256,true,5.098823793736607e-10,1.0371642696978511,1.03716426918316,5.146911785658403e-10,4.96248535319932e-10
5,1.0306923744180094,1.0368788242268119,1.1979533838116323,true,8.631512241064065e-10,1.0368788247534733,1.0368788242268119,5.266613811727439e-10,5.079295595233901e-10
6,1.0320881283400225,1.036610858580897,1.1384414671951,true,6.848215328147944e-10,1.0366108592699617,1.036610858580897,6.890645831703068e-10,6.647283556926453e-10
7,1.0334591306350904,1.0363577583930963,1.0851025347185694,true,6.271412139602361e-10,1.0363577590224855,1.0363577583930963,6.29389207418285e-10,6.073087865932081e-10
8,1.0348118473038475,1.0361173788125073,1.036844882046006,true,9.985140561608041e-10,1.0361173794170795,1.0361173788125073,6.045721701042339e-10,5.834978195062845e-10
9,1.0361520625406633,1.0358879486456103,0.9928216715644853,true,7.787092429212272e-10,1.0358879494218347,1.0358879486456103,7.762244180753441e-10,7.493324571949955e-10
10,1.0374849685821097,1.0356680006269783,0.952367418351673,true,7.009782546085752e-10,1.0356680013228956,1.0356680006269783,6.959173237675031e-10,6.719501691176966e-10
11,1.0388152277199283,1.0354563193318347,0.9149535749508733,true,9.19207952809753e-10,1.035456320240377,1.0354563193318347,9.085423524624048e-10,8.774319257276453e-10
12,1.0401470167730071,1.0352519009908316,0.8801565692143888,true,8.148003660668479e-10,1.035251901792354,1.0352519009908316,8.015224040036628e-10,7.742293681167745e-10
13,1.0414840599141826,1.0350539215541716,0.8476344677619099,true,1.5752272403135592e-10,1.0350539222432324,1.0350539215541716,6.890608084120231e-10,6.657245310570659e-10
14,1.0428296535788486,1.0348617108115896,0.8171094785525747,true,9.70184273205771e-10,1.0348617116887744,1.0348617108115896,8.77184769265682e-10,8.476348234420783e-10
15,1.044186687148068,1.0346747310702151,0.7883546394293259,true,9.153165919770276e-10,1.0346747318262808,1.0346747310702151,7.560656545280153e-10,7.307277699597492e-10
16,1.045557660872331,1.0344925584797189,0.7611835909633689,true,6.604197591142818e-10,1.034492559404284,1.0344925584797189,9.24565091153795e-10,8.937377504736332e-10
17,1.046944703071278,1.0343148671452105,0.7354424813066585,true,8.477794945101183e-10,1.0343148682459595,1.0343148671452105,1.1007490474668202e-9,1.0642302247787505e-9
18,1.048349587740646,1.0341414148790977,0.7110035977664765,true,7.613947342161214e-10,1.0341414158016795,1.0341414148790977,9.225817887426047e-10,8.921233751735258e-10
19,1.049773752574691,1.0339720303472832,0.6877602820961503,true,3.965956749781886e-10,1.0339720314424625,1.0339720303472832,1.0951792805968807e-9,1.0591962099071317e-9
20,1.0512183186787136,1.0338066015004423,0.6656227566436058,true,8.143314265478192e-10,1.0338066023736665,1.0338066015004423,8.732241596476342e-10,8.446687099761263e-10
21,1.0526841117909596,1.0336450650365607,0.644514844686389,true,4.110070811960959e-10,1.033645066050446,1.0336450650365607,1.013885198020148e-9,9.808834092184249e-10
22,1.0541716840434086,1.0334873968204967,0.6243712180570401,true,4.782155470166754e-10,1.0334873979424166,1.0334873968204967,1.1219198903233973e-9,1.08556697658857e-9
23,1.055681337865108,1.033333603292467,0.6051352297485837,true,9.53077359420316e-17,1.0333336045671144,1.033333603292467,1.274647498661352e-9,1.2335295632159848e-9
24,1.0572131492888182,1.0331837137567947,0.5867571382537634,true,1.2249489722872129e-16,1.03318371513016,1.0331837137567947,1.3733651993419471e-9,1.3292555459121225e-9
25,1.0587669927140322,1.0330377736079108,0.5691926855568787,true,5.90273076698795e-16,1.033037775067971,1.0330377736079108,1.4600600728442714e-9,1.4133655426573632e-9
26,1.0603425645249365,1.0328958384293827,0.5524019647989927,true,4.550054811632484e-16,1.032895839962449,1.0328958384293827,1.5330663405421774e-9,1.4842408829762732e-9
27,1.0619394066457197,1.0327579689584532,0.5363485181169584,true,3.2874201582227787e-16,1.0327579701280136,1.0327579689584532,1.1695604484884825e-9,1.1324631510323258e-9
28,1.063556928476842,1.032624226869019,0.5209986694193638,true,2.220446049250313e-16,1.0326242280716316,1.032624226869019,1.2026126761099931e-9,1.1646179853830319e-9
29,1.0651944285923842,1.0324946713340715,0.5063209404078206,true,1.0162023099286492e-16,1.03249467255843,1.0324946713340715,1.224358614493326e-9,1.1858255488661484e-9
30,1.0668511139168755,1.0323693562886658,0.4922856723529063,true,2.220446049250313e-16,1.0323693575238748,1.0323693562886658,1.2352090461575926e-9,1.1964796861607674e-9
31,1.0685261174484628,1.0322483283355317,0.4788647195858531,true,9.204660594610958e-10,1.0322483298983673,1.0322483283355317,1.5628356386798714e-9,1.5140112427647345e-9
32,1.0702185156827326,1.0321316252319914,0.4660311973715485,true,9.37164903921795e-10,1.0321316267827265,1.0321316252319914,1.550735095889877e-9,1.5024585534040291e-9
33,1.0719273412037622,1.032019274847374,0.4537593618394465,true,9.466597327084242e-10,1.0320192763761966,1.032019274847374,1.5288226240528502e-9,1.4813896082044309e-9
34,1.0736515966356794,1.0319112945626725,0.44202446765694914,true,9.494428523266736e-10,1.0319112960611403,1.0319112945626725,1.4984677942919689e-9,1.4521285771063042e-9
35,1.0753902654142624,1.0318076910114031,0.4308026961972192,true,9.461161436641386e-10,1.0318076924724537,1.0318076910114031,1.461050613826842e-9,1.4160106490135327e-9
36,1.0771423213448454,1.0317084601069042,0.4200711020189488,true,9.373497294780647e-10,1.0317084615248138,1.0317084601069042,1.4179095675359576e-9,1.3743316103209668e-9
37,1.0789067367101302,1.031613587298627,0.4098075773730058,true,9.238468837023141e-10,1.0316135886689328,1.031613587298627,1.37030586877529e-9,1.328313022075367e-9
38,1.0806824890925266,1.0315230480030313,0.3999908356271292,true,4.283470238341852e-16,1.0315230498878811,1.0315230480030313,1.884849831768065e-9,1.8272493379489774e-9
39,1.0824685670606482,1.0314368081631717,0.39060036626196465,true,2.741511643671174e-16,1.0314368099720488,1.0314368081631717,1.8088770481483607e-9,1.7537449062410282e-9
40,1.0842639748142793,1.0313548249004565,0.3816164664874847,true,2.6310406295122606e-16,1.0313548266314132,1.0313548249004565,1.7309567112988589e-9,1.6783329101488498e-9
41,1.0860677359385809,1.0312770472249506,0.3730202014099212,true,1.0096563947269145e-15,1.0312770488771568,1.0312770472249506,1.6522061496715423e-9,1.6020971771446568e-9
42,1.0878788964057542,1.0312034167770696,0.3647934013462627,true,3.6310838015744504e-16,1.0312034183506358,1.0312034167770696,1.5735661662574785e-9,1.5259513132248603e-9
43,1.08969652663532,1.0311338685764198,0.35691865793046074,true,1.5265566588595902e-16,1.0311338706114563,1.0311338685764198,2.0350365836918627e-9,1.973591096104954e-9
44,1.0915197241917984,1.0310683317920262,0.3493792835970033,true,2.220446049250313e-16,1.0310683337247208,1.0310683317920262,1.9326946709696813e-9,1.874458328138262e-9
45,1.0933476136522964,1.0310067304370572,0.3421593403264704,true,2.1304866439801938e-16,1.0310067322700562,1.0310067304370572,1.8329990858489964e-9,1.777873008534936e-9
46,1.095179348405729,1.030948984093257,0.3352435947386922,true,2.0401352751813492e-16,1.0309489858297098,1.030948984093257,1.7364527593599632e-9,1.6843246589126615e-9
47,1.0970141106915394,1.030895008562478,0.32861751486423935,true,2.220446049250313e-16,1.0308950108051136,1.030895008562478,2.2426356327542862e-9,2.1754259053874403e-9
48,1.098851112944749,1.0308447165278614,0.3222672222208174,true,2.220446049250313e-16,1.030844718650425,1.0308447165278614,2.122563680373446e-9,2.0590528795882967e-9
49,1.1006895961838983,1.0307980180866092,0.3161795151252457,true,6.254985220295705e-16,1.0307980200943063,1.0307980180866092,2.0076971196658633e-9,1.9477114573951404e-9
50,1.102528830957543,1.0307548213253455,0.3103418173214873,true,4.2714202440932403e-16,1.0307548232234967,1.0307548213253455,1.898151191781494e-9,1.8415157281015393e-9
51,1.104368116469371,1.0307150327963686,0.30474217028438916,true,4.898259422081215e-16,1.0307150352525989,1.0307150327963686,2.4562303302388955e-9,2.3830353072795685e-9
