sweep_kind,sweep_value,case_id,label,omega_bar,omega_bar_star,T_max,branch_iters,warm_start_T,seed_kind,global_polish,status,elapsed_sec,branch_converged,max_u_residual,max_bgp_residual,residual_safe,error
omega_star,0.25,omega_0p50_omega_star_0p25,omega_bar* = 0.25 (AHP),0.5,0.25,30,60,,none,false,ok,0.4866759777069092,true,1.0187088860673365e-7,9.985140561608041e-10,true,
omega_star,0.25,omega_0p50_omega_star_0p25,omega_bar* = 0.25 (AHP),0.5,0.25,45,60,30,horizon,false,ok,1.1930241584777832,true,1.179029248801968e-7,9.985140561608041e-10,true,
omega_star,0.25,omega_0p50_omega_star_0p25,omega_bar* = 0.25 (AHP),0.5,0.25,60,60,45,horizon,false,ok,0.7783210277557373,true,1.3789353756105648e-7,9.985140561608041e-10,true,
omega_star,0.25,omega_0p50_omega_star_0p25,omega_bar* = 0.25 (AHP),0.5,0.25,70,60,60,horizon,false,ok,0.9835171699523926,true,1.581982999208967e-7,9.985140561608041e-10,true,
omega_star,0.25,omega_0p50_omega_star_0p25,omega_bar* = 0.25 (AHP),0.5,0.25,80,60,70,horizon,false,ok,1.1329429149627686,true,1.7889495376908808e-7,9.985140561608041e-10,true,
omega_star,0.25,omega_0p50_omega_star_0p25,omega_bar* = 0.25 (AHP),0.5,0.25,90,60,80,horizon,false,ok,1.3323609828948975,true,1.9534402793547443e-7,9.985140561608041e-10,true,
omega_star,0.25,omega_0p50_omega_star_0p25,omega_bar* = 0.25 (AHP),0.5,0.25,100,60,90,horizon,false,ok,1.5167338848114014,true,2.7039984346573995e-7,9.985140561608041e-10,true,
omega_star_continuation,0.26,omega_0p50_omega_star_0p26,omega_bar* continuation = 0.26,0.5,0.26,100,60,100,parameter,false,ok,2.409855842590332,true,3.4154262027651565e-7,9.89811276816086e-10,true,
omega_star_continuation,0.27,omega_0p50_omega_star_0p27,omega_bar* continuation = 0.27,0.5,0.27,100,60,100,parameter,false,error,6.311849117279053,,,,false,Absorbing-BGP continuation failed during outer iteration 5 at the required terminal successor t=101.
omega_star_continuation,0.27,omega_0p50_omega_star_0p27,omega_bar* continuation = 0.27,0.5,0.27,30,60,30,parameter,false,ok,0.3029320240020752,true,1.2140056826879398e-7,9.665857211849094e-10,true,
omega_star_continuation,0.27,omega_0p50_omega_star_0p27,omega_bar* continuation = 0.27,0.5,0.27,45,60,45,parameter,false,ok,0.59700608253479,true,1.3369484729252847e-7,9.66585610162607e-10,true,
omega_star_continuation,0.27,omega_0p50_omega_star_0p27,omega_bar* continuation = 0.27,0.5,0.27,60,60,60,parameter,false,ok,1.1086280345916748,true,1.3418652623451686e-7,9.665855615903496e-10,true,
omega_star_continuation,0.27,omega_0p50_omega_star_0p27,omega_bar* continuation = 0.27,0.5,0.27,70,60,70,parameter,false,ok,1.422914981842041,true,1.5833134587821027e-7,9.665855685292435e-10,true,
omega_star_continuation,0.27,omega_0p50_omega_star_0p27,omega_bar* continuation = 0.27,0.5,0.27,80,60,80,parameter,false,ok,1.8721380233764648,true,2.0311611096769581e-7,9.665855615903496e-10,true,
omega_star_continuation,0.27,omega_0p50_omega_star_0p27,omega_bar* continuation = 0.27,0.5,0.27,90,60,90,parameter,false,ok,4.593605995178223,true,3.4747444028455663e-7,9.665855615903496e-10,true,
omega_star_continuation,0.27,omega_0p50_omega_star_0p27,omega_bar* continuation = 0.27,0.5,0.27,100,60,100,parameter,false,ok,28.147273063659668,true,7.814877857562063e-7,9.665855685292435e-10,true,
omega_star_continuation,0.28,omega_0p50_omega_star_0p28,omega_bar* continuation = 0.28,0.5,0.28,100,60,100,parameter,false,ok,39.0981650352478,true,3.329711633011585e-7,9.483720891934055e-10,true,
omega_star_continuation,0.29,omega_0p50_omega_star_0p29,omega_bar* continuation = 0.29,0.5,0.29,100,60,100,parameter,false,error,56.654277086257935,,,,false,Absorbing-BGP continuation failed during outer iteration 9 at the required terminal successor t=101.
omega_continuation,0.51,omega_0p51_omega_star_0p25,omega_bar continuation = 0.51,0.51,0.25,100,60,100,parameter,false,ok,1.9215490818023682,true,3.043271632360491e-7,9.86028932079702e-10,true,
omega_continuation,0.52,omega_0p52_omega_star_0p25,omega_bar continuation = 0.52,0.52,0.25,100,60,100,parameter,false,ok,1.9443910121917725,true,2.914107315399819e-7,9.894310506959322e-10,true,
omega_continuation,0.53,omega_0p53_omega_star_0p25,omega_bar continuation = 0.53,0.53,0.25,100,60,100,parameter,false,ok,1.8177130222320557,true,3.49414967686601e-7,9.634114686574158e-10,true,
omega_continuation,0.54,omega_0p54_omega_star_0p25,omega_bar continuation = 0.54,0.54,0.25,100,60,100,parameter,false,ok,1.826051950454712,true,3.4512846218329793e-7,9.545075840833306e-10,true,
omega_continuation,0.55,omega_0p55_omega_star_0p25,omega_bar continuation = 0.55,0.55,0.25,100,60,100,parameter,false,ok,1.758188009262085,true,3.4494484230225974e-7,9.976119652588267e-10,true,
omega_continuation,0.56,omega_0p56_omega_star_0p25,omega_bar continuation = 0.56,0.56,0.25,100,60,100,parameter,false,ok,1.7157487869262695,true,3.474168929480546e-7,9.935626988854842e-10,true,
omega_continuation,0.57,omega_0p57_omega_star_0p25,omega_bar continuation = 0.57,0.57,0.25,100,60,100,parameter,false,ok,1.6798248291015625,true,4.304353316069182e-7,9.994353122877442e-10,true,
omega_continuation,0.58,omega_0p58_omega_star_0p25,omega_bar continuation = 0.58,0.58,0.25,100,60,100,parameter,false,ok,1.6022729873657227,true,4.303301666364099e-7,9.952732002620388e-10,true,
omega_continuation,0.59,omega_0p59_omega_star_0p25,omega_bar continuation = 0.59,0.59,0.25,100,60,100,parameter,false,ok,1.6165740489959717,true,4.2079030390628463e-7,9.970149358884406e-10,true,
omega,0.6,omega_0p60_omega_star_0p25,omega_bar = 0.6,0.6,0.25,100,60,100,parameter,false,ok,1.501269817352295,true,4.795148283412403e-7,9.869738776258075e-10,true,
omega_continuation,0.61,omega_0p61_omega_star_0p25,omega_bar continuation = 0.61,0.61,0.25,100,60,100,parameter,false,ok,1.441437005996704,true,4.926198908820149e-7,9.642039319746054e-10,true,
omega_continuation,0.62,omega_0p62_omega_star_0p25,omega_bar continuation = 0.62,0.62,0.25,100,60,100,parameter,false,ok,1.3324921131134033,true,5.782303092389085e-7,9.524206773813344e-10,true,
omega_continuation,0.63,omega_0p63_omega_star_0p25,omega_bar continuation = 0.63,0.63,0.25,100,60,100,parameter,false,ok,0.8773891925811768,true,3.7474791951646665e-7,9.80881015300028e-10,true,
omega_continuation,0.64,omega_0p64_omega_star_0p25,omega_bar continuation = 0.64,0.64,0.25,100,60,100,parameter,false,ok,1.2816269397735596,true,6.229659509472518e-7,9.998514987236044e-10,true,
omega_continuation,0.65,omega_0p65_omega_star_0p25,omega_bar continuation = 0.65,0.65,0.25,100,60,100,parameter,false,ok,1.5864720344543457,true,5.417192166747534e-7,9.888278598713107e-10,true,
omega_continuation,0.66,omega_0p66_omega_star_0p25,omega_bar continuation = 0.66,0.66,0.25,100,60,100,parameter,false,ok,1.5533530712127686,true,6.116149736277358e-7,9.822261406999822e-10,true,
omega_continuation,0.67,omega_0p67_omega_star_0p25,omega_bar continuation = 0.67,0.67,0.25,100,60,100,parameter,false,ok,1.549144983291626,true,6.209363871073319e-7,9.630932509829826e-10,true,
omega_continuation,0.68,omega_0p68_omega_star_0p25,omega_bar continuation = 0.68,0.68,0.25,100,60,100,parameter,false,ok,1.6945099830627441,true,5.998126064565007e-7,9.80083819657196e-10,true,
omega_continuation,0.69,omega_0p69_omega_star_0p25,omega_bar continuation = 0.69,0.69,0.25,100,60,100,parameter,false,ok,1.6725029945373535,true,6.690574032571076e-7,9.926679478411415e-10,true,
omega,0.7,omega_0p70_omega_star_0p25,omega_bar = 0.7,0.7,0.25,100,60,100,parameter,false,ok,1.8204410076141357,true,6.18973328460457e-7,9.882819421475809e-10,true,
