sweep_kind,sweep_value,case_id,label,pi,gamma,T_max,t,model_t,bound_status,bubble_share_upper,log10_bubble_share_upper,bubble_share_lower,log10_bubble_share_lower,a_t,dividend_yield_d_over_q,switch_term_raw,switch_contribution_weighted
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,1,0,diagnostic_only_hkt_gate_failed,2.8125237550834093e-8,-7.550903800735488,8.536716324598377e-9,-8.06870914996037,0.0,0.0,0.0,0.0
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,2,1,diagnostic_only_hkt_gate_failed,3.7113661409946124e-8,-7.430466198663971,1.126492882597921e-8,-7.948271547888852,0.3195857045781818,0.0347529792274899,0.8544981760520757,0.2848327253506919
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,3,2,diagnostic_only_hkt_gate_failed,4.8977670015845436e-8,-7.310001879140461,1.4865953555391768e-8,-7.827807228365342,0.3196668869409876,0.03447420004348948,0.8555780606924943,0.2851926868974981
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,4,3,diagnostic_only_hkt_gate_failed,6.463084047469125e-8,-7.189560196372743,1.9617084120821865e-8,-7.707365545597625,0.3195981036619662,0.0342053217813922,0.8561783456417223,0.2853927818805741
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,5,4,diagnostic_only_hkt_gate_failed,8.527090890706254e-8,-7.069199107824509,2.5881863531448607e-8,-7.587004457049391,0.3193532419008783,0.033947214022683345,0.856218083634585,0.28540602787819497
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,6,5,diagnostic_only_hkt_gate_failed,1.1246535552155319e-7,-6.948981239534786,3.413606141805301e-8,-7.466786588759667,0.3189182215018978,0.03370038772089672,0.8556535013430032,0.2852178337810011
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,7,6,diagnostic_only_hkt_gate_failed,1.4826159710046939e-7,-6.828971325891161,4.500112022133193e-8,-7.346776675116043,0.3182868307570146,0.03346507057837483,0.8544652805359192,0.2848217601786397
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,8,7,diagnostic_only_hkt_gate_failed,1.9532844082804122e-7,-6.709234516592328,5.928708998319684e-8,-7.2270398658172095,0.3174580919675176,0.033241268000228065,0.8526504719018687,0.28421682396728953
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,9,8,diagnostic_only_hkt_gate_failed,2.571371067475166e-7,-6.589835246994409,7.804757321121455e-8,-7.10764059621929,0.31643454305709223,0.03302881296252584,0.8502171902836992,0.2834057300945664
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,10,9,diagnostic_only_hkt_gate_failed,3.3819214749737615e-7,-6.470836480529377,1.0264981482107389e-7,-6.9886418297542585,0.31522109653916114,0.032827406794556084,0.8471810692338153,0.2823936897446051
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,11,10,diagnostic_only_hkt_gate_failed,4.443250495724092e-7,-6.35229920198666,1.3486381749690453e-7,-6.870104551211541,0.31382426487550663,0.03263665250568902,0.8435628371094528,0.2811876123698176
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,12,11,diagnostic_only_hkt_gate_failed,5.830662749595618e-7,-6.234282077808147,1.7697526567637658e-7,-6.752087427033028,0.31225163992142263,0.03245608186029179,0.8393866741833923,0.27979555806113077
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,13,12,diagnostic_only_hkt_gate_failed,7.641150764507004e-7,-6.116841231340474,2.3192812630359425e-7,-6.634646580565354,0.31051153062093084,0.032285177264901106,0.8346790600680891,0.2782263533560297
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,14,13,diagnostic_only_hkt_gate_failed,9.999307035766501e-7,-6.000030096097064,3.035040946858347e-7,-6.5178354453219445,0.30861271344273,0.03212338946842126,0.8294679719229262,0.2764893239743087
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,15,14,diagnostic_only_hkt_gate_failed,1.3064737207119806e-6,-5.883899321539072,3.9654760316611113e-7,-6.401704670763953,0.3065642609421401,0.031970151700597076,0.8237823277246291,0.27459410924154304
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,16,15,diagnostic_only_hkt_gate_failed,1.7041321975183835e-6,-5.768496718004874,5.172469431959512e-7,-6.286302067229754,0.3043754118450186,0.031824890729657745,0.8176515633460826,0.2725505211153608
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,17,16,diagnostic_only_hkt_gate_failed,2.2188746629072284e-6,-5.653867228973542,6.73484215834335e-7,-6.1716725781984225,0.30205547793676474,0.031687035617015975,0.8111053269592464,0.27036844231974877
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,18,17,diagnostic_only_hkt_gate_failed,2.883680062215314e-6,-5.540052925270949,8.752693596823442e-7,-6.05785827449583,0.29961376837619036,0.03155602458426341,0.804173231375781,0.268057743791927
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,19,18,diagnostic_only_hkt_gate_failed,3.7403046999141046e-6,-5.427093017023812,1.1352764623949602e-6,-5.944898366248693,0.29705952783149936,0.03143131019578428,0.7968846529071453,0.2656282176357151
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,20,19,diagnostic_only_hkt_gate_failed,4.841457432425819e-6,-5.315023882243818,1.469503986358757e-6,-5.832829231468699,0.2944018792204279,0.03131236312608004,0.7892685482830436,0.26308951609434783
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,21,20,diagnostic_only_hkt_gate_failed,6.2534673818019815e-6,-5.203879111099919,1.8980844868273605e-6,-5.7216844603248,0.29164977056685154,0.03119867501172489,0.7813532866653801,0.2604510955551267
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,22,21,diagnostic_only_hkt_gate_failed,8.059543357048457e-6,-5.09368956404257,2.446273928195983e-6,-5.611494913267451,0.2888119286433439,0.03108976024022596,0.7731665052093538,0.2577221684031179
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,23,22,diagnostic_only_hkt_gate_failed,1.0363741095780957e-5,-4.984483444979742,3.145655841532288e-6,-5.502288794204623,0.2858968103592825,0.03098515723320373,0.7647349593782364,0.2549116531260788
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,24,23,diagnostic_only_hkt_gate_failed,1.3295773648351388e-5,-4.876286387069946,4.0356013970335466e-6,-5.394091736294827,0.28291256270036086,0.030884428948743804,0.7560844012548512,0.25202813375161703
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,25,24,diagnostic_only_hkt_gate_failed,1.7016821694295882e-5,-4.769121551744105,5.165032981069616e-6,-5.286926900968985,0.27986698212223815,0.03078716297438832,0.7472394574435496,0.24907981914784985
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,26,25,diagnostic_only_hkt_gate_failed,2.1726524603007077e-5,-4.66300973831124,6.594546158767596e-6,-5.1808150875361205,0.276767482983611,0.030692971238245163,0.7382235352360973,0.24607451174536576
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,27,26,diagnostic_only_hkt_gate_failed,2.7671359465382634e-5,-4.55796950389444,8.398952920664546e-6,-5.07577485311932,0.2736210678422438,0.03060148936903187,0.729058735419636,0.24301957847321198
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,28,27,diagnostic_only_hkt_gate_failed,3.5154644462972445e-5,-4.454017289950216,1.0670317956607242e-5,-4.971822639175096,0.27043430977619737,0.030512375968259918,0.7197658014238124,0.23992193380793747
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,29,28,diagnostic_only_hkt_gate_failed,4.454843412498952e-5,-4.351167556785986,1.3521569165157713e-5,-4.8689729060108675,0.267213331425135,0.030425311375813793,0.7103640601479636,0.2367880200493212
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,30,29,diagnostic_only_hkt_gate_failed,5.630760807729825e-5,-4.249432920907864,1.7090773942931726e-5,-4.7672382701327445,0.2639637999242813,0.03033999663915797,0.7008714098553702,0.2336238032851234
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,31,30,diagnostic_only_hkt_gate_failed,7.098649044453374e-5,-4.148824294712582,2.1546183590752552e-5,-4.666629643937463,0.26069092381058845,0.03025615225865793,0.6913043146557917,0.23043477155193054
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,32,31,diagnostic_only_hkt_gate_failed,8.925837438120694e-5,-4.049351027014875,2.7092159499451648e-5,-4.5671563762397565,0.2573994547730191,0.030173516789510312,0.6816778139505265,0.22722593798350882
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,33,32,diagnostic_only_hkt_gate_failed,0.00011193836455100138,-3.9510210425397414,3.397610641631861e-5,-4.4688263917646225,0.2540936951521447,0.030091845474169147,0.6720055490339266,0.22400184967797554
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,34,33,diagnostic_only_hkt_gate_failed,0.00014000998906322457,-3.8538409783197682,4.249654983651598e-5,-4.371646327544648,0.2507775115781073,0.030010908965312715,0.6622998078383837,0.22076660261279457
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,35,34,diagnostic_only_hkt_gate_failed,0.00017465606975536587,-3.7578163168946057,5.3012505909540667e-5,-4.275621666119487,0.2474543489643155,0.02993049189177073,0.6525715712176342,0.21752385707254474
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,36,35,diagnostic_only_hkt_gate_failed,0.00021729437588998644,-3.6629515141376134,6.595430323213233e-5,-4.180756863362494,0.24412725074108366,0.02985039163986796,0.6428305773036471,0.2142768591012157
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,37,36,diagnostic_only_hkt_gate_failed,0.0002696186177611241,-3.5692501221079667,8.183602543790011e-5,-4.087055471332848,0.24079887782106593,0.029770416953500217,0.6330853826026971,0.2110284608675657
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,38,37,diagnostic_only_hkt_gate_failed,0.00033364536398392696,-3.4767149053109963,0.00010126975177365901,-3.9945202545358773,0.2374715320272464,0.029690386796559873,0.6233434356920596,0.20778114523068653
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,39,38,diagnostic_only_hkt_gate_failed,0.0004117674847811361,-3.3853479504272035,0.0001249817784797945,-3.903153299652084,0.23414717910173743,0.02961012908589042,0.6136111500475411,0.20453705001584702
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,40,39,diagnostic_only_hkt_gate_failed,0.0005068147309046471,-3.2951507705493968,0.00015383100601517702,-3.8129561197742774,0.2308274685021111,0.029529479627976106,0.6038939666224049,0.20129798887413497
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,41,40,diagnostic_only_hkt_gate_failed,0.0006221220582997167,-3.2061243998018214,0.0001888296773096035,-3.723929749026702,0.22751376462410608,0.029448281124260404,0.5941964504995372,0.1980654834998457
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,42,41,diagnostic_only_hkt_gate_failed,0.0007616062798316046,-3.1182694836296623,0.00023116664348892901,-3.6360748328545434,0.2242071626797858,0.029366381950949615,0.5845223421865086,0.19484078072883618
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,43,42,diagnostic_only_hkt_gate_failed,0.0009298515927990518,-3.0315863606628137,0.00028223332362453473,-3.549391709887695,0.22090851588651228,0.029283635478896355,0.5748746412228478,0.19162488040761594
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,44,43,diagnostic_only_hkt_gate_failed,0.0011322044607050311,-2.946075138397049,0.00034365250373492824,-3.4638804876219296,0.21761845596979013,0.029199899027095026,0.5652556708280853,0.18841855694269508
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,45,44,diagnostic_only_hkt_gate_failed,0.0013748782342153547,-2.8617357633246545,0.00041731009187558505,-3.379541112549535,0.21433741160073647,0.02911503300020684,0.5556671358015889,0.18522237860052962
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,46,45,diagnostic_only_hkt_gate_failed,0.0016650677790650075,-2.778568083193821,0.0005053899105888794,-3.2963734324187017,0.21106563303423387,0.02902890020292301,0.5461101984939326,0.18203673283131086
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,47,46,diagnostic_only_hkt_gate_failed,0.0020110742066914524,-2.696571904061623,0.0006104115557855099,-3.2143772532865036,0.20780320896050175,0.02894136511209034,0.5365855315452341,0.17886184384841136
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,48,47,diagnostic_only_hkt_gate_failed,0.0024224396059740936,-2.615747041570961,0.0007352712912129503,-3.133552390795842,0.2045500846830534,0.028852293104326725,0.52709337473618,0.17569779157872667
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,49,48,diagnostic_only_hkt_gate_failed,0.002910091419933952,-2.5360933675263913,0.0008832858704116843,-3.053898716751272,0.2013060770461467,0.028761549827264855,0.5176335816566456,0.17254452721888186
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,50,49,diagnostic_only_hkt_gate_failed,0.0034864958337471413,-2.4576108494269984,0.001058239093831612,-2.975416198651879,0.19807089559621857,0.028669000727517397,0.5082056846061034,0.1694018948687011
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,51,50,diagnostic_only_hkt_gate_failed,0.004165819159562604,-2.3802995869347754,0.0012644307931794939,-2.898104936159656,0.19484415246966041,0.028574510231036677,0.4988089267158712,0.16626964223862373
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,52,51,diagnostic_only_hkt_gate_failed,0.0049640958413937905,-2.3041598422042,0.0015067278251251824,-2.821965191429081,0.19162538056860895,0.028477941492202674,0.48944231722921894,0.1631474390764063
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,53,52,diagnostic_only_hkt_gate_failed,0.005899401223142177,-2.229192066100539,0.0017906165107380578,-2.7469974153254197,0.18841404590725544,0.02837915573452719,0.4801046705181848,0.16003489017272826
