sweep_kind,sweep_value,case_id,label,pi,gamma,T_max,t,model_t,rebased_nfa_current_Y,cum_va_current_Y,cum_va_asset_current_Y,cum_va_liability_current_Y,cum_ca_current_Y,cum_ca_asset_current_Y,cum_ca_liability_current_Y,cum_ca_bond_current_Y,q_us_index,q_row_index,row_equity_asset_current_Y,us_equity_liability_current_Y
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2766760591814298,0.1646604623958862
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,2,1,-0.006252914172055382,-0.00485799125737575,-0.0022992163652583732,-0.0025587748921173767,-0.0013949229146796136,0.0029619989965672367,-0.004985021965724136,0.0006281000544772859,1.015568085951228,0.9916746839088857,0.2768344426734242,0.17190407211156108
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,3,2,-0.012000613586125725,-0.00955392771479754,-0.004305562462496813,-0.005248365252300728,-0.0024466858713281573,0.006453357386983135,-0.009929795723752305,0.0010297524654410133,1.031605335573399,0.9844140457667445,0.27700929708621774,0.17875871136657376
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,4,3,-0.017205265733618032,-0.014067238968432155,-0.006034336481189603,-0.00803290248724255,-0.003138026765185886,0.010438870868261218,-0.014820342635283718,0.001243445001836612,1.0480283772864845,0.9781068685293652,0.2771850459889639,0.18519531875854078
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,5,4,-0.021842150919200245,-0.018379930287556082,-0.007502007693870898,-0.010877922593685186,-0.0034622206316441287,0.014879305572916121,-0.01964209932733982,0.0013005731227795723,1.0647685456576954,0.9726526202629229,0.2773506748873578,0.1911914628266405
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,6,5,-0.025897781417858007,-0.0224767452274211,-0.008725706078487404,-0.013751039148933691,-0.0034210361904369125,0.01973211485900119,-0.024380563256508794,0.001227412207070689,1.0817696780144967,0.9679614402553927,0.2774985436621107,0.1967312235085316
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,7,6,-0.029368238127705962,-0.02634531021989639,-0.00972284297314756,-0.016622467246748828,-0.003022927907809538,0.024952422020344003,-0.029021718853588716,0.001046368925435171,1.0989864040711266,0.9639535655887875,0.2776235595426514,0.20180483941492944
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,8,7,-0.032257664355884744,-0.029976209404048295,-0.010510819056287118,-0.019465390347761177,-0.002281454951836406,0.030494076041132186,-0.03355232174227856,0.0007767907493099628,1.116382752921186,0.9605584982265266,0.2777225805962676,0.20640820178047656
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,9,8,-0.034576888949414256,-0.0333629686779353,-0.011106793339339845,-0.022256175338595446,-0.0012139202714789594,0.03631066320727273,-0.03796008888084046,0.00043550540208876705,1.1339309674364149,0.9577140861667587,0.27779397046124776,0.21054225513954308
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,10,9,-0.03634217244512565,-0.036501954480736225,-0.011527500298087854,-0.024974454182648365,0.00015978203561060834,0.042356411453875385,-0.04223382218456734,3.7192766302558605e-5,1.1516104790561579,0.9553656054790092,0.2778372568200915,0.2142123523001329
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,11,10,-0.03757407652302744,-0.03939219900500273,-0.011789105560159061,-0.02760309344484367,0.0018181224819753144,0.04858695521132988,-0.046363484483397346,-0.0004053482459572177,1.1694070087386437,0.9534648940096491,0.2778528638612579,0.2174275995291442
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,12,11,-0.038296456130097516,-0.042035170228388215,-0.011907094786300736,-0.03012807544208748,0.003738714098290711,0.05495994965352118,-0.05034023917135992,-0.000880996383870553,1.1873117774709268,0.9519695575146496,0.27784189845190216,0.2202002184020222
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,13,12,-0.03853557157244623,-0.044434504061379075,-0.011896190981350545,-0.03253831308002853,0.005898932488932891,0.06143553608136823,-0.05415646161942182,-0.0013801419730135195,1.2053208109913562,0.950842257443437,0.2778059762968251,0.22254494241407097
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,14,13,-0.03831931385063302,-0.046595712593758554,-0.011770295545772474,-0.034825417047986085,0.00827639874312556,0.06797666733959722,-0.05780572858436027,-0.0018945400121113958,1.223434319215239,0.9500500838143846,0.2777470780809946,0.22447845921879428
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,15,14,-0.037676540214618616,-0.048525884710795816,-0.011542450465237096,-0.03698343424555872,0.010849344496177225,0.07454930997811524,-0.06128278962924308,-0.0024171758526949265,1.241656147945958,0.9495640065055663,0.27766743020823415,0.2260189066816796
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,16,15,-0.03663651593555323,-0.05023339336580364,-0.011224819436617833,-0.03900857392918581,0.013596877430250415,0.08112254247057876,-0.06458352370842663,-0.0029421413319017167,1.2599933052802397,0.949358395542283,0.2775694065347791,0.2271854274434029
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,17,16,-0.035228447012570496,-0.051727613620304376,-0.01082868348006519,-0.0408989301402392,0.01649916660773391,0.08766856450098683,-0.06770488447468247,-0.0034645134185704394,1.2784555389523922,0.9494106085856312,0.2774554458536079,0.2279977794086026
