sweep_kind,sweep_value,case_id,label,pi,gamma,T_max,t,model_t,bound_status,bubble_share_upper,log10_bubble_share_upper,bubble_share_lower,log10_bubble_share_lower,a_t,dividend_yield_d_over_q,switch_term_raw,switch_contribution_weighted
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,1,0,diagnostic_only_hkt_gate_failed,6.498092124936574e-11,-10.187214135855303,7.42925094530979e-12,-11.129054971800361,0.0,0.0,0.0,0.0
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,2,1,diagnostic_only_hkt_gate_failed,9.190569114725099e-11,-10.03665759462783,1.0507552520144188e-11,-10.978498430572888,0.4143488485575776,0.03487142829733996,0.8854473139405543,0.3794774202602376
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,3,2,diagnostic_only_hkt_gate_failed,1.299889344204839e-10,-9.886093616344436,1.48615993026202e-11,-10.827934452289494,0.4143730687168901,0.03458667123930358,0.8861682607810348,0.3797863974775864
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,4,3,diagnostic_only_hkt_gate_failed,1.8383844715607306e-10,-9.735563657032621,2.1018199358505867e-11,-10.677404492977681,0.41426228298324774,0.03431212550234647,0.8865503674554359,0.37995015748090116
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,5,4,diagnostic_only_hkt_gate_failed,2.59943647364846e-10,-9.585120791610299,2.971928607323963e-11,-10.526961627555357,0.4139786937177603,0.034048797348443016,0.886503091528407,0.37992989636931734
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,6,5,diagnostic_only_hkt_gate_failed,3.6743051455471085e-10,-9.434824779025252,4.2008230186762575e-11,-10.37666561497031,0.4135006501582287,0.03379728154900961,0.8859745267548441,0.379703368609219
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,7,6,diagnostic_only_hkt_gate_failed,5.191120678216023e-10,-9.28473887494043,5.934994066620749e-11,-10.22657971088549,0.41281697425352415,0.03355785235351851,0.8849379511000132,0.3792591219000057
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,8,7,diagnostic_only_hkt_gate_failed,7.329464803517629e-10,-9.134927736322709,8.379757053795181e-11,-10.076768572267767,0.4119234088074561,0.033330535327955824,0.883383371452167,0.37859287347950027
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,9,8,diagnostic_only_hkt_gate_failed,1.0340557980773022e-9,-8.985456025900435,1.1822331643911326e-10,-9.927296861845495,0.4108203338134953,0.03311516514790357,0.881312060219714,0.3777051686655918
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,10,9,diagnostic_only_hkt_gate_failed,1.4575132773412124e-9,-8.836387480308392,1.6663709417007474e-10,-9.77822831625345,0.409511246928141,0.03291143192216543,0.8787329016806095,0.37659981500597556
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,11,10,diagnostic_only_hkt_gate_failed,2.05218126424056e-9,-8.687784281677827,2.346253223896088e-10,-9.629625117622885,0.40800176310169844,0.03271891883937194,0.8756599699454282,0.37528284426232644
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,12,11,diagnostic_only_hkt_gate_failed,2.8859803133238044e-9,-8.539706635766432,3.299533395137206e-10,-9.48154747171149,0.4062989286630131,0.032537132283683545,0.8721108582184355,0.37376179637932955
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,13,12,diagnostic_only_hkt_gate_failed,4.053101786635963e-9,-8.39221248956715,4.633900181908537e-10,-9.334053325512208,0.40441075357439993,0.03236552600658157,0.8681055309915761,0.3720452275678184
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,14,13,diagnostic_only_hkt_gate_failed,5.683850671990209e-9,-8.245357340523341,6.498330920215309e-10,-9.1871981764684,0.40234589980720814,0.03220352048095358,0.8636655517612605,0.37014237932625454
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,15,14,diagnostic_only_hkt_gate_failed,7.958035808614182e-9,-8.09919411099906,9.098400563924468e-10,-9.041034946944118,0.4001134561523703,0.03205051813924499,0.8588135220306257,0.36806293801312534
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,16,15,diagnostic_only_hkt_gate_failed,1.1123127969550702e-8,-7.953773066271124,1.2717041770686329e-9,-8.895613902216182,0.3977227844979591,0.0319059153659303,0.8535726946414002,0.3658168691320287
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,17,16,diagnostic_only_hkt_gate_failed,1.551880353664784e-8,-7.809141764873047,1.7742605618390368e-9,-8.750982600818105,0.395183403367309,0.03176911191634043,0.8479666800522598,0.3634142914509686
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,18,17,diagnostic_only_hkt_gate_failed,2.1610010042856465e-8,-7.665345031286303,2.4706665349194703e-9,-8.607185867231362,0.3925049048932244,0.03163951817014387,0.8420192356871878,0.36086538672308055
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,19,18,diagnostic_only_hkt_gate_failed,3.003136345559927e-8,-7.5224249499255285,3.433477566211489e-9,-8.464265785870587,0.38969687640319567,0.03151656049107198,0.8357540704616216,0.3581803159121236
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,20,19,diagnostic_only_hkt_gate_failed,4.164655900718823e-8,-7.380420875792015,4.76143969528707e-9,-8.322261711737074,0.38676883814355645,0.03139968523230899,0.8291946901262437,0.3553691529112474
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,21,20,diagnostic_only_hkt_gate_failed,5.762760100163004e-8,-7.239369459430271,6.588547853520531e-9,-8.18121029537533,0.3837301898503422,0.03128836171070808,0.8223642656591462,0.35244182813963415
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,22,21,diagnostic_only_hkt_gate_failed,7.956009839743174e-8,-7.09930468842549,9.096084279258027e-9,-8.041145524370549,0.380590151500169,0.03118208412834528,0.815285490534255,0.34940806737182367
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,23,22,diagnostic_only_hkt_gate_failed,1.095827152695511e-7,-6.960257942704254,1.252856185097364e-8,-7.902098778649313,0.37735771419167324,0.031080372676962738,0.8079804635343243,0.34627734151471046
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,24,23,diagnostic_only_hkt_gate_failed,1.5057120830042357e-7,-6.8222580644677695,1.721476504325921e-8,-7.764098900412828,0.37404158977124535,0.03098277415815322,0.8004705697638814,0.3430588156130921
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,25,24,diagnostic_only_hkt_gate_failed,2.0638045219674953e-7,-6.685331440306085,2.3595420626498564e-8,-7.627172276251143,0.37065016961924147,0.03088886195792426,0.7927763845430732,0.3397613076613172
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,26,25,diagnostic_only_hkt_gate_failed,2.821615962324657e-7,-6.549502096461523,3.2259458087640234e-8,-7.491342932406582,0.367191481698429,0.030798235813293277,0.7849175737319833,0.3363932458851358
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,27,26,diagnostic_only_hkt_gate_failed,3.847761945471789e-7,-6.414791804868652,4.3991357033896146e-8,-7.35663264081371,0.3636731563928776,0.030710521067566592,0.7769128157590588,0.332962635325311
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,28,27,diagnostic_only_hkt_gate_failed,5.23335025728574e-7,-6.281220197858086,5.983275028815756e-8,-7.223061033803145,0.3601024001613638,0.03062536778957444,0.7687797422008417,0.3294770323717893
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,29,28,diagnostic_only_hkt_gate_failed,7.098966213988151e-7,-6.14880489075265,8.116228647113634e-8,-7.090645726697708,0.3564859726530136,0.030542449681758135,0.7605348869329296,0.3259435229712556
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,30,29,diagnostic_only_hkt_gate_failed,9.603695670461893e-7,-6.017561610665529,1.0979878980854412e-7,-6.9594024466105875,0.35283017005184575,0.030461462745994507,0.7521936503803195,0.32236870730585127
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,31,30,diagnostic_only_hkt_gate_failed,1.2956737853136904e-6,-5.887504327995809,1.4813402933170665e-7,-6.829345163940866,0.34914082013114595,0.03038212417489263,0.743770290564591,0.31875869595625334
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,32,31,diagnostic_only_hkt_gate_failed,1.743229669339742e-6,-5.758645391113751,1.9930297108492873e-7,-6.700486227058809,0.34542327636712666,0.03030417065890692,0.7352779133191791,0.3151191057082197
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,33,32,diagnostic_only_hkt_gate_failed,2.3388606064479133e-6,-5.630995660899031,2.674012931383397e-7,-6.572836496844089,0.3416824229097528,0.030227357248852935,0.7267284865420994,0.3114550656608998
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,34,33,diagnostic_only_hkt_gate_failed,3.129214655072661e-6,-5.504564644486895,3.577622552481551e-7,-6.446405480431953,0.33792268185878716,0.03015145577330405,0.7181328608661269,0.307771226085483
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,35,34,diagnostic_only_hkt_gate_failed,4.174835551469554e-6,-5.3793606268859895,4.773078062135182e-7,-6.321201462831048,0.3341480248732293,0.030076253428404472,0.7095008000379246,0.3040717714448249
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,36,35,diagnostic_only_hkt_gate_failed,5.554042540019259e-6,-5.255390798185892,6.34992163813493e-7,-6.19723163413095,0.33036199187875176,0.030001551501640866,0.700841027546592,0.30036044037711096
