sweep_kind,sweep_value,case_id,label,pi,gamma,T_max,t,model_t,rebased_nfa_current_Y,cum_va_current_Y,cum_va_asset_current_Y,cum_va_liability_current_Y,cum_ca_current_Y,cum_ca_asset_current_Y,cum_ca_liability_current_Y,cum_ca_bond_current_Y,q_us_index,q_row_index,row_equity_asset_current_Y,us_equity_liability_current_Y
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.27450950412938246,0.16451395761803955
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,2,1,-0.006519654533298468,-0.00494767802350599,-0.0023834554871593867,-0.0025642225363466035,-0.001571976509792455,0.0028099592032806418,-0.004919810917378539,0.0005378752043054419,1.015595196173358,0.99131264558346,0.27478568982478113,0.17190790525645272
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,3,2,-0.012525185244632047,-0.00973366968611347,-0.004466837552013372,-0.005266832134100099,-0.0027915155585185834,0.006146632259097226,-0.009811724264426967,0.000873576446811158,1.0316720160501112,0.9837395032892736,0.2750691507515362,0.17892120758892738
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,4,3,-0.017973000399971063,-0.014334780788237387,-0.006264839037009734,-0.00806994175122765,-0.003638219611733642,0.009976548713242828,-0.014661565405217188,0.0010467970802407172,1.0481359483291404,0.977164310799625,0.27534390894376815,0.18552109165451752
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,5,4,-0.022834473074324846,-0.018731071317302582,-0.007793787484613868,-0.010937283832688714,-0.004103401757022256,0.014262358368446554,-0.019454199775741855,0.001088439650273045,1.0649098724603698,0.9714811610716783,0.2755992764982825,0.19168191920770408
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,6,5,-0.02709361000141521,-0.02290584628827905,-0.009070971245219673,-0.013834875043059379,-0.004187763713136183,0.01896326116641088,-0.02417436618388589,0.0010233413043388238,1.081931087090826,0.9665950036302006,0.27582831806048475,0.19738510182300342
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,7,6,-0.030745073985248658,-0.026845700890766756,-0.010114155461617442,-0.016731545429149317,-0.0038993730944819048,0.024035880726358858,-0.028807206514908368,0.0008719526940676093,1.0991491113332452,0.9624212966044492,0.27602683446578297,0.2026187370736377
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,8,7,-0.03379244015050087,-0.030540529278652532,-0.010941219056694247,-0.019599310221958283,-0.003251910871848353,0.02943529792149784,-0.03333860914542854,0.0006514003520823533,1.1165239560185292,0.9588852532690225,0.2761926606014945,0.20737706597732405
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,9,8,-0.03624662720320602,-0.033983456787301115,-0.011569873375359347,-0.022413583411941763,-0.0022631704159049052,0.035116080128060785,-0.03775543401342657,0.0003761834694608802,1.1340246877589586,0.9559209300740622,0.27632515884816056,0.2116598226113504
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,10,9,-0.03812449394182035,-0.037170699113984434,-0.012017444628960776,-0.025153254485023653,-0.0009537948278359269,0.04103322422482509,-0.04204565667952775,5.863762686673521e-5,1.1516282290078959,0.953470273839987,0.2764248442998144,0.21547153478140282
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,11,10,-0.039447578181590955,-0.040101347005380504,-0.012300703002423176,-0.027800644002957325,0.0006537688237895927,0.04714296037848627,-0.04619845762913909,-0.0002907339255575783,1.1693183081060916,0.9514822110420953,0.2764930954009972,0.21882081136226433
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,12,11,-0.04024098381416314,-0.042777101516254086,-0.012435733350397684,-0.0303413681658564,0.0025361177020909744,0.05340340469964576,-0.05020426976017447,-0.0006630172373803115,1.1870845584311438,0.9499118006479899,0.2765319275248336,0.22171965002336738
