t,NFA_change_current_Y,cum_CA_current_Y,cum_VA_current_Y,cum_RES_current_Y,NFA_over_Y,late_VA_asset_finalY,late_VA_liability_finalY,late_CA_finalY
1,0.0,0.0,0.0,0.0,-0.02183845980331585,0.0,0.0,0.0
2,-0.0006751896909537607,-0.00019077664619589096,-0.0004844130447578727,3.006534292683754e-18,-0.02249510918540582,0.0,0.0,0.0
3,-0.0012875630727904102,-0.0003365511985079044,-0.0009510118742824923,-1.3513335264088614e-17,-0.023081566759396165,0.0,0.0,0.0
4,-0.001843211593179245,-0.0004419911123673125,-0.0014012204808119212,-1.1297882201200442e-17,-0.02360475009820205,0.0,0.0,0.0
5,-0.002347726022997437,-0.0005113435992598009,-0.001836382423737647,1.133146459918388e-17,-0.02407099574369299,0.0,0.0,0.0
6,-0.0028062211466658407,-0.0005484623583141239,-0.0022577587883517,-1.680320771659767e-17,-0.024486090032655786,0.0,0.0,0.0
7,-0.0032233555008875157,-0.0005568325370101941,-0.0026665229638772954,-2.6399890373670126e-17,-0.024855294823973164,0.0,0.0,0.0
8,-0.0036033618076258575,-0.0005395991284755639,-0.0030637626791502944,9.557611629474053e-19,-0.025183383809894495,0.0,0.0,0.0
9,-0.003950080046923694,-0.0004995954694278028,-0.0034504845774958838,-7.467568512800166e-18,-0.025474681174310832,0.0,0.0,0.0
10,-0.004266980221159386,-0.00043936719599257945,-0.003827613025166816,9.559978219221487e-18,-0.025733089556382194,0.0,0.0,0.0
11,-0.004557200384749631,-0.00036120059956785966,-0.004195999785181753,-1.8538795778357912e-17,-0.025962133048986133,0.0,0.0,0.0
12,-0.0048235654979958634,-0.000267143076903599,-0.004556422421092245,-1.8116207963786168e-17,-0.026164980520855956,0.0,0.0,0.0
13,-0.0050686237390526355,-0.0001590287337236993,-0.004909595005328947,1.1045735007465785e-17,-0.026344486188362347,0.0,0.0,0.0
14,-0.005294661865551849,-3.8495469021257775e-5,-0.0052561663965305875,-3.1832132891157156e-18,-0.026503208736099317,0.0,0.0,0.0
15,-0.005503738397461095,9.29925952449878e-5,-0.005596730992706079,-2.7567658434900136e-18,-0.02664344807956079,0.0,0.0,0.0
16,-0.005697696035893917,0.0002341310477825514,-0.005931827083676438,-3.00682775801373e-17,-0.026767260895404082,-1.7605229168169557e-5,-0.0003185310425008443,0.00013443574022380708
17,-0.005878190686229267,0.0003837560989901081,-0.006261946785219364,-1.115996719197537e-17,-0.02687649260550257,-3.2400910147755544e-5,-0.0006376896893213532,0.00027788195990777523
18,-0.006046700943978926,0.0005408332838905726,-0.006587534227869507,8.083746766498303e-18,-0.02697278940800848,-4.470128700328702e-5,-0.0009575674594716128,0.00042945962556011644
19,-0.006204553873771476,0.0007044411390193486,-0.006908995012790788,-3.812271831345349e-17,-0.027057626486252984,-5.47874450074194e-5,-0.0012782526136288859,0.0005883842503784672
20,-0.006352931733816554,0.0008737623717170227,-0.007226694105533568,-1.094136371516569e-17,-0.02713231679120765,-6.290907420774961e-5,-0.0015998268678343605,0.0007539587645656528
21,-0.006492893880684553,0.0010480702173890715,-0.007540964098073633,7.590833271912851e-18,-0.027198034922047476,-6.928945386381127e-5,-0.0019223686256708461,0.00092556173844683
22,-0.006625383937489432,0.0012267208411719174,-0.007852104778661325,-2.4263945434816535e-17,-0.02725582596032106,-7.412717223737431e-5,-0.0022459510725850035,0.0011026413382238301
23,-0.0067512437929980185,0.0014091435711966905,-0.008160387364194676,-3.424042219952554e-17,-0.02730662103247761,-7.7599224116049e-5,-0.0025706432596186435,0.0012847071157085907
24,-0.00687122372757844,0.0015948331652793765,-0.008466056892857801,-1.5923647594002186e-17,-0.0273512488080109,-7.986325902685028e-5,-0.002896510217830376,0.001471323661075669
25,-0.006985991704255937,0.0017833427776787676,-0.008769334481934685,-1.9981728223219974e-17,-0.02739044602034452,-8.105960818700458e-5,-0.0032236131133001884,0.0016621048361547387
26,-0.0070961420201134,0.001974277550778177,-0.009070419570891565,-1.4155381274958072e-17,-0.027424867218964727,-8.131315259607312e-5,-0.003552009512147825,0.0018567085139443963
27,-0.007202203101812371,0.002167288873202257,-0.009369491975014639,9.81698733008712e-18,-0.027455093546011805,-8.07349912654479e-5,-0.0038817536389819172,0.002054831867760462
28,-0.00730464437191019,0.002362069291069907,-0.009666713662980069,-3.033351309126738e-17,-0.02748164047577764,-7.942389774785226e-5,-0.004212896561879331,0.002256207203501763
29,-0.007403882645116998,0.0025583478777153295,-0.00996223052283228,-4.757945965643241e-17,-0.027504964989747246,-7.746767100625521e-5,-0.004545486462928171,0.0024605981498111336
30,-0.007500287762315066,0.0027558861371694064,-0.010256173899484439,-3.522958692154815e-17,-0.027525471901752165,-7.4944317926753e-5,-0.004879568849540385,0.002667796287715993
