switch_index,G_N_US,G_N_W,nu_b_eff,bgp_converged,bgp_residual_norm,G_b,G_W,level_gap,log_gap
0,1.0060857159247019,1.003851129486325,0.6335190288619382,true,9.772170433963723e-10,1.0038511293513546,1.003851129486325,-1.3497047923749506e-10,-1.3445259489097694e-10
1,1.006283895754788,1.0038075454689386,0.6066687381168122,true,1.2756434797367433e-11,1.003807545536071,1.0038075454689386,6.713252176382412e-11,6.687784701031596e-11
2,1.0064776428055562,1.0037652006645095,0.5820464228722784,true,5.528667801346643e-12,1.0037652006354578,1.0037652006645095,-2.905164997457632e-11,-2.8942732759051903e-11
3,1.0066679265081584,1.0037238648858857,0.5592933580601621,true,1.871699323308107e-11,1.0037238649840596,1.0037238648858857,9.817391344313364e-11,9.780963625832806e-11
4,1.0068555508666321,1.003683349275245,0.5381289827329049,true,2.098213269796645e-11,1.0036833493850654,1.003683349275245,1.0982037501605646e-10,1.0941728946500806e-10
5,1.0070411870612896,1.0036434979154238,0.5183309798268029,true,1.1003649380558755e-11,1.003643497857966,1.0036434979154238,-5.7457816282635576e-11,-5.724927346420494e-11
6,1.0072253979302799,1.0036041815448158,0.4997211267552764,true,9.478629200976307e-10,1.003604181674253,1.0036041815448158,1.2943712768276328e-10,1.2897233021141874e-10
7,1.0074086550720036,1.0035652932967727,0.4821550114219189,true,3.044301616350609e-11,1.0035652934549197,1.0035652932967727,1.5814705101035997e-10,1.5758510555491378e-10
8,1.0075913565450734,1.0035267440163158,0.46551437701795284,true,3.421214700427555e-12,1.0035267439985909,1.0035267440163158,-1.772493263274555e-11,-1.7662659963085803e-11
9,1.007773836086863,1.0034884600908403,0.4497017893421844,true,1.5346947324079707e-10,1.0034884602682443,1.0034884600908403,1.7740409141708824e-10,1.7678727492337343e-10
10,1.007956373680234,1.003450380738078,0.4346360010160186,true,1.414084127571158e-11,1.0034503808109307,1.003450380738078,7.285283487590277e-11,7.260234991326997e-11
11,1.0081392039355388,1.0034124558618187,0.420248936674653,true,1.6298045552032292e-10,1.0034124560491644,1.0034124558618187,1.8734569451339667e-10,1.8670855530047992e-10
12,1.0083225220315024,1.0033746446406826,0.4064829253394161,true,5.000402869548282e-12,1.0033746446663014,1.0033746446406826,2.5618840382435337e-11,2.553268013683052e-11
13,1.0085064900229106,1.0033369138891568,0.3932888897387038,true,1.6460117990835244e-10,1.0033369140773176,1.0033369138891568,1.8816082025807646e-10,1.875350204988413e-10
14,1.008691241105189,1.0032992370644318,0.3806245463429091,true,9.725073940591855e-10,1.0032992372550165,1.0032992370644318,1.905846591654381e-10,1.8995793479859024e-10
15,1.0088768834742217,1.0032615933631912,0.3684533677552617,true,7.606883178912227e-11,1.0032615935223583,1.0032615933631912,1.5916712392538557e-10,1.5864964203471388e-10
16,1.0090635050516834,1.0032239663877605,0.3567433860782322,true,2.1689419704706836e-10,1.0032239665366163,1.0032239663877605,1.4885581656187696e-10,1.4837743013418336e-10
17,1.0092511749849762,1.003186344016606,0.34546651396986006,true,2.220446049250313e-16,1.0031863441115405,1.003186344016606,9.493450470188236e-11,9.463302971107757e-11
18,1.0094399472751554,1.0031487173729903,0.3345978433712299,true,8.566089504391527e-11,1.003148717550856,1.0031487173729903,1.7786572215072738e-10,1.7730744086494332e-10
19,1.0096298625523712,1.0031110804890147,0.3241150944505287,true,2.0482544343793851e-10,1.0031110807116406,1.0031110804890147,2.2262591770072504e-10,2.2193550339513757e-10
20,1.0098209502349795,1.0030734297688033,0.3139982202051799,true,3.130903671479561e-11,1.0030734299135888,1.0030734297688033,1.4478551690899621e-10,1.443418843651012e-10
21,1.0100132302731042,1.0030357635490545,0.3042290761615216,true,1.9824162137384407e-10,1.0030357637450171,1.0030357635490545,1.9596257949672236e-10,1.953695751184814e-10
22,1.01020671448554,1.0029980818376365,0.2947910741188557,true,9.805806800414096e-10,1.0029980820749116,1.0029980818376365,2.3727508846604906e-10,2.3656583419615074e-10
23,1.0104014078205186,1.0029603860737764,0.2856690051510597,true,5.6442792981753505e-11,1.0029603863035206,1.0029603860737764,2.297442236454117e-10,2.2906617748452707e-10
24,1.0105973097590768,1.002922678609736,0.2768488090114457,true,2.1267896424119786e-10,1.002922678796414,1.002922678609736,1.866780063863871e-10,1.861339225112113e-10
25,1.010794414912319,1.0028849627959189,0.26831746052186833,true,9.995236834264672e-10,1.0028849630123913,1.0028849627959189,2.1647239556443765e-10,2.1584966539839323e-10
26,1.01099271402134,1.002847242723316,0.26006279866621307,true,5.893460209533058e-11,1.002847242939578,1.002847242723316,2.1626211932357364e-10,2.156481356332951e-10
27,1.0111921946965006,1.0028095228823966,0.2520734372890173,true,1.65790378377128e-10,1.002809523125425,1.0028095228823966,2.4302848622426154e-10,2.4234765583219797e-10
28,1.011392841949758,1.002771808273378,0.24433867081494356,true,3.9969098031433e-10,1.0027718084606465,1.002771808273378,1.8726842299088275e-10,1.8675072425977657e-10
