t,Y_US,q_US,q_W,NFA,NFA_over_Y,asset_position,liability_position,foreign_liability_exposure_Y,VA_asset,VA_liability,VA,CA_asset,CA_liability,CA_bond,CA,RES,cum_VA_current_Y,cum_CA_current_Y,NFA_change_current_Y
1,2.0177310469994305,0.7371662945575957,1.7639864819715294,-0.044064138363799465,-0.02183845980331585,0.4824449102118248,0.34838310105104775,0.1726608219510368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0194455059746317,0.738662145340087,1.7629944778475144,-0.04542764715087644,-0.02249510918540582,0.48282236837720904,0.35026119456455723,0.17344424176254905,-0.00027131009530486093,-0.0007069356509669132,-0.0009782457462717742,0.0006487682606891351,-0.0011711578625425902,0.00013712656104825083,-0.0003852630408052043,6.071532165918825e-18,-0.0004844130447578727,-0.00019077664619589096,-0.0006751896909537607
3,2.021846880336199,0.7401491382446024,1.7621201506497235,-0.04666739374575685,-0.023081566759396165,0.48334999851991844,0.35212355879572665,0.1741593600486573,-0.00023944756133860364,-0.0007051070835703608,-0.0009445546449089643,0.000767077704048037,-0.0011572571475990604,9.498749357961245e-5,-0.000295191949971411,-3.3393426912553537e-17,-0.0009510118742824923,-0.0003365511985079044,-0.0012875630727904102
4,2.0248631940075823,0.7416275942195906,1.7613505241612197,-0.047796389677596196,-0.02360475009820205,0.48401156379371774,0.35397276013207907,0.17481317314652794,-0.00021110873849437592,-0.0007033706486105528,-0.0009144793871049287,0.0008726740122936226,-0.0011458306877418474,5.864013071379959e-5,-0.0002145165447344252,4.445228907190568e-18,-0.0014012204808119212,-0.0004419911123673125,-0.001843211593179245
5,2.0284302929692015,0.7430979626287798,1.760674024536477,-0.048826336948439575,-0.02407099574369299,0.48479265356640283,0.3558111013206378,0.17541204277707967,-0.0001858991931396275,-0.0007017947663603537,-0.0008876939594999811,0.0009669889658247272,-0.0011365464221983865,2.7304145030215832e-5,-0.0001422533113434435,4.586175189613684e-17,-0.001836382423737647,-0.0005113435992598009,-0.002347726022997437
6,2.032490998701324,0.744560782568934,1.7600803277615344,-0.049767757584763095,-0.024486090032655786,0.48568047761463656,0.35764064947729884,0.17596173843122362,-0.00016347139273208234,-0.0007004292840459073,-0.0008639006767779896,0.001051295440965826,-0.0011291188726151346,3.0347210383530054e-7,-7.751995954547331e-5,-5.713745448998608e-17,-0.0022577587883517,-0.0005484623583141239,-0.0028062211466658407
7,2.036994358465777,0.7460166391774777,1.7595602372382488,-0.050630095334436964,-0.024855294823973164,0.48666367725121296,0.3594632581846656,0.17646747851349284,-0.00014351493495382375,-0.0006993028846200318,-0.0008428178195738556,0.0011267145715302411,-0.0011233058227467527,-2.29286788834826e-5,-1.9519930099994162e-5,-1.962405932198763e-17,-0.0026665229638772954,-0.0005568325370101941,-0.0032233555008875157
8,2.0418949692992503,0.7474661422256614,1.7591055601069745,-0.05142182471135576,-0.025183383809894495,0.48773216492807264,0.3612805899307077,0.17693397327615443,-0.00012575576555157243,-0.0006984336019947137,-0.0008241893675462861,0.0011942434424112548,-0.0011188981440473772,-4.288530773643995e-5,3.245999062743759e-5,5.572799166575493e-17,-0.0030637626791502944,-0.0005395991284755639,-0.0036033618076258575
9,2.0471523770878997,0.7489099143269489,1.7587089932359765,-0.05215055412154679,-0.025474681174310832,0.4888769850843369,0.3630941370673034,0.17736546684610233,-0.00010995270716945255,-0.0006978333960726038,-0.0008077861032420563,0.0012547728634336906,-0.001115713740523108,-6.0002429859540296e-5,7.905669305104221e-5,-1.723881454251952e-17,-0.0034504845774958838,-0.0004995954694278028,-0.003950080046923694
10,2.0527305472863,0.7503485659158848,1.7583640385502375,-0.05282309900843979,-0.025733089556382194,0.49009018223738327,0.3649052369337447,0.17776577516038222,-9.588874987471232e-5,-0.0006975017251503003,-0.0007933904750250125,0.001309085902921062,-0.0011135981412909942,-7.464217349809066e-5,0.000120845588131977,3.491130995403324e-17,-0.003827613025166816,-0.00043936719599257945,-0.004266980221159386
11,2.058597382902405,0.7517827014216844,1.758064901170444,-0.05344557914920689,-0.025962133048986133,0.49136469746145556,0.3667150910398569,0.1781383256801907,-8.33753931284494e-5,-0.0006974406033549129,-0.0007808159964833623,0.0013578906172007521,-0.0011124135027572417,-8.714125872719136e-5,0.0001583358557163191,-5.778797579347739e-17,-0.004195999785181753,-0.00036120059956785966,-0.004557200384749631
12,2.0647243079523863,0.7532128970792861,1.7578064281240524,-0.05402347129851198,-0.026164980520855956,0.4926942620693559,0.36852477592255023,0.17848619038539873,-7.224109312320477e-5,-0.0006976408605710094,-0.0007698819536942142,0.001401805701023589,-0.0011120440221223421,-9.777187451212588e-5,0.0001919898043891209,7.589415207398531e-19,-0.004556422421092245,-0.000267143076903599,-0.0048235654979958634
13,2.071085882830057,0.7546397133868548,1.7575840229220554,-0.05456169343512868,-0.026344486188362347,0.4940733185879355,0.3703352596294927,0.17881212107121516,-6.233778937493473e-5,-0.0006980989864463813,-0.000760436775821316,0.0014413943079545106,-0.0011123847204960922,-0.00010679494825385771,0.00022221463920456068,6.028164079019405e-17,-0.004909595005328947,-0.0001590287337236993,-0.0050686237390526355
14,2.0776594753406608,0.7560636756916893,1.7573936009535682,-0.055064642757488125,-0.026503208736099317,0.49549693497906017,0.37214740951123537,0.1791185773839174,-5.352939755681792e-5,-0.0006988016142123946,-0.0007523310117692125,0.0014771457886814826,-0.0011133482675302832,-0.00011441583174140457,0.0002493816894097948,-2.949029909160572e-17,-0.0052561663965305875,-3.8495469021257775e-5,-0.005294661865551849
15,2.0844249531539836,0.7574852896372546,1.7572315181124927,-0.05553626801509909,-0.02664344807956079,0.49696074407492435,0.37396200636314475,0.1794077574235981,-4.5699239443034265e-5,-0.0006997425801248304,-0.0007454418195678646,0.0015095083353072198,-0.0011148542717845183,-0.00012083750156580142,0.00027381656195690014,8.673617379884035e-19,-0.005596730992706079,9.29925952449878e-5,-0.005503738397461095
16,2.091364423404798,0.7589050245070403,1.7570945380542116,-0.05598009714864255,-0.026767260895404082,0.4984608744783565,0.37577975001747976,0.17968162115223332,-3.8739182051507864e-5,-0.0007009072092516116,-0.0007396463913031194,0.0015388695854836975,-0.0011168364450833972,-0.0001262158826405846,0.0002958172577597158,-5.713745448998608e-17,-0.005931827083676438,0.0002341310477825514,-0.005697696035893917
17,2.0984619867454697,0.7603233288543727,1.7569797734994093,-0.05639929806969285,-0.02687649260550257,0.4999939036275013,0.37760127127563264,0.17994191634667592,-3.255695075418365e-5,-0.0007022882124617124,-0.0007348451632158961,0.0015655860998989456,-0.0011192330456911983,-0.00013070881204219065,0.0003156442421655566,3.946495907847236e-17,-0.006261946785219364,0.0003837560989901081,-0.005878190686229267
18,2.105703530764603,0.761740615490869,1.7568846628308923,-0.05679669789101355,-0.02697278940800848,0.5015568016213814,0.3794271357367258,0.18019019780954246,-2.7066193444963293e-5,-0.0007038705974066959,-0.0007309367908516592,0.0015899641873250217,-0.0011219938636864801,-0.00013443335410762147,0.0003335369695309201,4.0440741033709315e-17,-0.006587534227869507,0.0005408332838905726,-0.006046700943978926
19,2.1130765323008123,0.7631572778154737,1.756806920481925,-0.05717483554786207,-0.027057626486252984,0.503146895449295,0.38125785415438684,0.18042784931185443,-2.219394632072161e-5,-0.0007056471943333476,-0.0007278411406540692,0.0016122877742344272,-0.001125071223327645,-0.00013751306710113598,0.0003497034838056462,-9.75781955236954e-17,-0.006908995012790788,0.0007044411390193486,-0.006204553873771476
