switch_index,G_N_US,G_N_W,nu_b_eff,bgp_converged,bgp_residual_norm,G_b,G_W,level_gap,log_gap
0,1.0230443623253431,1.038559243507382,1.6606529874949896,true,3.983069082891255e-10,1.0385592431074002,1.038559243507382,-3.9998182543854455e-10,-3.851315238945219e-10
1,1.0246991023647525,1.0381619736303906,1.5349727576454097,true,6.809869959600867e-10,1.0381619740455925,1.0381619736303906,4.152018728831308e-10,3.999393038967014e-10
2,1.0262784611563047,1.0378012706572493,1.430438679305076,true,4.6075370602194354e-10,1.0378012711222522,1.0378012706572493,4.6500292505413654e-10,4.4806554994059056e-10
3,1.0277964870128828,1.037470411231295,1.3416936804693127,true,8.567976397810817e-10,1.0374704117549352,1.037470411231295,5.236402422781339e-10,5.047279538761273e-10
4,1.029264590114395,1.0371642691672611,1.2650679759521943,true,6.496683607748466e-10,1.0371642698230565,1.0371642691672611,6.557954179697845e-10,6.322966039640221e-10
5,1.030692374351582,1.036878824249098,1.1979533876790773,true,5.411222095408341e-10,1.036878824794646,1.036878824249098,5.455480511784572e-10,5.261445376603113e-10
6,1.032088128338275,1.0366108585816056,1.1384414670294676,true,6.767421761866288e-10,1.0366108592625407,1.0366108585816056,6.809350860947916e-10,6.568859275968286e-10
7,1.0334591306837708,1.036357758375333,1.0851025309065878,true,9.386278629341938e-10,1.0363577589454371,1.036357758375333,5.701041860817213e-10,5.501037264599162e-10
8,1.034811847255189,1.0361173788328746,1.036844884637795,true,6.253137452283397e-10,1.036117379458458,1.0361173788328746,6.255833628898699e-10,6.037765565292119e-10
9,1.0361520625325753,1.0358879486502746,0.9928216701598658,true,7.141375199526401e-10,1.0358879493621331,1.0358879486502746,7.118585720888859e-10,6.871965080312847e-10
10,1.0374849685881369,1.0356680006210204,0.9523674205248631,true,7.961783732302052e-10,1.0356680014114503,1.0356680006210204,7.90429943720028e-10,7.632078649622009e-10
11,1.0388152277135811,1.0354563193355197,0.914953573925982,true,8.687361177650565e-10,1.035456320194176,1.0354563193355197,8.586562572077128e-10,8.292539641074903e-10
