t,Y_US,Y_endpoint,late_start,NFA,CA,VA,RES,CA_row_equity,CA_us_equity_liability,CA_bond,VA_row_equity_asset,VA_us_equity_liability,cum_CA,cum_VA,cum_RES,cum_CA_row_equity,cum_CA_us_equity_liability,cum_CA_bond,cum_VA_row_equity_asset,cum_VA_us_equity_liability,ahp_rebased_NFA_change_current_Y,ahp_cum_CA_current_Y,ahp_cum_VA_current_Y,ahp_cum_RES_current_Y,dNFA_over_current_Y,CA_over_current_Y,VA_over_current_Y,RES_over_current_Y,periodnorm_cum_dNFA,periodnorm_cum_CA,periodnorm_cum_VA,periodnorm_cum_RES,late_NFA_change_endpoint_Y,late_cum_CA_endpoint_Y,late_cum_VA_endpoint_Y,late_cum_RES_endpoint_Y,late_cum_CA_row_equity_endpoint_Y,late_cum_CA_us_equity_liability_endpoint_Y,late_cum_CA_bond_endpoint_Y,late_cum_VA_row_equity_asset_endpoint_Y,late_cum_VA_us_equity_liability_endpoint_Y
1.0,1.7949973212591137,41.710772390285946,17.0,-0.060834217133851676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019678706036139387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.8560678445099164,41.710772390285946,17.0,-0.09152777601291673,-0.008730483034503734,-0.021963075844561374,5.551115123125783e-17,0.02217353592465122,-0.031837002588429225,0.0009329836292742699,-0.004379899628462274,-0.0175831762160991,-0.008730483034503734,-0.021963075844561374,5.551115123125783e-17,0.02217353592465122,-0.031837002588429225,0.0009329836292742699,-0.004379899628462274,-0.0175831762160991,-0.0165368733529078,-0.004703752107083654,-0.011833121245824176,2.990793218871545e-17,-0.0165368733529078,-0.004703752107083654,-0.011833121245824176,2.990793218871545e-17,-0.0165368733529078,-0.004703752107083654,-0.011833121245824176,2.990793218871545e-17,0.01894283956519834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1.9293814135368812,41.710772390285946,17.0,-0.12384012074322737,-0.009171521632533049,-0.02314082309777762,3.122502256758253e-17,0.025514974734177222,-0.03442156114655419,-0.00026493522015608173,-0.0037731247156722225,-0.0193676983821054,-0.017902004667036783,-0.045103898942338995,8.673617379884035e-17,0.04768851065882844,-0.06625856373498341,0.0006680484091181882,-0.008153024344134497,-0.036950874598204494,-0.03265601252676901,-0.009278623988721542,-0.023377388538047512,4.4955431409406156e-17,-0.016747515293555497,-0.004753607331440031,-0.01199390796211548,1.6183955307386217e-17,-0.0332843886464633,-0.009457359438523685,-0.023827029207939658,4.6091887496101665e-17,0.018168163315428486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,2.0158937397926926,41.710772390285946,17.0,-0.15797858976916185,-0.009689751360484077,-0.02444871766545036,-4.5102810375396984e-17,0.0291911425428684,-0.03748787513097815,-0.001393018772374327,-0.003253473208858964,-0.021195244456591395,-0.02759175602752086,-0.06955261660778936,4.163336342344337e-17,0.07687965320169685,-0.10374643886596156,-0.0007249703632561388,-0.011406497552993462,-0.058146119054795886,-0.04818923275454993,-0.013687108344489576,-0.03450212441006038,2.0652558516167026e-17,-0.016934656997072257,-0.00480667763841587,-0.012127979358656364,-2.2373605059180944e-17,-0.050219045643535555,-0.014264037076939556,-0.035955008566596024,2.371828243692072e-17,0.017349706426006674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,2.1167298486005652,41.710772390285946,17.0,-0.1941654737074478,-0.010306988918764387,-0.025879895019521527,-3.8163916471489756e-17,0.03324187265865149,-0.04107856115532448,-0.0024703004220913982,-0.0028032952987247887,-0.023076599720796738,-0.03789874494628524,-0.09543251162731088,3.469446951953614e-18,0.11012152586034835,-0.14482500002128604,-0.003195270785347537,-0.01420979285171825,-0.08122271877559262,-0.06298926462521681,-0.01790438443117399,-0.04508488019404282,1.6390598706997832e-18,-0.01709565533939544,-0.004869298236418148,-0.012226357102977273,-1.8029658577697614e-17,-0.06731470098293099,-0.019133335313357702,-0.048181365669573296,5.688623859223106e-18,0.0164821395634301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,2.233209269863051,41.710772390285946,17.0,-0.23263627602940828,-0.011038240085520179,-0.027432562236440382,7.632783294297951e-17,0.03771758948595532,-0.0452396980346921,-0.003516131536783401,-0.0024079916685305564,-0.025024570567909826,-0.04893698503180542,-0.12286507386375126,7.979727989493313e-17,0.14783911534630367,-0.19006469805597814,-0.006711402322130938,-0.016617784520248806,-0.10624728934350244,-0.07693056858307425,-0.021913300151582493,-0.05501726843149179,3.5732110273672025e-17,-0.017226689339472277,-0.004942770135553435,-0.012283919203918876,3.417854026177324e-17,-0.08454139032240326,-0.024076105448911138,-0.060465284873492176,3.986716412099635e-17,0.015559816621001926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,2.366873438657376,41.710772390285946,17.0,-0.2736381647314752,-0.011892960498030486,-0.029108928204036377,-2.7755575615628914e-17,0.04267885053934526,-0.05002237633157237,-0.004549434705803379,-0.0020553928410713025,-0.027053535362965075,-0.06082994552983591,-0.15197400206778763,5.204170427930421e-17,0.19051796588564893,-0.2400870743875505,-0.011260837027934317,-0.01867317736132011,-0.1333008247064675,-0.0899093057203506,-0.025700548468845074,-0.06420875725150553,2.1987531495906767e-17,-0.017323228201557524,-0.005024755571542872,-0.01229847263001464,-1.1726683464483609e-17,-0.10186461852396078,-0.02910086102045401,-0.07276375750350682,2.814048065651274e-17,0.014576811839445402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,2.519516242095886,41.710772390285946,17.0,-0.317428469223051,-0.012875915524012994,-0.030914388967562836,-6.938893903907228e-18,0.04819646773777252,-0.05548406037163281,-0.005588322890152708,-0.0017352254379849634,-0.029179163529577872,-0.07370586105384891,-0.18288839103535048,4.5102810375396984e-17,0.23871443362342146,-0.2955711347591833,-0.016849159918087026,-0.020408402799305073,-0.16247998823604537,-0.10184266638255475,-0.02925397337091025,-0.07258869301164451,1.7901377106375683e-17,-0.017380441435514787,-0.005110471331314788,-0.012269970104199996,-2.75405801636549e-18,-0.11924505995947557,-0.0342113323517688,-0.08503372760770682,2.538642264014725e-17,0.01352695584344917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,2.693218667433533,41.710772390285946,17.0,-0.36427306631912804,-0.013987661154186967,-0.03285693594188996,-9.71445146547012e-17,0.05435216604244049,-0.0616898051172754,-0.006650022079352058,-0.0014386597237626324,-0.031418276218127324,-0.08769352220803588,-0.21574532697724044,-5.204170427930421e-17,0.29306659966586196,-0.3572609398764587,-0.023499181997439084,-0.021847062523067704,-0.1938982644541727,-0.11266773576704574,-0.032560862312603175,-0.08010687345444255,-1.932323762217817e-17,-0.017393536463460264,-0.005193659662071302,-0.012199876801388926,-3.6070043561399256e-17,-0.13663859642293583,-0.0394049920138401,-0.09723360440909574,-1.0683620921252008e-17,0.012403874336884052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,2.890388543766587,41.710772390285946,17.0,-0.4144445120335294,-0.015224672377264992,-0.03494677333713644,7.632783294297951e-17,0.06123972422012816,-0.06871338900697593,-0.007751007590417219,-0.001157931961444155,-0.03378884137569228,-0.10291819458530087,-0.2506921003143769,2.42861286636753e-17,0.35430632388599015,-0.4259743288834346,-0.0312501895878563,-0.02300499448451186,-0.22768710582986496,-0.12234005551339242,-0.035607044875421434,-0.086733010637971,8.402375077236856e-18,-0.017358028152512958,-0.005267344561719401,-0.012090683590793584,2.6407464528458687e-17,-0.15399662457544877,-0.0446723365755595,-0.10932428799988933,1.572384360720668e-17,0.011201032892353868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
