parameter,value
selected_candidate,F_foreign_target025
selected_horizon,35
search_horizon,30
common_world_growth,false
score,4.048911077622911
AHP_asset_VA_anchor_2010_2020,0.413
AHP_liability_VA_anchor_2010_2020,-1.036
AHP_net_VA_anchor_2010_2020,-0.623
β,0.45
γ,0.25
κ,1.0
ω̄,0.5
ω̄_star,0.25
χ,0.0002
η,0.01
π_persist,0.8
α_US,0.5
ρ_US,2.0
ϑ_US,0.8
a_US,0.2
H_US,1.0
L_US,1.0
α_W,0.5
ρ_W,2.0
ϑ_W,0.5
a_W,0.1
H_W,3.0
L_W,3.0
Abar_X_US,10.0
Abar_L_US,1.0
ν_b,0.1
A_X_US_u,10.0
A_L_US_u,1.0
ξ_u,1.9
ν_u,1.4
Abar_X_W,10.0
Abar_L_W,1.0
ξ_W,1.0
N_US_0,1.0
N_W_0,1.0
T_max,35
n_buffer,10
ftol,1.0e-9
xtol,1.0e-10
iterations,4000
branch_iters,60
branch_tol,1.0e-7
do_global_polish,false
φ_floor,0.001
